<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSD.US,D,20101001,000000,7.36498,7.38461,7.34122,7.36498,137242.93217825,0
FSD.US,D,20101004,000000,7.36498,7.37672,7.30968,7.30968,199957.54222574,0
FSD.US,D,20101005,000000,7.3278,7.38461,7.31167,7.36498,247559.63338072,0
FSD.US,D,20101006,000000,7.37672,7.3817,7.32113,7.33803,103083.18585154,0
FSD.US,D,20101007,000000,7.3278,7.34753,7.3278,7.33803,45891.440933568,0
FSD.US,D,20101008,000000,7.34273,7.34273,7.31167,7.31728,87574.426683575,0
FSD.US,D,20101011,000000,7.33803,7.36498,7.30968,7.32405,120866.0659552,0
FSD.US,D,20101012,000000,7.3278,7.42694,7.32113,7.41203,79981.951728268,0
FSD.US,D,20101013,000000,7.40198,7.40198,7.30968,7.32113,133911.105346,0
FSD.US,D,20101014,000000,7.3278,7.40198,7.31167,7.33203,126481.6001814,0
FSD.US,D,20101015,000000,7.37672,7.37672,7.32405,7.34273,113209.68127805,0
FSD.US,D,20101018,000000,7.35908,7.38461,7.33533,7.35908,92676.552810949,0
FSD.US,D,20101019,000000,7.35908,7.38461,7.32405,7.37672,122762.05436997,0
FSD.US,D,20101020,000000,7.3817,7.3817,7.31728,7.31728,93739.584517655,0
FSD.US,D,20101021,000000,7.48561,7.48561,7.31728,7.32113,109280.29854655,0
FSD.US,D,20101022,000000,7.35605,7.3817,7.31728,7.31728,123146.57786307,0
FSD.US,D,20101025,000000,7.3278,7.36498,7.31728,7.3278,233776.4367026,0
FSD.US,D,20101026,000000,7.34122,7.36498,7.3278,7.35118,120484.73794818,0
FSD.US,D,20101027,000000,7.34122,7.35605,7.30968,7.31167,258159.06074889,0
FSD.US,D,20101028,000000,7.31167,7.32405,7.30968,7.30968,213302.95730923,0
FSD.US,D,20101029,000000,7.30968,7.33043,7.30968,7.31252,139491.48922521,0
FSD.US,D,20101101,000000,7.30968,7.31728,7.30968,7.30968,1697360.194754,0
FSD.US,D,20101102,000000,7.31167,7.31167,7.30968,7.30968,623353.05848347,0
FSD.US,D,20101103,000000,7.31167,7.33533,7.30968,7.3278,283885.91927801,0
FSD.US,D,20101104,000000,7.32113,7.3817,7.31167,7.31728,317084.88945296,0
FSD.US,D,20101105,000000,7.33803,7.35908,7.31728,7.33203,198354.47336945,0
FSD.US,D,20101108,000000,7.34122,7.35908,7.2649,7.35908,340383.17855192,0
FSD.US,D,20101109,000000,7.34122,7.34273,7.31167,7.34273,272120.13948615,0
FSD.US,D,20101110,000000,7.35908,7.35908,7.30968,7.32113,218186.72522029,0
FSD.US,D,20101111,000000,7.31167,7.35118,7.31167,7.3278,189924.78105795,0
FSD.US,D,20101112,000000,7.32113,7.33533,7.15093,7.16681,284081.90909166,0
FSD.US,D,20101115,000000,7.20125,7.27346,6.79191,6.92945,704002.86680502,0
FSD.US,D,20101116,000000,6.67139,6.93472,6.48108,6.88177,867242.14350617,0
FSD.US,D,20101117,000000,6.9073,6.98607,6.84929,6.94861,365993.93441968,0
FSD.US,D,20101118,000000,7.12877,7.12877,6.87717,6.9073,446137.79077663,0
FSD.US,D,20101119,000000,6.94861,7.02663,6.92684,7.02663,251139.64296613,0
FSD.US,D,20101122,000000,7.08926,7.08926,6.85613,6.94346,445573.25490031,0
FSD.US,D,20101123,000000,6.95284,6.97293,6.76517,6.89144,422891.69461717,0
FSD.US,D,20101124,000000,6.94346,7.00711,6.83296,6.98607,242885.70238972,0
FSD.US,D,20101126,000000,6.95743,7.01113,6.95743,6.98289,58409.225119142,0
FSD.US,D,20101129,000000,6.98289,6.98289,6.83296,6.85914,373765.35659617,0
FSD.US,D,20101130,000000,6.89031,7.05028,6.81689,7.04278,422450.71753643,0
FSD.US,D,20101201,000000,7.01113,7.01113,6.85914,6.92383,369759.28219845,0
FSD.US,D,20101202,000000,6.94346,7.11188,6.78348,7.06944,665720.94341925,0
FSD.US,D,20101203,000000,7.01809,7.04812,6.93837,6.98289,245341.96603266,0
FSD.US,D,20101206,000000,6.99951,7.00345,6.85914,6.86356,368949.75905506,0
FSD.US,D,20101207,000000,6.87717,6.92945,6.80057,6.88177,493646.1476729,0
FSD.US,D,20101208,000000,6.82168,6.9104,6.72461,6.85613,640119.77400977,0
FSD.US,D,20101209,000000,6.82168,6.9073,6.72461,6.8092,534352.37984068,0
FSD.US,D,20101210,000000,6.83914,6.83914,6.6742,6.78348,642139.3212201,0
FSD.US,D,20101213,000000,6.76893,6.77616,6.67139,6.72677,552929.8708193,0
FSD.US,D,20101214,000000,6.71805,6.78348,6.68641,6.69053,591024.32568766,0
FSD.US,D,20101215,000000,6.64463,6.73043,6.59806,6.65034,758745.80421427,0
FSD.US,D,20101216,000000,6.68856,6.70958,6.58408,6.65589,742381.71993558,0
FSD.US,D,20101217,000000,6.66219,6.68641,6.59393,6.63721,545380.00234523,0
FSD.US,D,20101220,000000,6.6742,6.71805,6.56069,6.59806,969309.16478036,0
FSD.US,D,20101221,000000,6.83296,6.83296,6.58276,6.61975,630971.09732752,0
FSD.US,D,20101222,000000,6.63429,6.7035,6.59806,6.64463,558126.79636741,0
FSD.US,D,20101223,000000,6.67748,6.81257,6.62856,6.8092,477626.11073016,0
FSD.US,D,20101227,000000,6.83296,6.84543,6.69053,6.72677,527601.3828897,0
FSD.US,D,20101228,000000,6.76179,6.78892,6.64059,6.68199,771010.07983652,0
FSD.US,D,20101229,000000,6.65177,6.72743,6.57684,6.67297,795863.50550041,0
FSD.US,D,20101230,000000,6.64546,6.71805,6.61814,6.61975,672264.23377425,0
FSD.US,D,20101231,000000,6.66161,6.66161,6.61197,6.64163,848918.16109088,0
FSD.US,D,20110103,000000,6.66697,6.67139,6.56464,6.59806,554650.107499,0
FSD.US,D,20110104,000000,6.63429,6.76517,6.60716,6.75483,495810.55691942,0
FSD.US,D,20110105,000000,6.76893,6.84159,6.70706,6.81257,438614.55135332,0
FSD.US,D,20110106,000000,6.82545,6.89652,6.78892,6.87276,429808.85684498,0
FSD.US,D,20110107,000000,6.86356,6.89256,6.8092,6.86769,340136.06096078,0
FSD.US,D,20110110,000000,6.82815,6.88487,6.77906,6.87276,305347.86903593,0
FSD.US,D,20110111,000000,6.83296,6.89652,6.82168,6.85613,338232.61641181,0
FSD.US,D,20110112,000000,6.84159,6.86356,6.8092,6.83296,353213.05521251,0
FSD.US,D,20110113,000000,6.84929,6.86769,6.81689,6.83296,386207.51427755,0
FSD.US,D,20110114,000000,6.85613,6.89652,6.83296,6.89256,289556.84192981,0
FSD.US,D,20110118,000000,6.90364,6.92945,6.80057,6.9073,381167.16754796,0
FSD.US,D,20110119,000000,6.89256,7.00345,6.85304,7.00345,834605.57888348,0
FSD.US,D,20110120,000000,6.95743,6.98607,6.88487,6.9073,331375.10325773,0
FSD.US,D,20110121,000000,6.93472,6.95743,6.89256,6.95284,225121.99520262,0
FSD.US,D,20110124,000000,6.93837,6.9916,6.88956,6.92101,382991.79010665,0
FSD.US,D,20110125,000000,6.94861,6.96043,6.87717,6.89652,344831.29519241,0
FSD.US,D,20110126,000000,6.92383,6.94346,6.84543,6.92101,409647.46992661,0
FSD.US,D,20110127,000000,6.92945,6.96439,6.90055,6.94346,317891.21711025,0
FSD.US,D,20110128,000000,6.92945,6.97941,6.9073,6.92684,276587.42904318,0
FSD.US,D,20110131,000000,6.9442,6.95819,6.85304,6.91191,233938.34133127,0
FSD.US,D,20110201,000000,6.90055,6.99048,6.86769,6.94346,365994.99958171,0
FSD.US,D,20110202,000000,6.90364,6.97941,6.89256,6.95743,296470.80867152,0
FSD.US,D,20110203,000000,6.93837,6.97489,6.9073,6.96917,256285.44073677,0
FSD.US,D,20110204,000000,6.94861,7.00485,6.92383,6.98607,314777.74849432,0
FSD.US,D,20110207,000000,6.95743,7.02663,6.95743,7.00485,434653.2137609,0
FSD.US,D,20110208,000000,7.02391,7.02391,6.96917,6.97941,317963.64812833,0
FSD.US,D,20110209,000000,6.97293,7.10408,6.92945,7.10408,433026.71133991,0
FSD.US,D,20110210,000000,7.07273,7.10839,7.04004,7.10839,278013.68100239,0
FSD.US,D,20110211,000000,7.08926,7.11188,7.03641,7.08681,325926.79947035,0
FSD.US,D,20110214,000000,7.10023,7.1345,7.01809,7.05254,411735.18750691,0
FSD.US,D,20110215,000000,7.06278,7.08926,7.01809,7.02663,214069.87397138,0
FSD.US,D,20110216,000000,7.05827,7.1573,7.03641,7.05611,583291.24934429,0
FSD.US,D,20110218,000000,7.11188,7.15093,7.06944,7.10839,310474.49389001,0
FSD.US,D,20110222,000000,7.07818,7.08681,6.90364,6.9104,563146.90501842,0
FSD.US,D,20110223,000000,6.92684,6.99471,6.88487,6.93472,400570.15910043,0
FSD.US,D,20110224,000000,6.92684,6.96439,6.87276,6.92383,366630.90131407,0
FSD.US,D,20110225,000000,6.9073,6.99048,6.88177,6.90364,459215.8501904,0
FSD.US,D,20110228,000000,6.93837,6.97293,6.90909,6.97293,294747.37650575,0
FSD.US,D,20110301,000000,7.01884,7.02391,6.90232,6.95284,202655.59764967,0
FSD.US,D,20110302,000000,6.95743,7.01386,6.90589,6.97941,273644.38635218,0
FSD.US,D,20110303,000000,7.01386,7.01386,6.94787,7.00485,247691.71347255,0
FSD.US,D,20110304,000000,6.9916,7.00345,6.93416,6.97941,214714.29699999,0
FSD.US,D,20110307,000000,6.97489,6.99951,6.92018,6.92684,218559.53193107,0
FSD.US,D,20110308,000000,6.92317,6.99048,6.90655,6.92945,301617.67160419,0
FSD.US,D,20110309,000000,6.95743,6.96043,6.89097,6.91802,274795.82650744,0
FSD.US,D,20110310,000000,6.89201,6.95284,6.86533,6.89201,256633.74872083,0
FSD.US,D,20110311,000000,6.89652,6.92609,6.84695,6.8843,292721.43832321,0
FSD.US,D,20110314,000000,6.86214,6.89652,6.84845,6.84845,168711.0140532,0
FSD.US,D,20110315,000000,6.82057,6.84845,6.72611,6.81615,357813.49002339,0
