<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTCB.US,D,20231109,000000,20.07,20.07,19.94,19.95,3762,0
FTCB.US,D,20231110,000000,20.03,20.03,19.9702,19.9702,1600,0
FTCB.US,D,20231114,000000,20.2199,20.225,20.2199,20.225,500,0
FTCB.US,D,20231115,000000,20.13,20.13,20.11,20.13,8710,0
FTCB.US,D,20231116,000000,20.21,20.22,20.21,20.22,800,0
FTCB.US,D,20231117,000000,20.27,20.27,20.25,20.255,1700,0
FTCB.US,D,20231120,000000,20.285,20.285,20.285,20.285,600,0
FTCB.US,D,20231121,000000,20.305,20.305,20.305,20.305,600,0
FTCB.US,D,20231122,000000,20.325,20.325,20.325,20.325,600,0
FTCB.US,D,20231124,000000,20.26,20.26,20.26,20.26,600,0
FTCB.US,D,20231127,000000,20.376,20.376,20.376,20.376,600,0
FTCB.US,D,20231128,000000,20.38,20.445,20.38,20.445,981,0
FTCB.US,D,20231129,000000,20.52,20.545,20.52,20.545,200,0
FTCB.US,D,20231130,000000,20.52,20.52,20.48,20.49,12600,0
FTCB.US,D,20231201,000000,20.49,20.63,20.49,20.6285,13300,0
FTCB.US,D,20231204,000000,20.625,20.625,20.625,20.625,601,0
FTCB.US,D,20231205,000000,20.73,20.73,20.73,20.73,601,0
FTCB.US,D,20231206,000000,20.7987,20.7987,20.7987,20.7987,601,0
FTCB.US,D,20231207,000000,20.82,20.82,20.81,20.8187,1783,0
FTCB.US,D,20231208,000000,20.7,20.7,20.68,20.69,4000,0
FTCB.US,D,20231211,000000,20.69,20.69,20.69,20.69,121,0
FTCB.US,D,20231212,000000,20.72,20.74,20.72,20.74,165,0
FTCB.US,D,20231213,000000,20.81,20.9672,20.81,20.9672,1751,0
FTCB.US,D,20231214,000000,21.13,21.1662,21.13,21.14,425358,0
FTCB.US,D,20231215,000000,21.1502,21.185,21.15,21.1702,2923,0
FTCB.US,D,20231218,000000,21.11,21.1243,21.11,21.11,4763,0
FTCB.US,D,20231219,000000,21.13,21.15,21.11,21.12,4200,0
FTCB.US,D,20231220,000000,21.16,21.1975,21.14,21.1975,3400,0
FTCB.US,D,20231221,000000,21.2235,21.2235,21.2,21.205,5275,0
FTCB.US,D,20231222,000000,21.14,21.1592,21.105,21.11,25279,0
FTCB.US,D,20231226,000000,21.12,21.15,21.12,21.12,1321,0
FTCB.US,D,20231227,000000,21.21,21.31,21.21,21.2925,7483,0
FTCB.US,D,20231228,000000,21.2786,21.2786,21.2297,21.2297,1560,0
FTCB.US,D,20231229,000000,21.21,21.22,21.19,21.19,1751,0
FTCB.US,D,20240102,000000,21.1324,21.14,21.1275,21.1275,1747,0
FTCB.US,D,20240103,000000,21.12,21.1699,21.12,21.135,3886,0
FTCB.US,D,20240104,000000,21.06,21.09,21.035,21.0564,10585,0
FTCB.US,D,20240105,000000,21.01,21.01,20.99,20.99,2461,0
FTCB.US,D,20240108,000000,21.065,21.1199,21.0524,21.0626,10175,0
FTCB.US,D,20240109,000000,21.06,21.07,21.0502,21.0502,2136,0
FTCB.US,D,20240110,000000,21.05,21.05,21.02,21.02,16639,0
FTCB.US,D,20240111,000000,21.05,21.11,21.05,21.11,3161,0
FTCB.US,D,20240112,000000,21.18,21.18,21.17,21.17,1253,0
FTCB.US,D,20240116,000000,21.11,21.11,21.06,21.06,2310,0
FTCB.US,D,20240117,000000,20.99,21,20.99,20.99,5143,0
