<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTHF.US,D,20231108,000000,21.1149,21.1149,21.1149,21.1149,12,0
FTHF.US,D,20231109,000000,20.94,20.94,20.8956,20.8956,101,0
FTHF.US,D,20231110,000000,21.2605,21.2605,21.2605,21.2605,7,0
FTHF.US,D,20231113,000000,21.1292,21.1292,21.1292,21.1292,19,0
FTHF.US,D,20231114,000000,21.9269,21.9269,21.9269,21.9269,19,0
FTHF.US,D,20231115,000000,22.0021,22.0021,22.0021,22.0021,19,0
FTHF.US,D,20231116,000000,21.985,21.985,21.985,21.985,19,0
FTHF.US,D,20231117,000000,22.025,22.025,22.025,22.025,19,0
FTHF.US,D,20231120,000000,22.3258,22.3258,22.3258,22.3258,2,0
FTHF.US,D,20231121,000000,22.135,22.135,22.135,22.135,2,0
FTHF.US,D,20231122,000000,22.0464,22.0464,22.0464,22.0464,2,0
FTHF.US,D,20231124,000000,22.0068,22.0068,22.0068,22.0068,2,0
FTHF.US,D,20231127,000000,21.9751,21.9751,21.9751,21.9751,7,0
FTHF.US,D,20231128,000000,22.2444,22.2444,22.2444,22.2444,1,0
FTHF.US,D,20231129,000000,22.0951,22.0951,22.0951,22.0951,32,0
FTHF.US,D,20231130,000000,22.05,22.085,22.05,22.085,100,0
FTHF.US,D,20231201,000000,22.295,22.295,22.295,22.295,2,0
FTHF.US,D,20231204,000000,21.9214,21.9214,21.9214,21.9214,1,0
FTHF.US,D,20231205,000000,21.8993,21.8993,21.8993,21.8993,14,0
FTHF.US,D,20231206,000000,21.8852,21.8852,21.8852,21.8852,1,0
FTHF.US,D,20231207,000000,21.9849,21.9849,21.9849,21.9849,7,0
FTHF.US,D,20231208,000000,21.985,21.985,21.985,21.985,7,0
FTHF.US,D,20231211,000000,22.0549,22.0549,22.0549,22.0549,7,0
FTHF.US,D,20231212,000000,22.0448,22.0448,22.0448,22.0448,4,0
FTHF.US,D,20231213,000000,22.531,22.531,22.531,22.531,2,0
FTHF.US,D,20231214,000000,23.072,23.072,23.072,23.072,7,0
FTHF.US,D,20231215,000000,22.7924,22.7924,22.7924,22.7924,15,0
FTHF.US,D,20231218,000000,22.8658,22.8658,22.8658,22.8658,2,0
FTHF.US,D,20231219,000000,23.0699,23.0699,23.0699,23.0699,2,0
FTHF.US,D,20231220,000000,23.15,23.15,22.802,22.802,1506,0
FTHF.US,D,20231221,000000,23.1899,23.1899,23.1899,23.1899,2,0
FTHF.US,D,20231222,000000,23.125,23.125,23.125,23.125,2,0
FTHF.US,D,20231226,000000,23.4,23.4,23.4,23.4,6,0
FTHF.US,D,20231227,000000,23.66,23.66,23.6069,23.6069,200,0
FTHF.US,D,20231228,000000,23.5568,23.5568,23.5568,23.5568,6,0
FTHF.US,D,20231229,000000,23.5386,23.5386,23.5386,23.5386,6,0
FTHF.US,D,20240102,000000,23.142,23.142,23.142,23.142,1,0
FTHF.US,D,20240103,000000,22.8015,22.8015,22.8015,22.8015,6,0
FTHF.US,D,20240104,000000,22.72,22.72,22.6546,22.6546,321161,0
FTHF.US,D,20240105,000000,22.8113,22.8113,22.8113,22.8113,6,0
FTHF.US,D,20240108,000000,22.97,22.97,22.9197,22.9197,162,0
FTHF.US,D,20240109,000000,22.55,22.55,22.5039,22.5039,400001,0
FTHF.US,D,20240110,000000,22.51,22.51,22.4414,22.4414,62000,0
FTHF.US,D,20240111,000000,22.4947,22.4947,22.4947,22.4947,6,0
FTHF.US,D,20240112,000000,22.5229,22.5229,22.5229,22.5229,6,0
FTHF.US,D,20240116,000000,21.99,21.99,21.9246,21.9246,6660,0
FTHF.US,D,20240117,000000,21.6507,21.6507,21.6507,21.6507,6,0
FTHF.US,D,20240118,000000,21.8252,21.8252,21.8252,21.8252,50,0
FTHF.US,D,20240119,000000,22.1251,22.1251,22.1251,22.1251,6,0
