<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBTC.US,D,20240112,000000,40.39,40.47,37.77,38.58,47470710,0
GBTC.US,D,20240116,000000,37.84,38.4285,37.0368,38.32,26319644,0
GBTC.US,D,20240117,000000,37.66,38.1,37.42,37.94,36857032,0
GBTC.US,D,20240118,000000,37.75,38.05,36.05,36.29,29214587,0
GBTC.US,D,20240119,000000,36.45,37.495,35.8,37.01,37277438,0
GBTC.US,D,20240122,000000,36.14,36.319,35.03,35.82,30142126,0
GBTC.US,D,20240123,000000,34.52,35.275,34.31,34.88,21880826,0
GBTC.US,D,20240124,000000,35.62,35.82,35.22,35.27,17304000,0
GBTC.US,D,20240125,000000,35.62,35.74,35.235,35.44,14150305,0
GBTC.US,D,20240126,000000,36.69,37.71,36.66,37.51,17605587,0
GBTC.US,D,20240129,000000,37.45,38.67,37.315,38.51,14965645,0
GBTC.US,D,20240130,000000,38.74,39.045,38.59,38.87,10234230,0
GBTC.US,D,20240131,000000,38.11,39.075,37.92,37.99,13012236,0
GBTC.US,D,20240201,000000,37.84,38.63,37.8,38.41,7627100,0
GBTC.US,D,20240202,000000,38.15,38.795,38.11,38.34,9819668,0
GBTC.US,D,20240205,000000,38.68,38.75,37.73,37.84,6390206,0
GBTC.US,D,20240206,000000,38.29,38.735,38.245,38.47,6779793,0
GBTC.US,D,20240207,000000,38.49,39.53,38.295,39.43,8556131,0
GBTC.US,D,20240208,000000,40.27,40.74,40.0702,40.68,9198489,0
GBTC.US,D,20240209,000000,41.95,43.09,41.79,42.48,12500851,0
GBTC.US,D,20240212,000000,43,45.03,43,44.86,10582765,0
GBTC.US,D,20240213,000000,43.72,44.21,43.18,44.11,9064897,0
GBTC.US,D,20240214,000000,46.2,46.57,45.7387,46.19,13449107,0
GBTC.US,D,20240215,000000,46.84,47.26,46.095,46.18,13599329,0
GBTC.US,D,20240216,000000,46.64,46.86,46.11,46.28,12643971,0
GBTC.US,D,20240220,000000,46.69,46.76,45.32,46.41,13357318,0
GBTC.US,D,20240221,000000,45.41,45.9,45.14,45.48,7507419,0
GBTC.US,D,20240222,000000,45.59,46.5,45.53,46.44,7514397,0
GBTC.US,D,20240223,000000,45.73,45.81,45.19,45.59,6990587,0
GBTC.US,D,20240226,000000,45.87,49.06,45.8587,48.63,17388522,0
GBTC.US,D,20240227,000000,50.83,51.45,50.21,50.85,15744238,0
GBTC.US,D,20240228,000000,53.74,57.45,52.7,53.83,34296498,0
GBTC.US,D,20240229,000000,56.53,56.81,53.872,55.35,24756562,0
GBTC.US,D,20240301,000000,55.73,56.495,54.61,56.28,23437380,0
GBTC.US,D,20240304,000000,58.45,60.7,58.3901,60.38,30081016,0
GBTC.US,D,20240305,000000,60.41,61.99,53.35,55.23,53482325,0
GBTC.US,D,20240306,000000,59.64,60.35,58.3,59.8,19180641,0
GBTC.US,D,20240307,000000,60.17,60.86,59.5,60.45,24764848,0
GBTC.US,D,20240308,000000,60.83,62.84,59.07,61.9,27726656,0
GBTC.US,D,20240311,000000,64.58,65.09,63.7,64.32,28668814,0
GBTC.US,D,20240312,000000,64.54,65.34,61.27,63.67,28619608,0
GBTC.US,D,20240313,000000,64.89,65.61,63.98,65.58,19699228,0
GBTC.US,D,20240314,000000,64.83,64.9,60.98,61.8,31760411,0
GBTC.US,D,20240315,000000,60.42,63.02,60.1,61.6,21570229,0
GBTC.US,D,20240318,000000,60.59,61.135,59.31,59.58,17837348,0
GBTC.US,D,20240319,000000,56.81,58.66,55.49,57.41,25915455,0
GBTC.US,D,20240320,000000,56.52,58.9,55.35,58.75,21844412,0
GBTC.US,D,20240321,000000,60.319,60.33,57.84,58.11,19718134,0
GBTC.US,D,20240322,000000,57.23,57.37,55.84,56.98,11609960,0
GBTC.US,D,20240325,000000,59.72,63.45,59.72,63.34,24626190,0
GBTC.US,D,20240326,000000,63.16,63.3,61.79,61.93,12545926,0
GBTC.US,D,20240327,000000,63.85,64.01,60.96,61.19,16148942,0
GBTC.US,D,20240328,000000,63.38,64.01,62.87,63.17,11908008,0
GBTC.US,D,20240401,000000,62.48,62.57,60.71,62.18,12971761,0
GBTC.US,D,20240402,000000,57.86,59.115,57.52,58.7,10433987,0
GBTC.US,D,20240403,000000,58.59,59.67,58.4,58.64,8187692,0
GBTC.US,D,20240404,000000,59.96,61.84,59.82,61.04,13756426,0
GBTC.US,D,20240405,000000,59.65,61.14,59.55,59.99,9241508,0
GBTC.US,D,20240408,000000,64.3,64.35,63.445,63.96,10865620,0
GBTC.US,D,20240409,000000,62.93,63.25,60.78,61.45,11029536,0
GBTC.US,D,20240410,000000,60.27,62.47,60.09,62.47,10082491,0
GBTC.US,D,20240411,000000,63.06,63.18,61.94,62.79,10317711,0
GBTC.US,D,20240412,000000,62.49,62.64,58.04,59.55,19735989,0
GBTC.US,D,20240415,000000,58.97,59.28,55.51,56.38,13765574,0
GBTC.US,D,20240416,000000,56.31,56.45,54.95,55.88,9462413,0
GBTC.US,D,20240417,000000,55.585,56.12,53.11,54.31,14071007,0
GBTC.US,D,20240418,000000,55.68,57.19,55.12,56.58,9905310,0
GBTC.US,D,20240419,000000,57.66,58.025,56.62,57.31,8724666,0
GBTC.US,D,20240422,000000,58.86,59.58,58.51,59.26,7510635,0
GBTC.US,D,20240423,000000,58.94,59.83,58.87,59.21,3786057,0
GBTC.US,D,20240424,000000,58.77,59.07,56.71,56.9,9131853,0
GBTC.US,D,20240425,000000,56.24,57.81,55.958,57.6,8341898,0
GBTC.US,D,20240426,000000,56.73,57.68,56.34,56.74,6666646,0
GBTC.US,D,20240429,000000,55.65,56.27,54.92,56.06,4614121,0
GBTC.US,D,20240430,000000,54.44,54.72,52.43,52.51,11988817,0
GBTC.US,D,20240501,000000,51.32,52.86,50.34,50.64,13631106,0
GBTC.US,D,20240502,000000,52.27,53.08,51.83,52.86,5799571,0
GBTC.US,D,20240503,000000,54.54,55.46,54.5,55.32,6283063,0
GBTC.US,D,20240506,000000,56.57,57.19,55.82,56.24,6853584,0
GBTC.US,D,20240507,000000,56.59,57.28,55.89,56.11,5230348,0
GBTC.US,D,20240508,000000,55.16,55.92,54.96,55.3,4167142,0
GBTC.US,D,20240509,000000,54.57,55.82,54.14,55.57,6515644,0
GBTC.US,D,20240510,000000,55.87,56.18,53.52,53.99,7842237,0
GBTC.US,D,20240513,000000,55.91,56.49,55.67,56.19,2943643,0
GBTC.US,D,20240514,000000,55.14,55.42,54.35,54.78,3738080,0
GBTC.US,D,20240515,000000,57.19,59.2,56.92,58.82,8231495,0
GBTC.US,D,20240516,000000,58.78,59.16,57.48,58.02,4032664,0
GBTC.US,D,20240517,000000,59.06,60.13,58.6,59.73,5512743,0
GBTC.US,D,20240520,000000,59.64,62.49,59.4,62.4,7255428,0
