<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHEE.US,D,20231121,000000,25.61,25.61,25.02,25.02,26173,0
GHEE.US,D,20231122,000000,25.1,25.105,25.035,25.035,502,0
GHEE.US,D,20231124,000000,25.3,25.38,25.205,25.205,503,0
GHEE.US,D,20231127,000000,25.2999,25.2999,25.2183,25.2183,100,0
GHEE.US,D,20231128,000000,25.36,25.88,25.36,25.455,971,0
GHEE.US,D,20231129,000000,25.515,25.515,25.515,25.515,1,0
GHEE.US,D,20231130,000000,25.38,25.4,25.27,25.27,201,0
GHEE.US,D,20231201,000000,25.545,25.545,25.545,25.545,1,0
GHEE.US,D,20231204,000000,25.35,25.35,25.26,25.26,350,0
GHEE.US,D,20231205,000000,25.27,25.27,25.24,25.24,4001,0
GHEE.US,D,20231206,000000,25.35,25.36,25.235,25.235,1200,0
GHEE.US,D,20231207,000000,25.2798,25.2798,25.2798,25.2798,1,0
GHEE.US,D,20231208,000000,25.25,25.25,25.25,25.25,8001,0
GHEE.US,D,20231211,000000,25.255,25.255,25.255,25.255,100,0
GHEE.US,D,20231212,000000,25.145,25.145,25.145,25.145,1,0
GHEE.US,D,20231213,000000,25.14,25.5,25.14,25.5,2500,0
GHEE.US,D,20231214,000000,26.0609,26.0609,25.84,26.01,400,0
GHEE.US,D,20231215,000000,25.92,25.92,25.92,25.92,1,0
GHEE.US,D,20231218,000000,25.98,25.98,25.98,25.98,1,0
GHEE.US,D,20231219,000000,26.125,26.125,26.125,26.125,25,0
GHEE.US,D,20231220,000000,26.05,26.05,25.705,25.705,971,0
GHEE.US,D,20231221,000000,26.095,26.095,26.095,26.095,2,0
GHEE.US,D,20231222,000000,26.1,26.1,26.1,26.1,1,0
GHEE.US,D,20231226,000000,26.29,26.29,26.29,26.29,239,0
GHEE.US,D,20231227,000000,26.29,26.36,26.03,26.19,50909,0
GHEE.US,D,20231228,000000,26.35,26.37,26.2,26.2,316,0
GHEE.US,D,20231229,000000,26.23,26.23,26.23,26.23,1,0
GHEE.US,D,20240102,000000,25.915,25.915,25.915,25.915,1,0
GHEE.US,D,20240103,000000,25.61,25.71,25.58,25.71,200,0
GHEE.US,D,20240104,000000,25.64,25.64,25.32,25.63,1940,0
GHEE.US,D,20240105,000000,25.835,25.835,25.835,25.835,21,0
GHEE.US,D,20240108,000000,25.84,25.84,25.84,25.84,1,0
GHEE.US,D,20240109,000000,25.62,25.62,25.62,25.62,1,0
GHEE.US,D,20240110,000000,25.84,25.84,25.41,25.56,584,0
GHEE.US,D,20240111,000000,25.625,25.625,25.625,25.625,1,0
GHEE.US,D,20240112,000000,25.7016,25.7016,25.7016,25.7016,1,0
GHEE.US,D,20240116,000000,25.185,25.185,25.185,25.185,1,0
GHEE.US,D,20240117,000000,24.85,24.9,24.85,24.9,328,0
GHEE.US,D,20240118,000000,25.02,25.105,25,25.105,409,0
GHEE.US,D,20240119,000000,25.12,25.185,25.1,25.185,233,0
GHEE.US,D,20240122,000000,24.88,24.9322,24.86,24.9322,300,0
GHEE.US,D,20240123,000000,25.06,25.14,25.03,25.14,300,0
GHEE.US,D,20240124,000000,25.375,25.375,25.375,25.375,1,0
GHEE.US,D,20240125,000000,25.94,25.94,25.37,25.37,200,0
GHEE.US,D,20240126,000000,25.525,25.525,25.525,25.525,1,0
GHEE.US,D,20240129,000000,25.435,25.435,25.435,25.435,1,0
GHEE.US,D,20240130,000000,25.35,25.35,25.35,25.35,1,0
GHEE.US,D,20240131,000000,25.44,25.44,25.44,25.44,86,0
GHEE.US,D,20240201,000000,25.325,25.325,25.325,25.325,1,0
GHEE.US,D,20240202,000000,25.145,25.145,25.145,25.145,1,0
GHEE.US,D,20240205,000000,25.015,25.015,25.015,25.015,62,0
GHEE.US,D,20240206,000000,25.44,25.44,25.44,25.44,1,0
GHEE.US,D,20240207,000000,25.4,25.4,25.4,25.4,276,0
GHEE.US,D,20240208,000000,25.08,25.1009,24.69,25.1009,10876,0
GHEE.US,D,20240209,000000,24.89,25.125,24.87,25.125,1100,0
GHEE.US,D,20240212,000000,25.15,25.45,25.11,25.45,714,0
GHEE.US,D,20240213,000000,25.08,25.08,24.78,24.9084,908,0
GHEE.US,D,20240214,000000,25.1446,25.1446,25.1446,25.1446,33,0
GHEE.US,D,20240215,000000,25.3,25.3788,25.27,25.3788,700,0
GHEE.US,D,20240216,000000,25.44,25.5084,25.42,25.5084,200,0
GHEE.US,D,20240220,000000,25.36,25.4359,25.34,25.4359,775,0
GHEE.US,D,20240221,000000,25.465,25.6,25.39,25.6,2872,0
