<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GJUN.US,D,20230621,000000,29.81,30.44,29.735,29.78,3022614,0
GJUN.US,D,20230622,000000,29.73,29.84,29.695,29.825,220727,0
GJUN.US,D,20230623,000000,29.7,29.79,29.6601,29.73,351450,0
GJUN.US,D,20230626,000000,29.69,29.73,29.61,29.64,147580,0
GJUN.US,D,20230627,000000,29.68,29.869,29.6489,29.84,545541,0
GJUN.US,D,20230628,000000,29.8,29.9,29.74,29.83,678337,0
GJUN.US,D,20230629,000000,29.82,29.92,29.7701,29.91,225055,0
GJUN.US,D,20230630,000000,30.0409,30.15,30,30.12,325806,0
GJUN.US,D,20230703,000000,30.12,30.159,30.05,30.15,99590,0
GJUN.US,D,20230705,000000,30.07,30.14,30.0119,30.06,290118,0
GJUN.US,D,20230706,000000,29.97,29.9734,29.82,29.92,412290,0
GJUN.US,D,20230707,000000,29.93,30.089,29.8955,29.9021,463430,0
GJUN.US,D,20230710,000000,29.95,29.9899,29.875,29.9422,486502,0
GJUN.US,D,20230711,000000,30.03,30.13,29.9301,30.13,823465,0
GJUN.US,D,20230712,000000,30.27,30.31,30.1901,30.249,222039,0
GJUN.US,D,20230713,000000,30.35,30.4,30.2956,30.38,321610,0
GJUN.US,D,20230714,000000,30.42,30.43,30.31,30.36,76670,0
GJUN.US,D,20230717,000000,30.39,30.47,30.35,30.44,102254,0
GJUN.US,D,20230718,000000,30.42,30.56,30.38,30.54,104223,0
GJUN.US,D,20230719,000000,30.57,30.6,30.5032,30.55,80825,0
GJUN.US,D,20230720,000000,30.5297,30.58,30.4075,30.428,159818,0
GJUN.US,D,20230721,000000,30.53,30.5344,30.43,30.48,297478,0
GJUN.US,D,20230724,000000,30.44,30.57,30.44,30.55,270217,0
GJUN.US,D,20230725,000000,30.54,30.64,30.51,30.5656,58403,0
GJUN.US,D,20230726,000000,30.55,30.6099,30.5,30.58,29819,0
GJUN.US,D,20230727,000000,30.62,30.68,30.42,30.43,52265,0
GJUN.US,D,20230728,000000,30.63,30.669,30.56,30.6246,26754,0
GJUN.US,D,20230731,000000,30.655,30.6795,30.575,30.6,55532,0
GJUN.US,D,20230801,000000,30.5784,30.65,30.521,30.65,50061,0
GJUN.US,D,20230802,000000,30.51,30.52,30.311,30.34,21205,0
GJUN.US,D,20230803,000000,30.295,30.39,30.285,30.35,18378,0
GJUN.US,D,20230804,000000,30.38,30.5299,30.23,30.23,29528,0
GJUN.US,D,20230807,000000,30.29,30.44,30.29,30.44,24328,0
