<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOCT.US,D,20231024,000000,30.44,30.52,30.34,30.4649,119883,0
GOCT.US,D,20231025,000000,30.42,30.425,30.1701,30.22,494024,0
GOCT.US,D,20231026,000000,30.19,30.2,29.9953,30.0385,128993,0
GOCT.US,D,20231027,000000,30.13,30.14,29.8901,29.9704,200709,0
GOCT.US,D,20231030,000000,30.1275,30.22,30.05,30.13,112591,0
GOCT.US,D,20231031,000000,30.155,30.31,30.14,30.29,89408,0
GOCT.US,D,20231101,000000,30.37,30.52,30.31,30.52,163337,0
GOCT.US,D,20231102,000000,30.6895,30.8299,30.64,30.79,88472,0
GOCT.US,D,20231103,000000,30.9,31.02,30.9,30.9647,73210,0
GOCT.US,D,20231106,000000,30.97,31.02,30.9102,31.005,2578011,0
GOCT.US,D,20231107,000000,31,31.1,30.9425,31.06,34847,0
GOCT.US,D,20231108,000000,31.11,31.13,30.9601,31.11,43685,0
GOCT.US,D,20231109,000000,31.11,31.11,30.92,30.97,86632,0
GOCT.US,D,20231110,000000,30.97,31.23,30.95,31.19,554643,0
GOCT.US,D,20231113,000000,31.11,31.22,31.11,31.1903,17987,0
GOCT.US,D,20231114,000000,31.46,31.52,31.4081,31.4759,43688,0
GOCT.US,D,20231115,000000,31.49,31.57,31.4824,31.4824,36717,0
GOCT.US,D,20231116,000000,31.44,31.5295,31.44,31.5213,64414,0
GOCT.US,D,20231117,000000,31.53,31.57,31.48,31.532,31475,0
GOCT.US,D,20231120,000000,31.58,31.6637,31.55,31.6352,16851,0
GOCT.US,D,20231121,000000,31.62,31.65,31.58,31.6207,14036,0
GOCT.US,D,20231122,000000,31.69,31.72,31.65,31.6758,8406,0
GOCT.US,D,20231124,000000,31.69,31.69,31.69,31.69,202,0
GOCT.US,D,20231127,000000,31.69,31.7,31.65,31.6633,9135,0
GOCT.US,D,20231128,000000,31.62,31.7,31.62,31.6797,12830,0
GOCT.US,D,20231129,000000,31.73,31.74,31.65,31.699,8300,0
GOCT.US,D,20231130,000000,31.69,31.71,31.64,31.71,8309,0
GOCT.US,D,20231201,000000,31.7311,31.8562,31.73,31.8562,3501,0
GOCT.US,D,20231204,000000,31.7137,31.78,31.71,31.74,4925,0
GOCT.US,D,20231205,000000,31.7222,31.7799,31.7222,31.7497,3258,0
GOCT.US,D,20231206,000000,31.81,31.81,31.68,31.68,4566,0
GOCT.US,D,20231207,000000,31.81,31.8599,31.77,31.82,3511,0
GOCT.US,D,20231208,000000,31.85,31.9,31.8367,31.885,7153,0
GOCT.US,D,20231211,000000,31.9,31.9411,31.8722,31.9411,1560,0
GOCT.US,D,20231212,000000,31.9771,32.02,31.9771,31.9954,2209,0
GOCT.US,D,20231213,000000,32.005,32.205,31.9969,32.15,8178,0
GOCT.US,D,20231214,000000,32.225,32.25,32.18,32.25,11484,0
GOCT.US,D,20231215,000000,32.16,32.25,32.16,32.18,10520,0
GOCT.US,D,20231218,000000,32.28,32.28,32.22,32.22,6005,0
GOCT.US,D,20231219,000000,32.29,32.32,32.2507,32.32,4338,0
GOCT.US,D,20231220,000000,32.24,32.34,32.09,32.09,8694,0
GOCT.US,D,20231221,000000,32.23,32.23,32.12,32.16,24147,0
GOCT.US,D,20231222,000000,32.29,32.3499,32.23,32.24,7967,0
GOCT.US,D,20231226,000000,32.29,32.325,32.29,32.29,1846,0
GOCT.US,D,20231227,000000,32.35,32.38,32.3,32.34,21070,0
GOCT.US,D,20231228,000000,32.42,32.42,32.33,32.33,8783,0
GOCT.US,D,20231229,000000,32.3059,32.391,32.3059,32.35,7361,0
GOCT.US,D,20240102,000000,32.31,32.32,32.2335,32.2943,1396,0
GOCT.US,D,20240103,000000,32.22,32.27,32.16,32.16,38186,0
GOCT.US,D,20240104,000000,32.255,32.255,32.13,32.13,17364,0
GOCT.US,D,20240105,000000,32.28,32.29,32.18,32.18,19206,0
GOCT.US,D,20240108,000000,32.24,32.37,32.24,32.36,6954,0
GOCT.US,D,20240109,000000,32.3,32.3992,32.3,32.3852,19598,0
GOCT.US,D,20240110,000000,32.4,32.4704,32.39,32.44,30088,0
GOCT.US,D,20240111,000000,32.485,32.485,32.39,32.45,6639,0
GOCT.US,D,20240112,000000,32.49,32.55,32.4414,32.47,66347,0
GOCT.US,D,20240116,000000,32.475,32.48,32.41,32.43,2420,0
GOCT.US,D,20240117,000000,32.34,32.36,32.2919,32.34,8988,0
GOCT.US,D,20240118,000000,32.4001,32.4801,32.39,32.47,6224,0
GOCT.US,D,20240119,000000,32.53,32.612,32.4801,32.59,7754,0
GOCT.US,D,20240122,000000,32.71,32.71,32.6,32.63,12688,0
GOCT.US,D,20240123,000000,32.66,32.69,32.63,32.69,331745,0
GOCT.US,D,20240124,000000,32.765,32.78,32.665,32.68,67188,0
GOCT.US,D,20240125,000000,32.77,32.77,32.68,32.74,19142,0
GOCT.US,D,20240126,000000,32.72,32.7539,32.7,32.75,63990,0
GOCT.US,D,20240129,000000,32.7749,32.79,32.74,32.79,4022,0
GOCT.US,D,20240130,000000,32.77,32.8399,32.77,32.8057,4434,0
GOCT.US,D,20240131,000000,32.75,32.75,32.63,32.63,3891,0
GOCT.US,D,20240201,000000,32.72,32.78,32.69,32.74,3536,0
GOCT.US,D,20240202,000000,32.805,32.9,32.805,32.82,3357,0
GOCT.US,D,20240205,000000,32.88,32.88,32.8017,32.856,2151,0
GOCT.US,D,20240206,000000,32.82,32.85,32.8001,32.84,514171,0
GOCT.US,D,20240207,000000,32.9074,32.97,32.9,32.92,30833,0
GOCT.US,D,20240208,000000,32.9,32.97,32.9,32.97,1658,0
GOCT.US,D,20240209,000000,32.9463,32.9999,32.9463,32.97,2075,0
GOCT.US,D,20240212,000000,33.02,33.02,32.95,32.95,2587,0
GOCT.US,D,20240213,000000,32.82,32.82,32.81,32.81,5117,0
GOCT.US,D,20240214,000000,32.905,32.9406,32.905,32.9406,538,0
GOCT.US,D,20240215,000000,32.9853,32.9853,32.9853,32.9853,25,0
GOCT.US,D,20240216,000000,32.96,33,32.92,32.92,6009,0
GOCT.US,D,20240220,000000,32.9221,32.9221,32.86,32.88,25668,0
GOCT.US,D,20240221,000000,32.8926,32.98,32.88,32.9,39157,0
GOCT.US,D,20240222,000000,33.05,33.08,33.03,33.03,22026,0
GOCT.US,D,20240223,000000,33.1,33.1,33.07,33.1,10393,0
GOCT.US,D,20240226,000000,33.08,33.0999,33.08,33.0999,5711,0
GOCT.US,D,20240227,000000,33.09,33.15,33.09,33.135,7487,0
GOCT.US,D,20240228,000000,33.16,33.16,33.09,33.1198,2529250,0
GOCT.US,D,20240229,000000,33.12,33.1695,33.12,33.1695,2111,0
GOCT.US,D,20240301,000000,33.17,33.24,33.16,33.225,11331,0
GOCT.US,D,20240304,000000,33.21,33.23,33.21,33.21,508,0
GOCT.US,D,20240305,000000,33.14,33.18,33.0952,33.13,2299,0
GOCT.US,D,20240306,000000,33.22,33.22,33.17,33.1794,1850,0
GOCT.US,D,20240307,000000,33.2,33.27,33.2,33.2398,5310,0
GOCT.US,D,20240308,000000,33.24,33.24,33.17,33.1999,3549,0
GOCT.US,D,20240311,000000,33.13,33.187,33.13,33.187,1925,0
GOCT.US,D,20240312,000000,33.23,33.2736,33.2201,33.2736,7311,0
GOCT.US,D,20240313,000000,33.2878,33.3,33.2201,33.24,9378,0
GOCT.US,D,20240314,000000,33.24,33.259,33.18,33.2403,13272,0
GOCT.US,D,20240315,000000,33.2085,33.2085,33.1942,33.1942,607,0
GOCT.US,D,20240318,000000,33.23,33.27,33.23,33.27,3453,0
GOCT.US,D,20240319,000000,33.21,33.3392,33.21,33.3143,158682,0
GOCT.US,D,20240320,000000,33.29,33.41,33.28,33.41,534299,0
GOCT.US,D,20240321,000000,33.4606,33.4606,33.42,33.44,1768,0
GOCT.US,D,20240322,000000,33.382,33.45,33.38,33.45,10271,0
GOCT.US,D,20240325,000000,33.45,33.45,33.409,33.4149,1437,0
GOCT.US,D,20240326,000000,33.45,33.4583,33.4,33.4,4885,0
GOCT.US,D,20240327,000000,33.405,33.47,33.3701,33.4402,8462,0
GOCT.US,D,20240328,000000,33.43,33.5,33.43,33.43,6978,0
GOCT.US,D,20240401,000000,33.47,33.47,33.45,33.4599,370,0
GOCT.US,D,20240402,000000,33.39,33.4117,33.35,33.3959,3404,0
GOCT.US,D,20240403,000000,33.4524,33.4524,33.4099,33.4099,5160,0
GOCT.US,D,20240404,000000,33.44,33.48,33.328,33.328,5139,0
GOCT.US,D,20240405,000000,33.32,33.4299,33.32,33.3961,7520,0
GOCT.US,D,20240408,000000,33.395,33.418,33.37,33.415,1568,0
GOCT.US,D,20240409,000000,33.4,33.4599,33.3601,33.4283,3697,0
GOCT.US,D,20240410,000000,33.3808,33.3808,33.354,33.3747,1766,0
GOCT.US,D,20240411,000000,33.321,33.45,33.31,33.4295,2974,0
GOCT.US,D,20240412,000000,33.31,33.355,33.241,33.2996,4328,0
GOCT.US,D,20240415,000000,33.345,33.3699,33.1953,33.2131,5958,0
GOCT.US,D,20240416,000000,33.22,33.26,33.1401,33.2047,4726,0
GOCT.US,D,20240417,000000,33.215,33.215,33.15,33.18,11156,0
GOCT.US,D,20240418,000000,33.246,33.246,33.1648,33.1648,1411,0
GOCT.US,D,20240419,000000,33.12,33.1606,33.07,33.07,143829,0
GOCT.US,D,20240422,000000,33.1823,33.255,33.1383,33.223,4246,0
GOCT.US,D,20240423,000000,33.345,33.39,33.345,33.3513,848,0
GOCT.US,D,20240424,000000,33.35,33.375,33.35,33.375,273,0
GOCT.US,D,20240425,000000,33.25,33.3499,33.24,33.3217,1658,0
GOCT.US,D,20240426,000000,33.46,33.47,33.4365,33.4365,1212,0
GOCT.US,D,20240429,000000,33.472,33.472,33.45,33.4591,930,0
GOCT.US,D,20240430,000000,33.39,33.43,33.3632,33.3632,1972,0
GOCT.US,D,20240501,000000,33.3,33.43,33.3,33.337,13165,0
GOCT.US,D,20240502,000000,33.3731,33.4299,33.3309,33.4299,11606,0
GOCT.US,D,20240503,000000,33.51,33.5439,33.5,33.5439,4624,0
GOCT.US,D,20240506,000000,33.6141,33.615,33.57,33.615,2390,0
GOCT.US,D,20240507,000000,33.63,33.6599,33.62,33.6259,2548,0
GOCT.US,D,20240508,000000,33.66,33.66,33.5901,33.6449,3036,0
GOCT.US,D,20240509,000000,33.65,33.68,33.6301,33.6719,7229,0
GOCT.US,D,20240510,000000,33.7089,33.73,33.68,33.7097,4539,0
GOCT.US,D,20240513,000000,33.7142,33.74,33.6701,33.705,923,0
GOCT.US,D,20240514,000000,33.74,33.74,33.7,33.7398,2789,0
GOCT.US,D,20240515,000000,33.77,33.81,33.7501,33.7932,13233,0
GOCT.US,D,20240516,000000,33.8063,33.8063,33.7715,33.795,3593,0
GOCT.US,D,20240517,000000,33.81,33.8399,33.792,33.8102,17932,0
GOCT.US,D,20240520,000000,33.824,33.87,33.82,33.8251,14061,0
GOCT.US,D,20240521,000000,33.83,33.8599,33.8,33.8503,3691,0
GOCT.US,D,20240522,000000,33.87,33.89,33.81,33.8401,29600,0
GOCT.US,D,20240523,000000,33.82,33.87,33.78,33.8063,2310,0
GOCT.US,D,20240524,000000,33.83,33.89,33.83,33.8751,20767,0
GOCT.US,D,20240528,000000,33.9021,33.9021,33.84,33.8745,1515,0
GOCT.US,D,20240529,000000,33.81,33.8352,33.81,33.8352,749,0
GOCT.US,D,20240530,000000,33.825,33.84,33.78,33.79,8197,0
GOCT.US,D,20240531,000000,33.8,33.8894,33.8,33.8894,7973,0
GOCT.US,D,20240603,000000,33.88,33.8913,33.841,33.8913,17582,0
GOCT.US,D,20240604,000000,33.9199,33.9199,33.85,33.9057,1976,0
GOCT.US,D,20240605,000000,33.93,33.965,33.92,33.965,2355,0
GOCT.US,D,20240606,000000,33.93,33.95,33.93,33.95,2529,0
GOCT.US,D,20240607,000000,33.9949,34.0046,33.95,33.97,1590,0
GOCT.US,D,20240610,000000,34,34,33.975,33.98,970,0
GOCT.US,D,20240611,000000,33.975,33.9975,33.95,33.9902,4946,0
GOCT.US,D,20240612,000000,34.058,34.058,33.9601,34.0234,2088,0
GOCT.US,D,20240613,000000,34.01,34.04,34,34.025,8786,0
GOCT.US,D,20240614,000000,34,34.0482,34,34.0202,46946,0
GOCT.US,D,20240617,000000,34,34.06,34,34.05,4640,0
GOCT.US,D,20240618,000000,34.0426,34.07,34.04,34.0601,3049,0
GOCT.US,D,20240620,000000,34.04,34.0501,34.04,34.0501,2930,0
GOCT.US,D,20240621,000000,34.03,34.07,34.03,34.0602,1309,0
