<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSEP.US,D,20230919,000000,30.16,30.1786,30.02,30.16,231347,0
GSEP.US,D,20230920,000000,30.2,30.43,29.99,30,458319,0
GSEP.US,D,20230921,000000,29.89,29.89,29.7009,29.72,81410,0
GSEP.US,D,20230922,000000,29.78,29.8298,29.68,29.69,143106,0
GSEP.US,D,20230925,000000,29.62,29.7585,29.605,29.75,126473,0
GSEP.US,D,20230926,000000,29.63,29.635,29.45,29.46,85167,0
GSEP.US,D,20230927,000000,29.59,29.59,29.36,29.49,103215,0
GSEP.US,D,20230928,000000,29.56,29.67,29.45,29.65,131079,0
GSEP.US,D,20230929,000000,29.735,29.762,29.4973,29.5541,241094,0
GSEP.US,D,20231002,000000,29.555,29.6,29.4401,29.5492,226165,0
GSEP.US,D,20231003,000000,29.5,29.5,29.2601,29.36,260734,0
GSEP.US,D,20231004,000000,29.37,29.51,29.305,29.5,356361,0
GSEP.US,D,20231005,000000,29.47,29.5,29.33,29.48,132863,0
GSEP.US,D,20231006,000000,29.35,29.73,29.3057,29.68,152984,0
GSEP.US,D,20231009,000000,29.6,29.8,29.5601,29.765,66477,0
GSEP.US,D,20231010,000000,29.85,29.9794,29.8409,29.89,62869,0
GSEP.US,D,20231011,000000,29.92,29.97,29.82,29.9367,48844,0
GSEP.US,D,20231012,000000,29.95,29.96,29.77,29.85,225581,0
GSEP.US,D,20231013,000000,29.92,29.94,29.701,29.76,169638,0
GSEP.US,D,20231016,000000,29.89,30.03,29.87,29.97,97937,0
GSEP.US,D,20231017,000000,29.84,30.0096,29.8,29.91,111269,0
GSEP.US,D,20231018,000000,29.88,29.8899,29.65,29.69,400752,0
GSEP.US,D,20231019,000000,29.7,29.761,29.47,29.57,58529,0
GSEP.US,D,20231020,000000,29.5,29.5577,29.36,29.36,81590,0
GSEP.US,D,20231023,000000,29.29,29.452,29.23,29.3241,35013,0
GSEP.US,D,20231024,000000,29.47,29.49,29.3548,29.48,42563,0
GSEP.US,D,20231025,000000,29.31,29.36,29.17,29.2,24884,0
GSEP.US,D,20231026,000000,29.0653,29.12,28.94,29.03,50329,0
GSEP.US,D,20231027,000000,29.09,29.09,28.89,28.94,41631,0
GSEP.US,D,20231030,000000,29.11,29.18,28.98,29.11,180732,0
GSEP.US,D,20231031,000000,29.13,29.29,29.13,29.23,47328,0
GSEP.US,D,20231101,000000,29.26,29.45,29.25,29.42,14139,0
GSEP.US,D,20231102,000000,29.58,29.78,29.58,29.75,12319,0
GSEP.US,D,20231103,000000,29.91,30.0209,29.9,29.91,17884,0
GSEP.US,D,20231106,000000,30,30,29.91,29.95,43147,0
GSEP.US,D,20231107,000000,29.95,30.09,29.95,30.06,95045,0
GSEP.US,D,20231108,000000,30.06,30.12,30.01,30.04,25171,0
GSEP.US,D,20231109,000000,30.13,30.13,29.91,29.93,20108,0
GSEP.US,D,20231110,000000,30.02,30.22,30.0111,30.22,33155,0
GSEP.US,D,20231113,000000,30.16,30.23,30.13,30.22,29514,0
GSEP.US,D,20231114,000000,30.47,30.58,30.47,30.52,49273,0
GSEP.US,D,20231115,000000,30.59,30.6399,30.55,30.55,31053,0
GSEP.US,D,20231116,000000,30.57,30.585,30.52,30.585,19034,0
GSEP.US,D,20231117,000000,30.59,30.6285,30.5733,30.59,20769,0
GSEP.US,D,20231120,000000,30.55,30.78,30.55,30.7308,17118,0
GSEP.US,D,20231121,000000,30.82,30.82,30.67,30.7,34052,0
GSEP.US,D,20231122,000000,30.78,30.8,30.74,30.78,27095,0
GSEP.US,D,20231124,000000,30.76,30.8,30.76,30.8,4312,0
GSEP.US,D,20231127,000000,30.7601,30.802,30.74,30.78,7424,0
GSEP.US,D,20231128,000000,30.72,30.7949,30.72,30.7949,69886,0
GSEP.US,D,20231129,000000,30.8301,30.84,30.76,30.7844,3006,0
GSEP.US,D,20231130,000000,30.81,30.8516,30.75,30.8516,4198,0
GSEP.US,D,20231201,000000,30.97,30.9748,30.9463,30.9748,75905,0
GSEP.US,D,20231204,000000,30.85,30.8571,30.85,30.8571,4655,0
GSEP.US,D,20231205,000000,30.85,30.87,30.83,30.84,15604,0
GSEP.US,D,20231206,000000,30.9,30.945,30.77,30.77,5744,0
GSEP.US,D,20231207,000000,30.89,30.9699,30.89,30.91,6333,0
GSEP.US,D,20231208,000000,30.95,31.02,30.93,30.99,3370,0
GSEP.US,D,20231211,000000,31.03,31.08,31.01,31.05,5280,0
GSEP.US,D,20231212,000000,31.12,31.17,31.12,31.17,724,0
GSEP.US,D,20231213,000000,31.1564,31.39,31.1564,31.36,7203,0
GSEP.US,D,20231214,000000,31.5,31.5,31.4276,31.4276,7017,0
GSEP.US,D,20231215,000000,31.43,31.4589,31.42,31.4589,4715,0
GSEP.US,D,20231218,000000,31.52,31.5399,31.47,31.47,45404,0
GSEP.US,D,20231219,000000,31.545,31.58,31.53,31.55,37073,0
GSEP.US,D,20231220,000000,31.52,31.596,31.3,31.3,43405,0
GSEP.US,D,20231221,000000,31.48,31.49,31.385,31.47,22491,0
GSEP.US,D,20231222,000000,31.58,31.595,31.5,31.51,5026,0
GSEP.US,D,20231226,000000,31.54,31.5813,31.54,31.56,3280,0
GSEP.US,D,20231227,000000,31.62,31.6593,31.59,31.62,3011,0
GSEP.US,D,20231228,000000,31.6444,31.68,31.6312,31.68,1000,0
GSEP.US,D,20231229,000000,31.6312,31.65,31.61,31.61,4491,0
