<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GUSH.US,D,20150603,000000,18911.3,18911.3,18513.3,18513.3,0,0
GUSH.US,D,20150604,000000,17587.1,17587.1,17446.8,17446.8,0,0
GUSH.US,D,20150605,000000,18471.1,18471.1,18194.4,18194.4,0,0
GUSH.US,D,20150608,000000,18421.1,18421.1,17642.9,18009,0,0
GUSH.US,D,20150609,000000,18508.7,18508.7,18239.6,18239.6,0,0
GUSH.US,D,20150610,000000,19003.5,19003.5,18841.1,18841.1,0,0
GUSH.US,D,20150611,000000,18822.9,18822.9,18513.3,18513.3,0,0
GUSH.US,D,20150612,000000,18513.3,18513.3,18513.3,18513.3,0,0
GUSH.US,D,20150615,000000,17124.8,17879.2,17124.8,17855.2,0,0
GUSH.US,D,20150616,000000,17767.7,17772.5,17767.7,17767.7,4.1454330458627,0
GUSH.US,D,20150617,000000,18086.8,18086.8,18086.8,18086.8,0,0
GUSH.US,D,20150618,000000,17850.3,17850.3,17850.3,17850.3,0,0
GUSH.US,D,20150619,000000,17461.3,17461.3,16579.1,16676.1,12.436299137588,0
GUSH.US,D,20150622,000000,16383,16383,16383,16383,0,0
GUSH.US,D,20150623,000000,17805.2,17836.9,17805.2,17836.9,0,0
GUSH.US,D,20150625,000000,17124.8,17124.8,17124.8,17124.8,0,0
GUSH.US,D,20150626,000000,16649.3,16649.3,16198.5,16198.5,0,0
GUSH.US,D,20150629,000000,15651.9,15651.9,15028.1,15028.1,8.2908660917254,0
GUSH.US,D,20150630,000000,15281.8,15281.8,15064.7,15272.3,4.1454330458627,0
GUSH.US,D,20150701,000000,14756.3,15156.9,13704,13704,4.1454330458627,0
GUSH.US,D,20150702,000000,13745.3,13745.3,13745.3,13745.3,0,0
GUSH.US,D,20150706,000000,12766.1,12816.1,12311.6,12386.5,12.436299137588,0
GUSH.US,D,20150707,000000,12034.9,13542.5,11339.1,13542.5,4.1454330458627,0
GUSH.US,D,20150708,000000,13477.2,13477.2,11752.2,11992.4,8.2908660917254,0
GUSH.US,D,20150709,000000,13159.1,13204.2,12751.6,12751.6,8.2908660917254,0
GUSH.US,D,20150710,000000,12381.7,12381.7,12251.1,12251.1,4.1454330458627,0
GUSH.US,D,20150713,000000,12129.9,12227.9,12129.9,12129.9,0,0
GUSH.US,D,20150714,000000,12602.7,13583.7,12298.2,13583.7,4.1454330458627,0
GUSH.US,D,20150715,000000,13190.9,13258.9,11833.9,12071.2,20.727165229314,0
GUSH.US,D,20150716,000000,12121.2,12121.2,11570.7,11632.2,8.2908660917254,0
GUSH.US,D,20150717,000000,11107.6,11145,10668.4,10668.4,16.581732183451,0
GUSH.US,D,20150720,000000,10413.7,10413.7,9464.62,9507.07,24.872598275177,0
GUSH.US,D,20150721,000000,9843.9,10352.2,9603.64,9691.09,33.163464366902,0
GUSH.US,D,20150722,000000,9182.75,9395.38,9029.97,9076.18,16.581732183451,0
GUSH.US,D,20150723,000000,9215.12,9247.56,8677.91,9140.69,24.872598275177,0
GUSH.US,D,20150724,000000,9164.09,9210.4,8141.29,8266.09,29.018031321039,0
GUSH.US,D,20150727,000000,7909.8,8085.93,7497.9,7530.04,33.163464366902,0
GUSH.US,D,20150728,000000,7641.17,8427.95,7451.76,8409.76,78.763227871393,0
GUSH.US,D,20150729,000000,8219.83,9400.18,8219.83,9136.45,306.76204539384,0
GUSH.US,D,20150730,000000,8983.73,9201.28,8423.63,8594.83,41.454330458627,0
GUSH.US,D,20150731,000000,8349.55,8516.24,8029.98,8029.98,16.581732183451,0
GUSH.US,D,20150803,000000,7562.41,7918.66,7215.58,7266.61,124.36299137588,0
GUSH.US,D,20150804,000000,7636.83,7891.13,7076.64,7312.92,116.07212528416,0
GUSH.US,D,20150805,000000,7784.83,7858.7,7011.9,7155.48,33.163464366902,0
GUSH.US,D,20150806,000000,6822,8025.27,6822,8025.27,103.63582614657,0
GUSH.US,D,20150807,000000,7793.88,8141.29,7201.82,7289.61,91.199527008979,0
GUSH.US,D,20150810,000000,7419.31,8775.16,7395.93,8761.45,53.890629596217,0
GUSH.US,D,20150811,000000,7900.75,8701.24,7793.88,8701.24,99.490393100705,0
GUSH.US,D,20150812,000000,8724.02,9404.51,8529.99,9325.83,58.036062642078,0
GUSH.US,D,20150813,000000,9215.12,9215.12,8353.92,8566.91,252.87141579763,0
GUSH.US,D,20150814,000000,8793.88,8872.6,8257.16,8335.31,198.98078620141,0
GUSH.US,D,20150817,000000,8423.63,8529.99,8146.13,8284.78,20.727165229314,0
GUSH.US,D,20150818,000000,8132.18,8497.56,8029.98,8261.45,20.727165229314,0
GUSH.US,D,20150819,000000,8363.53,8363.53,7187.97,7456.11,107.78125919243,0
GUSH.US,D,20150820,000000,7419.31,7516.17,6849.65,6854.45,169.96275488037,0
GUSH.US,D,20150821,000000,6600.2,6729.38,6104.96,6160.23,302.61661234798,0
GUSH.US,D,20150824,000000,5091.14,5905.54,5044.73,5238.92,286.03488016453,0
GUSH.US,D,20150825,000000,5808.65,5859.23,4836.81,4836.81,265.30771493522,0
GUSH.US,D,20150826,000000,5192.71,5202.27,4780.99,5160.65,78.763227871393,0
GUSH.US,D,20150827,000000,5692.76,6446.97,5646.42,6225.22,451.85220199904,0
GUSH.US,D,20150828,000000,6211.36,7298.58,6211.36,6840.59,451.85220199904,0
GUSH.US,D,20150831,000000,6872.93,7618.23,6261.92,7451.76,410.39787154041,0
GUSH.US,D,20150901,000000,6710.82,7044.36,6076.75,6257.79,248.72598275177,0
GUSH.US,D,20150902,000000,6595.33,6618.3,5716.03,6475.1,211.417085339,0
GUSH.US,D,20150903,000000,6710.82,7183.13,6446.97,6590.54,140.94472355933,0
GUSH.US,D,20150904,000000,6479.44,6479.44,6100.18,6215.6,107.78125919243,0
GUSH.US,D,20150908,000000,6489.06,6701.67,6044.29,6572.06,91.199527008979,0
GUSH.US,D,20150909,000000,6812.88,7076.64,6016.67,6026.07,120.21755833002,0
GUSH.US,D,20150910,000000,6229.94,6373.04,5831.61,6169.26,136.79929051347,0
GUSH.US,D,20150911,000000,5882.66,5924.03,5502.85,5799.15,186.54448706382,0
GUSH.US,D,20150914,000000,5674.06,5674.06,5368.72,5428.85,103.63582614657,0
GUSH.US,D,20150915,000000,5549.09,5803.97,5498.6,5697.47,302.61661234798,0
GUSH.US,D,20150916,000000,5970.36,6553.86,5970.36,6525.77,227.99881752245,0
GUSH.US,D,20150917,000000,6484.28,6928.44,6396.42,6405.39,116.07212528416,0
GUSH.US,D,20150918,000000,6016.67,6026.07,5678.88,5706.53,145.0901566052,0
GUSH.US,D,20150921,000000,5975.15,6044.29,5716.03,5720.4,111.92669223829,0
GUSH.US,D,20150922,000000,5493.82,5790.01,5322.41,5502.85,116.07212528416,0
GUSH.US,D,20150923,000000,5600.01,5604.85,5280.98,5280.98,132.65385746761,0
GUSH.US,D,20150924,000000,5091.14,5197.43,4697.69,5039.99,518.17913073285,0
GUSH.US,D,20150925,000000,5216.11,5368.72,4794.68,4892.13,265.30771493522,0
GUSH.US,D,20150928,000000,4720.86,4762.41,4133.03,4146.93,422.83417067802,0
GUSH.US,D,20150929,000000,4313.5,4452.44,4119.37,4225.79,223.85338447659,0
GUSH.US,D,20150930,000000,4447.7,4651.58,4327.44,4581.97,120.21755833002,0
GUSH.US,D,20151001,000000,4887.47,5192.71,4591.27,4758.06,128.50842442175,0
