<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAPR.US,D,20240402,000000,24.88,24.905,24.88,24.905,126,0
HAPR.US,D,20240403,000000,24.91,24.91,24.905,24.905,102,0
HAPR.US,D,20240404,000000,24.94,24.94,24.8561,24.8561,1042,0
HAPR.US,D,20240405,000000,24.9,24.9,24.87,24.8783,1094,0
HAPR.US,D,20240408,000000,24.88,24.91,24.88,24.89,976,0
HAPR.US,D,20240409,000000,24.8738,24.9094,24.8738,24.9094,1775,0
HAPR.US,D,20240410,000000,24.82,24.8498,24.82,24.8498,1263,0
HAPR.US,D,20240411,000000,24.84,24.88,24.84,24.88,200,0
HAPR.US,D,20240412,000000,24.83,24.83,24.775,24.7847,668,0
HAPR.US,D,20240415,000000,24.7988,24.7988,24.7182,24.7182,3150,0
HAPR.US,D,20240416,000000,24.7185,24.7185,24.7185,24.7185,40,0
HAPR.US,D,20240417,000000,24.71,24.71,24.6977,24.6977,1225,0
HAPR.US,D,20240418,000000,24.74,24.76,24.69,24.69,1155,0
HAPR.US,D,20240419,000000,24.65,24.67,24.65,24.67,665,0
HAPR.US,D,20240422,000000,24.7011,24.78,24.7011,24.7501,4915,0
HAPR.US,D,20240423,000000,24.86,24.86,24.8466,24.8466,1966,0
HAPR.US,D,20240424,000000,24.86,24.868,24.86,24.868,542,0
HAPR.US,D,20240425,000000,24.83,24.83,24.8268,24.8268,365,0
HAPR.US,D,20240426,000000,24.9199,24.9199,24.9199,24.9199,6,0
HAPR.US,D,20240429,000000,24.7914,24.7914,24.7914,24.7914,2,0
HAPR.US,D,20240430,000000,24.7644,24.78,24.7193,24.7193,3715,0
HAPR.US,D,20240501,000000,24.72,24.72,24.7,24.7,272,0
HAPR.US,D,20240502,000000,24.78,24.78,24.7554,24.7554,260,0
HAPR.US,D,20240503,000000,24.88,24.88,24.86,24.86,300,0
HAPR.US,D,20240506,000000,24.91,24.93,24.91,24.915,13630,0
HAPR.US,D,20240507,000000,24.925,24.925,24.925,24.925,2,0
HAPR.US,D,20240508,000000,24.935,24.935,24.935,24.935,44,0
HAPR.US,D,20240509,000000,24.96,24.96,24.955,24.957,755,0
HAPR.US,D,20240510,000000,24.99,24.99,24.9701,24.975,2286,0
HAPR.US,D,20240513,000000,24.975,24.975,24.975,24.975,44,0
HAPR.US,D,20240514,000000,25.01,25.02,25,25.0022,1657,0
HAPR.US,D,20240515,000000,25.065,25.065,25.065,25.065,44,0
HAPR.US,D,20240516,000000,25.07,25.07,25.05,25.0507,597,0
HAPR.US,D,20240517,000000,25.0703,25.0703,25.0703,25.0703,2,0
HAPR.US,D,20240520,000000,25.085,25.085,25.0802,25.0802,130,0
HAPR.US,D,20240521,000000,25.0965,25.0965,25.095,25.095,100,0
HAPR.US,D,20240522,000000,25.1199,25.1199,25.0789,25.0789,100,0
HAPR.US,D,20240523,000000,25.06,25.06,25.035,25.035,240,0
HAPR.US,D,20240524,000000,25.11,25.11,25.0952,25.0952,1200,0
HAPR.US,D,20240528,000000,25.1,25.1,25.0954,25.0954,500,0
HAPR.US,D,20240529,000000,25.0782,25.08,25.0652,25.0652,200,0
HAPR.US,D,20240530,000000,25.0544,25.0544,25.0544,25.0544,1,0
HAPR.US,D,20240531,000000,24.9848,24.9848,24.9848,24.9848,1,0
HAPR.US,D,20240603,000000,25,25,24.9906,24.9906,119,0
HAPR.US,D,20240604,000000,25.005,25.005,25.005,25.005,1,0
HAPR.US,D,20240605,000000,25.06,25.06,25.06,25.06,1,0
HAPR.US,D,20240606,000000,25.06,25.06,25.055,25.055,1017,0
HAPR.US,D,20240607,000000,25.0538,25.0538,25.0538,25.0538,10,0
HAPR.US,D,20240610,000000,25.0629,25.0629,25.0629,25.0629,3,0
HAPR.US,D,20240611,000000,25.0686,25.0716,25.0501,25.0716,201,0
HAPR.US,D,20240612,000000,25.1093,25.1093,25.1093,25.1093,1,0
HAPR.US,D,20240613,000000,25.1252,25.1252,25.1252,25.1252,2,0
HAPR.US,D,20240614,000000,25.105,25.1216,25.105,25.1065,798,0
HAPR.US,D,20240617,000000,25.14,25.14,25.1303,25.1303,262,0
HAPR.US,D,20240618,000000,25.1278,25.15,25.1278,25.1425,1006,0
HAPR.US,D,20240620,000000,25.1201,25.1201,25.1201,25.1201,64,0
HAPR.US,D,20240621,000000,25.1221,25.1221,25.1221,25.1221,10,0
