<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYFI.US,D,20230516,000000,35.04,35.0499,34.92,34.93,21349,0
HYFI.US,D,20230517,000000,34.81,34.98,34.81,34.9158,12146,0
HYFI.US,D,20230518,000000,34.78,34.92,34.67,34.883,21254,0
HYFI.US,D,20230519,000000,34.85,34.92,34.76,34.85,13857,0
HYFI.US,D,20230522,000000,34.96,35.08,34.755,34.9669,16022,0
HYFI.US,D,20230523,000000,35.02,35.02,34.79,34.8522,18363,0
HYFI.US,D,20230524,000000,34.98,34.98,34.6675,34.7002,17517,0
HYFI.US,D,20230525,000000,34.6701,34.76,34.65,34.662,5516,0
HYFI.US,D,20230526,000000,34.75,34.845,34.65,34.7943,8267,0
HYFI.US,D,20230530,000000,35.2,35.2,34.86,34.9116,11772,0
HYFI.US,D,20230531,000000,34.91,34.91,34.78,34.8588,4762,0
HYFI.US,D,20230601,000000,34.8101,34.96,34.77,34.885,18790,0
HYFI.US,D,20230602,000000,35.02,35.17,34.91,35.0519,13325,0
HYFI.US,D,20230605,000000,35,35.04,34.89,34.98,3516,0
HYFI.US,D,20230606,000000,35.07,35.07,34.9101,35.025,2446,0
HYFI.US,D,20230607,000000,35.09,35.09,34.96,34.9806,13339,0
HYFI.US,D,20230608,000000,34.97,35.12,34.97,35.1142,1894,0
HYFI.US,D,20230609,000000,35.05,35.15,35.05,35.1,1845,0
HYFI.US,D,20230612,000000,35.05,35.18,35.05,35.1283,1804,0
HYFI.US,D,20230613,000000,35.12,35.26,35.12,35.155,2722,0
HYFI.US,D,20230614,000000,35.24,35.345,35.19,35.19,2373,0
HYFI.US,D,20230615,000000,35.25,35.38,35.24,35.3383,25850,0
HYFI.US,D,20230616,000000,35.2803,35.49,35.25,35.2745,7394,0
HYFI.US,D,20230620,000000,35.26,35.27,35.22,35.2436,3435,0
HYFI.US,D,20230621,000000,35.12,35.26,35.1101,35.15,4555,0
HYFI.US,D,20230622,000000,35.056,35.09,34.92,35.07,3480,0
HYFI.US,D,20230623,000000,35,35.03,34.96,34.995,12478,0
HYFI.US,D,20230626,000000,35.01,35.07,34.99,35.0479,7086,0
HYFI.US,D,20230627,000000,35.08,35.18,35.0401,35.11,2097,0
HYFI.US,D,20230628,000000,35.15,35.24,35.03,35.2017,5143,0
HYFI.US,D,20230629,000000,35.06,35.2,35.02,35.1443,2422,0
HYFI.US,D,20230630,000000,35.22,35.38,35.22,35.3396,3718,0
HYFI.US,D,20230703,000000,35.18,35.18,35.0946,35.11,3339,0
HYFI.US,D,20230705,000000,34.98,35.205,34.98,35.02,3985,0
HYFI.US,D,20230706,000000,34.8,34.815,34.12,34.7619,21821,0
HYFI.US,D,20230707,000000,35.01,35.01,34.8042,34.8042,8083,0
HYFI.US,D,20230710,000000,34.79,35.01,34.79,34.98,9609,0
HYFI.US,D,20230711,000000,35.07,35.14,35.01,35.09,7417,0
HYFI.US,D,20230712,000000,35.43,35.43,35.3,35.37,6463,0
HYFI.US,D,20230713,000000,35.4,35.61,35.4,35.5786,7353,0
HYFI.US,D,20230714,000000,35.59,35.59,35.345,35.345,270100,0
HYFI.US,D,20230717,000000,35.34,35.43,35.285,35.4048,28082,0
HYFI.US,D,20230718,000000,35.48,35.5699,35.48,35.505,9504,0
HYFI.US,D,20230719,000000,35.57,35.57,35.51,35.5572,5093,0
HYFI.US,D,20230720,000000,35.405,35.405,35.3,35.365,20474,0
HYFI.US,D,20230721,000000,35.47,35.59,35.47,35.4822,56054,0
HYFI.US,D,20230724,000000,35.51,35.6199,35.47,35.47,4418,0
HYFI.US,D,20230725,000000,35.4,35.5,35.39,35.43,16685,0
HYFI.US,D,20230726,000000,35.49,35.58,35.47,35.58,5824,0
HYFI.US,D,20230727,000000,35.64,35.64,35.255,35.3155,10798,0
HYFI.US,D,20230728,000000,35.47,35.51,35.2201,35.51,74090,0
HYFI.US,D,20230731,000000,35.57,35.65,35.56,35.635,13390,0
HYFI.US,D,20230801,000000,35.36,35.36,35.2,35.2291,7420,0
HYFI.US,D,20230802,000000,35.22,35.22,35.08,35.1674,9114,0
HYFI.US,D,20230803,000000,35.03,35.13,34.995,35.0559,6616,0
HYFI.US,D,20230804,000000,35.26,35.34,35.19,35.22,9129,0
HYFI.US,D,20230807,000000,35.29,35.29,35.1601,35.245,4001,0
HYFI.US,D,20230808,000000,35.23,35.36,35.23,35.3344,108577,0
HYFI.US,D,20230809,000000,35.34,35.41,35.34,35.355,3245,0
HYFI.US,D,20230810,000000,35.43,35.44,35.29,35.325,22620,0
HYFI.US,D,20230811,000000,35.23,35.29,35.1906,35.245,4452,0
HYFI.US,D,20230814,000000,35.16,35.39,35.16,35.3045,12877,0
HYFI.US,D,20230815,000000,35.17,35.27,35.15,35.214,8702,0
HYFI.US,D,20230816,000000,35.13,35.28,35.13,35.13,10812,0
HYFI.US,D,20230817,000000,35.07,35.07,34.9298,34.9298,5632,0
HYFI.US,D,20230818,000000,35.0191,35.04,34.88,34.94,9051,0
HYFI.US,D,20230821,000000,35.03,35.03,34.91,34.9175,5425,0
HYFI.US,D,20230822,000000,35.03,35.03,34.96,34.9797,3495,0
HYFI.US,D,20230823,000000,35.12,35.25,35.1,35.2407,12699,0
HYFI.US,D,20230824,000000,35.21,35.21,35.01,35.05,24897,0
HYFI.US,D,20230825,000000,35.08,35.22,35.05,35.1644,20093,0
HYFI.US,D,20230828,000000,35.28,35.32,35.23,35.3081,23569,0
HYFI.US,D,20230829,000000,35.3097,35.5,35.285,35.48,103733,0
HYFI.US,D,20230830,000000,35.48,35.5395,35.45,35.4668,17188,0
HYFI.US,D,20230831,000000,35.475,35.51,35.4,35.4812,14117,0
HYFI.US,D,20230901,000000,35.41,35.41,35.22,35.2488,5336,0
HYFI.US,D,20230905,000000,35.29,35.29,35.1,35.113,5511,0
HYFI.US,D,20230906,000000,35.04,35.09,35.01,35.055,7160,0
HYFI.US,D,20230907,000000,35.09,35.2,35.09,35.1748,5961,0
