<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYMU.US,D,20210322,000000,24.8109,24.8109,24.796,24.796,297.9937211127,0
HYMU.US,D,20210323,000000,24.8406,24.8506,24.8338,24.8358,2828.926879482,0
HYMU.US,D,20210324,000000,24.8506,24.8694,24.8466,24.8506,4081.3058965908,0
HYMU.US,D,20210325,000000,24.8685,24.8694,24.8546,24.8546,1414.463439741,0
HYMU.US,D,20210326,000000,24.9092,24.9291,24.9092,24.9192,2780.6035733556,0
HYMU.US,D,20210329,000000,24.8794,24.9042,24.8794,24.8944,5905.5107028618,0
HYMU.US,D,20210330,000000,24.9291,24.939,24.9291,24.939,117.78805868306,0
HYMU.US,D,20210331,000000,24.939,24.939,24.939,24.939,164.09789372084,0
HYMU.US,D,20210401,000000,24.9877,24.9877,24.9777,24.9777,421.82219306156,0
HYMU.US,D,20210405,000000,24.9977,24.9977,24.9877,24.9927,879.8868657179,0
HYMU.US,D,20210406,000000,25.0085,25.0165,25.0085,25.0165,183.22586906254,0
HYMU.US,D,20210407,000000,25.0265,25.0363,25.0265,25.0363,294.9735144798,0
HYMU.US,D,20210408,000000,25.1158,25.1248,25.1019,25.1248,263.76471260651,0
HYMU.US,D,20210409,000000,25.1506,25.1645,25.1506,25.1546,579.8796735166,0
HYMU.US,D,20210412,000000,25.1446,25.1734,25.1446,25.1645,482.22632571953,0
HYMU.US,D,20210413,000000,25.2539,25.2539,25.239,25.249,503.36777214983,0
HYMU.US,D,20210414,000000,25.2162,25.239,25.2162,25.239,352.35744050488,0
HYMU.US,D,20210415,000000,25.3821,25.4207,25.3821,25.4197,708.74182318696,0
HYMU.US,D,20210416,000000,25.3721,25.3741,25.3681,25.3721,882.9070723508,0
HYMU.US,D,20210419,000000,25.3523,25.3721,25.3523,25.3523,275.84553913811,0
HYMU.US,D,20210420,000000,25.4019,25.4307,25.3821,25.4119,778.20657574363,0
HYMU.US,D,20210421,000000,25.4009,25.4069,25.3919,25.4069,304.0341343785,0
HYMU.US,D,20210422,000000,25.4287,25.4287,25.4287,25.4287,232.55591073322,0
HYMU.US,D,20210423,000000,25.4039,25.4555,25.4039,25.4506,655.38483933908,0
HYMU.US,D,20210426,000000,25.4595,25.4605,25.4407,25.4407,2181.5959244974,0
HYMU.US,D,20210427,000000,25.4506,25.4605,25.4506,25.4555,768.13922030064,0
HYMU.US,D,20210428,000000,25.4605,25.4794,25.4506,25.4605,1168.8199669319,0
HYMU.US,D,20210429,000000,25.4407,25.4605,25.4407,25.4407,1173.8536446534,0
HYMU.US,D,20210430,000000,25.4506,25.4506,25.4307,25.4307,1837.2923683469,0
HYMU.US,D,20210503,000000,25.4207,25.4207,25.3919,25.3919,326.18231635309,0
HYMU.US,D,20210504,000000,25.4019,25.4207,25.4019,25.4019,2518.8523318377,0
HYMU.US,D,20210505,000000,25.4446,25.4446,25.4446,25.4446,129.86888521466,0
HYMU.US,D,20210506,000000,25.4496,25.4605,25.4496,25.4506,4298.7607741595,0
HYMU.US,D,20210507,000000,25.4456,25.4595,25.4407,25.4407,364.43826703648,0
HYMU.US,D,20210510,000000,25.4794,25.4804,25.4506,25.4506,3182.2910555312,0
HYMU.US,D,20210511,000000,25.4297,25.4595,25.4019,25.4456,3426.927792796,0
HYMU.US,D,20210512,000000,25.4158,25.4307,25.4158,25.4207,1533.2582339684,0
HYMU.US,D,20210513,000000,25.4545,25.4605,25.4545,25.4605,218.46161311303,0
HYMU.US,D,20210514,000000,25.4714,25.5092,25.4714,25.4873,3181.2843199869,0
HYMU.US,D,20210517,000000,25.5092,25.5092,25.4794,25.4794,1696.3493921449,0
HYMU.US,D,20210518,000000,25.5191,25.5191,25.4992,25.4992,464.10508592214,0
HYMU.US,D,20210519,000000,25.4893,25.4893,25.4893,25.4893,299.000456657,0
HYMU.US,D,20210520,000000,25.529,25.529,25.529,25.529,595.9874422254,0
HYMU.US,D,20210521,000000,25.539,25.5578,25.539,25.5578,2457.4414636355,0
HYMU.US,D,20210524,000000,25.5778,25.5976,25.5548,25.5678,7994.4869572836,0
HYMU.US,D,20210525,000000,25.6472,25.6472,25.6472,25.6472,64.431074835178,0
HYMU.US,D,20210526,000000,25.6969,25.6969,25.6969,25.6969,34.229008506188,0
HYMU.US,D,20210527,000000,25.7148,25.7455,25.7148,25.7357,862.7723614648,0
HYMU.US,D,20210528,000000,25.7407,25.7455,25.7267,25.7267,2135.2860894596,0
