<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDY.US,D,20230626,000000,25.03,25.05,25.0167,25.0167,1162,0
IBDY.US,D,20230627,000000,25.04,25.27,25.02,25.03,32079,0
IBDY.US,D,20230628,000000,25.08,25.08,25.08,25.08,8,0
IBDY.US,D,20230629,000000,25.03,25.03,24.9784,25.0002,6878,0
IBDY.US,D,20230630,000000,25.04,25.12,25.0175,25.12,4014,0
IBDY.US,D,20230703,000000,25.19,25.19,25.06,25.06,1034,0
IBDY.US,D,20230705,000000,25.0161,25.0161,24.835,24.9,5280,0
IBDY.US,D,20230706,000000,24.67,24.73,24.6291,24.65,7197,0
IBDY.US,D,20230707,000000,24.7,24.719,24.65,24.65,6034,0
IBDY.US,D,20230710,000000,24.69,24.7427,24.64,24.7427,4201,0
IBDY.US,D,20230711,000000,24.82,24.909,24.79,24.845,5999,0
IBDY.US,D,20230712,000000,25.04,25.17,25.04,25.135,1149,0
IBDY.US,D,20230713,000000,25.24,25.47,25.24,25.35,4380,0
IBDY.US,D,20230714,000000,25.23,25.47,25.17,25.17,5678,0
IBDY.US,D,20230717,000000,25.32,25.32,25.175,25.175,5750,0
IBDY.US,D,20230718,000000,25.2621,25.5,25.2,25.2,26028,0
IBDY.US,D,20230719,000000,25.27,25.58,25.255,25.325,119403,0
IBDY.US,D,20230720,000000,25.16,25.28,25.1491,25.2,10123,0
IBDY.US,D,20230721,000000,25.205,25.22,25.1949,25.1949,241244,0
IBDY.US,D,20230724,000000,25.24,25.299,25.24,25.28,2197,0
IBDY.US,D,20230725,000000,25.14,25.23,25.11,25.1168,42570,0
IBDY.US,D,20230726,000000,25.19,25.37,25.17,25.285,17548,0
IBDY.US,D,20230727,000000,25.2,25.2,24.99,24.99,20485,0
IBDY.US,D,20230728,000000,25.075,25.11,25.06,25.085,40447,0
IBDY.US,D,20230731,000000,25.13,25.19,25.13,25.15,6693,0
IBDY.US,D,20230801,000000,24.9041,24.95,24.85,24.8645,111651,0
IBDY.US,D,20230802,000000,24.85,24.85,24.705,24.77,19604,0
IBDY.US,D,20230803,000000,24.545,24.59,24.5,24.58,9679,0
IBDY.US,D,20230804,000000,24.76,24.86,24.725,24.85,5549,0
IBDY.US,D,20230807,000000,24.76,24.8,24.725,24.76,9506,0
IBDY.US,D,20230808,000000,24.88,24.88,24.8545,24.865,10076,0
IBDY.US,D,20230809,000000,24.87,25.05,24.8696,24.87,8716,0
IBDY.US,D,20230810,000000,24.89,24.9169,24.7,24.7,11787,0
IBDY.US,D,20230811,000000,24.65,24.66,24.6,24.6,13882,0
IBDY.US,D,20230814,000000,24.95,24.95,24.5101,24.59,15786,0
IBDY.US,D,20230815,000000,24.56,24.59,24.5,24.505,1436,0
IBDY.US,D,20230816,000000,24.5,24.54,24.41,24.41,20815,0
IBDY.US,D,20230817,000000,24.38,24.38,24.3001,24.3547,15743,0
IBDY.US,D,20230818,000000,24.43,24.45,24.4,24.44,3896,0
IBDY.US,D,20230821,000000,24.315,24.32,24.3,24.3076,9408,0
IBDY.US,D,20230822,000000,24.305,24.3699,24.3,24.34,9053,0
IBDY.US,D,20230823,000000,24.52,24.66,24.52,24.6441,22346,0
IBDY.US,D,20230824,000000,24.63,24.63,24.56,24.5692,7977,0
IBDY.US,D,20230825,000000,24.6,24.61,24.52,24.545,15590,0
IBDY.US,D,20230828,000000,24.63,24.65,24.6,24.635,12740,0
IBDY.US,D,20230829,000000,24.65,24.85,24.65,24.82,28638,0
IBDY.US,D,20230830,000000,24.85,24.86,24.82,24.82,7584,0
IBDY.US,D,20230831,000000,24.8065,24.89,24.8065,24.85,4376,0
IBDY.US,D,20230901,000000,24.7,24.71,24.62,24.62,9933,0
IBDY.US,D,20230905,000000,24.6,24.6,24.45,24.46,22628,0
IBDY.US,D,20230906,000000,24.41,24.41,24.3473,24.385,8676,0
IBDY.US,D,20230907,000000,24.4,24.49,24.4,24.49,90237,0
