<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBIB.US,D,20230922,000000,24.98,24.98,24.98,24.98,27,0
IBIB.US,D,20230925,000000,24.9599,24.9599,24.955,24.955,208,0
IBIB.US,D,20230926,000000,24.935,24.935,24.935,24.935,1,0
IBIB.US,D,20230927,000000,24.94,24.94,24.94,24.94,1,0
IBIB.US,D,20230928,000000,24.975,24.975,24.975,24.975,39,0
IBIB.US,D,20230929,000000,24.9693,24.9693,24.9693,24.9693,1,0
IBIB.US,D,20231002,000000,24.941,24.941,24.94,24.94,210,0
IBIB.US,D,20231003,000000,24.905,24.905,24.905,24.905,1,0
IBIB.US,D,20231004,000000,24.913,24.9131,24.913,24.9131,415,0
IBIB.US,D,20231005,000000,24.935,24.94,24.9315,24.935,3200,0
IBIB.US,D,20231006,000000,24.92,24.9294,24.92,24.929,1145,0
IBIB.US,D,20231009,000000,24.94,24.975,24.94,24.975,1321,0
IBIB.US,D,20231010,000000,24.995,24.995,24.995,24.995,349,0
IBIB.US,D,20231011,000000,24.9924,24.995,24.9924,24.995,375,0
IBIB.US,D,20231012,000000,25.02,25.02,25.005,25.01,5643,0
IBIB.US,D,20231013,000000,25.07,25.08,25.07,25.07,3842,0
IBIB.US,D,20231016,000000,25.0797,25.09,25.0797,25.085,4551,0
IBIB.US,D,20231017,000000,25.08,25.08,25.0501,25.055,4432,0
IBIB.US,D,20231018,000000,25.06,25.07,25.0485,25.05,4089,0
IBIB.US,D,20231019,000000,25.07,25.1,25.07,25.1,15717,0
IBIB.US,D,20231020,000000,25.12,25.1294,25.11,25.12,17615,0
IBIB.US,D,20231023,000000,25.1,25.1,25.09,25.09,614,0
IBIB.US,D,20231024,000000,25.1,25.1,25.07,25.08,13766,0
IBIB.US,D,20231025,000000,25.09,25.09,25.08,25.08,2474,0
IBIB.US,D,20231026,000000,25.109,25.115,25.105,25.105,2959,0
IBIB.US,D,20231027,000000,25.1286,25.14,25.1199,25.14,8011,0
IBIB.US,D,20231030,000000,25.1222,25.13,25.12,25.13,11942,0
