<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBII.US,D,20230925,000000,24.6559,24.6559,24.6559,24.6559,5,0
IBII.US,D,20230926,000000,24.5664,24.5664,24.5664,24.5664,1,0
IBII.US,D,20230927,000000,24.4965,24.4965,24.4965,24.4965,2,0
IBII.US,D,20230928,000000,24.6603,24.6603,24.6603,24.6603,67,0
IBII.US,D,20230929,000000,24.5865,24.5865,24.5865,24.5865,2,0
IBII.US,D,20231002,000000,24.43,24.43,24.375,24.375,2066,0
IBII.US,D,20231003,000000,24.34,24.34,24.166,24.166,100,0
IBII.US,D,20231004,000000,24.2942,24.2942,24.2942,24.2942,2,0
IBII.US,D,20231005,000000,24.27,24.2813,24.27,24.275,1300,0
IBII.US,D,20231006,000000,24.17,24.17,24.1573,24.1573,1102,0
IBII.US,D,20231009,000000,24.3,24.46,24.3,24.46,1913,0
IBII.US,D,20231010,000000,24.4481,24.4481,24.4481,24.4481,10,0
IBII.US,D,20231011,000000,24.5569,24.6134,24.5569,24.6134,2444,0
IBII.US,D,20231012,000000,24.52,24.52,24.3695,24.4028,3663,0
IBII.US,D,20231013,000000,24.625,24.6364,24.5881,24.5881,1722,0
IBII.US,D,20231016,000000,24.48,24.5082,24.48,24.5082,5192,0
IBII.US,D,20231017,000000,24.27,24.34,24.27,24.33,2191,0
IBII.US,D,20231018,000000,24.3382,24.3382,24.2184,24.245,2432,0
IBII.US,D,20231019,000000,24.23,24.2317,24.2,24.2317,1078,0
IBII.US,D,20231020,000000,24.26,24.32,24.26,24.3148,449,0
IBII.US,D,20231023,000000,24.2,24.34,24.2,24.3165,937,0
IBII.US,D,20231024,000000,24.29,24.355,24.23,24.355,7134,0
IBII.US,D,20231025,000000,24.23,24.25,24.2,24.2,2077,0
IBII.US,D,20231026,000000,24.27,24.3868,24.27,24.3868,1131,0
IBII.US,D,20231027,000000,24.41,24.43,24.4027,24.43,1092,0
IBII.US,D,20231030,000000,24.33,24.39,24.2984,24.3629,9335,0
IBII.US,D,20231031,000000,24.4,24.41,24.3,24.3,10698,0
IBII.US,D,20231101,000000,24.3691,24.575,24.3691,24.575,605,0
IBII.US,D,20231102,000000,24.759,24.759,24.72,24.72,1006,0
IBII.US,D,20231103,000000,24.9335,24.9335,24.9027,24.9027,3192,0
IBII.US,D,20231106,000000,24.86,24.86,24.7894,24.81,925,0
IBII.US,D,20231107,000000,24.895,24.92,24.8905,24.91,1919,0
IBII.US,D,20231108,000000,24.9279,24.969,24.9279,24.9591,903,0
IBII.US,D,20231109,000000,24.93,24.93,24.6975,24.6975,5046,0
IBII.US,D,20231110,000000,24.75,24.76,24.67,24.695,5757,0
IBII.US,D,20231113,000000,24.5999,24.6731,24.5999,24.665,3754,0
