<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFEB.US,D,20240201,000000,25.055,25.2,25.0281,25.1652,110020,0
IFEB.US,D,20240202,000000,25.08,25.08,24.9701,25.04,40843,0
IFEB.US,D,20240205,000000,24.96,24.98,24.8498,24.9442,36456,0
IFEB.US,D,20240206,000000,25.05,25.06,24.9671,25.05,45730,0
IFEB.US,D,20240207,000000,25.07,25.0899,25.0016,25.05,65986,0
IFEB.US,D,20240208,000000,25.001,25.0499,24.95,25.02,29118,0
IFEB.US,D,20240209,000000,25.02,25.09,24.9866,25.07,24813,0
IFEB.US,D,20240212,000000,25.09,25.1599,25.03,25.086,29393,0
IFEB.US,D,20240213,000000,24.92,24.92,24.7717,24.83,21369,0
IFEB.US,D,20240214,000000,24.935,25.0387,24.935,25.02,31256,0
IFEB.US,D,20240215,000000,25.14,25.2,25.07,25.18,40047,0
IFEB.US,D,20240216,000000,25.24,25.2892,25.1861,25.1861,35808,0
IFEB.US,D,20240220,000000,25.25,25.31,25.19,25.276,12639,0
IFEB.US,D,20240221,000000,25.2,25.27,25.16,25.214,26783,0
IFEB.US,D,20240222,000000,25.41,25.46,25.34,25.4351,19841,0
IFEB.US,D,20240223,000000,25.51,25.52,25.4431,25.4657,19357,0
IFEB.US,D,20240226,000000,25.52,25.52,25.4216,25.46,5402,0
IFEB.US,D,20240227,000000,25.42,25.5093,25.42,25.4751,5158,0
IFEB.US,D,20240228,000000,25.42,25.42,25.36,25.4,13954,0
IFEB.US,D,20240229,000000,25.53,25.53,25.38,25.45,21976,0
IFEB.US,D,20240301,000000,25.5,25.5899,25.4001,25.585,16579,0
IFEB.US,D,20240304,000000,25.57,25.61,25.5477,25.555,7981,0
IFEB.US,D,20240305,000000,25.555,25.555,25.5192,25.5192,32226,0
IFEB.US,D,20240306,000000,25.66,25.7001,25.65,25.7001,2704,0
IFEB.US,D,20240307,000000,25.91,25.91,25.88,25.8849,2921,0
IFEB.US,D,20240308,000000,25.99,25.99,25.8017,25.85,3407,0
IFEB.US,D,20240311,000000,25.65,25.79,25.64,25.745,8794,0
IFEB.US,D,20240312,000000,25.87,25.87,25.87,25.87,3,0
IFEB.US,D,20240313,000000,25.8796,25.89,25.8796,25.885,1986,0
IFEB.US,D,20240314,000000,25.7518,25.7518,25.7518,25.7518,52,0
IFEB.US,D,20240315,000000,25.7749,25.7749,25.7749,25.7749,3,0
IFEB.US,D,20240318,000000,25.82,25.82,25.775,25.775,501,0
IFEB.US,D,20240319,000000,25.83,25.83,25.8149,25.8149,250,0
IFEB.US,D,20240320,000000,25.85,26.02,25.78,25.9755,2610,0
IFEB.US,D,20240321,000000,26.0053,26.0053,25.94,25.94,656,0
IFEB.US,D,20240322,000000,25.98,25.98,25.9649,25.9649,101,0
IFEB.US,D,20240325,000000,25.955,25.99,25.9352,25.9352,865,0
IFEB.US,D,20240326,000000,25.95,25.9517,25.95,25.9517,139,0
IFEB.US,D,20240327,000000,26.025,26.025,26.025,26.025,2,0
IFEB.US,D,20240328,000000,26.05,26.05,25.96,25.9934,2513,0
IFEB.US,D,20240401,000000,25.9127,25.96,25.8,25.93,13224,0
IFEB.US,D,20240402,000000,25.82,25.85,25.8163,25.8163,1036,0
IFEB.US,D,20240403,000000,25.9099,25.9099,25.9099,25.9099,7,0
IFEB.US,D,20240404,000000,25.95,25.95,25.7904,25.7904,518,0
IFEB.US,D,20240405,000000,25.8,25.83,25.8,25.83,222,0
IFEB.US,D,20240408,000000,25.86,25.9,25.86,25.86,17533,0
IFEB.US,D,20240409,000000,25.78,25.93,25.78,25.84,4090,0
IFEB.US,D,20240410,000000,25.73,25.73,25.64,25.687,3256,0
IFEB.US,D,20240411,000000,25.7303,25.7303,25.69,25.699,929,0
IFEB.US,D,20240412,000000,25.46,25.475,25.44,25.475,979,0
IFEB.US,D,20240415,000000,25.41,25.46,25.41,25.425,707,0
IFEB.US,D,20240416,000000,25.36,25.36,25.2745,25.2745,1000,0
