<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INAV.US,D,20240131,000000,25.02,25.02,24.7666,24.7666,1002,0
INAV.US,D,20240201,000000,24.74,24.9802,24.7162,24.9802,531800,0
INAV.US,D,20240202,000000,24.93,25.1484,24.93,25.1484,3585,0
INAV.US,D,20240205,000000,25.0221,25.0221,25.0221,25.0221,164,0
INAV.US,D,20240206,000000,25.06,25.17,25.0447,25.0934,3742,0
INAV.US,D,20240207,000000,24.88,25.24,24.88,25.2124,823,0
INAV.US,D,20240208,000000,25.49,25.49,25.17,25.18,4751,0
INAV.US,D,20240209,000000,25.25,25.37,25.25,25.37,2922,0
INAV.US,D,20240212,000000,25.4845,25.4845,25.482,25.482,193,0
INAV.US,D,20240213,000000,25.08,25.08,25.02,25.0475,361,0
INAV.US,D,20240214,000000,25.2182,25.3653,25.2182,25.3653,3534,0
INAV.US,D,20240215,000000,25.585,25.61,25.5779,25.5779,1272,0
INAV.US,D,20240216,000000,25.4705,25.49,25.4339,25.4339,1573,0
INAV.US,D,20240220,000000,25.315,25.315,25.24,25.2537,1456,0
INAV.US,D,20240221,000000,25.18,25.26,25.12,25.26,2849,0
INAV.US,D,20240222,000000,25.74,25.74,25.47,25.6268,3146,0
INAV.US,D,20240223,000000,25.92,25.92,25.6901,25.7131,2856,0
INAV.US,D,20240226,000000,25.7015,25.7015,25.67,25.67,1829,0
INAV.US,D,20240227,000000,25.7301,25.8125,25.7301,25.8125,575,0
INAV.US,D,20240228,000000,25.7805,25.7805,25.7805,25.7805,150,0
INAV.US,D,20240229,000000,25.86,25.8749,25.86,25.8749,119,0
INAV.US,D,20240301,000000,25.9,25.9748,25.9,25.9748,9738,0
INAV.US,D,20240304,000000,26.0359,26.0359,26.0359,26.0359,127,0
INAV.US,D,20240305,000000,25.79,25.8001,25.7899,25.8001,1843,0
INAV.US,D,20240306,000000,26.05,26.0642,25.92,25.9775,2873,0
INAV.US,D,20240307,000000,26.23,26.2458,26.22,26.2458,551,0
INAV.US,D,20240308,000000,26.3899,26.3899,26.1117,26.1117,213,0
INAV.US,D,20240311,000000,25.981,25.981,25.981,25.981,53,0
INAV.US,D,20240312,000000,25.9072,26.0014,25.9072,26.0014,1173,0
INAV.US,D,20240313,000000,25.99,26.0097,25.919,25.919,426,0
INAV.US,D,20240314,000000,25.72,25.72,25.5947,25.5947,184,0
INAV.US,D,20240315,000000,25.63,25.63,25.5904,25.5904,785,0
INAV.US,D,20240318,000000,25.65,25.67,25.605,25.605,694,0
INAV.US,D,20240319,000000,25.68,25.78,25.655,25.7739,2873,0
INAV.US,D,20240320,000000,25.79,26.11,25.79,26.0717,3868,0
INAV.US,D,20240321,000000,26.3,26.33,26.27,26.2874,6124,0
INAV.US,D,20240322,000000,26.18,26.18,26.08,26.08,505,0
INAV.US,D,20240325,000000,26.09,26.09,26.0136,26.0136,547,0
INAV.US,D,20240326,000000,26.06,26.06,25.9964,25.9964,135,0
INAV.US,D,20240327,000000,26.16,26.3638,26.16,26.3638,836,0
INAV.US,D,20240328,000000,26.464,26.4933,26.45,26.4933,3907,0
INAV.US,D,20240401,000000,26.3562,26.3652,26.33,26.3652,363,0
INAV.US,D,20240402,000000,26.03,26.1,26.03,26.1,2198,0
INAV.US,D,20240403,000000,26.25,26.25,26.2,26.2093,1091,0
INAV.US,D,20240404,000000,26.3664,26.3664,25.9111,25.9111,317,0
INAV.US,D,20240405,000000,26.1355,26.1355,26.1355,26.1355,498,0
INAV.US,D,20240408,000000,26.1761,26.1761,26.1761,26.1761,28,0
INAV.US,D,20240409,000000,26.12,26.224,26.0602,26.224,555,0
INAV.US,D,20240410,000000,25.98,25.98,25.87,25.9793,138279,0
INAV.US,D,20240411,000000,26.0391,26.0391,26.0391,26.0391,114,0
