<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INCM.US,D,20230609,000000,25.08,25.085,25.0428,25.0428,570379,0
INCM.US,D,20230612,000000,25.01,25.0566,25,25.0566,1011075,0
INCM.US,D,20230613,000000,25.1192,25.1192,25.0658,25.0658,342,0
INCM.US,D,20230614,000000,25.21,25.2199,25.04,25.085,12301,0
INCM.US,D,20230615,000000,25.259,25.2702,25.2,25.2702,7510,0
INCM.US,D,20230616,000000,25.3,25.3,25.25,25.25,7915,0
INCM.US,D,20230620,000000,25.23,25.23,25.1908,25.1908,5307,0
INCM.US,D,20230621,000000,25.2199,25.2199,25.1845,25.1845,5025,0
INCM.US,D,20230622,000000,25.105,25.1099,25.0735,25.0735,3526,0
INCM.US,D,20230623,000000,25.0668,25.068,25.0403,25.0403,4214,0
INCM.US,D,20230626,000000,25.08,25.08,25.0348,25.0348,6100,0
INCM.US,D,20230627,000000,25.07,25.1008,25.0699,25.1008,6123,0
INCM.US,D,20230628,000000,25.17,25.17,25.1,25.1353,7775,0
INCM.US,D,20230629,000000,25.0702,25.1328,25.0702,25.1328,3674,0
INCM.US,D,20230630,000000,25.1734,25.26,25.1734,25.232,4616,0
INCM.US,D,20230703,000000,25.16,25.1699,25.1398,25.1398,5602,0
INCM.US,D,20230705,000000,25.16,25.18,25.1205,25.1205,15270,0
INCM.US,D,20230706,000000,24.9399,24.95,24.8829,24.925,8364,0
INCM.US,D,20230707,000000,24.9,24.955,24.9,24.905,5517,0
INCM.US,D,20230710,000000,24.94,24.97,24.9399,24.965,8867,0
INCM.US,D,20230711,000000,24.99,25.0432,24.99,25.0432,5599,0
INCM.US,D,20230712,000000,25.2628,25.2628,25.245,25.245,602,0
INCM.US,D,20230713,000000,25.42,25.43,25.346,25.4,9615,0
INCM.US,D,20230714,000000,25.44,25.44,25.2894,25.2894,4716,0
INCM.US,D,20230717,000000,25.32,25.38,25.3142,25.3325,4901,0
INCM.US,D,20230718,000000,25.38,25.43,25.3467,25.3613,12945,0
INCM.US,D,20230719,000000,25.47,25.64,25.435,25.48,14832,0
INCM.US,D,20230720,000000,25.46,25.47,25.3972,25.431,6512,0
INCM.US,D,20230721,000000,25.4899,25.51,25.4515,25.4515,12587,0
INCM.US,D,20230724,000000,25.52,25.55,25.5021,25.5021,7620,0
INCM.US,D,20230725,000000,25.49,25.5,25.44,25.44,5805,0
INCM.US,D,20230726,000000,25.41,25.55,25.41,25.4769,33494,0
INCM.US,D,20230727,000000,25.53,25.53,25.33,25.3324,15398,0
INCM.US,D,20230728,000000,25.46,25.5,25.4293,25.435,9850,0
INCM.US,D,20230731,000000,25.5,25.5,25.4,25.4164,5556,0
INCM.US,D,20230801,000000,25.33,25.33,25.215,25.2251,4738,0
INCM.US,D,20230802,000000,25.09,25.14,25.09,25.11,28432,0
INCM.US,D,20230803,000000,24.99,25.02,24.99,25,4949,0
INCM.US,D,20230804,000000,25.04,25.0999,24.9882,24.9884,6040,0
INCM.US,D,20230807,000000,25.19,25.19,25.0492,25.0549,83410,0
INCM.US,D,20230808,000000,25.0134,25.06,25.0065,25.0354,93890,0
INCM.US,D,20230809,000000,25.23,25.23,25.0687,25.089,13278,0
INCM.US,D,20230810,000000,25.22,25.23,25.03,25.07,10038,0
INCM.US,D,20230811,000000,25.0483,25.07,24.9775,24.9775,6864,0
INCM.US,D,20230814,000000,25.1,25.1,24.92,24.9621,11543,0
INCM.US,D,20230815,000000,24.92,24.93,24.8326,24.8326,19732,0
INCM.US,D,20230816,000000,24.9,24.9,24.74,24.74,7026,0
INCM.US,D,20230817,000000,24.85,24.85,24.72,24.7499,7438,0
INCM.US,D,20230818,000000,24.72,24.72,24.6,24.6759,577237,0
INCM.US,D,20230821,000000,24.68,24.69,24.6,24.6278,7230,0
INCM.US,D,20230822,000000,24.6,24.63,24.6,24.63,3219,0
INCM.US,D,20230823,000000,25.25,25.25,24.7862,24.791,518,0
INCM.US,D,20230824,000000,24.85,24.85,24.7081,24.7081,9542,0
INCM.US,D,20230825,000000,24.68,24.8,24.68,24.7849,10996,0
