<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRTR.US,D,20231020,000000,24.5715,24.5715,24.5715,24.5715,15,0
IRTR.US,D,20231023,000000,24.6056,24.6056,24.6056,24.6056,1,0
IRTR.US,D,20231024,000000,24.7305,24.7305,24.7305,24.7305,4,0
IRTR.US,D,20231025,000000,24.49,24.49,24.49,24.49,45,0
IRTR.US,D,20231026,000000,24.5145,24.5145,24.5145,24.5145,27,0
IRTR.US,D,20231027,000000,24.4611,24.4611,24.4611,24.4611,73,0
IRTR.US,D,20231030,000000,24.5449,24.5449,24.5449,24.5449,14,0
IRTR.US,D,20231031,000000,24.5905,24.5905,24.5905,24.5905,70,0
IRTR.US,D,20231101,000000,24.8259,24.8259,24.8259,24.8259,30,0
IRTR.US,D,20231102,000000,25.1099,25.1197,25.1099,25.1197,394,0
IRTR.US,D,20231103,000000,25.38,25.39,25.3379,25.3379,1016,0
IRTR.US,D,20231106,000000,25.35,25.35,25.2561,25.2561,209,0
IRTR.US,D,20231107,000000,25.3321,25.3321,25.3321,25.3321,54,0
IRTR.US,D,20231108,000000,25.35,25.3825,25.3452,25.3825,877,0
IRTR.US,D,20231109,000000,25.1848,25.1848,25.1848,25.1848,13,0
IRTR.US,D,20231110,000000,25.2449,25.3275,25.2449,25.3275,411,0
IRTR.US,D,20231113,000000,25.24,25.3248,25.2357,25.3248,1717,0
IRTR.US,D,20231114,000000,25.7287,25.7474,25.7287,25.7474,422,0
IRTR.US,D,20231115,000000,25.6993,25.7201,25.6786,25.6786,614,0
IRTR.US,D,20231116,000000,25.7448,25.7448,25.7448,25.7448,33,0
IRTR.US,D,20231117,000000,25.82,25.83,25.79,25.8248,1432,0
IRTR.US,D,20231120,000000,25.9204,25.9204,25.9204,25.9204,106,0
IRTR.US,D,20231121,000000,25.8959,25.8959,25.8959,25.8959,54,0
IRTR.US,D,20231122,000000,25.9447,25.9447,25.9447,25.9447,46,0
IRTR.US,D,20231124,000000,25.901,25.92,25.9,25.9022,13756,0
IRTR.US,D,20231127,000000,25.95,25.9699,25.95,25.9688,1507,0
IRTR.US,D,20231128,000000,25.98,26.0556,25.98,26.0554,456,0
IRTR.US,D,20231129,000000,26.1399,26.1399,26.1251,26.1251,315,0
IRTR.US,D,20231130,000000,26.0749,26.0931,26.07,26.0931,1113,0
IRTR.US,D,20231201,000000,26.28,26.335,26.28,26.335,2186,0
IRTR.US,D,20231204,000000,26.137,26.137,26.137,26.137,168,0
IRTR.US,D,20231205,000000,26.1913,26.205,26.1913,26.205,1019,0
IRTR.US,D,20231206,000000,26.32,26.32,26.235,26.235,441,0
IRTR.US,D,20231207,000000,26.305,26.305,26.305,26.305,71,0
IRTR.US,D,20231208,000000,26.275,26.275,26.275,26.275,67,0
IRTR.US,D,20231211,000000,26.26,26.2917,26.26,26.2917,225,0
IRTR.US,D,20231212,000000,26.3481,26.3481,26.3481,26.3481,22,0
IRTR.US,D,20231213,000000,26.3899,26.7186,26.3877,26.7186,1917,0
IRTR.US,D,20231214,000000,26.995,26.995,26.9298,26.9474,2109,0
IRTR.US,D,20231215,000000,26.905,26.905,26.905,26.905,64,0
IRTR.US,D,20231218,000000,26.86,26.885,26.8562,26.885,2455,0
IRTR.US,D,20231219,000000,26.9812,26.9812,26.9812,26.9812,1,0
IRTR.US,D,20231220,000000,27.01,27.01,26.935,26.935,312,0
IRTR.US,D,20231221,000000,27,27.0206,26.99,27.0206,304,0
IRTR.US,D,20231222,000000,26.9,26.9,26.895,26.895,208,0
IRTR.US,D,20231226,000000,26.9899,26.9899,26.985,26.985,335,0
IRTR.US,D,20231227,000000,27.11,27.11,27.1001,27.1001,1142,0
IRTR.US,D,20231228,000000,27.1,27.119,27.095,27.095,768,0
IRTR.US,D,20231229,000000,27.04,27.04,27.025,27.025,723,0
IRTR.US,D,20240102,000000,26.87,26.87,26.8688,26.8688,672,0
IRTR.US,D,20240103,000000,26.78,26.805,26.78,26.805,567,0
IRTR.US,D,20240104,000000,26.7656,26.7656,26.7211,26.725,1547,0
IRTR.US,D,20240105,000000,26.72,26.72,26.66,26.675,928,0
IRTR.US,D,20240108,000000,26.7,26.8536,26.7,26.8536,1239,0
IRTR.US,D,20240109,000000,26.79,26.81,26.79,26.7973,2614,0
IRTR.US,D,20240110,000000,26.835,26.835,26.835,26.835,137,0
IRTR.US,D,20240111,000000,26.81,26.9,26.7855,26.8978,15487,0
IRTR.US,D,20240112,000000,27.03,27.0399,26.92,26.9505,1829,0
IRTR.US,D,20240116,000000,26.84,26.8499,26.7152,26.7314,11184,0
IRTR.US,D,20240117,000000,26.6081,26.6081,26.6081,26.6081,337,0
IRTR.US,D,20240118,000000,26.665,26.665,26.66,26.665,825,0
IRTR.US,D,20240119,000000,26.74,26.76,26.63,26.7581,17550,0
IRTR.US,D,20240122,000000,26.8095,26.825,26.8095,26.825,281,0
IRTR.US,D,20240123,000000,26.77,26.7988,26.77,26.7988,162,0
