<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISZE.US,D,20150707,000000,21.4545,21.4545,21.4545,21.4545,186.72131121702,0
ISZE.US,D,20150714,000000,22.206,22.206,22.206,22.206,186.72131121702,0
ISZE.US,D,20150929,000000,19.6502,19.6502,19.6502,19.6502,186.72131121702,0
ISZE.US,D,20160418,000000,21.3482,21.3482,21.3482,21.3482,113.87948101698,0
ISZE.US,D,20160715,000000,21.0041,21.0041,21.0041,21.0041,224.68113822268,0
ISZE.US,D,20160718,000000,21.0305,21.0305,21.0305,21.0305,122.08701118036,0
ISZE.US,D,20160721,000000,21.0041,21.0041,21.0041,21.0041,141.5798953184,0
ISZE.US,D,20160725,000000,21.0305,21.0305,21.0305,21.0305,347.79409067347,0
ISZE.US,D,20160801,000000,21.3842,21.3842,21.3842,21.3842,347.79409067347,0
ISZE.US,D,20160803,000000,21.1094,21.1094,21.1094,21.1094,224.68113822268,0
ISZE.US,D,20160804,000000,21.1532,21.1532,21.1532,21.1532,453.46604152706,0
ISZE.US,D,20160810,000000,21.5967,21.5967,21.5967,21.5967,113.87948101698,0
ISZE.US,D,20160902,000000,21.7634,21.7634,21.7634,21.7634,339.58656051008,0
ISZE.US,D,20160906,000000,21.8609,21.8609,21.8609,21.8609,532.46351934965,0
ISZE.US,D,20160912,000000,21.6309,21.6309,21.6309,21.6309,295.47108588188,0
ISZE.US,D,20160920,000000,21.4466,21.4466,21.4466,21.4466,293.41920334104,0
ISZE.US,D,20160922,000000,22.0217,22.0217,22.0217,22.0217,284.18573190723,0
ISZE.US,D,20160930,000000,21.665,21.665,21.665,21.665,224.68113822268,0
ISZE.US,D,20161031,000000,21.126,21.126,21.126,21.126,678.14717974974,0
ISZE.US,D,20161104,000000,20.8004,20.8004,20.8004,20.8004,849.47937191042,0
ISZE.US,D,20161130,000000,20.7185,20.7185,20.7185,20.7185,123.11295245079,0
ISZE.US,D,20161220,000000,21.0334,21.0334,21.0334,21.0334,295.47108588188,0
ISZE.US,D,20161229,000000,20.7282,20.7282,20.7282,20.7282,141.5798953184,0
ISZE.US,D,20170215,000000,21.8531,21.8531,21.8531,21.8531,453.46604152706,0
ISZE.US,D,20170314,000000,21.9067,21.9067,21.9067,21.9067,778.68942425122,0
ISZE.US,D,20170321,000000,22.206,22.206,22.206,22.206,113.87948101698,0
ISZE.US,D,20170322,000000,22.206,22.206,22.206,22.206,1440.4215436742,0
ISZE.US,D,20170329,000000,22.5081,22.5081,22.5081,22.5081,139.52801277756,0
ISZE.US,D,20170511,000000,23.1895,23.1895,23.1895,23.1895,1356.2943594995,0
ISZE.US,D,20170522,000000,23.7304,23.7304,23.7304,23.7304,224.68113822268,0
ISZE.US,D,20170526,000000,23.6388,23.6388,23.6388,23.6388,1469.147899246,0
ISZE.US,D,20170605,000000,23.9935,23.9935,23.9935,23.9935,813.5714274456,0
ISZE.US,D,20170626,000000,23.3142,23.3142,23.3142,23.3142,1526.6006103897,0
ISZE.US,D,20170629,000000,23.2567,23.2567,23.2567,23.2567,3886.2655323631,0
ISZE.US,D,20170707,000000,23.1446,23.1446,23.1446,23.1446,3811.3718196222,0
ISZE.US,D,20170711,000000,23.091,23.091,23.091,23.091,224.68113822268,0
ISZE.US,D,20170714,000000,23.6486,23.6486,23.6486,23.6486,849.47937191042,0
ISZE.US,D,20170724,000000,23.6388,23.6388,23.6388,23.6388,11980.942156002,0
ISZE.US,D,20170731,000000,23.7119,23.7119,23.7119,23.7119,224.68113822268,0
ISZE.US,D,20170809,000000,23.5257,23.5257,23.5257,23.5257,214.42172551845,0
ISZE.US,D,20170817,000000,23.5482,23.5482,23.5482,23.5482,3514.8747924699,0
ISZE.US,D,20170822,000000,23.707,23.707,23.707,23.707,224.68113822268,0
ISZE.US,D,20170905,000000,23.7948,23.7948,23.7948,23.7948,383.70203513828,0
ISZE.US,D,20170908,000000,24.1622,24.1622,24.1622,24.1622,24230.680924855,0
ISZE.US,D,20170913,000000,24.171,24.171,24.171,24.171,243.1480810903,0
ISZE.US,D,20170914,000000,24.1174,24.1174,24.1174,24.1174,114.9054222874,0
ISZE.US,D,20170918,000000,24.2334,24.2334,24.2334,24.2334,4764.4712598454,0
ISZE.US,D,20170920,000000,24.248,24.248,24.248,24.248,861.7906671555,0
ISZE.US,D,20170926,000000,24.091,24.091,24.091,24.091,284.18573190723,0
ISZE.US,D,20170927,000000,24.057,24.057,24.057,24.057,147.73554294094,0
ISZE.US,D,20171006,000000,24.1535,24.1535,24.1535,24.1535,547.85263840599,0
ISZE.US,D,20171010,000000,24.3299,24.3299,24.3299,24.3299,679.17312102016,0
ISZE.US,D,20171012,000000,24.5297,24.5297,24.5297,24.5297,605.30534954969,0
ISZE.US,D,20171019,000000,24.5609,24.5609,24.5609,24.5609,506.81498758907,0
ISZE.US,D,20171023,000000,24.516,24.516,24.516,24.516,261.61502395792,0
ISZE.US,D,20171107,000000,24.5998,24.5998,24.5998,24.5998,362.15726845939,0
ISZE.US,D,20171129,000000,24.7509,24.7509,24.7509,24.7509,682.25094483143,0
ISZE.US,D,20171204,000000,24.7285,24.7285,24.7285,24.7285,339.58656051008,0
ISZE.US,D,20171213,000000,24.9224,24.9224,24.9224,24.9224,21064.626164329,0
ISZE.US,D,20171214,000000,24.8874,24.8952,24.8874,24.8912,900.77643543158,0
ISZE.US,D,20171220,000000,24.981,24.981,24.981,24.981,255.45937633538,0
ISZE.US,D,20171227,000000,25.17,25.1886,25.17,25.1886,1855.9277581956,0
ISZE.US,D,20171229,000000,25.3484,25.3757,25.3484,25.3659,7891.5402520953,0
ISZE.US,D,20180102,000000,25.3864,25.4079,25.3864,25.4079,590.94217176377,0
ISZE.US,D,20180104,000000,25.7227,25.751,25.7052,25.7052,673.01747339762,0
ISZE.US,D,20180105,000000,25.8933,25.902,25.8757,25.902,3573.353444884,0
ISZE.US,D,20180108,000000,25.829,25.866,25.829,25.866,537.59322570176,0
ISZE.US,D,20180110,000000,25.7793,25.7793,25.7793,25.7793,112.85353974655,0
ISZE.US,D,20180111,000000,25.8757,25.8757,25.8046,25.8046,6256.1898670407,0
ISZE.US,D,20180112,000000,26.0239,26.0239,26.0239,26.0239,11477.204992224,0
ISZE.US,D,20180118,000000,26.1535,26.1535,26.1175,26.1175,29904.136150296,0
ISZE.US,D,20180123,000000,26.3592,26.3592,26.3592,26.3592,892.56890526819,0
ISZE.US,D,20180124,000000,26.6204,26.6204,26.4752,26.5513,4947.0888059807,0
ISZE.US,D,20180129,000000,26.443,26.443,26.443,26.443,1110.0684545979,0
ISZE.US,D,20180130,000000,26.252,26.252,26.252,26.252,963.35885292739,0
ISZE.US,D,20180131,000000,26.2881,26.2881,26.2715,26.2715,281.10790809596,0
ISZE.US,D,20180205,000000,25.3152,25.3152,24.8562,24.8562,2716.6924840807,0
ISZE.US,D,20180206,000000,24.9449,25.1057,24.9449,25.1057,1.0259412704232,0
ISZE.US,D,20180208,000000,24.9537,24.9537,24.5238,24.5931,1089.5496291894,0
ISZE.US,D,20180209,000000,24.0706,24.5521,24.0706,24.5521,1647.6616802997,0
ISZE.US,D,20180212,000000,24.5599,24.8172,24.5599,24.8172,761.24842265402,0
ISZE.US,D,20180213,000000,24.7032,24.7217,24.7032,24.7217,2588.4498252778,0
ISZE.US,D,20180214,000000,25.0687,25.0911,25.0687,25.0911,223.65519695226,0
ISZE.US,D,20180215,000000,25.1964,25.2207,25.0443,25.2207,8191.1151030589,0
ISZE.US,D,20180220,000000,25.1506,25.1506,25.1506,25.1506,227.75896203395,0
ISZE.US,D,20180223,000000,25.2295,25.2295,25.2295,25.2295,201.08448900295,0
ISZE.US,D,20180226,000000,25.4819,25.4819,25.4819,25.4819,311.88614620866,0
ISZE.US,D,20180227,000000,25.2578,25.2578,25.2578,25.2578,220.57737314099,0
ISZE.US,D,20180301,000000,24.5599,24.5599,24.5433,24.5433,241.09619854945,0
ISZE.US,D,20180307,000000,24.865,24.9166,24.865,24.9166,1360.3981245812,0
ISZE.US,D,20180312,000000,25.249,25.249,25.249,25.249,157.99495564517,0
ISZE.US,D,20180313,000000,25.1057,25.1057,25.1057,25.1057,137.47613023671,0
ISZE.US,D,20180316,000000,25.1028,25.1028,25.1028,25.1028,261.61502395792,0
ISZE.US,D,20180319,000000,24.8591,24.8591,24.8591,24.8591,1406.5654817502,0
ISZE.US,D,20180320,000000,24.9634,24.9849,24.9634,24.9849,344.7162668622,0
ISZE.US,D,20180321,000000,25.0161,25.0161,25.0161,25.0161,243.1480810903,0
ISZE.US,D,20180323,000000,24.4059,24.4615,24.4059,24.4526,1183.9362260684,0
ISZE.US,D,20180327,000000,24.5686,24.5686,24.5686,24.5686,362.15726845939,0
ISZE.US,D,20180328,000000,24.6584,24.6584,24.6584,24.6584,402.1689780059,0
ISZE.US,D,20180403,000000,24.5521,24.5842,24.3903,24.4926,23635.63498801,0
ISZE.US,D,20180409,000000,25.0414,25.0414,25.0414,25.0414,119.00918736909,0
ISZE.US,D,20180413,000000,24.9975,24.9975,24.9975,24.9975,116.95730482825,0
ISZE.US,D,20180416,000000,25.1418,25.1418,25.1418,25.1418,156.96901437475,0
ISZE.US,D,20180420,000000,25.1574,25.1574,25.1574,25.1574,153.89119056348,0
ISZE.US,D,20180423,000000,25.1252,25.1252,25.1252,25.1252,179.53972232406,0
ISZE.US,D,20180424,000000,25.2773,25.2773,25.2773,25.2773,132.34642388459,0
ISZE.US,D,20180426,000000,25.1057,25.1077,25.1057,25.1077,1629.1947374321,0
ISZE.US,D,20180427,000000,25.1057,25.1057,25.1057,25.1057,177.48783978322,0
ISZE.US,D,20180502,000000,25.1242,25.1242,25.096,25.096,379.59827005659,0
ISZE.US,D,20180504,000000,25.0336,25.0346,25.0258,25.0258,4128.387672183,0
ISZE.US,D,20180507,000000,25.0999,25.0999,25.0999,25.0999,437.05098120029,0
