<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITDC.US,D,20231024,000000,24.51,24.51,24.5045,24.5045,1715,0
ITDC.US,D,20231025,000000,24.34,24.34,24.2101,24.2101,357,0
ITDC.US,D,20231026,000000,24.24,24.24,24.1489,24.1489,1368,0
ITDC.US,D,20231027,000000,24.1,24.1033,24.04,24.0489,2351,0
ITDC.US,D,20231030,000000,24.17,24.229,24.1399,24.229,24559,0
ITDC.US,D,20231031,000000,24.2801,24.3087,24.2801,24.3087,121,0
ITDC.US,D,20231101,000000,24.57,24.57,24.5572,24.5572,312,0
ITDC.US,D,20231102,000000,24.9115,24.9629,24.9115,24.9629,196,0
ITDC.US,D,20231103,000000,25.22,25.3,25.2152,25.232,582,0
ITDC.US,D,20231106,000000,25.26,25.26,25.14,25.1652,1695,0
ITDC.US,D,20231107,000000,25.204,25.204,25.204,25.204,8,0
ITDC.US,D,20231108,000000,25.23,25.25,25.2,25.2357,2019,0
ITDC.US,D,20231109,000000,25.1087,25.1087,25.0364,25.0364,1238,0
ITDC.US,D,20231110,000000,25.1,25.249,25.0905,25.249,1054,0
ITDC.US,D,20231113,000000,25.19,25.245,25.19,25.245,263,0
ITDC.US,D,20231114,000000,25.68,25.82,25.6755,25.7773,5530,0
ITDC.US,D,20231115,000000,25.82,25.85,25.77,25.7893,18809,0
ITDC.US,D,20231116,000000,25.79,25.81,25.72,25.7788,77814,0
ITDC.US,D,20231117,000000,25.849,25.91,25.84,25.8933,7089,0
ITDC.US,D,20231120,000000,25.9,26.06,25.9,26.0266,3481,0
ITDC.US,D,20231121,000000,26.04,26.04,25.96,25.99,9537,0
ITDC.US,D,20231122,000000,26.06,26.07,26.0377,26.0455,16581,0
ITDC.US,D,20231124,000000,26.05,26.06,26.04,26.0509,3940,0
ITDC.US,D,20231127,000000,26.038,26.07,26.038,26.0685,4318,0
ITDC.US,D,20231128,000000,26.06,26.1384,26.0555,26.1384,3275,0
ITDC.US,D,20231129,000000,26.29,26.29,26.1958,26.1958,3048,0
ITDC.US,D,20231130,000000,26.18,26.2116,26.1599,26.2116,10076,0
ITDC.US,D,20231201,000000,26.1976,26.4666,26.1976,26.4666,1587,0
ITDC.US,D,20231204,000000,26.27,26.3527,26.27,26.3527,1765,0
ITDC.US,D,20231205,000000,26.37,26.38,26.3546,26.3546,2049,0
ITDC.US,D,20231206,000000,26.48,26.48,26.3567,26.3567,25558,0
ITDC.US,D,20231207,000000,26.39,26.478,26.39,26.478,807,0
ITDC.US,D,20231208,000000,26.49,26.5,26.4263,26.4858,1653,0
ITDC.US,D,20231211,000000,26.4913,26.55,26.46,26.5487,24101,0
ITDC.US,D,20231212,000000,26.51,26.63,26.4681,26.6075,15850,0
ITDC.US,D,20231213,000000,26.6439,27.0232,26.6368,27.0232,27243,0
ITDC.US,D,20231214,000000,27.259,27.2799,27.22,27.2705,8207,0
ITDC.US,D,20231215,000000,27.2599,27.2599,27.18,27.1933,1261,0
ITDC.US,D,20231218,000000,27.19,27.23,27.1899,27.21,2311,0
ITDC.US,D,20231219,000000,27.35,27.3619,27.34,27.3619,5828,0
ITDC.US,D,20231220,000000,27.3902,27.42,27.19,27.19,7361,0
ITDC.US,D,20231221,000000,27.355,27.3663,27.2603,27.3663,1284,0
ITDC.US,D,20231222,000000,27.22,27.22,27.156,27.161,2420,0
ITDC.US,D,20231226,000000,27.2371,27.3027,27.2371,27.275,2671,0
ITDC.US,D,20231227,000000,27.355,27.4,27.355,27.3889,2052,0
ITDC.US,D,20231228,000000,27.43,27.43,27.38,27.3844,2528,0
ITDC.US,D,20231229,000000,27.33,27.33,27.3105,27.3105,2894,0
ITDC.US,D,20240102,000000,27.17,27.17,27.1287,27.1287,2052,0
ITDC.US,D,20240103,000000,27.01,27.01,26.93,26.977,2507,0
ITDC.US,D,20240104,000000,27,27,26.915,26.915,1209,0
ITDC.US,D,20240105,000000,26.89,27.028,26.89,26.8993,3390,0
ITDC.US,D,20240108,000000,27.1,27.1556,27.1,27.1556,2066,0
