<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVRS.US,D,20230221,000000,24.5772,24.62,24.52,24.52,2031,0
IVRS.US,D,20230222,000000,24.6017,24.6017,24.47,24.4975,3455,0
IVRS.US,D,20230223,000000,24.69,24.7282,24.49,24.7282,2248,0
IVRS.US,D,20230224,000000,26.45,26.45,24.0488,24.12,1914,0
IVRS.US,D,20230227,000000,24.2794,24.32,24.1666,24.1666,1619,0
IVRS.US,D,20230228,000000,24.3077,24.39,24.26,24.2613,2085,0
IVRS.US,D,20230301,000000,24.3077,24.3077,24.1466,24.1466,186,0
IVRS.US,D,20230302,000000,24.2,24.5441,24.2,24.5441,348,0
IVRS.US,D,20230303,000000,24.84,25.0816,24.84,25.0816,2035,0
IVRS.US,D,20230306,000000,25.4199,25.42,25.0282,25.0282,664,0
IVRS.US,D,20230307,000000,24.7036,24.7036,24.7036,24.7036,30,0
IVRS.US,D,20230308,000000,24.8001,24.8001,24.8001,24.8001,143,0
IVRS.US,D,20230309,000000,24.81,24.81,24.2718,24.2718,325,0
IVRS.US,D,20230310,000000,23.9747,23.9747,23.9747,23.9747,73,0
IVRS.US,D,20230313,000000,24.81,24.81,24.2508,24.2508,18,0
IVRS.US,D,20230314,000000,24.6,24.7254,24.6,24.7254,203,0
IVRS.US,D,20230315,000000,24.6182,24.6182,24.6182,24.6182,66,0
IVRS.US,D,20230316,000000,24.85,25.3832,24.85,25.3832,1192,0
IVRS.US,D,20230317,000000,25.2297,25.32,25.2,25.2224,368,0
IVRS.US,D,20230320,000000,25.22,25.3367,25.22,25.3367,114,0
IVRS.US,D,20230321,000000,25.6,25.7264,25.6,25.6841,279,0
IVRS.US,D,20230322,000000,25.6809,25.6809,25.376,25.376,220,0
IVRS.US,D,20230323,000000,25.9917,25.9917,25.8705,25.8705,251,0
IVRS.US,D,20230324,000000,25.97,25.97,25.8,25.96,554,0
IVRS.US,D,20230327,000000,25.74,25.74,25.6964,25.6964,112,0
IVRS.US,D,20230328,000000,25.5,25.6534,25.5,25.6534,167,0
IVRS.US,D,20230329,000000,25.99,26.0476,25.99,26.0476,473,0
IVRS.US,D,20230330,000000,26.255,26.3293,26.245,26.3293,1094,0
IVRS.US,D,20230331,000000,26.7074,26.7074,26.7074,26.7074,90,0
IVRS.US,D,20230403,000000,26.5269,26.75,26.5269,26.7476,1623,0
IVRS.US,D,20230404,000000,26.76,26.77,26.69,26.7444,1172,0
IVRS.US,D,20230405,000000,26.33,26.41,26.33,26.3432,310,0
IVRS.US,D,20230406,000000,26.59,26.59,26.4768,26.4768,290,0
IVRS.US,D,20230410,000000,26.4,26.6185,26.4,26.6185,347,0
IVRS.US,D,20230411,000000,26.4676,26.4676,26.4676,26.4676,134,0
IVRS.US,D,20230412,000000,26.1684,26.1684,26.1684,26.1684,174,0
IVRS.US,D,20230413,000000,26.559,26.6416,26.559,26.6416,446,0
IVRS.US,D,20230414,000000,26.5054,26.5506,26.5054,26.5506,297,0
IVRS.US,D,20230417,000000,26.485,26.485,26.485,26.485,97,0
IVRS.US,D,20230418,000000,26.6261,26.6261,26.51,26.51,145,0
IVRS.US,D,20230419,000000,26.288,26.3899,26.288,26.3899,164,0
IVRS.US,D,20230420,000000,26.2662,26.2662,26.2662,26.2662,20,0
IVRS.US,D,20230421,000000,26.2057,26.2057,26.2057,26.2057,33,0
IVRS.US,D,20230424,000000,26,26.1546,26,26.1546,619,0
IVRS.US,D,20230425,000000,26,26,25.6144,25.6144,743,0
IVRS.US,D,20230426,000000,25.57,25.69,25.4892,25.4892,704,0
IVRS.US,D,20230427,000000,25.7962,25.9897,25.7962,25.9897,105,0
IVRS.US,D,20230428,000000,25.9803,26.1274,25.9803,26.1274,156,0
IVRS.US,D,20230501,000000,26.1945,26.1945,26.1945,26.1945,11,0
IVRS.US,D,20230502,000000,25.78,25.86,25.78,25.8598,801,0
IVRS.US,D,20230503,000000,25.8,25.92,25.7193,25.7193,957,0
IVRS.US,D,20230504,000000,25.5979,25.5979,25.5979,25.5979,7,0
IVRS.US,D,20230505,000000,26,26.0654,26,26.0654,650,0
IVRS.US,D,20230508,000000,26.126,26.126,26.126,26.126,92,0
IVRS.US,D,20230509,000000,25.9203,25.9203,25.9203,25.9203,9,0
IVRS.US,D,20230510,000000,26.1782,26.1782,26.1782,26.1782,6,0
IVRS.US,D,20230511,000000,26.2806,26.2806,26.2806,26.2806,1,0
IVRS.US,D,20230512,000000,26.1211,26.1211,26.1211,26.1211,10,0
IVRS.US,D,20230515,000000,26.4873,26.4873,26.4873,26.4873,27,0
IVRS.US,D,20230516,000000,26.42,26.42,26.4116,26.4116,127,0
IVRS.US,D,20230517,000000,26.799,26.799,26.799,26.799,25,0
IVRS.US,D,20230518,000000,27.2199,27.3357,27.13,27.3357,734,0
IVRS.US,D,20230519,000000,27.34,27.34,27.216,27.216,131,0
