<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVVM.US,D,20230705,000000,25.27,25.2706,25.2361,25.2706,11290,0
IVVM.US,D,20230706,000000,25.14,25.15,25.1365,25.1365,333,0
IVVM.US,D,20230707,000000,25.18,25.25,25.1125,25.1125,8918,0
IVVM.US,D,20230710,000000,25.18,25.18,25.0921,25.17,3316,0
IVVM.US,D,20230711,000000,25.18,25.5,25.165,25.28,13422,0
IVVM.US,D,20230712,000000,25.39,25.39,25.3698,25.3698,1189,0
IVVM.US,D,20230713,000000,25.4182,25.4656,25.4182,25.4656,197,0
IVVM.US,D,20230714,000000,25.51,25.51,25.4694,25.4694,419,0
IVVM.US,D,20230717,000000,25.552,25.58,25.5442,25.5442,1454,0
IVVM.US,D,20230718,000000,25.5901,25.6197,25.5901,25.6197,264,0
IVVM.US,D,20230719,000000,25.65,25.66,25.6393,25.6393,1242,0
IVVM.US,D,20230720,000000,25.5753,25.5753,25.5753,25.5753,316,0
IVVM.US,D,20230721,000000,25.65,25.6599,25.591,25.6056,8738,0
IVVM.US,D,20230724,000000,25.61,25.6389,25.61,25.6389,1102,0
IVVM.US,D,20230725,000000,25.7,25.7,25.68,25.6803,1236,0
IVVM.US,D,20230726,000000,25.67,25.6823,25.6361,25.6823,689,0
IVVM.US,D,20230727,000000,25.71,25.71,25.6013,25.6013,309,0
IVVM.US,D,20230728,000000,25.74,25.76,25.74,25.7447,704,0
IVVM.US,D,20230731,000000,25.76,25.76,25.7228,25.7379,525,0
IVVM.US,D,20230801,000000,25.711,25.7379,25.711,25.7379,522,0
IVVM.US,D,20230802,000000,25.57,25.589,25.52,25.5522,5378,0
IVVM.US,D,20230803,000000,25.5,25.5699,25.5,25.5293,2477,0
IVVM.US,D,20230804,000000,25.5901,25.5901,25.4424,25.4424,713,0
IVVM.US,D,20230807,000000,25.5922,25.5922,25.5922,25.5922,43,0
IVVM.US,D,20230808,000000,25.47,25.5391,25.4201,25.5391,451,0
IVVM.US,D,20230809,000000,25.51,25.56,25.4425,25.4425,1013,0
IVVM.US,D,20230810,000000,25.57,25.6399,25.4389,25.4389,2177,0
IVVM.US,D,20230811,000000,25.39,25.4381,25.39,25.4381,402,0
IVVM.US,D,20230814,000000,25.4881,25.527,25.4881,25.527,245,0
IVVM.US,D,20230815,000000,25.45,25.45,25.37,25.37,411,0
IVVM.US,D,20230816,000000,25.26,25.35,25.25,25.25,2673,0
IVVM.US,D,20230817,000000,25.1184,25.1184,25.1184,25.1184,3,0
IVVM.US,D,20230818,000000,24.51,25.1081,24.51,25.1081,177,0
IVVM.US,D,20230821,000000,25.2282,25.2282,25.2282,25.2282,1,0
IVVM.US,D,20230822,000000,25.2365,25.2399,25.1793,25.1793,2255,0
IVVM.US,D,20230823,000000,25.32,25.38,25.32,25.3538,595,0
IVVM.US,D,20230824,000000,25.41,25.41,25.1516,25.1516,4517,0
IVVM.US,D,20230825,000000,25.256,25.256,25.256,25.256,7,0
IVVM.US,D,20230828,000000,25.33,25.3531,25.33,25.3531,889,0
IVVM.US,D,20230829,000000,25.2101,25.63,25.2101,25.63,4275,0
IVVM.US,D,20230830,000000,25.6604,25.6604,25.6604,25.6604,7,0
IVVM.US,D,20230831,000000,25.6563,25.6563,25.6563,25.6563,5,0
IVVM.US,D,20230901,000000,25.63,25.69,25.63,25.689,944,0
IVVM.US,D,20230905,000000,25.618,25.618,25.618,25.618,60,0
IVVM.US,D,20230906,000000,25.49,25.49,25.4807,25.4807,500,0
IVVM.US,D,20230907,000000,25.4257,25.4257,25.4257,25.4257,3,0
IVVM.US,D,20230908,000000,25.46,25.46,25.4389,25.4389,163,0
IVVM.US,D,20230911,000000,25.55,25.5602,25.52,25.5602,2001,0
IVVM.US,D,20230912,000000,25.51,25.51,25.4661,25.4661,630,0
IVVM.US,D,20230913,000000,25.4753,25.4753,25.4753,25.4753,7,0
IVVM.US,D,20230914,000000,25.59,25.65,25.59,25.6318,564,0
IVVM.US,D,20230915,000000,25.6,25.6,25.422,25.422,16655,0
IVVM.US,D,20230918,000000,25.377,25.48,25.377,25.4034,866,0
