<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVVW.US,D,20240318,000000,50.05,50.06,49.92,49.93,10293,0
IVVW.US,D,20240319,000000,49.91,50.09,49.85,50.09,1924,0
IVVW.US,D,20240320,000000,50.12,50.3377,50.0777,50.3377,6213,0
IVVW.US,D,20240321,000000,50.3076,50.4,50.3076,50.3152,8019,0
IVVW.US,D,20240322,000000,50.41,50.45,50.3292,50.3343,2488,0
IVVW.US,D,20240325,000000,50,50.49,50,50.4216,1583,0
IVVW.US,D,20240326,000000,50.42,50.47,50.3715,50.3715,1806,0
IVVW.US,D,20240327,000000,50.5,50.5453,50.42,50.5453,1578,0
IVVW.US,D,20240328,000000,50.5995,50.7,50.5995,50.657,1110,0
IVVW.US,D,20240401,000000,50.01,50.6139,50.01,50.6139,1848,0
IVVW.US,D,20240402,000000,49.75,49.7948,49.6902,49.7948,1079,0
IVVW.US,D,20240403,000000,49.85,49.85,49.8157,49.8157,979,0
IVVW.US,D,20240404,000000,49.73,49.73,49.4516,49.4516,559,0
IVVW.US,D,20240405,000000,49.5798,49.8481,49.5798,49.7929,798,0
IVVW.US,D,20240408,000000,49.92,49.92,49.8584,49.8584,1391,0
IVVW.US,D,20240409,000000,49.8,49.91,49.75,49.91,1727,0
IVVW.US,D,20240410,000000,49.51,49.67,49.51,49.6651,4062,0
IVVW.US,D,20240411,000000,49.68,50.05,49.64,49.9507,1700,0
IVVW.US,D,20240412,000000,49.6331,49.7,49.2647,49.4068,1157,0
IVVW.US,D,20240415,000000,49.7325,49.83,48.922,48.922,4377,0
IVVW.US,D,20240416,000000,48.94,49.01,48.8479,48.8479,1704,0
IVVW.US,D,20240417,000000,48.9,48.9,48.55,48.5828,1238,0
IVVW.US,D,20240418,000000,48.7,48.7689,48.42,48.4683,2377,0
IVVW.US,D,20240419,000000,48.315,48.315,48.1,48.13,896,0
IVVW.US,D,20240422,000000,48.32,48.64,48.32,48.5275,1674,0
IVVW.US,D,20240423,000000,48.87,48.89,48.85,48.8748,1906,0
IVVW.US,D,20240424,000000,48.95,48.95,48.95,48.95,946,0
IVVW.US,D,20240425,000000,48.72,48.9384,48.7,48.9384,2538,0
IVVW.US,D,20240426,000000,48.88,48.8999,48.78,48.871,2401,0
IVVW.US,D,20240429,000000,49.08,49.21,49.08,49.174,3249,0
IVVW.US,D,20240430,000000,49.16,49.16,48.8622,48.8622,2533,0
IVVW.US,D,20240501,000000,48.93,49.25,48.796,48.8566,4899,0
IVVW.US,D,20240502,000000,48.1951,48.3491,48.1951,48.3491,10427,0
IVVW.US,D,20240503,000000,48.68,48.69,48.6635,48.6656,589,0
IVVW.US,D,20240506,000000,48.7538,48.882,48.7538,48.882,3799,0
IVVW.US,D,20240507,000000,48.99,48.99,48.88,48.9335,912,0
IVVW.US,D,20240508,000000,49.01,49.01,49.01,49.01,647,0
IVVW.US,D,20240509,000000,49.07,49.27,48.97,49.0198,185202,0
IVVW.US,D,20240510,000000,49.06,49.06,49,49.0266,161379,0
IVVW.US,D,20240513,000000,49.17,49.17,49.11,49.1163,3826,0
IVVW.US,D,20240514,000000,49.07,49.11,49.07,49.11,1430,0
IVVW.US,D,20240515,000000,49.12,49.14,49.03,49.0861,3107,0
IVVW.US,D,20240516,000000,49.165,49.21,49.1486,49.1698,1423,0
IVVW.US,D,20240517,000000,49.17,49.23,49.17,49.1874,883,0
IVVW.US,D,20240520,000000,49.3,49.3,49.1789,49.1825,1811,0
IVVW.US,D,20240521,000000,49.27,49.31,49.27,49.2848,625,0
IVVW.US,D,20240522,000000,49.33,49.33,49.14,49.1692,3004,0
IVVW.US,D,20240523,000000,49.31,49.4,48.99,49.0036,2194,0
IVVW.US,D,20240524,000000,49.09,49.255,49.09,49.2537,1351,0
IVVW.US,D,20240528,000000,49.275,49.2943,49.235,49.2565,3535,0
IVVW.US,D,20240529,000000,49.08,49.14,49,49.0317,9264,0
IVVW.US,D,20240530,000000,49.03,49.03,48.73,48.8161,10033,0
IVVW.US,D,20240531,000000,48.939,49.1193,48.93,49.1193,1730,0
IVVW.US,D,20240603,000000,49.16,49.16,48.88,49.1516,3304,0
IVVW.US,D,20240604,000000,49.26,49.26,48.6477,48.8303,1473,0
IVVW.US,D,20240605,000000,49.19,49.2,49.1647,49.1647,2365,0
IVVW.US,D,20240606,000000,49.16,49.24,49.15,49.1902,2103,0
IVVW.US,D,20240607,000000,49.25,49.32,49.2061,49.2061,1282,0
IVVW.US,D,20240610,000000,49.2326,49.35,49.2326,49.3009,1483,0
IVVW.US,D,20240611,000000,49.17,49.37,49.17,49.37,1818,0
IVVW.US,D,20240612,000000,49.52,49.5959,49.52,49.5959,909,0
IVVW.US,D,20240613,000000,49.52,49.6314,49.52,49.6314,3937,0
IVVW.US,D,20240614,000000,49.61,49.66,49.59,49.6448,713,0
IVVW.US,D,20240617,000000,49.6,49.72,49.59,49.7003,12904,0
IVVW.US,D,20240618,000000,49.665,49.72,49.66,49.7002,9809,0
IVVW.US,D,20240620,000000,49.7138,49.78,49.67,49.7352,1038,0
IVVW.US,D,20240621,000000,49.7108,49.75,49.7108,49.725,931,0
