<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWFH.US,D,20201002,000000,26.42,26.42,25.4702,25.5022,6526.3879724848,0
IWFH.US,D,20201005,000000,25.7229,25.8118,25.663,25.7978,5193.6751171032,0
IWFH.US,D,20201006,000000,25.9706,26.1214,25.7908,25.7908,3229.15023186,0
IWFH.US,D,20201007,000000,26.2532,26.2572,26.1993,26.1993,3484.478389728,0
IWFH.US,D,20201008,000000,26.4599,26.4599,26.1314,26.1314,2239.8787809832,0
IWFH.US,D,20201009,000000,26.5598,26.6747,26.5598,26.6497,2945.7860409712,0
IWFH.US,D,20201012,000000,27.1081,27.204,26.8894,27.167,6718.635056056,0
IWFH.US,D,20201013,000000,28.1548,28.1548,27.1181,27.4776,1358.7463146152,0
IWFH.US,D,20201014,000000,27.5236,27.5366,27.1571,27.3069,2197.824731452,0
IWFH.US,D,20201015,000000,26.5998,27.178,26.5998,27.178,1241.595748064,0
IWFH.US,D,20201016,000000,27.4876,27.4876,27.2829,27.2829,1363.7527490832,0
IWFH.US,D,20201019,000000,27.3977,27.4177,27.0482,27.0482,1318.6948388712,0
IWFH.US,D,20201020,000000,27.3178,27.3178,26.9313,26.9313,7690.8846297416,0
IWFH.US,D,20201021,000000,26.9283,26.9283,26.6697,26.6697,3216.1335022432,0
IWFH.US,D,20201022,000000,26.7196,26.7196,26.41,26.5738,1705.1915798008,0
IWFH.US,D,20201023,000000,26.7096,26.7096,26.3601,26.6227,1008.2959018552,0
IWFH.US,D,20201026,000000,26.6197,26.6197,26.2083,26.2942,2119.7243537512,0
IWFH.US,D,20201027,000000,26.6098,26.7895,26.6098,26.7895,1656.1285220144,0
IWFH.US,D,20201028,000000,26.6397,26.6397,26.1414,26.1414,3671.7190388312,0
IWFH.US,D,20201029,000000,26.1414,26.2412,26.1314,26.2412,1436.846692316,0
IWFH.US,D,20201030,000000,26.0215,26.0215,25.4133,25.4303,5280.7870768464,0
IWFH.US,D,20201102,000000,25.4233,25.4233,25.3634,25.4173,1518.9522175912,0
IWFH.US,D,20201103,000000,25.7608,25.8008,25.662,25.7579,615.791439564,0
IWFH.US,D,20201104,000000,26.9034,27.0282,26.9034,26.9313,1503.9329141872,0
IWFH.US,D,20201105,000000,27.6964,27.7783,27.6264,27.7783,2083.6780255816,0
IWFH.US,D,20201106,000000,27.8512,27.9181,27.8512,27.9181,694.8931041584,0
IWFH.US,D,20201109,000000,27.8362,27.8362,26.3701,26.3751,4568.8720954968,0
IWFH.US,D,20201110,000000,25.9017,26.1414,25.3634,25.4852,2247.889076132,0
IWFH.US,D,20201111,000000,25.9516,25.9866,25.9516,25.9866,189.2432228904,0
IWFH.US,D,20201112,000000,26.4699,26.5388,26.1843,26.1843,1978.5429017536,0
IWFH.US,D,20201113,000000,26.2412,26.2912,26.1793,26.1793,846.087425092,0
IWFH.US,D,20201116,000000,26.0215,26.0315,25.9376,26.0315,1357.7450277216,0
IWFH.US,D,20201117,000000,26.0814,26.0934,26.0365,26.0934,793.0192197312,0
IWFH.US,D,20201118,000000,26.0215,26.0215,25.7918,25.8717,2491.2017912768,0
IWFH.US,D,20201119,000000,26.2213,26.453,26.2213,26.386,1245.6008956384,0
IWFH.US,D,20201120,000000,26.4899,26.9134,26.4789,26.8215,1511.943209336,0
IWFH.US,D,20201123,000000,26.6597,26.8295,26.6197,26.7316,7993.2732716088,0
IWFH.US,D,20201124,000000,26.6797,26.6897,26.5498,26.6227,1824.3447201392,0
IWFH.US,D,20201125,000000,26.7995,27.0941,26.7995,27.0941,1113.4310256832,0
IWFH.US,D,20201127,000000,28.1348,28.1348,27.5615,27.6704,1166.499231044,0
IWFH.US,D,20201130,000000,27.8761,27.8911,27.5665,27.8891,1071.376976152,0
IWFH.US,D,20201201,000000,27.8761,27.8761,27.6464,27.6474,2016.5918037104,0
IWFH.US,D,20201202,000000,27.3178,27.6684,27.3178,27.6684,544.7000701184,0
IWFH.US,D,20201203,000000,28.006,28.006,27.8821,27.8821,743.9561619448,0
IWFH.US,D,20201204,000000,28.1777,28.1777,28.1777,28.1777,268.3448874848,0
IWFH.US,D,20201207,000000,28.0948,28.3385,28.0948,28.3385,662.8519235632,0
IWFH.US,D,20201208,000000,28.5043,28.6242,28.5043,28.6212,1667.142677844,0
IWFH.US,D,20201209,000000,28.726,28.726,28.0988,28.1438,1477.8994549536,0
IWFH.US,D,20201210,000000,27.8562,28.784,27.8562,28.784,340.437543824,0
IWFH.US,D,20201211,000000,28.728,28.9418,28.728,28.9418,346.4452651856,0
IWFH.US,D,20201214,000000,29.2224,29.2224,29.046,29.0513,1695.1787108648,0
IWFH.US,D,20201215,000000,29.2024,29.2024,29.1325,29.1953,1074.3808368328,0
IWFH.US,D,20201216,000000,29.4621,29.5036,29.4421,29.5036,618.7953002448,0
IWFH.US,D,20201217,000000,30.0459,30.0663,29.9814,30.0066,4961.376557788,0
IWFH.US,D,20201218,000000,30.1262,30.1812,30.0555,30.1791,1305.6781092544,0
IWFH.US,D,20201221,000000,30.0763,30.271,29.9614,30.2259,1240.5944611704,0
IWFH.US,D,20201222,000000,30.3709,30.5172,30.3709,30.5172,2275.9251091528,0
IWFH.US,D,20201223,000000,30.4708,30.5607,30.4448,30.4448,8971.530566656,0
IWFH.US,D,20201224,000000,30.3908,30.3909,30.2061,30.2354,8962.5189846136,0
IWFH.US,D,20201228,000000,30.0314,30.0314,29.6207,29.6207,930.1955241544,0
IWFH.US,D,20201229,000000,29.8716,29.8716,29.542,29.6344,2063.6522877096,0
IWFH.US,D,20201230,000000,30.0513,30.0513,29.9588,29.9588,554.7129390544,0
IWFH.US,D,20201231,000000,30.1212,30.1212,29.7717,29.8653,963.2379916432,0
IWFH.US,D,20210104,000000,30.0563,30.0563,29.6511,29.7026,1778.2855230336,0
IWFH.US,D,20210105,000000,30.1014,30.2937,30.1014,30.2937,1411.814519976,0
IWFH.US,D,20210106,000000,30.1113,30.1312,29.7356,29.7356,16965.805125158,0
IWFH.US,D,20210107,000000,30.1612,30.4782,30.1612,30.4782,2946.7873278648,0
IWFH.US,D,20210108,000000,30.8902,31.12,30.8902,31.1001,6114.8590592152,0
IWFH.US,D,20210111,000000,30.7604,30.9652,30.7604,30.786,686.8828090096,0
IWFH.US,D,20210112,000000,31.2298,31.2298,31.2177,31.2226,685.881522116,0
IWFH.US,D,20210113,000000,31.2298,31.3097,31.1048,31.1048,7350.4470859176,0
IWFH.US,D,20210114,000000,31.06,31.06,31.036,31.036,438.5636593968,0
IWFH.US,D,20210115,000000,30.5806,30.8004,30.5806,30.6351,1539.9792423568,0
IWFH.US,D,20210119,000000,31.1799,31.2939,31.1499,31.2939,1062.3653941096,0
IWFH.US,D,20210120,000000,31.9189,32.0987,31.9189,32.0752,1543.9843899312,0
IWFH.US,D,20210121,000000,32.1586,32.1986,32.0787,32.1486,6325.1293068712,0
IWFH.US,D,20210122,000000,32.1386,32.3475,32.1087,32.3475,4204.4036662264,0
IWFH.US,D,20210125,000000,32.8477,32.8477,32.3055,32.4034,4197.3946579712,0
IWFH.US,D,20210126,000000,32.2086,32.2385,32.0038,32.0038,2034.6149677952,0
IWFH.US,D,20210127,000000,31.5993,31.829,31.1499,31.202,2260.9058057488,0
IWFH.US,D,20210128,000000,31.4995,31.7691,31.4196,31.5806,1938.4914260096,0
IWFH.US,D,20210129,000000,31.5194,31.5194,31.1499,31.2717,1792.303539544,0
