<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWMW.US,D,20240318,000000,49.2,49.2,48.9683,48.9683,2336,0
IWMW.US,D,20240319,000000,48.8137,49.3,48.8137,49.194,2729,0
IWMW.US,D,20240320,000000,49.15,49.7895,49.15,49.7895,705,0
IWMW.US,D,20240321,000000,50.0238,50.26,50.0238,50.21,1179,0
IWMW.US,D,20240322,000000,50.2127,50.2127,49.8074,49.8074,1504,0
IWMW.US,D,20240325,000000,50.03,50.09,50.0111,50.0111,1457,0
IWMW.US,D,20240326,000000,50.15,50.15,50.04,50.04,1015,0
IWMW.US,D,20240327,000000,50.35,50.5739,50.3005,50.5739,1672,0
IWMW.US,D,20240328,000000,50.7,50.85,50.6712,50.7083,1906,0
IWMW.US,D,20240401,000000,50.71,52.72,50.49,50.546,3823,0
IWMW.US,D,20240402,000000,49.69,49.69,49.2123,49.3169,1762,0
IWMW.US,D,20240403,000000,49.5,49.5522,49.5,49.5298,587,0
IWMW.US,D,20240404,000000,49.8,49.8,49.1844,49.1844,1061,0
IWMW.US,D,20240405,000000,49.37,49.47,49.37,49.3841,375,0
IWMW.US,D,20240408,000000,49.77,49.77,49.615,49.622,1585,0
IWMW.US,D,20240409,000000,49.69,49.7349,49.69,49.7349,766,0
IWMW.US,D,20240410,000000,48.69,49,48.59,48.7706,4875,0
IWMW.US,D,20240411,000000,48.8,49.1426,48.6825,49.1426,603,0
IWMW.US,D,20240412,000000,48.66,48.66,48.13,48.2504,1045,0
IWMW.US,D,20240415,000000,48.21,48.21,47.483,47.6291,1301,0
IWMW.US,D,20240416,000000,47,47.414,47,47.414,716,0
IWMW.US,D,20240417,000000,46.9643,46.9643,46.9643,46.9643,226,0
IWMW.US,D,20240418,000000,47.41,47.41,46.8375,46.8375,20620,0
IWMW.US,D,20240419,000000,46.9136,46.9136,46.9136,46.9136,169,0
IWMW.US,D,20240422,000000,46.93,47.24,46.93,47.2321,694,0
IWMW.US,D,20240423,000000,47.6,47.6961,47.6,47.6961,921,0
IWMW.US,D,20240424,000000,47.61,47.6366,47.61,47.6366,615,0
IWMW.US,D,20240425,000000,47.5296,47.5296,47.5296,47.5296,176,0
IWMW.US,D,20240426,000000,47.8898,47.8898,47.8898,47.8898,124,0
IWMW.US,D,20240429,000000,47.78,47.9686,47.78,47.9686,682,0
IWMW.US,D,20240430,000000,47.96,47.96,47.6036,47.6036,725,0
IWMW.US,D,20240501,000000,47.7,47.9,47.6,47.7211,3480,0
IWMW.US,D,20240502,000000,47.2125,47.2125,47.2125,47.2125,145,0
IWMW.US,D,20240503,000000,47.563,47.563,47.563,47.563,326,0
IWMW.US,D,20240506,000000,47.6,47.6,47.6,47.6,512,0
IWMW.US,D,20240507,000000,47.62,47.84,47.62,47.7849,11647,0
IWMW.US,D,20240508,000000,47.66,47.7549,47.5,47.7549,1078,0
IWMW.US,D,20240509,000000,47.77,47.8796,47.77,47.8764,865,0
IWMW.US,D,20240510,000000,47.7581,47.83,47.7581,47.8166,1555,0
IWMW.US,D,20240513,000000,47.7805,47.785,47.72,47.7675,1657,0
IWMW.US,D,20240514,000000,47.92,47.93,47.92,47.93,718,0
IWMW.US,D,20240515,000000,47.842,47.89,47.78,47.8501,943,0
IWMW.US,D,20240516,000000,48,48.05,48,48.03,1523,0
IWMW.US,D,20240517,000000,47.9,47.95,47.8316,47.9003,403,0
IWMW.US,D,20240520,000000,47.8733,48.13,47.8733,48.0332,897,0
IWMW.US,D,20240521,000000,48.03,48.05,48.014,48.014,865,0
IWMW.US,D,20240522,000000,47.96,47.96,47.65,47.7283,3567,0
IWMW.US,D,20240523,000000,47.5,47.53,47.0891,47.1196,1078,0
IWMW.US,D,20240524,000000,47.4407,47.63,47.4407,47.5827,546,0
IWMW.US,D,20240528,000000,47.7688,47.8,47.5378,47.5378,2130,0
IWMW.US,D,20240529,000000,46.9451,46.9451,46.9451,46.9451,87,0
IWMW.US,D,20240530,000000,47.405,47.5,47.345,47.3476,11770,0
IWMW.US,D,20240531,000000,47.46,47.6037,47.46,47.6037,4920,0
IWMW.US,D,20240603,000000,47.5,47.54,47.325,47.423,3606,0
IWMW.US,D,20240604,000000,46.4915,46.4915,46.38,46.4209,3483,0
IWMW.US,D,20240605,000000,46.5101,47.04,46.5101,47.0221,2794,0
IWMW.US,D,20240606,000000,46.83,46.8822,46.71,46.7699,1696,0
IWMW.US,D,20240607,000000,46.5849,46.5849,46.2601,46.333,826,0
IWMW.US,D,20240610,000000,45.87,46.423,45.85,46.423,2246,0
IWMW.US,D,20240611,000000,45.935,46.3,45.935,46.2975,1764,0
IWMW.US,D,20240612,000000,47.32,47.32,47.0862,47.0862,2156,0
IWMW.US,D,20240613,000000,46.31,46.71,46.31,46.71,1889,0
IWMW.US,D,20240614,000000,45.8746,45.8746,45.8746,45.8746,239,0
IWMW.US,D,20240617,000000,45.62,46.348,45.57,46.272,4002,0
IWMW.US,D,20240618,000000,46.37,46.42,46.3598,46.3598,270,0
IWMW.US,D,20240620,000000,46.485,46.6,46.1469,46.1469,7481,0
IWMW.US,D,20240621,000000,46.0148,46.246,45.9901,46.246,1538,0
