<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWMY.US,D,20231101,000000,13.7253,13.7481,13.5567,13.7481,25349.216058266,0
IWMY.US,D,20231102,000000,13.7253,13.914,13.7253,13.8966,35246.041067853,0
IWMY.US,D,20231103,000000,15.5732,15.5732,13.9613,13.9747,22208.92012264,0
IWMY.US,D,20231106,000000,14.1501,14.1501,13.7724,13.8381,31179.076123839,0
IWMY.US,D,20231107,000000,13.8263,13.8872,13.7556,13.8523,52987.675234854,0
IWMY.US,D,20231108,000000,13.8602,13.8729,13.6982,13.7203,23770.172067972,0
IWMY.US,D,20231109,000000,13.8399,13.8399,13.5836,13.5893,38537.56938565,0
IWMY.US,D,20231110,000000,13.6375,13.6982,13.5723,13.6705,25420.38423811,0
IWMY.US,D,20231113,000000,13.6645,13.732,13.5702,13.7117,37511.561459562,0
IWMY.US,D,20231114,000000,13.941,13.941,13.8533,13.8799,35041.432550802,0
IWMY.US,D,20231115,000000,13.9074,13.9815,13.8602,13.9443,31060.462490765,0
IWMY.US,D,20231116,000000,14.022,14.022,13.6915,13.763,49705.04293954,0
IWMY.US,D,20231117,000000,13.8872,13.9141,13.8331,13.8803,32657.29852602,0
IWMY.US,D,20231120,000000,14.0558,14.0558,13.8803,13.9815,57142.117733262,0
IWMY.US,D,20231121,000000,13.941,14.2986,13.8872,13.995,47325.356925998,0
IWMY.US,D,20231122,000000,14.0085,14.0558,13.8264,14.0132,46047.295029629,0
IWMY.US,D,20231124,000000,14.022,14.0895,13.995,14.0693,32801.117556122,0
IWMY.US,D,20231127,000000,14.0759,14.0793,13.9276,14.0355,52590.319564057,0
IWMY.US,D,20231128,000000,14.0355,14.0417,13.9313,13.9882,42742.422678112,0
IWMY.US,D,20231129,000000,14.1366,14.1569,14.0624,14.0779,63298.165289787,0
IWMY.US,D,20231130,000000,14.2042,14.2042,14.0962,14.1531,1134371.8585934,0
IWMY.US,D,20231201,000000,14.2575,14.3005,14.2001,14.2756,762669.11902684,0
IWMY.US,D,20231204,000000,14.322,14.3794,14.2719,14.3723,218949.23329447,0
IWMY.US,D,20231205,000000,14.401,14.401,14.2216,14.2575,191201.6644679,0
IWMY.US,D,20231206,000000,14.3723,14.3723,14.2217,14.2432,297166.70168114,0
IWMY.US,D,20231207,000000,14.3005,14.3077,14.1714,14.3077,312791.78993595,0
IWMY.US,D,20231208,000000,14.3436,14.4727,14.3289,14.4727,179218.61891537,0
IWMY.US,D,20231211,000000,14.5444,14.5444,14.4032,14.5086,158515.30726025,0
IWMY.US,D,20231212,000000,14.5587,14.6054,14.4512,14.5695,140416.64176433,0
IWMY.US,D,20231213,000000,14.6162,14.738,14.4829,14.7168,230222.55459913,0
IWMY.US,D,20231214,000000,14.8529,14.8529,14.8055,14.8272,256720.7856534,0
IWMY.US,D,20231215,000000,14.8959,14.903,14.7166,14.7955,453123.37633855,0
IWMY.US,D,20231218,000000,14.8241,14.8811,14.7788,14.8384,238150.82979249,0
IWMY.US,D,20231219,000000,14.9102,14.9605,14.8815,14.9605,262393.00223564,0
IWMY.US,D,20231220,000000,14.9819,15.0536,14.7022,14.7093,502328.60027426,0
IWMY.US,D,20231221,000000,14.8457,14.86,14.7811,14.86,338856.37808041,0
IWMY.US,D,20231222,000000,14.9605,14.9806,14.899,14.9747,328720.84653266,0
IWMY.US,D,20231226,000000,15.0609,15.0895,15.0107,15.0751,976835.73116175,0
IWMY.US,D,20231227,000000,15.1684,15.1899,15.068,15.1541,1598483.0604408,0
IWMY.US,D,20231228,000000,15.1766,15.1984,15.0637,15.124,1110807.4058385,0
IWMY.US,D,20231229,000000,15.1389,15.1389,14.9131,14.9432,599450.82757747,0
IWMY.US,D,20240102,000000,14.9056,14.9808,14.7625,14.8604,677498.68213563,0
IWMY.US,D,20240103,000000,14.6722,14.7502,14.4539,14.5066,563624.92956992,0
IWMY.US,D,20240104,000000,14.4839,14.5292,14.4164,14.5066,544602.79907426,0
IWMY.US,D,20240105,000000,14.3862,14.612,14.3862,14.5667,243944.21163516,0
IWMY.US,D,20240108,000000,14.5367,14.5969,14.4539,14.5819,225004.43952571,0
IWMY.US,D,20240109,000000,14.4916,14.5593,14.3937,14.5593,177609.8449758,0
IWMY.US,D,20240110,000000,14.5442,14.5819,14.3929,14.5819,208039.94032459,0
IWMY.US,D,20240111,000000,14.4916,14.6571,14.3561,14.6571,211214.72327743,0
IWMY.US,D,20240112,000000,14.5819,14.6253,14.4992,14.5969,237783.27300116,0
IWMY.US,D,20240116,000000,14.4388,14.4991,14.3561,14.4388,326861.83786909,0
IWMY.US,D,20240117,000000,14.2582,14.3561,14.1981,14.3561,260445.1128235,0
IWMY.US,D,20240118,000000,14.4916,14.4916,14.2734,14.4463,189432.25848219,0
IWMY.US,D,20240119,000000,14.5066,14.5518,14.3786,14.5518,155072.87109385,0
IWMY.US,D,20240122,000000,14.627,14.6497,14.6044,14.6497,241387.116579,0
IWMY.US,D,20240123,000000,14.6798,14.7399,14.5735,14.6497,180577.40360201,0
IWMY.US,D,20240124,000000,14.755,14.755,14.5375,14.5667,193425.31185299,0
IWMY.US,D,20240125,000000,14.6421,14.6798,14.5932,14.6798,144950.75975468,0
IWMY.US,D,20240126,000000,14.6872,14.7475,14.6872,14.7475,174457.64416111,0
IWMY.US,D,20240129,000000,14.7173,14.853,14.7172,14.853,248731.62492471,0
IWMY.US,D,20240130,000000,14.853,14.853,14.7325,14.785,191443.39713933,0
IWMY.US,D,20240131,000000,14.8002,14.883,14.4991,14.6044,1148908.7863558,0
IWMY.US,D,20240201,000000,14.6528,14.6689,14.4351,14.6689,767718.63234091,0
IWMY.US,D,20240202,000000,14.6044,14.7173,14.4916,14.6771,278808.77336496,0
IWMY.US,D,20240205,000000,14.556,14.6044,14.3723,14.5158,379510.52428204,0
IWMY.US,D,20240206,000000,14.5802,14.6528,14.4594,14.6528,284206.63224442,0
IWMY.US,D,20240207,000000,14.7093,14.7093,14.556,14.6689,310626.75199765,0
IWMY.US,D,20240208,000000,14.6528,14.7658,14.6448,14.7658,211191.07365487,0
IWMY.US,D,20240209,000000,14.8625,14.8625,14.7658,14.8464,269015.00138473,0
IWMY.US,D,20240212,000000,14.8867,14.935,14.8867,14.9271,442873.67452845,0
IWMY.US,D,20240213,000000,14.7577,14.7577,14.2933,14.4271,608162.4871815,0
IWMY.US,D,20240214,000000,14.5722,14.5883,14.4996,14.5641,378563.13990715,0
IWMY.US,D,20240215,000000,14.6367,14.6851,14.6206,14.6771,202685.69482321,0
IWMY.US,D,20240216,000000,14.6125,14.6851,14.5175,14.6771,322940.26880744,0
IWMY.US,D,20240220,000000,14.4432,14.5641,14.3302,14.5641,399855.72773604,0
IWMY.US,D,20240221,000000,14.3787,14.4918,14.1125,14.3787,328417.48972877,0
IWMY.US,D,20240222,000000,14.306,14.4593,14.306,14.4593,709200.28674463,0
IWMY.US,D,20240223,000000,14.4836,14.5633,14.419,14.548,540513.78667379,0
IWMY.US,D,20240226,000000,14.5319,14.6286,14.4915,14.6286,451920.94730229,0
IWMY.US,D,20240227,000000,14.6771,14.7173,14.6448,14.6931,383686.95173575,0
IWMY.US,D,20240228,000000,14.6771,14.7173,14.5964,14.6448,531755.44133365,0
IWMY.US,D,20240229,000000,14.7335,14.7577,14.6689,14.7335,979814.92928592,0
IWMY.US,D,20240301,000000,14.8279,14.8708,14.6993,14.8622,857823.39160266,0
IWMY.US,D,20240304,000000,14.8708,14.948,14.8708,14.9394,410076.95233775,0
IWMY.US,D,20240305,000000,14.845,14.9137,14.7335,14.7592,558616.44229022,0
IWMY.US,D,20240306,000000,14.8879,14.9222,14.8304,14.9222,433936.78018538,0
IWMY.US,D,20240307,000000,14.9308,15.0251,14.9308,15.0167,428671.62915404,0
IWMY.US,D,20240308,000000,15.1197,15.1626,15.0081,15.0853,319747.7974927,0
IWMY.US,D,20240311,000000,15.1025,15.1025,14.9679,15.0081,287200.12083174,0
IWMY.US,D,20240312,000000,15.1197,15.1197,14.9737,15.0682,270179.86168772,0
IWMY.US,D,20240313,000000,15.0939,15.1325,15.0769,15.1282,183948.15505564,0
IWMY.US,D,20240314,000000,15.1883,15.1883,14.7764,14.9308,438571.46492456,0
IWMY.US,D,20240315,000000,14.948,14.9566,14.8706,14.9394,289839.68857985,0
IWMY.US,D,20240318,000000,14.9823,14.9891,14.8965,14.9222,453790.05884183,0
IWMY.US,D,20240319,000000,14.8793,15.0081,14.845,15.0081,155717.01655759,0
IWMY.US,D,20240320,000000,14.9995,15.1883,14.9737,15.1626,371637.15446952,0
IWMY.US,D,20240321,000000,15.2655,15.2998,15.2484,15.2998,236557.71197433,0
IWMY.US,D,20240322,000000,15.3427,15.3427,15.1154,15.1368,349711.8442651,0
IWMY.US,D,20240325,000000,15.1883,15.2226,15.1712,15.2055,407584.22147099,0
IWMY.US,D,20240326,000000,15.2569,15.2569,15.1711,15.1969,480127.46771926,0
IWMY.US,D,20240327,000000,15.2484,15.2569,15.2226,15.2484,367651.58197569,0
IWMY.US,D,20240328,000000,15.3084,15.3342,15.2742,15.3342,925047.87970418,0
IWMY.US,D,20240401,000000,15.4163,15.4254,15.1606,15.2064,1173440.5965684,0
IWMY.US,D,20240402,000000,15.1242,15.1242,14.896,14.9782,675216.29285733,0
IWMY.US,D,20240403,000000,14.9417,15.0877,14.9325,15.0786,391953.95252843,0
IWMY.US,D,20240404,000000,15.179,15.179,14.9417,14.9964,425903.09964586,0
IWMY.US,D,20240405,000000,14.9873,15.0968,14.9599,15.0877,435202.49489977,0
IWMY.US,D,20240408,000000,15.1242,15.1972,15.1151,15.1972,305820.60473488,0
IWMY.US,D,20240409,000000,15.2429,15.2885,15.1425,15.2885,298363.99727752,0
IWMY.US,D,20240410,000000,15.0603,15.1151,14.8778,14.9736,430035.67727283,0
IWMY.US,D,20240411,000000,15.0147,15.1151,14.9781,15.1151,221209.03592433,0
IWMY.US,D,20240412,000000,15.0603,15.0877,14.7955,14.8504,329484.32270014,0
IWMY.US,D,20240415,000000,14.8869,14.9508,14.6496,14.7317,272011.69354964,0
IWMY.US,D,20240416,000000,14.6952,14.7865,14.5858,14.7591,305305.67592134,0
IWMY.US,D,20240417,000000,14.7774,14.8138,14.604,14.604,255472.61829599,0
IWMY.US,D,20240418,000000,14.7044,14.7454,14.604,14.6222,183930.3810104,0
IWMY.US,D,20240419,000000,14.5857,14.6952,14.5766,14.677,436818.49489971,0
IWMY.US,D,20240422,000000,14.7317,14.7773,14.6591,14.7683,219593.03592439,0
IWMY.US,D,20240423,000000,14.7591,14.8687,14.7591,14.8687,134119.23524947,0
IWMY.US,D,20240424,000000,14.9052,14.9052,14.7591,14.8595,310985.23117538,0
IWMY.US,D,20240425,000000,14.7409,14.8139,14.5766,14.7956,234541.30982216,0
IWMY.US,D,20240426,000000,14.8595,14.9143,14.8061,14.9143,252415.91321136,0
IWMY.US,D,20240429,000000,14.9964,15.0056,14.953,14.9873,423476.3606629,0
IWMY.US,D,20240430,000000,14.9691,14.9691,14.7317,14.75,1175368.8406361,0
IWMY.US,D,20240501,000000,14.71,14.935,14.705,14.82,525084,0
IWMY.US,D,20240502,000000,14.91,14.98,14.865,14.97,260311,0
IWMY.US,D,20240503,000000,15.09,15.12,15.075,15.1,365771,0
IWMY.US,D,20240506,000000,15.2,15.2,15.1701,15.19,376692,0
IWMY.US,D,20240507,000000,15.19,15.27,15.19,15.27,344542,0
IWMY.US,D,20240508,000000,15.15,15.21,15.1,15.21,238333,0
IWMY.US,D,20240509,000000,15.21,15.27,15.1952,15.27,222859,0
IWMY.US,D,20240510,000000,15.29,15.309,15.15,15.21,340431,0
IWMY.US,D,20240513,000000,15.27,15.28,15.2401,15.26,170734,0
IWMY.US,D,20240514,000000,15.35,15.38,15.325,15.38,231010,0
IWMY.US,D,20240515,000000,15.47,15.57,15.47,15.56,242222,0
IWMY.US,D,20240516,000000,15.58,15.58,15.5,15.52,211527,0
IWMY.US,D,20240517,000000,15.54,15.54,15.49,15.52,191888,0
IWMY.US,D,20240520,000000,15.56,15.61,15.525,15.61,350462,0
IWMY.US,D,20240521,000000,15.59,15.6299,15.55,15.61,187406,0
IWMY.US,D,20240522,000000,15.62,15.62,15.45,15.61,268699,0
IWMY.US,D,20240523,000000,15.58,15.58,15.2501,15.32,266109,0
IWMY.US,D,20240524,000000,15.4,15.42,15.3603,15.42,221308,0
IWMY.US,D,20240528,000000,15.52,15.52,15.33,15.44,475211,0
IWMY.US,D,20240529,000000,15.34,15.34,15.2,15.24,469277,0
IWMY.US,D,20240530,000000,15.31,15.31,15.27,15.31,333961,0
IWMY.US,D,20240531,000000,15.37,15.42,15.2702,15.4,835828,0
IWMY.US,D,20240603,000000,14.56,14.561,14.34,14.46,703380,0
IWMY.US,D,20240604,000000,14.37,14.3994,14.282,14.31,593692,0
IWMY.US,D,20240605,000000,14.31,14.39,14.3,14.37,644020,0
IWMY.US,D,20240606,000000,14.37,14.3899,14.2801,14.31,447276,0
IWMY.US,D,20240607,000000,14.21,14.33,14.17,14.22,481279,0
IWMY.US,D,20240610,000000,14.17,14.29,14.071,14.29,516098,0
IWMY.US,D,20240611,000000,14.19,14.29,14.1,14.29,340728,0
IWMY.US,D,20240612,000000,14.42,14.46,14.41,14.46,422363,0
IWMY.US,D,20240613,000000,14.46,14.46,14.27,14.38,222183,0
IWMY.US,D,20240614,000000,14.23,14.26,14.11,14.16,268791,0
IWMY.US,D,20240617,000000,14.16,14.26,14.1217,14.26,290268,0
IWMY.US,D,20240618,000000,14.28,14.32,14.2502,14.32,182499,0
IWMY.US,D,20240620,000000,14.32,14.3793,14.2636,14.29,256173,0
IWMY.US,D,20240621,000000,14.35,14.36,14.2601,14.36,198057,0
