<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANJ.US,D,20240103,000000,24.55,24.57,24.47,24.5399,217723,0
JANJ.US,D,20240104,000000,24.53,24.5686,24.48,24.505,34199,0
JANJ.US,D,20240105,000000,24.51,24.59,24.51,24.5766,15051,0
JANJ.US,D,20240108,000000,24.609,24.65,24.5697,24.65,100820,0
JANJ.US,D,20240109,000000,24.58,24.66,24.58,24.635,7596,0
JANJ.US,D,20240110,000000,24.62,24.6599,24.5872,24.64,13556,0
JANJ.US,D,20240111,000000,24.66,24.71,24.62,24.69,6369,0
JANJ.US,D,20240112,000000,24.74,24.75,24.6901,24.72,12352,0
JANJ.US,D,20240116,000000,24.72,24.72,24.6851,24.6851,4247,0
JANJ.US,D,20240117,000000,24.67,24.69,24.6181,24.69,17878,0
JANJ.US,D,20240118,000000,24.63,24.69,24.63,24.6808,8594,0
JANJ.US,D,20240119,000000,24.72,24.75,24.6949,24.75,7230,0
JANJ.US,D,20240122,000000,24.7085,24.77,24.7018,24.77,7953,0
JANJ.US,D,20240123,000000,24.75,24.79,24.7365,24.79,19394,0
JANJ.US,D,20240124,000000,24.81,24.81,24.7371,24.76,14077,0
JANJ.US,D,20240125,000000,24.78,24.79,24.765,24.775,1804,0
JANJ.US,D,20240126,000000,24.77,24.8,24.77,24.795,15259,0
JANJ.US,D,20240129,000000,24.81,24.82,24.78,24.81,7252,0
JANJ.US,D,20240130,000000,24.81,24.81,24.78,24.78,12282,0
JANJ.US,D,20240131,000000,24.8002,24.83,24.74,24.74,16887,0
JANJ.US,D,20240201,000000,24.79,24.8199,24.76,24.7894,7636,0
JANJ.US,D,20240202,000000,24.8,24.84,24.77,24.83,22283,0
JANJ.US,D,20240205,000000,24.8,24.84,24.75,24.805,43876,0
JANJ.US,D,20240206,000000,24.805,24.85,24.78,24.84,81195,0
JANJ.US,D,20240207,000000,24.845,24.87,24.8271,24.85,20162,0
JANJ.US,D,20240208,000000,24.8191,24.89,24.801,24.8704,35703,0
JANJ.US,D,20240209,000000,24.855,24.88,24.855,24.8598,12910,0
JANJ.US,D,20240212,000000,24.8293,24.87,24.8291,24.87,2294,0
JANJ.US,D,20240213,000000,24.7941,24.82,24.7401,24.8,13765,0
JANJ.US,D,20240214,000000,24.7905,24.8488,24.7905,24.8488,1266,0
JANJ.US,D,20240215,000000,24.86,24.87,24.82,24.8398,8484,0
JANJ.US,D,20240216,000000,24.835,24.87,24.8201,24.835,10724,0
JANJ.US,D,20240220,000000,24.85,24.86,24.8298,24.8298,101623,0
JANJ.US,D,20240221,000000,24.84,24.85,24.8385,24.8385,997,0
JANJ.US,D,20240222,000000,24.8793,24.89,24.841,24.875,7864,0
JANJ.US,D,20240223,000000,24.91,24.92,24.8619,24.92,17657,0
JANJ.US,D,20240226,000000,24.9099,24.9099,24.8601,24.8866,3623,0
JANJ.US,D,20240227,000000,24.885,24.9299,24.85,24.9,40412,0
JANJ.US,D,20240228,000000,24.93,24.93,24.915,24.93,11720,0
JANJ.US,D,20240229,000000,24.88,24.94,24.87,24.94,11086,0
JANJ.US,D,20240301,000000,24.9333,24.96,24.9121,24.94,11646,0
JANJ.US,D,20240304,000000,24.96,24.96,24.925,24.925,11730,0
JANJ.US,D,20240305,000000,24.93,24.93,24.8999,24.9001,5035,0
JANJ.US,D,20240306,000000,24.94,24.95,24.915,24.915,7052,0
JANJ.US,D,20240307,000000,24.92,24.96,24.9,24.9001,28013,0
JANJ.US,D,20240308,000000,24.95,24.95,24.9,24.9,10189,0
JANJ.US,D,20240311,000000,24.92,24.9388,24.905,24.915,5560,0
JANJ.US,D,20240312,000000,24.94,24.98,24.94,24.95,8803,0
JANJ.US,D,20240313,000000,24.97,24.97,24.9199,24.945,5836,0
JANJ.US,D,20240314,000000,24.97,24.97,24.9501,24.9501,11267,0
JANJ.US,D,20240315,000000,24.95,24.95,24.9,24.925,13260,0
JANJ.US,D,20240318,000000,24.96,24.98,24.91,24.91,28660,0
JANJ.US,D,20240319,000000,24.9,24.9676,24.9,24.9676,2246,0
JANJ.US,D,20240320,000000,24.99,25.04,24.97,25.02,9933,0
JANJ.US,D,20240321,000000,25.0057,25.0057,25.0057,25.0057,91,0
JANJ.US,D,20240322,000000,25.015,25.03,25.0148,25.0148,611,0
JANJ.US,D,20240325,000000,25.05,25.05,25.02,25.03,3958,0
JANJ.US,D,20240326,000000,25.015,25.05,25.015,25.03,16492,0
JANJ.US,D,20240327,000000,24.72,24.72,24.71,24.71,623,0
JANJ.US,D,20240328,000000,24.72,24.72,24.6841,24.705,1504,0
JANJ.US,D,20240401,000000,24.72,24.72,24.65,24.685,2505,0
JANJ.US,D,20240402,000000,24.69,24.69,24.675,24.685,937,0
JANJ.US,D,20240403,000000,24.7,24.71,24.6697,24.685,18253,0
JANJ.US,D,20240404,000000,24.685,24.685,24.6716,24.6716,396,0
JANJ.US,D,20240405,000000,24.7,24.7,24.65,24.68,1819,0
JANJ.US,D,20240408,000000,24.68,24.695,24.6681,24.695,916,0
JANJ.US,D,20240409,000000,24.71,24.71,24.695,24.705,1238,0
JANJ.US,D,20240410,000000,24.66,24.675,24.66,24.675,517,0
JANJ.US,D,20240411,000000,24.71,24.71,24.69,24.69,169,0
JANJ.US,D,20240412,000000,24.62,24.6501,24.62,24.6501,2212,0
JANJ.US,D,20240415,000000,24.625,24.625,24.625,24.625,104,0
JANJ.US,D,20240416,000000,24.59,24.6407,24.59,24.6407,171,0
JANJ.US,D,20240417,000000,24.6262,24.6262,24.6262,24.6262,50,0
JANJ.US,D,20240418,000000,24.6384,24.645,24.6384,24.645,507,0
JANJ.US,D,20240419,000000,24.6417,24.66,24.6417,24.65,5168,0
JANJ.US,D,20240422,000000,24.67,24.73,24.67,24.7,622,0
JANJ.US,D,20240423,000000,24.7375,24.7375,24.7375,24.7375,111,0
JANJ.US,D,20240424,000000,24.76,24.76,24.7448,24.7448,1612,0
JANJ.US,D,20240425,000000,24.735,24.735,24.735,24.735,12,0
JANJ.US,D,20240426,000000,24.78,24.79,24.775,24.775,775,0
JANJ.US,D,20240429,000000,24.775,24.775,24.775,24.775,3,0
JANJ.US,D,20240430,000000,24.75,24.79,24.74,24.765,1643,0
JANJ.US,D,20240501,000000,24.6901,24.76,24.6901,24.76,435,0
JANJ.US,D,20240502,000000,24.7851,24.7851,24.7851,24.7851,50,0
JANJ.US,D,20240503,000000,24.815,24.815,24.78,24.79,4370,0
JANJ.US,D,20240506,000000,24.8381,24.84,24.8381,24.84,2885,0
JANJ.US,D,20240507,000000,24.8,24.8299,24.8,24.8299,488,0
JANJ.US,D,20240508,000000,24.81,24.835,24.79,24.835,4260,0
JANJ.US,D,20240509,000000,24.845,24.845,24.845,24.845,933,0
JANJ.US,D,20240510,000000,24.85,24.87,24.82,24.845,810,0
JANJ.US,D,20240513,000000,24.87,24.87,24.8287,24.855,1533,0
JANJ.US,D,20240514,000000,24.86,24.86,24.83,24.86,4927,0
JANJ.US,D,20240515,000000,24.89,24.89,24.89,24.89,1,0
JANJ.US,D,20240516,000000,24.875,24.875,24.875,24.875,61,0
JANJ.US,D,20240517,000000,24.885,24.885,24.885,24.885,1,0
JANJ.US,D,20240520,000000,24.8898,24.89,24.8898,24.89,1912,0
JANJ.US,D,20240521,000000,24.87,24.89,24.87,24.89,1434,0
JANJ.US,D,20240522,000000,24.91,24.92,24.89,24.89,2634,0
JANJ.US,D,20240523,000000,24.8601,24.88,24.85,24.88,2934,0
JANJ.US,D,20240524,000000,24.89,24.9,24.89,24.9,201,0
JANJ.US,D,20240528,000000,24.9,24.9,24.9,24.9,164,0
JANJ.US,D,20240529,000000,24.88,24.8955,24.88,24.8955,1029,0
JANJ.US,D,20240530,000000,24.8921,24.8921,24.89,24.89,569,0
JANJ.US,D,20240531,000000,24.9,24.9316,24.9,24.9316,202,0
