<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JBND.US,D,20231013,000000,50.01,50.0124,49.97,50.0124,7181,0
JBND.US,D,20231016,000000,49.73,49.8,49.73,49.755,3388,0
JBND.US,D,20231017,000000,49.44,49.495,49.44,49.4503,1664,0
JBND.US,D,20231018,000000,49.21,49.2536,49.21,49.22,873,0
JBND.US,D,20231019,000000,49.12,49.21,49.03,49.0405,11071,0
JBND.US,D,20231020,000000,49.09,49.1725,49.08,49.1502,548131,0
JBND.US,D,20231023,000000,49.07,49.36,49.0247,49.36,6052,0
JBND.US,D,20231024,000000,49.38,49.54,49.38,49.54,3215,0
JBND.US,D,20231025,000000,49.35,49.35,49.22,49.22,4336,0
JBND.US,D,20231026,000000,49.25,49.49,49.25,49.49,14053,0
JBND.US,D,20231027,000000,49.5038,49.53,49.46,49.53,6841,0
JBND.US,D,20231030,000000,49.41,49.47,49.3901,49.46,20305,0
JBND.US,D,20231031,000000,49.4501,49.4687,49.42,49.42,7565,0
JBND.US,D,20231101,000000,49.38,49.66,49.38,49.66,10004,0
JBND.US,D,20231102,000000,49.96,50.01,49.8833,49.97,13966,0
JBND.US,D,20231103,000000,50.37,50.42,50.25,50.25,6610,0
JBND.US,D,20231106,000000,50.19,50.19,50.07,50.07,16124,0
JBND.US,D,20231107,000000,50.2354,50.27,50.2354,50.27,2162,0
JBND.US,D,20231108,000000,50.4594,50.471,50.43,50.4522,3150,0
JBND.US,D,20231109,000000,50.4066,50.4066,50.16,50.16,10589,0
JBND.US,D,20231110,000000,50.23,50.23,50.131,50.175,2978,0
JBND.US,D,20231113,000000,50.04,50.19,50.04,50.17,2744,0
JBND.US,D,20231114,000000,50.68,50.74,50.6,50.74,13468,0
JBND.US,D,20231115,000000,50.6,50.6,50.52,50.54,8183,0
JBND.US,D,20231116,000000,50.73,50.7799,50.7,50.7448,21501,0
JBND.US,D,20231117,000000,50.772,50.8818,50.772,50.83,16360,0
JBND.US,D,20231120,000000,50.815,50.9499,50.815,50.9196,10818,0
JBND.US,D,20231121,000000,50.935,51,50.935,50.9775,17897,0
JBND.US,D,20231122,000000,50.97,51.05,50.97,51.0256,6513,0
JBND.US,D,20231124,000000,50.9127,50.9127,50.85,50.875,791,0
JBND.US,D,20231127,000000,50.9245,51.07,50.9245,51.07,14547,0
JBND.US,D,20231128,000000,51.0611,51.29,51.0611,51.29,16540,0
JBND.US,D,20231129,000000,51.49,51.6,51.49,51.579,5002,0
JBND.US,D,20231130,000000,51.42,51.48,51.42,51.44,3859,0
JBND.US,D,20231201,000000,51.29,51.57,51.29,51.57,5867,0
JBND.US,D,20231204,000000,51.53,51.5999,51.4533,51.529,100670,0
JBND.US,D,20231205,000000,51.6855,51.79,51.6855,51.7597,17943,0
JBND.US,D,20231206,000000,51.9749,51.9775,51.95,51.96,7484,0
JBND.US,D,20231207,000000,51.9721,52.0299,51.9721,51.9946,4705,0
JBND.US,D,20231208,000000,51.84,51.86,51.73,51.8,18781,0
JBND.US,D,20231211,000000,51.64,51.735,51.64,51.7153,4803,0
JBND.US,D,20231212,000000,51.8,51.86,51.7657,51.8299,8619,0
JBND.US,D,20231213,000000,51.98,52.39,51.98,52.39,9320,0
JBND.US,D,20231214,000000,52.7701,52.94,52.73,52.94,23980,0
JBND.US,D,20231215,000000,52.89,52.94,52.84,52.9156,2183,0
JBND.US,D,20231218,000000,52.8,52.8099,52.7677,52.78,2670,0
JBND.US,D,20231219,000000,52.89,52.895,52.8001,52.8269,7272,0
JBND.US,D,20231220,000000,52.94,52.98,52.84,52.98,5764,0
JBND.US,D,20231221,000000,52.9501,53.04,52.9501,53.025,16895,0
JBND.US,D,20231222,000000,52.935,53.02,52.9265,52.9362,2412,0
JBND.US,D,20231226,000000,52.95,53.01,52.95,53.0061,67505,0
JBND.US,D,20231227,000000,53.12,53.31,53.12,53.3081,13026,0
JBND.US,D,20231228,000000,53.1499,53.1499,53.02,53.0694,1988,0
JBND.US,D,20231229,000000,53.01,53.05,52.89,52.9878,6535,0
JBND.US,D,20240102,000000,52.77,52.82,52.76,52.77,15751,0
JBND.US,D,20240103,000000,52.64,52.81,52.64,52.7807,11018,0
JBND.US,D,20240104,000000,52.58,52.67,52.57,52.61,8940,0
JBND.US,D,20240105,000000,52.575,52.67,52.42,52.4568,71469,0
JBND.US,D,20240108,000000,52.42,52.65,52.42,52.59,14204,0
JBND.US,D,20240109,000000,52.65,52.66,52.62,52.62,1509,0
JBND.US,D,20240110,000000,52.75,52.77,52.6294,52.6294,18658,0
JBND.US,D,20240111,000000,52.67,52.81,52.5701,52.79,12986,0
JBND.US,D,20240112,000000,52.95,52.98,52.89,52.92,7929,0
JBND.US,D,20240116,000000,52.84,52.84,52.6,52.62,24906,0
JBND.US,D,20240117,000000,52.46,52.57,52.46,52.55,144421,0
JBND.US,D,20240118,000000,52.51,52.51,52.38,52.46,28072,0
JBND.US,D,20240119,000000,52.4,52.46,52.31,52.46,30999,0
JBND.US,D,20240122,000000,52.54,52.62,52.48,52.48,1395478,0
JBND.US,D,20240123,000000,52.68,52.68,52.365,52.4,33715,0
JBND.US,D,20240124,000000,52.56,52.56,52.31,52.31,50494,0
JBND.US,D,20240125,000000,52.43,52.51,52.42,52.51,29002,0
JBND.US,D,20240126,000000,52.49,52.52,52.44,52.48,31931,0
JBND.US,D,20240129,000000,52.61,52.72,52.58,52.7,17393,0
