<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JMHI.US,D,20230718,000000,50.09,50.23,49,50.22,27701,0
JMHI.US,D,20230719,000000,49.87,50.2,49.87,50.1339,15474,0
JMHI.US,D,20230720,000000,49.59,50.02,49.26,49.82,98035,0
JMHI.US,D,20230721,000000,49.8,50,49.485,49.88,29092,0
JMHI.US,D,20230724,000000,49.69,49.93,48.83,49.77,37435,0
JMHI.US,D,20230725,000000,49.62,49.7507,49.6,49.6941,13298,0
JMHI.US,D,20230726,000000,49.9,49.97,49.13,49.91,89059,0
JMHI.US,D,20230727,000000,49.76,49.794,49.5512,49.66,17498,0
JMHI.US,D,20230728,000000,49.65,49.79,49.63,49.6932,10400,0
JMHI.US,D,20230731,000000,49.57,49.6,49.35,49.4041,58716,0
JMHI.US,D,20230801,000000,49.3,49.321,49.2,49.27,19289,0
JMHI.US,D,20230802,000000,49.21,49.21,49.07,49.14,14212,0
JMHI.US,D,20230803,000000,49,49,48.7138,48.725,15486,0
JMHI.US,D,20230804,000000,48.8,49.06,48.8,49.0103,53622,0
JMHI.US,D,20230807,000000,48.86,48.87,48.84,48.8405,6708,0
JMHI.US,D,20230808,000000,49.08,49.08,48.9506,49.03,24033,0
JMHI.US,D,20230809,000000,49.1,49.11,49.0801,49.11,1841,0
JMHI.US,D,20230810,000000,49.15,49.1703,48.97,49,34738,0
JMHI.US,D,20230811,000000,49.06,49.16,48.94,49.015,33504,0
JMHI.US,D,20230814,000000,49.0948,49.15,48.9521,49.1069,11622,0
JMHI.US,D,20230815,000000,49.14,49.17,49.025,49.106,36244,0
JMHI.US,D,20230816,000000,49.12,49.2,49.05,49.13,7398,0
JMHI.US,D,20230817,000000,49,49,48.75,48.88,34786,0
JMHI.US,D,20230818,000000,48.8,48.8,48.6101,48.72,38596,0
JMHI.US,D,20230821,000000,48.61,48.62,48.44,48.49,8904,0
JMHI.US,D,20230822,000000,48.61,48.635,48.4,48.51,36453,0
JMHI.US,D,20230823,000000,48.61,48.73,48.5567,48.73,23147,0
JMHI.US,D,20230824,000000,48.52,48.67,48.35,48.53,25074,0
JMHI.US,D,20230825,000000,48.55,48.58,48.42,48.58,10137,0
JMHI.US,D,20230828,000000,48.6,48.62,48.58,48.62,6428,0
JMHI.US,D,20230829,000000,48.55,48.78,48.55,48.7,33992,0
JMHI.US,D,20230830,000000,48.61,48.71,48.44,48.6808,30328,0
JMHI.US,D,20230831,000000,48.79,48.88,48.74,48.78,3215,0
JMHI.US,D,20230901,000000,48.74,48.77,48.32,48.46,42583,0
JMHI.US,D,20230905,000000,48.6,48.61,48.41,48.42,13839,0
JMHI.US,D,20230906,000000,48.53,48.659,48.48,48.505,26304,0
JMHI.US,D,20230907,000000,48.52,48.52,48.41,48.4596,15562,0
JMHI.US,D,20230908,000000,48.45,48.5,48.3754,48.45,17589,0
JMHI.US,D,20230911,000000,48.48,48.48,48.35,48.38,14379,0
JMHI.US,D,20230912,000000,48.35,48.55,48.35,48.5022,32249,0
JMHI.US,D,20230913,000000,48.5,48.57,48.45,48.5625,40485,0
JMHI.US,D,20230914,000000,48.45,48.45,48.315,48.38,14965,0
JMHI.US,D,20230915,000000,48.31,48.31,48.26,48.295,6395,0
JMHI.US,D,20230918,000000,48.4,48.429,48.331,48.38,25074,0
JMHI.US,D,20230919,000000,48.47,48.49,48.36,48.36,2411,0
JMHI.US,D,20230920,000000,48.26,48.35,48.25,48.25,10098,0
JMHI.US,D,20230921,000000,47.93,48,47.758,47.81,74211,0
JMHI.US,D,20230922,000000,47.99,47.99,47.91,47.912,12505,0
JMHI.US,D,20230925,000000,47.65,47.65,47.49,47.5,17739,0
JMHI.US,D,20230926,000000,47.5,47.5,47.3,47.32,12537,0
JMHI.US,D,20230927,000000,47.47,47.515,47.28,47.35,26651,0
JMHI.US,D,20230928,000000,47.3999,47.485,47.3,47.3,64458,0
JMHI.US,D,20230929,000000,47.34,47.44,47.26,47.4074,21392,0
JMHI.US,D,20231002,000000,47.17,47.17,46.77,46.95,75565,0
JMHI.US,D,20231003,000000,46.85,46.9,46.535,46.542,18224,0
JMHI.US,D,20231004,000000,46.7,46.775,46.66,46.775,32320,0
JMHI.US,D,20231005,000000,46.8,46.85,46.78,46.85,6459,0
JMHI.US,D,20231006,000000,46.7,46.7,46.54,46.55,28967,0
JMHI.US,D,20231009,000000,46.6373,46.745,46.57,46.6917,34819,0
JMHI.US,D,20231010,000000,46.71,46.85,46.6819,46.85,24945,0
JMHI.US,D,20231011,000000,47.18,47.25,47.05,47.25,10472,0
JMHI.US,D,20231012,000000,47.21,47.3,47.1323,47.1323,15970,0
JMHI.US,D,20231013,000000,47.4,47.41,47.16,47.16,41288,0
JMHI.US,D,20231016,000000,47.06,47.13,46.85,46.85,13986,0
JMHI.US,D,20231017,000000,46.92,46.92,46.585,46.585,11553,0
JMHI.US,D,20231018,000000,46.54,46.54,46.41,46.41,10513,0
JMHI.US,D,20231019,000000,46.34,46.4,46.15,46.15,9243,0
JMHI.US,D,20231020,000000,46.17,46.25,46.16,46.1852,3545,0
JMHI.US,D,20231023,000000,46.26,46.33,46.205,46.205,17345,0
JMHI.US,D,20231024,000000,46.34,46.4,46.331,46.4,7640,0
JMHI.US,D,20231025,000000,46.21,46.28,46.11,46.125,37630,0
JMHI.US,D,20231026,000000,46.19,46.29,46.175,46.29,3305,0
JMHI.US,D,20231027,000000,46.18,46.2111,46.16,46.17,13356,0
JMHI.US,D,20231030,000000,46.13,46.25,46.13,46.15,7780,0
JMHI.US,D,20231031,000000,46.15,46.16,46.11,46.115,22869,0
JMHI.US,D,20231101,000000,46.11,46.11,45.945,45.99,16613,0
JMHI.US,D,20231102,000000,46.35,46.6393,46.32,46.52,45398,0
JMHI.US,D,20231103,000000,46.77,47.135,46.7,47.04,29271,0
JMHI.US,D,20231106,000000,46.95,46.99,46.85,46.91,29494,0
JMHI.US,D,20231107,000000,46.98,47.15,46.98,47.15,7722,0
JMHI.US,D,20231108,000000,47.1,47.299,47.07,47.24,9263,0
JMHI.US,D,20231109,000000,47.26,47.3999,47.21,47.21,21813,0
JMHI.US,D,20231110,000000,47.25,47.3,47.25,47.26,8244,0
JMHI.US,D,20231113,000000,47.25,47.33,47.25,47.33,7350,0
JMHI.US,D,20231114,000000,47.51,47.8,47.51,47.69,15675,0
JMHI.US,D,20231115,000000,47.7,47.7,47.61,47.645,2759,0
JMHI.US,D,20231116,000000,47.7,47.82,47.678,47.82,8483,0
JMHI.US,D,20231117,000000,47.85,47.85,47.77,47.785,9861,0
JMHI.US,D,20231120,000000,47.78,47.98,47.78,47.98,22430,0
JMHI.US,D,20231121,000000,47.92,48.11,47.92,48.08,48892,0
JMHI.US,D,20231122,000000,48.16,48.2,48.1,48.2,17563,0
JMHI.US,D,20231124,000000,48.08,48.135,48.08,48.135,4469,0
