<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPMO.US,D,20230913,000000,20.37,20.37,20.125,20.1819,30197,0
JPMO.US,D,20230914,000000,20.38,20.43,20.27,20.3766,19685,0
JPMO.US,D,20230915,000000,20.64,20.64,20.3342,20.36,9297,0
JPMO.US,D,20230918,000000,20.39,20.41,20.33,20.405,27419,0
JPMO.US,D,20230919,000000,20.49,20.49,20.2961,20.395,7516,0
JPMO.US,D,20230920,000000,20.42,20.4699,20.3751,20.3751,10682,0
JPMO.US,D,20230921,000000,20.44,20.44,20.2985,20.2985,7853,0
JPMO.US,D,20230922,000000,20.26,20.31,20.09,20.1414,9580,0
JPMO.US,D,20230925,000000,20,20.172,19.88,20.172,10286,0
JPMO.US,D,20230926,000000,20.1,20.1101,19.9845,20.05,5315,0
JPMO.US,D,20230927,000000,20.07,20.14,20.07,20.1218,2220,0
JPMO.US,D,20230928,000000,20.09,20.4599,20.09,20.3448,2474,0
JPMO.US,D,20230929,000000,20.35,20.42,20.0689,20.0689,7794,0
JPMO.US,D,20231002,000000,20.07,20.07,19.86,19.9429,3822,0
JPMO.US,D,20231003,000000,19.91,20,19.78,19.825,4310,0
JPMO.US,D,20231004,000000,19.8138,19.94,19.7505,19.94,3448,0
JPMO.US,D,20231005,000000,19.9699,19.978,19.75,19.978,10644,0
JPMO.US,D,20231006,000000,19.631,19.935,19.631,19.9179,3059,0
JPMO.US,D,20231009,000000,19.9,19.98,19.79,19.8971,6607,0
JPMO.US,D,20231010,000000,20.03,20.1,20,20.0032,4579,0
JPMO.US,D,20231011,000000,20.02,20.119,19.98,20.043,7396,0
JPMO.US,D,20231012,000000,20.03,20.089,20.015,20.0357,3980,0
JPMO.US,D,20231013,000000,20.381,20.45,20.38,20.4201,4836,0
JPMO.US,D,20231016,000000,20.29,20.29,19.9,20.0158,8173,0
JPMO.US,D,20231017,000000,20.04,20.2,19.8848,19.9117,8895,0
JPMO.US,D,20231018,000000,19.99,19.99,19.73,19.7437,9213,0
JPMO.US,D,20231019,000000,19.74,19.84,19.58,19.6596,17486,0
JPMO.US,D,20231020,000000,19.55,19.55,19.32,19.3549,8682,0
JPMO.US,D,20231023,000000,19.38,19.5,19.1077,19.1077,5034,0
JPMO.US,D,20231024,000000,19.196,19.2,19.05,19.1879,11165,0
JPMO.US,D,20231025,000000,19,19.1299,18.93,19.0301,19268,0
JPMO.US,D,20231026,000000,19.0679,19.23,19.01,19.0955,6272,0
JPMO.US,D,20231027,000000,18.81,18.81,18.33,18.3922,23621,0
JPMO.US,D,20231030,000000,18.575,18.7299,18.47,18.659,5962,0
JPMO.US,D,20231031,000000,18.74,18.8462,18.711,18.8462,4471,0
JPMO.US,D,20231101,000000,18.9,19,18.82,18.8901,6553,0
JPMO.US,D,20231102,000000,19.02,19.11,18.93,19.1031,6942,0
JPMO.US,D,20231103,000000,19.05,19.2,19.05,19.181,4541,0
JPMO.US,D,20231106,000000,19.2,19.2599,19.1742,19.2294,11706,0
JPMO.US,D,20231107,000000,19.25,19.3,19.151,19.27,25864,0
JPMO.US,D,20231108,000000,18.85,18.85,18.73,18.8154,23763,0
JPMO.US,D,20231109,000000,19.09,19.09,18.76,18.78,21039,0
JPMO.US,D,20231110,000000,18.84,18.87,18.75,18.845,11919,0
JPMO.US,D,20231113,000000,18.83,18.88,18.8,18.84,5591,0
JPMO.US,D,20231114,000000,18.83,18.93,18.821,18.8801,10809,0
JPMO.US,D,20231115,000000,18.99,18.99,18.88,18.925,10917,0
JPMO.US,D,20231116,000000,18.8,18.9799,18.8,18.9101,13360,0
JPMO.US,D,20231117,000000,18.95,18.97,18.9,18.97,9777,0
JPMO.US,D,20231120,000000,19.03,19.1,18.9549,19,27070,0
JPMO.US,D,20231121,000000,19.68,19.68,19.02,19.1622,10710,0
JPMO.US,D,20231122,000000,19.16,19.16,19.02,19.0701,12992,0
JPMO.US,D,20231124,000000,19.14,19.17,19.09,19.11,4153,0
JPMO.US,D,20231127,000000,19.19,19.19,19.0488,19.14,10680,0
JPMO.US,D,20231128,000000,19.11,19.15,19.06,19.145,19261,0
JPMO.US,D,20231129,000000,19.26,19.26,19.2,19.2,5993,0
JPMO.US,D,20231130,000000,19.2399,19.29,19.235,19.27,10720,0
JPMO.US,D,20231201,000000,19.2701,19.34,19.27,19.3131,9702,0
JPMO.US,D,20231204,000000,19.2,19.3,19.1399,19.287,26694,0
JPMO.US,D,20231205,000000,19.35,19.38,19.21,19.33,24607,0
JPMO.US,D,20231206,000000,19.49,19.49,19.08,19.0938,33382,0
JPMO.US,D,20231207,000000,19.04,19.06,18.9,18.9591,24902,0
JPMO.US,D,20231208,000000,19.06,19.14,19,19.115,10228,0
JPMO.US,D,20231211,000000,19.135,19.23,19.12,19.1963,6786,0
JPMO.US,D,20231212,000000,19.12,19.3,19.12,19.2697,13270,0
JPMO.US,D,20231213,000000,19.25,19.3899,19.245,19.3308,21957,0
JPMO.US,D,20231214,000000,19.35,19.4499,19.33,19.38,12639,0
JPMO.US,D,20231215,000000,19.32,19.49,19.32,19.4615,9963,0
JPMO.US,D,20231218,000000,19.58,19.66,19.54,19.5926,11656,0
JPMO.US,D,20231219,000000,19.36,19.6966,19.36,19.6966,8588,0
JPMO.US,D,20231220,000000,19.69,19.79,19.63,19.64,5898,0
JPMO.US,D,20231221,000000,19.51,19.7682,19.44,19.7177,9360,0
JPMO.US,D,20231222,000000,19.725,19.8009,19.72,19.8009,3804,0
JPMO.US,D,20231226,000000,19.8,19.87,19.71,19.8069,17391,0
JPMO.US,D,20231227,000000,19.54,19.9316,19.54,19.9316,5156,0
JPMO.US,D,20231228,000000,20.029,20.07,20.0181,20.0205,4235,0
JPMO.US,D,20231229,000000,20,20.1,20,20.0361,8307,0
JPMO.US,D,20240102,000000,19.74,20.2,19.74,20.1729,11860,0
JPMO.US,D,20240103,000000,20.2,20.2,20.03,20.1508,8686,0
JPMO.US,D,20240104,000000,20.11,20.3199,20.11,20.1698,10487,0
JPMO.US,D,20240105,000000,20.12,20.12,19.9101,19.956,9021,0
JPMO.US,D,20240108,000000,20,20,19.82,19.9641,16281,0
JPMO.US,D,20240109,000000,20.09,20.09,19.8501,19.9296,4052,0
JPMO.US,D,20240110,000000,19.76,19.9491,19.76,19.9247,8419,0
JPMO.US,D,20240111,000000,19.82,19.8784,19.66,19.8723,17634,0
JPMO.US,D,20240112,000000,20.09,20.33,19.9444,19.9444,27911,0
JPMO.US,D,20240116,000000,19.94,19.94,19.31,19.8505,17047,0
JPMO.US,D,20240117,000000,19.84,19.998,19.695,19.761,17089,0
JPMO.US,D,20240118,000000,19.84,19.84,19.51,19.7875,17909,0
JPMO.US,D,20240119,000000,19.79,19.985,19.79,19.9702,2785,0
JPMO.US,D,20240122,000000,20.09,20.09,19.94,19.9937,8932,0
JPMO.US,D,20240123,000000,20.03,20.0399,19.92,19.955,4049,0
JPMO.US,D,20240124,000000,19.93,20.09,19.93,20.035,7736,0
JPMO.US,D,20240125,000000,20.0869,20.1708,20.03,20.17,17014,0
JPMO.US,D,20240126,000000,20.06,20.206,20.0401,20.206,9746,0
JPMO.US,D,20240129,000000,20.09,20.21,20.0475,20.21,9199,0
JPMO.US,D,20240130,000000,20.24,20.385,20.2399,20.3799,6958,0
JPMO.US,D,20240131,000000,20.38,20.45,20.3239,20.3239,6938,0
JPMO.US,D,20240201,000000,20.31,20.31,20.12,20.2545,7099,0
JPMO.US,D,20240202,000000,20.44,20.49,20.28,20.49,4668,0
JPMO.US,D,20240205,000000,20.58,20.58,20.21,20.405,7288,0
JPMO.US,D,20240206,000000,20.4244,20.5,20.34,20.48,8705,0
JPMO.US,D,20240207,000000,20.29,20.31,20.1203,20.2717,9159,0
JPMO.US,D,20240208,000000,20.141,20.2131,20.081,20.1926,10146,0
JPMO.US,D,20240209,000000,20.203,20.28,20.1,20.2558,14138,0
JPMO.US,D,20240212,000000,20.25,20.41,20.25,20.3009,7742,0
JPMO.US,D,20240213,000000,20.34,20.34,20.14,20.1823,5953,0
JPMO.US,D,20240214,000000,20.28,20.3999,20.24,20.3116,7895,0
JPMO.US,D,20240215,000000,20.2,20.62,20.2,20.585,5738,0
JPMO.US,D,20240216,000000,20.63,20.64,20.5708,20.64,5340,0
JPMO.US,D,20240220,000000,20.65,20.77,20.5701,20.7208,12242,0
JPMO.US,D,20240221,000000,20.98,20.98,20.36,20.36,14579,0
JPMO.US,D,20240222,000000,20.82,20.96,20.82,20.9471,7239,0
