<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRNY.US,D,20210910,000000,25.099,25.099,24.78,24.78,41111,0
JRNY.US,D,20210913,000000,24.889,24.899,24.889,24.899,40351,0
JRNY.US,D,20210914,000000,24.61,24.66,24.58,24.58,41355,0
JRNY.US,D,20210915,000000,24.49,24.494,24.25,24.494,41822,0
JRNY.US,D,20210916,000000,24.47,24.53,24.42,24.472,1074,0
JRNY.US,D,20210917,000000,24.395,24.428,24.395,24.428,116,0
JRNY.US,D,20210920,000000,24.32,24.32,23.921,24.156,4413,0
JRNY.US,D,20210921,000000,24.33,24.33,24.29,24.29,1307,0
JRNY.US,D,20210922,000000,24.739,24.739,24.739,24.739,49,0
JRNY.US,D,20210923,000000,25.219,25.329,25.219,25.289,1382,0
JRNY.US,D,20210924,000000,25.399,25.399,25.399,25.399,245,0
JRNY.US,D,20210927,000000,25.528,25.528,25.528,25.528,72,0
JRNY.US,D,20210928,000000,25.139,25.139,25.065,25.065,515,0
JRNY.US,D,20210929,000000,24.869,24.869,24.869,24.869,1364,0
JRNY.US,D,20210930,000000,24.69,24.69,24.635,24.66,731,0
JRNY.US,D,20211001,000000,24.899,25.569,24.899,25.489,4434,0
JRNY.US,D,20211004,000000,25.231,25.231,25.231,25.231,16,0
JRNY.US,D,20211005,000000,25.333,25.333,25.333,25.333,12,0
JRNY.US,D,20211006,000000,25.009,25.209,25.009,25.196,3434,0
JRNY.US,D,20211007,000000,25.419,25.509,25.419,25.449,10378,0
JRNY.US,D,20211008,000000,25.439,25.439,25.347,25.347,5208,0
JRNY.US,D,20211011,000000,25.223,25.223,25.223,25.223,9,0
JRNY.US,D,20211012,000000,25.36,25.36,25.36,25.36,45,0
JRNY.US,D,20211013,000000,25.389,25.389,25.339,25.339,374,0
JRNY.US,D,20211014,000000,25.519,25.558,25.519,25.558,195,0
JRNY.US,D,20211015,000000,25.678,25.738,25.678,25.738,222,0
JRNY.US,D,20211018,000000,25.509,25.628,25.509,25.542,55455,0
JRNY.US,D,20211019,000000,25.439,25.499,25.359,25.415,2182,0
JRNY.US,D,20211020,000000,25.254,25.254,25.254,25.254,182,0
JRNY.US,D,20211021,000000,25.32,25.32,25.32,25.32,3,0
JRNY.US,D,20211022,000000,25.469,25.518,25.391,25.391,210,0
JRNY.US,D,20211025,000000,25.321,25.321,25.321,25.321,5,0
JRNY.US,D,20211026,000000,25.449,25.539,25.39,25.39,425,0
JRNY.US,D,20211027,000000,25.299,25.329,25.233,25.233,304,0
JRNY.US,D,20211028,000000,25.269,25.361,25.269,25.361,131,0
JRNY.US,D,20211029,000000,25.311,25.311,25.311,25.311,7,0
JRNY.US,D,20211101,000000,25.677,25.677,25.677,25.677,25,0
JRNY.US,D,20211102,000000,25.658,25.68,25.658,25.68,163,0
JRNY.US,D,20211103,000000,25.915,25.915,25.915,25.915,10,0
JRNY.US,D,20211104,000000,26.037,26.037,25.786,25.786,1727,0
JRNY.US,D,20211105,000000,26.676,26.897,26.657,26.858,7097,0
JRNY.US,D,20211108,000000,27.217,27.276,26.942,26.942,4997,0
JRNY.US,D,20211109,000000,26.677,26.767,26.618,26.722,5659,0
JRNY.US,D,20211110,000000,26.507,26.588,26.248,26.28,2187,0
JRNY.US,D,20211111,000000,26.158,26.17,26.118,26.118,2206,0
JRNY.US,D,20211112,000000,26.188,26.278,26.188,26.206,2490,0
JRNY.US,D,20211115,000000,26.348,26.348,26.169,26.169,395,0
JRNY.US,D,20211116,000000,26.093,26.128,26.018,26.098,1143,0
JRNY.US,D,20211117,000000,26.018,26.018,25.935,25.935,923,0
JRNY.US,D,20211118,000000,25.693,25.798,25.643,25.796,1058,0
JRNY.US,D,20211119,000000,25.469,25.604,25.267,25.539,3034,0
JRNY.US,D,20211122,000000,25.466,25.466,25.372,25.372,261,0
JRNY.US,D,20211123,000000,25.365,25.439,25.315,25.315,288,0
JRNY.US,D,20211124,000000,25.256,25.256,25.256,25.256,141,0
JRNY.US,D,20211126,000000,24.11,24.11,23.191,23.962,4325,0
JRNY.US,D,20211129,000000,24.29,24.29,24.02,24.11,2173,0
JRNY.US,D,20211130,000000,23.86,23.86,23.471,23.585,3175,0
JRNY.US,D,20211201,000000,23.871,24.04,23.052,23.052,5135,0
JRNY.US,D,20211202,000000,23.211,23.871,23.211,23.871,3366,0
JRNY.US,D,20211203,000000,24,24,23.571,23.571,292,0
JRNY.US,D,20211206,000000,23.841,24.493,23.841,24.35,2889,0
JRNY.US,D,20211207,000000,24.78,24.889,24.693,24.693,2777,0
JRNY.US,D,20211208,000000,24.999,24.999,24.889,24.989,1146,0
JRNY.US,D,20211209,000000,24.849,24.887,24.697,24.7,3679,0
JRNY.US,D,20211210,000000,24.52,24.654,24.52,24.654,862,0
JRNY.US,D,20211213,000000,24.54,24.54,24.04,24.04,1575,0
JRNY.US,D,20211214,000000,23.871,23.871,23.82,23.82,1257,0
JRNY.US,D,20211215,000000,23.591,23.937,23.591,23.937,1767,0
JRNY.US,D,20211216,000000,24.14,24.14,23.745,23.745,105,0
