<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JULQ.US,D,20230705,000000,24.8,24.82,24.77,24.7902,35288,0
JULQ.US,D,20230706,000000,24.75,24.765,24.71,24.765,17065,0
JULQ.US,D,20230707,000000,24.7899,24.79,24.76,24.7702,23501,0
JULQ.US,D,20230710,000000,24.7601,24.7981,24.7501,24.7905,3665,0
JULQ.US,D,20230711,000000,24.81,24.8202,24.79,24.8202,6825,0
JULQ.US,D,20230712,000000,24.87,24.88,24.82,24.865,8738,0
JULQ.US,D,20230713,000000,24.88,24.91,24.87,24.895,12014,0
JULQ.US,D,20230714,000000,24.89,24.9093,24.86,24.8748,12033,0
JULQ.US,D,20230717,000000,24.88,24.88,24.865,24.875,2742,0
JULQ.US,D,20230718,000000,24.9,24.91,24.88,24.91,8964,0
JULQ.US,D,20230719,000000,24.91,24.92,24.86,24.908,7117,0
JULQ.US,D,20230720,000000,24.89,24.89,24.8681,24.89,17048,0
JULQ.US,D,20230721,000000,24.89,24.891,24.882,24.882,3152,0
JULQ.US,D,20230724,000000,24.91,24.92,24.8845,24.91,4814,0
JULQ.US,D,20230725,000000,24.91,24.928,24.905,24.905,3592,0
JULQ.US,D,20230726,000000,24.91,24.922,24.8865,24.905,6878,0
JULQ.US,D,20230727,000000,24.915,24.915,24.89,24.89,4855,0
JULQ.US,D,20230728,000000,24.915,24.915,24.915,24.915,2301,0
JULQ.US,D,20230731,000000,24.9081,24.93,24.9081,24.9257,1525,0
JULQ.US,D,20230801,000000,24.9001,24.95,24.9001,24.925,4222,0
JULQ.US,D,20230802,000000,24.87,24.9,24.87,24.8802,1293,0
JULQ.US,D,20230803,000000,24.875,24.875,24.8748,24.8748,800,0
JULQ.US,D,20230804,000000,24.86,24.92,24.86,24.8802,1996,0
JULQ.US,D,20230807,000000,24.8621,24.9087,24.8621,24.9087,2074,0
JULQ.US,D,20230808,000000,24.89,24.89,24.8581,24.89,663,0
JULQ.US,D,20230809,000000,24.909,24.909,24.8701,24.895,2012,0
JULQ.US,D,20230810,000000,24.925,24.94,24.905,24.905,1200,0
JULQ.US,D,20230811,000000,24.9,24.92,24.89,24.915,4147,0
JULQ.US,D,20230814,000000,24.935,24.935,24.935,24.935,35,0
JULQ.US,D,20230815,000000,24.929,24.94,24.9001,24.9092,7090,0
JULQ.US,D,20230816,000000,24.8981,24.92,24.88,24.9,2616,0
JULQ.US,D,20230817,000000,24.92,24.92,24.8832,24.8832,3748,0
JULQ.US,D,20230818,000000,24.879,24.8901,24.87,24.8901,10596,0
JULQ.US,D,20230821,000000,24.9081,24.925,24.9081,24.925,3604,0
JULQ.US,D,20230822,000000,24.91,24.93,24.9001,24.9195,2982,0
JULQ.US,D,20230823,000000,24.94,24.98,24.9349,24.98,7176,0
JULQ.US,D,20230824,000000,24.9599,24.96,24.9432,24.95,10635,0
JULQ.US,D,20230825,000000,24.9201,24.97,24.9201,24.968,4629,0
JULQ.US,D,20230828,000000,24.988,24.99,24.975,24.975,2564,0
JULQ.US,D,20230829,000000,25.025,25.05,25.025,25.05,3188,0
JULQ.US,D,20230830,000000,25.06,25.06,25.0221,25.05,17966,0
JULQ.US,D,20230831,000000,25.0201,25.05,25.0201,25.04,1994,0
JULQ.US,D,20230901,000000,25.045,25.07,25.045,25.05,1962,0
JULQ.US,D,20230905,000000,25.0445,25.055,25.04,25.055,793,0
JULQ.US,D,20230906,000000,25.05,25.07,25.04,25.04,12858,0
JULQ.US,D,20230907,000000,25.07,25.07,25.05,25.05,111,0
JULQ.US,D,20230908,000000,25.06,25.06,25.06,25.06,15,0
JULQ.US,D,20230911,000000,25.09,25.1,25.0859,25.0859,1678,0
JULQ.US,D,20230912,000000,25.1,25.1,25.08,25.08,967,0
JULQ.US,D,20230913,000000,25.12,25.12,25.095,25.095,732,0
JULQ.US,D,20230914,000000,25.115,25.115,25.115,25.115,15,0
JULQ.US,D,20230915,000000,25.11,25.11,25.0761,25.095,2824,0
JULQ.US,D,20230918,000000,25.11,25.12,25.1033,25.105,10319,0
JULQ.US,D,20230919,000000,25.11,25.12,25.1,25.11,1841,0
JULQ.US,D,20230920,000000,25.14,25.14,25.0987,25.0987,4371,0
JULQ.US,D,20230921,000000,25.075,25.1,25.065,25.065,609,0
JULQ.US,D,20230922,000000,25.1,25.1,25.0698,25.0698,1296,0
JULQ.US,D,20230925,000000,25.1,25.1,25.0885,25.0885,160,0
JULQ.US,D,20230926,000000,25.09,25.09,25.0448,25.0448,258,0
JULQ.US,D,20230927,000000,25.01,25.045,25.01,25.045,150,0
JULQ.US,D,20230928,000000,24.7145,24.7145,24.7145,24.7145,3,0
JULQ.US,D,20230929,000000,24.74,24.74,24.7227,24.7227,161,0
JULQ.US,D,20231002,000000,24.75,24.75,24.7133,24.7337,735,0
JULQ.US,D,20231003,000000,24.725,24.725,24.68,24.6896,297,0
JULQ.US,D,20231004,000000,24.725,24.725,24.725,24.725,46,0
JULQ.US,D,20231005,000000,24.725,24.725,24.725,24.725,40,0
JULQ.US,D,20231006,000000,24.755,24.755,24.755,24.755,5,0
JULQ.US,D,20231009,000000,24.7653,24.7653,24.7653,24.7653,17,0
JULQ.US,D,20231010,000000,24.8,24.8,24.8,24.8,5,0
JULQ.US,D,20231011,000000,24.805,24.805,24.805,24.805,5,0
JULQ.US,D,20231012,000000,24.77,24.795,24.71,24.795,2045,0
JULQ.US,D,20231013,000000,24.7693,24.7693,24.7693,24.7693,40,0
JULQ.US,D,20231016,000000,24.805,24.805,24.805,24.805,2,0
JULQ.US,D,20231017,000000,24.83,24.8395,24.805,24.805,3170,0
JULQ.US,D,20231018,000000,24.7549,24.7549,24.7549,24.7549,76,0
JULQ.US,D,20231019,000000,24.7536,24.7536,24.74,24.74,267,0
JULQ.US,D,20231020,000000,24.73,24.73,24.7001,24.7059,890,0
JULQ.US,D,20231023,000000,24.755,24.755,24.755,24.755,60,0
JULQ.US,D,20231024,000000,24.8,24.8,24.7939,24.7939,1785,0
JULQ.US,D,20231025,000000,24.78,24.78,24.761,24.761,197,0
JULQ.US,D,20231026,000000,24.7446,24.7446,24.7446,24.7446,43,0
JULQ.US,D,20231027,000000,24.8,24.8,24.7403,24.7403,178,0
JULQ.US,D,20231030,000000,24.81,24.83,24.81,24.81,3723,0
JULQ.US,D,20231031,000000,24.855,24.855,24.855,24.855,15,0
JULQ.US,D,20231101,000000,24.875,24.92,24.84,24.895,10767,0
JULQ.US,D,20231102,000000,24.935,24.935,24.935,24.935,44,0
JULQ.US,D,20231103,000000,24.97,24.97,24.955,24.955,166,0
JULQ.US,D,20231106,000000,24.94,24.98,24.94,24.98,1434,0
JULQ.US,D,20231107,000000,24.99,25,24.99,24.99,7400,0
JULQ.US,D,20231108,000000,24.99,25,24.985,24.985,1492,0
JULQ.US,D,20231109,000000,25,25,24.99,25,1116,0
JULQ.US,D,20231110,000000,25.01,25.03,25.01,25.03,1100,0
JULQ.US,D,20231113,000000,25.02,25.03,25.015,25.015,3538,0
JULQ.US,D,20231114,000000,25.0257,25.05,25.0257,25.035,1702,0
JULQ.US,D,20231115,000000,25.02,25.04,25.02,25.04,100,0
JULQ.US,D,20231116,000000,25.05,25.05,25.05,25.05,173,0
JULQ.US,D,20231117,000000,25.05,25.05,25.05,25.05,74,0
JULQ.US,D,20231120,000000,25.08,25.08,25.08,25.08,164,0
JULQ.US,D,20231121,000000,25.075,25.075,25.075,25.075,7,0
JULQ.US,D,20231122,000000,25.075,25.075,25.075,25.075,109,0
JULQ.US,D,20231124,000000,25.075,25.075,25.075,25.075,41,0
JULQ.US,D,20231127,000000,25.08,25.1001,25.08,25.1001,444,0
JULQ.US,D,20231128,000000,25.0705,25.1,25.0705,25.1,153,0
JULQ.US,D,20231129,000000,25.115,25.115,25.115,25.115,26,0
JULQ.US,D,20231130,000000,25.125,25.125,25.125,25.125,36,0
JULQ.US,D,20231201,000000,25.135,25.135,25.135,25.135,34,0
JULQ.US,D,20231204,000000,25.14,25.14,25.14,25.14,45,0
JULQ.US,D,20231205,000000,25.1141,25.135,25.1141,25.135,202,0
JULQ.US,D,20231206,000000,25.16,25.16,25.145,25.145,253,0
JULQ.US,D,20231207,000000,25.155,25.155,25.155,25.155,34,0
JULQ.US,D,20231208,000000,25.155,25.155,25.155,25.155,30,0
JULQ.US,D,20231211,000000,25.165,25.165,25.165,25.165,34,0
JULQ.US,D,20231212,000000,25.175,25.175,25.175,25.175,12,0
JULQ.US,D,20231213,000000,25.18,25.18,25.18,25.18,8,0
JULQ.US,D,20231214,000000,25.175,25.175,25.175,25.175,1,0
JULQ.US,D,20231215,000000,25.169,25.169,25.169,25.169,7,0
JULQ.US,D,20231218,000000,25.17,25.185,25.17,25.185,551,0
JULQ.US,D,20231219,000000,25.185,25.185,25.185,25.185,19,0
JULQ.US,D,20231220,000000,25.175,25.175,25.175,25.175,4,0
JULQ.US,D,20231221,000000,25.185,25.185,25.185,25.185,4,0
JULQ.US,D,20231222,000000,25.19,25.19,25.175,25.175,637,0
JULQ.US,D,20231226,000000,25.215,25.215,25.215,25.215,19,0
JULQ.US,D,20231227,000000,25.225,25.225,25.225,25.225,4,0
JULQ.US,D,20231228,000000,24.88,24.88,24.88,24.88,101,0
