<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KARB.US,D,20220913,000000,26.0465,26.1249,26.0465,26.1249,160.36827665518,0
KARB.US,D,20220914,000000,26.6171,26.6171,26.5522,26.5522,137.93914705306,0
KARB.US,D,20220915,000000,26.7286,26.7286,26.7286,26.7286,53.829911045095,0
KARB.US,D,20220916,000000,26.9026,27.0184,26.9026,26.9303,652.68767142177,0
KARB.US,D,20220919,000000,26.2605,26.2605,26.1738,26.1738,159.24682017507,0
KARB.US,D,20220920,000000,26.2159,26.2159,26.2055,26.2055,224.29129602123,0
KARB.US,D,20220921,000000,25.5405,25.5405,25.5405,25.5405,8.9716518408491,0
KARB.US,D,20220922,000000,25.77,25.77,25.5948,25.5948,223.16983954112,0
KARB.US,D,20220923,000000,24.1827,24.1827,24.1827,24.1827,238.87023026261,0
KARB.US,D,20220926,000000,24.1204,25.0124,24.1204,25.0124,191.76905809815,0
KARB.US,D,20220927,000000,24.5618,24.5618,24.5618,24.5618,109.9027350504,0
KARB.US,D,20220928,000000,23.7905,24.0801,23.7637,24.0801,446.33967908224,0
KARB.US,D,20220929,000000,24.3098,24.3098,24.3098,24.3098,17.943303681698,0
KARB.US,D,20220930,000000,24.4325,24.4325,24.4325,24.4325,56.072824005307,0
KARB.US,D,20221003,000000,24.4325,24.5855,24.4325,24.5855,128.96749521221,0
KARB.US,D,20221004,000000,25.2693,25.2693,25.2693,25.2693,23.550586082229,0
KARB.US,D,20221005,000000,24.9229,24.9273,24.9229,24.9273,143.54642945359,0
KARB.US,D,20221006,000000,25.4446,25.4446,25.3688,25.3688,244.47751266314,0
KARB.US,D,20221007,000000,25.222,25.222,25.222,25.222,82.987779527854,0
KARB.US,D,20221010,000000,24.7669,24.7669,24.7669,24.7669,16.821847201592,0
KARB.US,D,20221011,000000,24.6554,24.6554,24.6208,24.6208,213.07673122017,0
KARB.US,D,20221012,000000,24.7271,24.7271,24.7271,24.7271,16.821847201592,0
KARB.US,D,20221013,000000,25.5518,25.5518,25.5518,25.5518,112.14564801061,0
KARB.US,D,20221014,000000,25.1523,25.1523,25.1523,25.1523,44.858259204246,0
KARB.US,D,20221017,000000,25.1855,25.1855,25.1855,25.1855,7.850195360743,0
KARB.US,D,20221018,000000,25.4223,25.4223,25.235,25.235,224.29129602123,0
KARB.US,D,20221019,000000,24.9229,24.9229,24.9229,24.9229,61.680106405838,0
KARB.US,D,20221020,000000,24.8605,24.8605,24.6917,24.6917,308.40053202919,0
KARB.US,D,20221021,000000,25.56,25.56,25.56,25.56,45.979715684352,0
KARB.US,D,20221024,000000,26.4537,26.4537,26.4537,26.4537,209.71236177985,0
KARB.US,D,20221025,000000,27.8408,27.9725,27.8408,27.8408,728.94671206899,0
KARB.US,D,20221026,000000,27.5707,27.9279,27.5707,27.5707,396.99559395757,0
KARB.US,D,20221027,000000,28.6672,29.0259,28.6672,29.0259,430.63928836076,0
KARB.US,D,20221028,000000,29.4527,29.6222,29.4527,29.5828,1217.9017373953,0
KARB.US,D,20221031,000000,28.8821,28.8821,28.7279,28.7513,1230.2377586764,0
KARB.US,D,20221101,000000,28.0885,28.1331,27.9993,27.9993,661.65932326262,0
KARB.US,D,20221102,000000,28.0172,28.0172,27.59,27.6863,1368.1769057295,0
KARB.US,D,20221103,000000,27.2859,27.4641,27.2859,27.4641,970.05985529181,0
KARB.US,D,20221104,000000,27.7635,27.7635,27.7635,27.7635,63.92301936605,0
KARB.US,D,20221107,000000,28.142,28.356,28.142,28.2289,309.52198850929,0
KARB.US,D,20221108,000000,27.722,27.86,27.722,27.86,478.86191700532,0
KARB.US,D,20221109,000000,26.7384,26.7384,26.7384,26.7384,169.33992849603,0
KARB.US,D,20221110,000000,27.1924,27.1924,27.1924,27.1924,3.3643694403184,0
KARB.US,D,20221111,000000,28.11,28.11,28.11,28.11,88.595061928385,0
KARB.US,D,20221114,000000,27.7763,27.8964,27.7763,27.8964,359.98753011407,0
KARB.US,D,20221115,000000,28.4077,28.4077,28.4077,28.4077,24.672042562335,0
KARB.US,D,20221116,000000,27.6142,27.6142,27.6142,27.6142,283.72848946685,0
KARB.US,D,20221117,000000,27.2075,27.2075,27.2075,27.2075,78.50195360743,0
KARB.US,D,20221118,000000,27.2057,27.2057,26.9828,27.0792,288.21431538728,0
KARB.US,D,20221121,000000,27.4376,27.5521,27.4376,27.5521,272.51392466579,0
KARB.US,D,20221122,000000,27.598,27.598,27.5267,27.5267,210.83381825995,0
KARB.US,D,20221123,000000,28.1108,28.1108,28.1108,28.1108,3.3643694403184,0
KARB.US,D,20221125,000000,28.9356,28.9356,28.9356,28.9356,11.214564801061,0
KARB.US,D,20221128,000000,28.6324,28.6324,28.5505,28.5505,242.23459970293,0
KARB.US,D,20221129,000000,29.4261,29.4261,29.3527,29.3527,169.33992849603,0
KARB.US,D,20221130,000000,30.695,30.695,30.695,30.695,107.65982209019,0
KARB.US,D,20221201,000000,30.8911,30.8911,30.8911,30.8911,161.48973313528,0
KARB.US,D,20221202,000000,31.7881,31.8247,31.7668,31.7668,2191.3259621274,0
KARB.US,D,20221205,000000,31.8604,31.8604,31.6149,31.6149,266.90664226526,0
KARB.US,D,20221206,000000,31.9732,31.9732,31.9732,31.9732,19.064760161804,0
KARB.US,D,20221207,000000,32.0208,32.0208,31.8842,31.8842,355.50170419365,0
KARB.US,D,20221208,000000,31.9407,32.1117,31.9407,32.1117,576.42863077456,0
KARB.US,D,20221209,000000,31.9342,31.9342,31.9342,31.9342,102.05253968966,0
