<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCCA.US,D,20211006,000000,25.93,26.675,25.2341,25.2341,143807,0
KCCA.US,D,20211007,000000,24.96,24.9999,24.47,24.5176,46330,0
KCCA.US,D,20211008,000000,24.62,24.65,24.01,24.075,36527,0
KCCA.US,D,20211011,000000,24.14,24.4099,24.14,24.36,21196,0
KCCA.US,D,20211012,000000,24.62,24.97,24.41,24.7,37661,0
KCCA.US,D,20211013,000000,25,25.07,24.75,24.8468,32022,0
KCCA.US,D,20211014,000000,25,25,24.75,24.8539,33922,0
KCCA.US,D,20211015,000000,25,25,24.79,24.825,20000,0
KCCA.US,D,20211018,000000,25.05,25.05,24.84,24.95,15047,0
KCCA.US,D,20211019,000000,25,25.02,24.8,25,65914,0
KCCA.US,D,20211020,000000,25.13,25.19,25.055,25.14,55125,0
KCCA.US,D,20211021,000000,25.3,26.37,25.17,25.85,249489,0
KCCA.US,D,20211022,000000,26.49,26.84,26,26.66,38576,0
KCCA.US,D,20211025,000000,26.95,27.01,26.83,26.97,54784,0
KCCA.US,D,20211026,000000,27.25,27.42,26.65,26.93,296164,0
KCCA.US,D,20211027,000000,26.5,26.93,26.22,26.4411,116888,0
KCCA.US,D,20211028,000000,26.54,26.54,26.26,26.41,204968,0
KCCA.US,D,20211029,000000,26.39,26.99,26.22,26.98,302338,0
KCCA.US,D,20211101,000000,27.34,28.37,27.06,28.3,64744,0
KCCA.US,D,20211102,000000,28.53,28.54,28.1,28.27,530554,0
KCCA.US,D,20211103,000000,28.32,28.35,28.15,28.2027,53954,0
KCCA.US,D,20211104,000000,28.26,28.26,27.905,27.905,46637,0
KCCA.US,D,20211105,000000,27.78,27.99,27.6501,27.91,52594,0
KCCA.US,D,20211108,000000,28.06,28.17,27.995,28.1317,106285,0
KCCA.US,D,20211109,000000,28.29,28.54,28.21,28.47,90257,0
KCCA.US,D,20211110,000000,28.65,29.49,28.545,29.34,93881,0
KCCA.US,D,20211111,000000,29.44,30.1,29.2695,29.94,45095,0
KCCA.US,D,20211112,000000,30.29,30.29,29.8745,30.15,49620,0
KCCA.US,D,20211115,000000,30.18,31.52,30.18,31.39,106986,0
KCCA.US,D,20211116,000000,31.4,31.49,30.59,30.64,108818,0
KCCA.US,D,20211117,000000,30.69,30.77,30.05,30.64,105476,0
KCCA.US,D,20211118,000000,30.54,31.41,30.404,31.05,87793,0
KCCA.US,D,20211119,000000,31.22,31.34,30.7,30.81,76150,0
KCCA.US,D,20211122,000000,30.8,31.05,30.8,30.83,141714,0
KCCA.US,D,20211123,000000,30.83,30.84,30.16,30.3415,39748,0
KCCA.US,D,20211124,000000,30.14,30.5,26.02,26.5,357879,0
KCCA.US,D,20211126,000000,26.75,27.945,26.75,27.255,143375,0
KCCA.US,D,20211129,000000,27.79,28.5514,27.7,28.05,82419,0
KCCA.US,D,20211130,000000,28.07,28.13,26.97,27.69,96576,0
KCCA.US,D,20211201,000000,27.82,28.01,26.8,26.82,95117,0
KCCA.US,D,20211202,000000,25.49,25.67,23.3911,24.45,550605,0
KCCA.US,D,20211203,000000,24.02,24.85,23.7859,24.51,343180,0
KCCA.US,D,20211206,000000,24.66,25.58,24.4,25.55,271183,0
KCCA.US,D,20211207,000000,26,26.9657,25.7,26.12,170247,0
KCCA.US,D,20211208,000000,26.91,28.09,26.71,28.04,263438,0
KCCA.US,D,20211209,000000,27.59,27.95,26.9632,27,184168,0
KCCA.US,D,20211210,000000,27.36,27.36,26.69,26.73,101343,0
KCCA.US,D,20211213,000000,26.89,26.89,25.65,25.87,131365,0
KCCA.US,D,20211214,000000,25.94,25.94,24.85,25.26,124243,0
KCCA.US,D,20211215,000000,25.42,26.21,25.42,26.21,54939,0
KCCA.US,D,20211216,000000,26.43,26.59,26.07,26.2,75778,0
KCCA.US,D,20211217,000000,25.98,25.98,24.975,25.5,136407,0
KCCA.US,D,20211220,000000,25.2,25.617,24.9001,25.28,60258,0
KCCA.US,D,20211221,000000,25.27,25.9,25.27,25.9,102585,0
KCCA.US,D,20211222,000000,26,26.34,25.67,26.2,30625,0
KCCA.US,D,20211223,000000,26.46,26.635,26.27,26.3,60573,0
KCCA.US,D,20211227,000000,26.28,26.865,26.17,26.83,108577,0
KCCA.US,D,20211228,000000,26.93,27.19,26.7,27.1332,65647,0
KCCA.US,D,20211229,000000,27.49,27.74,27.27,27.58,88075,0
KCCA.US,D,20211230,000000,27.42,27.9,27.42,27.78,105889,0
KCCA.US,D,20211231,000000,27.7917,28.24,27.75,28.24,55636,0
KCCA.US,D,20220103,000000,28.18,29.15,28.1,29,114349,0
KCCA.US,D,20220104,000000,29.3,29.3,28.61,28.78,63456,0
KCCA.US,D,20220105,000000,28.47,28.86,28.3201,28.75,101065,0
KCCA.US,D,20220106,000000,28.675,28.675,27.7,28.11,56526,0
KCCA.US,D,20220107,000000,28.12,28.12,27.67,27.82,53955,0
KCCA.US,D,20220110,000000,27.66,27.66,26.5,26.91,113560,0
KCCA.US,D,20220111,000000,26.75,26.9999,26.28,26.35,76800,0
KCCA.US,D,20220112,000000,26.43,26.49,25.78,26.45,138925,0
KCCA.US,D,20220113,000000,26.795,27.32,26.755,27.1,53331,0
KCCA.US,D,20220114,000000,26.96,27.1,26.74,26.91,28939,0
KCCA.US,D,20220118,000000,26.91,26.95,26.4953,26.63,27686,0
KCCA.US,D,20220119,000000,26.56,26.59,26.12,26.2,101782,0
KCCA.US,D,20220120,000000,25.98,26.24,25.84,25.92,60042,0
KCCA.US,D,20220121,000000,25.83,25.83,25.05,25.07,124996,0
KCCA.US,D,20220124,000000,24.93,24.93,23.5,24.39,179096,0
KCCA.US,D,20220125,000000,24.38,24.79,23.575,24.76,158377,0
KCCA.US,D,20220126,000000,25.1,25.1321,24.4,24.4,31818,0
KCCA.US,D,20220127,000000,24,24.9791,24,24.56,68179,0
KCCA.US,D,20220128,000000,24.59,25.06,24.21,24.48,106692,0
KCCA.US,D,20220131,000000,24.03,24.83,24.03,24.52,54281,0
KCCA.US,D,20220201,000000,24.78,24.96,24.21,24.62,54396,0
KCCA.US,D,20220202,000000,25,25.3,24.8746,25.14,46036,0
KCCA.US,D,20220203,000000,24.94,25.48,24.31,24.31,56800,0
KCCA.US,D,20220204,000000,24.38,25.18,24.38,25.12,45651,0
KCCA.US,D,20220207,000000,25.09,25.11,24.25,24.45,66048,0
KCCA.US,D,20220208,000000,24.68,24.71,24.17,24.25,61792,0
KCCA.US,D,20220209,000000,24.33,24.36,23.99,24.18,66075,0
KCCA.US,D,20220210,000000,23.77,24.25,23.77,24.2,52381,0
KCCA.US,D,20220211,000000,24.2,24.48,23.9,24.1,97935,0
KCCA.US,D,20220214,000000,24.01,24.09,23.87,23.97,65963,0
KCCA.US,D,20220215,000000,23.9,24.02,23.5,23.76,79445,0
KCCA.US,D,20220216,000000,23.85,23.85,23.5,23.77,53958,0
KCCA.US,D,20220217,000000,24.76,24.76,23.75,24.05,34639,0
KCCA.US,D,20220218,000000,23.84,24.5099,23.78,23.99,23905,0
KCCA.US,D,20220222,000000,24.07,24.11,23.9,23.98,45468,0
