<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KFVG.US,D,20201125,000000,25.1,25.1,24.66,24.7214,17860,0
KFVG.US,D,20201127,000000,24.79,24.79,24.79,24.79,360,0
KFVG.US,D,20201130,000000,25.23,26.13,24.855,24.87,32855,0
KFVG.US,D,20201201,000000,25.65,25.65,25.14,25.24,22266,0
KFVG.US,D,20201202,000000,25.24,25.399,25.23,25.26,9164,0
KFVG.US,D,20201203,000000,25.22,25.261,25.15,25.18,7668,0
KFVG.US,D,20201204,000000,25.29,25.29,25.102,25.184,6787,0
KFVG.US,D,20201207,000000,25.24,25.35,25.24,25.2801,2078,0
KFVG.US,D,20201208,000000,25.64,25.64,25.46,25.5133,18371,0
KFVG.US,D,20201209,000000,25.44,25.44,25.072,25.072,13282,0
KFVG.US,D,20201210,000000,25.26,25.445,25.17,25.4,7678,0
KFVG.US,D,20201211,000000,25.16,25.46,24.94,24.96,10994,0
KFVG.US,D,20201214,000000,25.11,25.32,25.11,25.2768,9522,0
KFVG.US,D,20201215,000000,25.31,25.36,25.1902,25.32,7084,0
KFVG.US,D,20201216,000000,25.32,25.32,25.095,25.1102,3775,0
KFVG.US,D,20201217,000000,25.35,25.35,25.201,25.27,6978,0
KFVG.US,D,20201218,000000,25.1399,25.1399,25.1,25.1189,1176,0
KFVG.US,D,20201221,000000,24.89,25.345,24.89,25.1503,13004,0
KFVG.US,D,20201222,000000,24.968,24.99,24.818,24.83,48204,0
KFVG.US,D,20201223,000000,25.76,26,25.5699,25.71,58308,0
KFVG.US,D,20201224,000000,25.66,25.8,25.66,25.7459,4342,0
KFVG.US,D,20201228,000000,25.42,25.42,25.28,25.33,10279,0
KFVG.US,D,20201229,000000,25.78,25.92,25.71,25.795,4810,0
KFVG.US,D,20201230,000000,26.38,26.38,26.2395,26.255,11639,0
KFVG.US,D,20201231,000000,26.37,26.6,26.2264,26.3772,9100,0
KFVG.US,D,20210104,000000,27.06,27.21,26.84,26.9,19494,0
KFVG.US,D,20210105,000000,28.12,28.38,27.96,28.38,45523,0
KFVG.US,D,20210106,000000,27.73,27.789,27.22,27.78,64606,0
KFVG.US,D,20210107,000000,27.87,27.98,27.6352,27.98,8615,0
KFVG.US,D,20210108,000000,28,28.31,28,28.0141,9376,0
KFVG.US,D,20210111,000000,28,28.36,28,28.3133,16543,0
KFVG.US,D,20210112,000000,29.07,29.0931,28.91,29.01,11958,0
KFVG.US,D,20210113,000000,29.28,29.3399,29.18,29.27,9620,0
KFVG.US,D,20210114,000000,29.42,29.605,29.01,29.03,28132,0
KFVG.US,D,20210115,000000,28.31,29.1,28.13,28.2801,13592,0
KFVG.US,D,20210119,000000,29.34,29.79,29.2101,29.35,33463,0
KFVG.US,D,20210120,000000,29.7,29.82,29.49,29.7,25692,0
KFVG.US,D,20210121,000000,30,30.4048,29.6,29.7788,34255,0
KFVG.US,D,20210122,000000,29.85,29.85,29.16,29.34,17607,0
KFVG.US,D,20210125,000000,29.24,29.27,29.0001,29.22,16608,0
KFVG.US,D,20210126,000000,28.86,28.873,28.565,28.85,17309,0
KFVG.US,D,20210127,000000,28.33,28.56,28.145,28.46,17429,0
KFVG.US,D,20210128,000000,27.31,27.5,26.98,27.5,23761,0
KFVG.US,D,20210129,000000,27.25,27.4683,27.05,27.2523,17247,0
KFVG.US,D,20210201,000000,27.47,27.5,27.27,27.5,10340,0
KFVG.US,D,20210202,000000,27.5,27.83,27.47,27.75,21288,0
KFVG.US,D,20210203,000000,28,28,27,27.11,26823,0
KFVG.US,D,20210204,000000,27,27,26.63,26.71,24800,0
KFVG.US,D,20210205,000000,26.5,26.55,26.35,26.48,23028,0
KFVG.US,D,20210208,000000,27.45,27.45,26.495,26.69,163513,0
KFVG.US,D,20210209,000000,27.17,27.5,27.17,27.48,23058,0
KFVG.US,D,20210210,000000,27.91,27.91,27.48,27.71,17095,0
KFVG.US,D,20210211,000000,28.33,28.33,28,28.26,52311,0
KFVG.US,D,20210212,000000,28.09,28.33,28.03,28.18,150046,0
KFVG.US,D,20210216,000000,28.79,29.04,28.6,28.67,45485,0
KFVG.US,D,20210217,000000,28.75,28.76,28.61,28.7,16672,0
KFVG.US,D,20210218,000000,27.66,27.98,27.52,27.78,213114,0
KFVG.US,D,20210219,000000,28.25,28.25,27.9501,27.99,17998,0
KFVG.US,D,20210222,000000,27.09,27.12,26.9501,26.97,325962,0
KFVG.US,D,20210223,000000,26.68,26.83,26.23,26.8,216119,0
KFVG.US,D,20210224,000000,26.66,26.8,26.455,26.74,11014,0
KFVG.US,D,20210225,000000,26.39,26.39,25.8,25.88,15685,0
KFVG.US,D,20210226,000000,25.9,25.9,25.42,25.693,12676,0
KFVG.US,D,20210301,000000,26.23,26.59,26.23,26.59,7707,0
KFVG.US,D,20210302,000000,26.69,26.84,26.59,26.65,8821,0
KFVG.US,D,20210303,000000,26.73,26.73,26.06,26.19,87557,0
KFVG.US,D,20210304,000000,25.79,25.81,25.12,25.18,14185,0
KFVG.US,D,20210305,000000,25.69,25.69,25.02,25.29,19287,0
KFVG.US,D,20210308,000000,24.66,24.66,24.155,24.35,14591,0
KFVG.US,D,20210309,000000,24.2,24.6397,24.2,24.49,610398,0
KFVG.US,D,20210310,000000,24.34,24.5,24,24.14,26929,0
KFVG.US,D,20210311,000000,24.44,24.81,24.4387,24.79,13523,0
KFVG.US,D,20210312,000000,23.99,24.13,23.835,23.97,33457,0
KFVG.US,D,20210315,000000,23.34,23.34,22.88,23.2,19647,0
KFVG.US,D,20210316,000000,23.4,23.4,23.2,23.31,5322,0
KFVG.US,D,20210317,000000,23.57,23.93,23.54,23.9,24071,0
KFVG.US,D,20210318,000000,23.69,23.69,23.25,23.25,513181,0
KFVG.US,D,20210319,000000,23.2,23.27,23.07,23.23,7786,0
KFVG.US,D,20210322,000000,24.2,24.39,23.06,23.14,6561,0
KFVG.US,D,20210323,000000,22.96,23.015,22.9,22.93,7935,0
KFVG.US,D,20210324,000000,22.51,22.52,22.03,22.19,21500,0
KFVG.US,D,20210325,000000,22.32,22.3899,22.18,22.28,893423,0
KFVG.US,D,20210326,000000,22.72,23.155,22.72,23.12,10648,0
KFVG.US,D,20210329,000000,23.25,23.25,22.859,23.01,16178,0
KFVG.US,D,20210330,000000,23.18,23.18,23.04,23.17,5296,0
KFVG.US,D,20210331,000000,23.5,23.5,23.14,23.25,12185,0
KFVG.US,D,20210401,000000,23.41,24,23.41,23.86,18449,0
KFVG.US,D,20210405,000000,24.37,24.4899,24.18,24.42,17479,0
KFVG.US,D,20210406,000000,24.37,24.49,24.2002,24.37,5867,0
KFVG.US,D,20210407,000000,24.37,24.37,24.08,24.1054,7049,0
KFVG.US,D,20210408,000000,24.075,24.19,24.075,24.08,5274,0
KFVG.US,D,20210409,000000,24.03,24.03,23.85,23.99,6845,0
KFVG.US,D,20210412,000000,23.69,23.69,23.41,23.51,5737,0
KFVG.US,D,20210413,000000,23.66,23.7779,23.635,23.7593,3828,0
KFVG.US,D,20210414,000000,23.8799,23.885,23.748,23.79,4700,0
KFVG.US,D,20210415,000000,23.73,23.96,23.73,23.9,18757,0
KFVG.US,D,20210416,000000,23.98,23.98,23.75,23.85,7973,0
KFVG.US,D,20210419,000000,24.72,24.72,24.505,24.64,14194,0
KFVG.US,D,20210420,000000,24.23,24.469,24.205,24.3,9935,0
KFVG.US,D,20210421,000000,24.4,24.7986,24.4,24.65,17226,0
KFVG.US,D,20210422,000000,24.93,25.08,24.93,24.95,9401,0
KFVG.US,D,20210423,000000,25.098,25.29,25.098,25.17,10677,0
KFVG.US,D,20210426,000000,25.05,25.16,24.86,25.0576,6704,0
KFVG.US,D,20210427,000000,25.05,25.06,24.9,24.9896,7898,0
KFVG.US,D,20210428,000000,25.04,25.15,24.995,25.05,3520,0
KFVG.US,D,20210429,000000,24.9,24.94,24.8,24.94,2986,0
KFVG.US,D,20210430,000000,24.66,25,24.39,24.39,4415,0
KFVG.US,D,20210503,000000,24.3,24.4204,24.282,24.3671,6398,0
KFVG.US,D,20210504,000000,24.2495,24.29,24.1752,24.1752,4005,0
KFVG.US,D,20210505,000000,24.11,24.37,24.11,24.3157,2397,0
KFVG.US,D,20210506,000000,24.15,24.23,24.14,24.1833,2286,0
KFVG.US,D,20210507,000000,23.5,23.5,23.02,23.45,6884,0
KFVG.US,D,20210510,000000,23.03,23.158,22.84,22.84,13027,0
KFVG.US,D,20210511,000000,22.7,23.165,22.7,23.07,16533,0
KFVG.US,D,20210512,000000,23.11,23.33,23.0205,23.0205,11617,0
KFVG.US,D,20210513,000000,22.88,23.07,22.88,22.985,4279,0
KFVG.US,D,20210514,000000,23.14,23.515,23.14,23.515,4690,0
KFVG.US,D,20210517,000000,23.68,23.8137,23.5885,23.7124,3859,0
KFVG.US,D,20210518,000000,23.8,23.92,23.7295,23.828,5061,0
KFVG.US,D,20210519,000000,23.87,24.1799,23.87,24.09,2789,0
KFVG.US,D,20210520,000000,24.3,24.428,24.2,24.39,16766,0
KFVG.US,D,20210521,000000,24.16,24.16,23.8304,23.8304,2414,0
KFVG.US,D,20210524,000000,24.2,24.32,23.732,24.2157,10166,0
KFVG.US,D,20210525,000000,24.7,25.21,24.6,25.112,10260,0
KFVG.US,D,20210526,000000,24.84,25.18,24.84,25.1564,2710,0
KFVG.US,D,20210527,000000,25.52,25.8,25.502,25.73,4113,0
KFVG.US,D,20210528,000000,25.52,25.52,25.38,25.4775,5212,0
KFVG.US,D,20210601,000000,26.01,26.11,25.826,25.8711,8797,0
KFVG.US,D,20210602,000000,25.58,25.58,25.4601,25.55,4495,0
KFVG.US,D,20210603,000000,25,25.21,25,25.125,5030,0
KFVG.US,D,20210604,000000,25.34,25.53,25.34,25.5245,5503,0
KFVG.US,D,20210607,000000,25.61,25.88,25.58,25.88,2953,0
KFVG.US,D,20210608,000000,25.68,25.78,25.4613,25.5641,4028,0
KFVG.US,D,20210609,000000,25.88,25.88,25.655,25.665,3730,0
KFVG.US,D,20210610,000000,25.81,25.92,25.712,25.92,50488,0
KFVG.US,D,20210611,000000,25.5,25.5,25.18,25.22,19898,0
KFVG.US,D,20210614,000000,25.19,25.37,25.19,25.31,2120,0
KFVG.US,D,20210615,000000,25.52,25.66,25.52,25.54,3356,0
KFVG.US,D,20210616,000000,25.058,25.058,24.77,24.8356,3689,0
KFVG.US,D,20210617,000000,25.76,26.07,25.76,26.0385,3850,0
KFVG.US,D,20210618,000000,26.125,26.199,26.11,26.1497,2981,0
KFVG.US,D,20210621,000000,26.3,26.3,26.06,26.1799,8063,0
KFVG.US,D,20210622,000000,26.15,26.15,25.9306,26,5119,0
KFVG.US,D,20210623,000000,27,27.02,26.4,26.9649,10480,0
KFVG.US,D,20210624,000000,27.22,27.3,27.22,27.24,7077,0
KFVG.US,D,20210625,000000,27.53,27.53,27.37,27.39,4093,0
KFVG.US,D,20210628,000000,27.46,27.8187,27.46,27.72,20621,0
KFVG.US,D,20210629,000000,27.7,27.7,27.25,27.31,11265,0
KFVG.US,D,20210630,000000,27.99,28.0994,27.64,27.75,13798,0
KFVG.US,D,20210701,000000,28.03,28.03,26.95,27.281,12172,0
KFVG.US,D,20210702,000000,26.79,26.79,26.63,26.675,7246,0
KFVG.US,D,20210706,000000,27.05,27.05,26.79,26.8434,7837,0
KFVG.US,D,20210707,000000,27.37,27.53,27.36,27.36,20231,0
KFVG.US,D,20210708,000000,27.13,27.45,27.13,27.3868,25055,0
KFVG.US,D,20210709,000000,27.53,27.73,27.46,27.69,19291,0
KFVG.US,D,20210712,000000,27.68,27.68,27.5,27.578,6514,0
KFVG.US,D,20210713,000000,27.05,27.19,27.05,27.1,2541,0
KFVG.US,D,20210714,000000,27.06,27.06,26.88,27.03,7228,0
KFVG.US,D,20210715,000000,27.1,27.1,26.8501,26.87,1690,0
KFVG.US,D,20210716,000000,26.87,26.87,26.65,26.69,4357,0
KFVG.US,D,20210719,000000,26.63,26.65,26.49,26.6,30277,0
KFVG.US,D,20210720,000000,26.71,27.03,26.71,26.97,3953,0
KFVG.US,D,20210721,000000,27.21,27.605,27.21,27.56,18917,0
KFVG.US,D,20210722,000000,27.67,27.7049,27.42,27.64,19996,0
KFVG.US,D,20210723,000000,27.03,27.08,26.9,27.0747,23351,0
KFVG.US,D,20210726,000000,26.57,26.79,26.57,26.7065,11104,0
KFVG.US,D,20210727,000000,26.45,26.45,25.78,26.27,68375,0
KFVG.US,D,20210728,000000,26.7,27.3,26.66,27.15,34132,0
KFVG.US,D,20210729,000000,27.6599,27.6599,27.43,27.465,6918,0
KFVG.US,D,20210730,000000,27.55,27.88,27.47,27.795,13531,0
KFVG.US,D,20210802,000000,27.84,27.89,27.8,27.81,22000,0
KFVG.US,D,20210803,000000,27.23,27.33,26.9801,27.09,15328,0
KFVG.US,D,20210804,000000,28,28.32,28,28.23,26196,0
KFVG.US,D,20210805,000000,27.95,28.2,27.95,28.13,16740,0
KFVG.US,D,20210806,000000,28.13,28.13,27.7,27.7128,45640,0
KFVG.US,D,20210809,000000,27.98,27.98,27.67,27.7,17396,0
KFVG.US,D,20210810,000000,27.57,27.57,27.24,27.3,24095,0
KFVG.US,D,20210811,000000,27.39,27.39,27.21,27.29,2488,0
KFVG.US,D,20210812,000000,27.27,27.342,27.26,27.34,12644,0
KFVG.US,D,20210813,000000,26.69,26.69,26.46,26.615,23736,0
KFVG.US,D,20210816,000000,26.47,26.498,26.38,26.498,3055,0
KFVG.US,D,20210817,000000,25.8,25.8,25.38,25.6,18464,0
KFVG.US,D,20210818,000000,25.64,25.759,25.64,25.6412,6099,0
