<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGRO.US,D,20211008,000000,23.4534,23.4831,23.4084,23.4084,2664.1761168,0
KGRO.US,D,20211011,000000,23.5885,23.6327,23.1651,23.1651,3820.872580844,0
KGRO.US,D,20211012,000000,23.2426,23.2642,23.0219,23.0219,1153.366243898,0
KGRO.US,D,20211013,000000,23.5615,23.6687,23.5615,23.6516,4769.985322454,0
KGRO.US,D,20211014,000000,23.4498,23.4498,23.3363,23.4156,833.665109882,0
KGRO.US,D,20211015,000000,23.5885,23.6516,23.5228,23.5894,3017.179452276,0
KGRO.US,D,20211018,000000,23.6111,23.7777,23.6111,23.6903,2498.775182882,0
KGRO.US,D,20211019,000000,24.3074,24.4777,24.3074,24.4596,4520.218811504,0
KGRO.US,D,20211020,000000,24.4605,24.4605,24.3488,24.4074,2957.235489648,0
KGRO.US,D,20211021,000000,24.2588,24.2588,24.1822,24.2164,586.118745696,0
KGRO.US,D,20211022,000000,24.4164,24.4164,24.1912,24.2182,3018.289525658,0
KGRO.US,D,20211025,000000,24.4155,24.6858,24.4155,24.5722,24765.73715242,0
KGRO.US,D,20211026,000000,24.4605,24.4768,23.8227,23.9038,4724.472313792,0
KGRO.US,D,20211027,000000,23.8399,23.8399,23.6651,23.6651,1656.229485944,0
KGRO.US,D,20211028,000000,23.6156,23.7137,23.6156,23.7065,4253.801199824,0
KGRO.US,D,20211029,000000,23.7146,23.7146,23.5372,23.5372,2987.207470962,0
KGRO.US,D,20211101,000000,24.0462,24.0561,23.9795,23.9858,4935.386256372,0
KGRO.US,D,20211102,000000,23.7597,23.7597,23.6345,23.6345,1326.53769149,0
KGRO.US,D,20211103,000000,23.593,23.7327,23.5615,23.7327,3344.651099966,0
KGRO.US,D,20211104,000000,23.8318,23.8318,23.6156,23.6336,3613.28885841,0
KGRO.US,D,20211105,000000,23.5066,23.5795,23.2561,23.3111,2593.131420352,0
KGRO.US,D,20211108,000000,23.3642,23.5011,23.3642,23.5011,1632.917944922,0
KGRO.US,D,20211109,000000,23.6318,23.6318,23.4084,23.4804,1914.87658395,0
KGRO.US,D,20211110,000000,23.7867,23.8588,23.6354,23.6354,451.799866474,0
KGRO.US,D,20211111,000000,24.2534,24.4524,24.2534,24.4524,1065.67044672,0
KGRO.US,D,20211112,000000,24.3975,24.5461,24.3975,24.5461,4508.008004302,0
KGRO.US,D,20211115,000000,24.5326,24.5326,24.3119,24.3119,5331.682453746,0
KGRO.US,D,20211116,000000,24.4425,24.5506,24.4425,24.5506,819.234155916,0
KGRO.US,D,20211117,000000,24.5867,24.5867,24.3551,24.3551,1621.817211102,0
KGRO.US,D,20211118,000000,23.9146,23.939,23.6606,23.8038,4455.834555348,0
KGRO.US,D,20211119,000000,24.0471,24.0561,23.9218,23.9218,320.811207398,0
KGRO.US,D,20211122,000000,24.0651,24.1462,23.866,23.866,6080.981986596,0
KGRO.US,D,20211123,000000,23.5975,23.7597,23.5975,23.6156,3662.132087218,0
KGRO.US,D,20211124,000000,23.8489,23.8489,23.8489,23.8489,784.821881074,0
KGRO.US,D,20211126,000000,23.3903,23.3903,23.1336,23.2732,1140.045363314,0
KGRO.US,D,20211129,000000,23.4462,23.4462,23.2831,23.3453,19137.66510568,0
KGRO.US,D,20211130,000000,23.5255,23.5795,23.112,23.3255,5391.626416374,0
KGRO.US,D,20211201,000000,23.4489,23.4885,23.0021,23.0021,2108.029352418,0
KGRO.US,D,20211202,000000,22.9498,22.9498,22.667,22.667,1385.371580736,0
KGRO.US,D,20211203,000000,22.0328,22.0508,21.9787,22.0274,2452.152100838,0
KGRO.US,D,20211206,000000,21.9427,22.1409,21.9427,22.1409,2217.926617236,0
KGRO.US,D,20211207,000000,22.5814,22.5814,22.5003,22.5003,362.993995914,0
KGRO.US,D,20211208,000000,22.7435,23.103,22.7435,22.9841,1439.765176454,0
KGRO.US,D,20211209,000000,22.8769,22.8769,22.8769,22.8769,5.55036691,0
KGRO.US,D,20211210,000000,22.903,22.9408,22.7976,22.912,2123.570379766,0
KGRO.US,D,20211213,000000,22.7967,22.7967,22.4823,22.5372,4788.856569948,0
KGRO.US,D,20211214,000000,22.3571,22.3814,22.3111,22.3814,533.945296742,0
KGRO.US,D,20211215,000000,21.9787,21.9787,21.6373,21.7535,536.165443506,0
KGRO.US,D,20211216,000000,22.0148,22.2796,21.9562,21.9562,279.738492264,0
KGRO.US,D,20211217,000000,21.4571,21.6905,21.4571,21.6905,1305.446297232,0
KGRO.US,D,20211220,000000,20.7824,21.0112,20.7824,21.0112,1241.062041076,0
KGRO.US,D,20211221,000000,21.2229,21.5679,21.2229,21.5679,768.170780344,0
KGRO.US,D,20211222,000000,21.5715,21.5715,21.5715,21.5715,106.567044672,0
KGRO.US,D,20211223,000000,21.4932,21.6103,21.4932,21.5833,677.14476302,0
KGRO.US,D,20211227,000000,21.5833,21.5833,21.4752,21.5175,1437.54502969,0
KGRO.US,D,20211228,000000,21.4481,21.4481,21.3824,21.3824,813.683789006,0
KGRO.US,D,20211229,000000,21.313,21.313,20.9536,20.9536,1769.456970908,0
KGRO.US,D,20211230,000000,21.6202,21.9436,21.6202,21.8108,799.25283504,0
KGRO.US,D,20211231,000000,21.8443,21.8443,21.8443,21.8443,25.531687786,0
KGRO.US,D,20220103,000000,21.7284,21.7941,21.7284,21.7941,347.452968566,0
KGRO.US,D,20220104,000000,21.5211,21.5211,21.0166,21.1391,2629.763841958,0
KGRO.US,D,20220105,000000,20.6563,20.7914,20.4322,20.4322,5635.842560414,0
KGRO.US,D,20220106,000000,20.5572,20.7815,20.4671,20.6257,6649.33955818,0
KGRO.US,D,20220107,000000,20.6293,20.7397,20.5842,20.7397,804.80320195,0
KGRO.US,D,20220110,000000,20.9175,20.9175,20.7194,20.765,652.723148616,0
KGRO.US,D,20220111,000000,20.9265,21.1788,20.9265,21.1188,4186.086723522,0
KGRO.US,D,20220112,000000,21.5557,21.5557,21.5557,21.5557,7.770513674,0
KGRO.US,D,20220113,000000,21.1608,21.1608,20.8274,20.8274,1388.701800882,0
KGRO.US,D,20220114,000000,21.1341,21.1341,21.1341,21.1341,37.742494988,0
KGRO.US,D,20220118,000000,21.0743,21.0743,21.0743,21.0743,6.660440292,0
KGRO.US,D,20220119,000000,20.9579,20.9579,20.9579,20.9579,218.684456254,0
KGRO.US,D,20220120,000000,21.368,21.4815,21.1961,21.1961,692.685790368,0
KGRO.US,D,20220121,000000,21.0301,21.0301,20.5732,20.5732,5497.083387664,0
KGRO.US,D,20220124,000000,19.8186,20.33,19.8185,20.33,1184.448298594,0
KGRO.US,D,20220125,000000,20.0347,20.0888,20.0167,20.0858,1175.567711538,0
KGRO.US,D,20220126,000000,20.1834,20.1834,19.8185,19.8185,2011.452968184,0
KGRO.US,D,20220127,000000,19.4874,19.4874,19.0798,19.0798,578.348232022,0
KGRO.US,D,20220128,000000,18.8997,18.8997,18.6916,18.8933,1044.579052462,0
KGRO.US,D,20220131,000000,19.3411,19.9446,19.3411,19.9446,3130.40693724,0
KGRO.US,D,20220201,000000,20.0515,20.0515,20.0515,20.0515,3.330220146,0
KGRO.US,D,20220202,000000,19.879,19.879,19.879,19.879,1.110073382,0
KGRO.US,D,20220203,000000,19.6301,19.6301,19.6301,19.6301,101.016677762,0
KGRO.US,D,20220204,000000,19.8507,19.8507,19.8507,19.8507,42.182788516,0
KGRO.US,D,20220207,000000,19.6263,19.6263,19.6263,19.6263,49.95330219,0
KGRO.US,D,20220208,000000,19.6055,19.6055,19.6055,19.6055,14.430953966,0
KGRO.US,D,20220209,000000,20.0302,20.048,20.0302,20.048,1020.157438058,0
KGRO.US,D,20220210,000000,19.8012,19.8012,19.8012,19.8012,39.962641752,0
KGRO.US,D,20220211,000000,19.4672,19.4672,19.0732,19.0732,416.27751825,0
KGRO.US,D,20220214,000000,18.9903,18.9903,18.9903,18.9903,24.421614404,0
KGRO.US,D,20220215,000000,19.9061,19.9061,19.9061,19.9061,14.430953966,0
KGRO.US,D,20220216,000000,19.9089,19.9089,19.9089,19.9089,14.430953966,0
KGRO.US,D,20220217,000000,19.8245,19.8245,19.8245,19.8245,14.430953966,0
KGRO.US,D,20220218,000000,19.4374,19.4374,19.4374,19.4374,115.447631728,0
KGRO.US,D,20220222,000000,19.1519,19.1519,18.9013,18.9013,134.318879222,0
KGRO.US,D,20220223,000000,19.4402,19.4402,19.0508,19.0508,894.719145892,0
KGRO.US,D,20220224,000000,19.0078,19.0759,19.0078,19.0759,335.242161364,0
KGRO.US,D,20220225,000000,19.4285,19.4285,19.4285,19.4285,5.55036691,0
KGRO.US,D,20220228,000000,19.4483,19.4762,19.3805,19.3805,549.48632409,0
KGRO.US,D,20220301,000000,19.3861,19.3951,19.2785,19.2785,375.204803116,0
KGRO.US,D,20220302,000000,18.977,18.977,18.977,18.977,99.90660438,0
KGRO.US,D,20220303,000000,18.5123,18.5123,18.3434,18.3434,425.158105306,0
KGRO.US,D,20220304,000000,17.8006,17.8993,17.8006,17.8993,399.62641752,0
KGRO.US,D,20220307,000000,17.194,17.194,17.194,17.194,88.80587056,0
KGRO.US,D,20220308,000000,17.116,17.116,16.7827,16.9898,2213.486323708,0
KGRO.US,D,20220309,000000,17.4134,17.4134,17.4134,17.4134,86.585723796,0
KGRO.US,D,20220310,000000,16.7573,16.7573,16.7573,16.7573,4.440293528,0
KGRO.US,D,20220311,000000,16.3323,16.3323,16.0886,16.0886,336.352234746,0
KGRO.US,D,20220314,000000,15.3774,15.3774,14.972,14.972,2314.50300147,0
KGRO.US,D,20220315,000000,14.5576,14.972,14.5576,14.9453,2284.531020156,0
KGRO.US,D,20220316,000000,17.3232,17.8821,17.3232,17.8821,256.426951242,0
KGRO.US,D,20220317,000000,16.8367,17.2433,16.8187,17.2433,321.92128078,0
KGRO.US,D,20220318,000000,17.5169,18.188,17.5169,17.99,579.458305404,0
KGRO.US,D,20220321,000000,17.4907,17.5155,17.4907,17.5155,114.337558346,0
KGRO.US,D,20220322,000000,17.7916,17.9358,17.7916,17.8356,389.635757082,0
KGRO.US,D,20220323,000000,17.8853,18.1069,17.8367,17.9718,2775.183455,0
KGRO.US,D,20220324,000000,17.9538,17.9538,17.9158,17.9158,111.0073382,0
KGRO.US,D,20220325,000000,17.2614,17.2614,17.2241,17.2241,3016.069378894,0
KGRO.US,D,20220328,000000,17.2844,17.2844,17.2844,17.2844,95.466310852,0
KGRO.US,D,20220329,000000,17.6745,17.6745,17.6683,17.6683,183.16210803,0
KGRO.US,D,20220330,000000,17.7055,17.7055,17.7055,17.7055,33.30220146,0
KGRO.US,D,20220331,000000,17.1116,17.1116,17.1116,17.1116,54.393595718,0
KGRO.US,D,20220401,000000,17.4661,17.4661,17.4661,17.4661,23.311541022,0
KGRO.US,D,20220404,000000,17.7646,18.1294,17.7646,18.1294,278.628418882,0
KGRO.US,D,20220405,000000,17.6451,17.6451,17.6451,17.6451,54.393595718,0
KGRO.US,D,20220406,000000,17.2878,17.2878,17.2878,17.2878,29.971981314,0
KGRO.US,D,20220407,000000,16.8369,16.8369,16.8369,16.8369,149.85990657,0
KGRO.US,D,20220408,000000,16.7462,16.7462,16.7462,16.7462,49.95330219,0
KGRO.US,D,20220411,000000,16.3368,16.3368,16.2629,16.2629,207.583722434,0
KGRO.US,D,20220412,000000,16.4314,16.4314,16.2779,16.2779,285.288859174,0
KGRO.US,D,20220413,000000,16.3763,16.3763,16.3763,16.3763,3.330220146,0
KGRO.US,D,20220414,000000,16.2106,16.2106,16.2106,16.2106,98.796530998,0
KGRO.US,D,20220418,000000,16.213,16.213,16.213,16.213,38.85256837,0
KGRO.US,D,20220419,000000,16.0822,16.0822,16.0822,16.0822,139.869246132,0
KGRO.US,D,20220420,000000,15.5717,15.5717,15.5717,15.5717,136.539025986,0
KGRO.US,D,20220421,000000,15.1687,15.1687,14.9033,14.9033,1313.216810906,0
KGRO.US,D,20220422,000000,15.2693,15.2693,14.9629,14.9629,248.656437568,0
KGRO.US,D,20220425,000000,14.2333,14.4765,14.2333,14.4765,3828.643094518,0
KGRO.US,D,20220426,000000,14.2009,14.2009,14.2009,14.2009,27.75183455,0
KGRO.US,D,20220427,000000,14.9891,14.9891,14.885,14.885,777.0513674,0
KGRO.US,D,20220428,000000,14.8245,14.8528,14.8245,14.8528,777.0513674,0
KGRO.US,D,20220429,000000,15.7272,15.7272,15.3952,15.3952,1384.261507354,0
KGRO.US,D,20220502,000000,15.5124,15.5124,15.5124,15.5124,23.311541022,0
KGRO.US,D,20220503,000000,15.6389,15.6389,15.6389,15.6389,23.311541022,0
KGRO.US,D,20220504,000000,15.7286,15.7286,15.7286,15.7286,23.311541022,0
KGRO.US,D,20220505,000000,14.9681,14.9681,14.9681,14.9681,5.55036691,0
KGRO.US,D,20220506,000000,14.5613,14.5613,14.5613,14.5613,104.346897908,0
KGRO.US,D,20220509,000000,13.994,13.994,13.994,13.994,43.292861898,0
KGRO.US,D,20220510,000000,14.3504,14.3519,14.2603,14.3519,379.645096644,0
KGRO.US,D,20220511,000000,14.5012,14.5012,14.5012,14.5012,24.421614404,0
KGRO.US,D,20220512,000000,14.7378,14.7378,14.6171,14.6171,556.146764382,0
