<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLDW.US,D,20150709,000000,23.806,23.806,23.691,23.691,6812,0
KLDW.US,D,20150710,000000,23.976,24.082,23.948,24.082,7650,0
KLDW.US,D,20150713,000000,24.234,24.234,24.234,24.234,1363,0
KLDW.US,D,20150714,000000,24.33,24.33,24.322,24.322,208,0
KLDW.US,D,20150715,000000,24.33,24.33,24.273,24.273,638,0
KLDW.US,D,20150716,000000,24.473,24.473,24.473,24.473,628,0
KLDW.US,D,20150717,000000,24.444,24.503,24.444,24.503,2515,0
KLDW.US,D,20150720,000000,24.549,24.558,24.539,24.558,4192,0
KLDW.US,D,20150721,000000,24.493,24.503,24.416,24.444,7965,0
KLDW.US,D,20150722,000000,24.33,24.33,24.33,24.33,106,0
KLDW.US,D,20150723,000000,24.425,24.425,24.425,24.425,208,0
KLDW.US,D,20150724,000000,24.244,24.244,24.121,24.149,3878,0
KLDW.US,D,20150727,000000,23.996,23.996,23.928,23.938,2515,0
KLDW.US,D,20150728,000000,24.091,24.244,24.091,24.234,45801,0
KLDW.US,D,20150729,000000,24.283,24.377,24.263,24.348,87934,0
KLDW.US,D,20150730,000000,24.303,24.322,24.303,24.312,1258,0
KLDW.US,D,20150731,000000,24.558,24.558,24.387,24.396,3248,0
KLDW.US,D,20150803,000000,24.435,24.473,24.33,24.368,94260,0
KLDW.US,D,20150804,000000,24.435,24.483,24.435,24.473,628,0
KLDW.US,D,20150806,000000,24.539,24.539,24.377,24.377,420,0
KLDW.US,D,20150807,000000,24.303,24.322,24.293,24.293,2410,0
KLDW.US,D,20150810,000000,24.618,24.712,24.618,24.704,36472,0
KLDW.US,D,20150811,000000,24.339,24.339,24.339,24.339,363,0
KLDW.US,D,20150812,000000,24.054,24.207,24.054,24.197,2515,0
KLDW.US,D,20150813,000000,24.273,24.368,24.273,24.339,2620,0
KLDW.US,D,20150814,000000,24.348,24.348,24.348,24.348,315,0
KLDW.US,D,20150817,000000,24.273,24.444,24.273,24.444,5136,0
KLDW.US,D,20150818,000000,24.358,24.387,24.339,24.348,3353,0
KLDW.US,D,20150819,000000,24.044,24.111,24.044,24.091,3248,0
KLDW.US,D,20150820,000000,23.528,23.528,23.528,23.528,106,0
KLDW.US,D,20150821,000000,23.195,23.204,22.966,22.966,943,0
KLDW.US,D,20150824,000000,22.641,22.641,22.098,22.335,14657,0
KLDW.US,D,20150825,000000,22.735,22.88,22.316,22.316,10690,0
KLDW.US,D,20150826,000000,22.604,22.604,22.594,22.594,315,0
KLDW.US,D,20150827,000000,23.136,23.204,23.005,23.195,2620,0
KLDW.US,D,20150828,000000,23.185,23.185,23.185,23.185,2410,0
KLDW.US,D,20150901,000000,22.545,22.545,22.261,22.297,14464,0
KLDW.US,D,20150902,000000,22.755,22.755,22.565,22.565,2515,0
KLDW.US,D,20150903,000000,22.735,22.735,22.735,22.735,838,0
KLDW.US,D,20150904,000000,22.213,22.213,22.213,22.213,735,0
KLDW.US,D,20150909,000000,22.681,22.69,22.555,22.555,11424,0
KLDW.US,D,20150911,000000,22.604,22.699,22.555,22.681,2829,0
KLDW.US,D,20150915,000000,22.822,22.822,22.822,22.822,735,0
KLDW.US,D,20150916,000000,23.042,23.042,23.042,23.042,523,0
KLDW.US,D,20150917,000000,23.082,23.117,23.082,23.117,5869,0
KLDW.US,D,20150918,000000,22.735,22.735,22.671,22.69,13730,0
KLDW.US,D,20150922,000000,22.203,22.203,22.203,22.203,735,0
KLDW.US,D,20150923,000000,22.297,22.297,22.232,22.251,25365,0
KLDW.US,D,20150924,000000,22.251,22.251,22.251,22.251,119,0
KLDW.US,D,20150925,000000,22.431,22.47,22.27,22.27,3248,0
KLDW.US,D,20150928,000000,22.193,22.193,21.859,21.896,1258,0
KLDW.US,D,20150929,000000,21.813,21.822,21.813,21.822,943,0
KLDW.US,D,20150930,000000,22.135,22.27,22.135,22.27,523,0
KLDW.US,D,20151001,000000,22.242,22.242,22.242,22.242,2096,0
KLDW.US,D,20151005,000000,22.985,22.985,22.985,22.985,185,0
KLDW.US,D,20151007,000000,23.109,23.109,22.927,23.052,3563,0
KLDW.US,D,20151008,000000,23.013,23.013,23.013,23.013,523,0
KLDW.US,D,20151009,000000,23.3,23.3,23.214,23.243,943,0
KLDW.US,D,20151015,000000,23.395,23.395,23.395,23.395,1258,0
KLDW.US,D,20151016,000000,23.377,23.377,23.377,23.377,208,0
KLDW.US,D,20151020,000000,23.337,23.357,23.3,23.3,315,0
KLDW.US,D,20151021,000000,23.357,23.415,23.357,23.377,1677,0
KLDW.US,D,20151022,000000,23.528,23.528,23.528,23.528,1258,0
KLDW.US,D,20151023,000000,23.711,23.729,23.663,23.701,2829,0
KLDW.US,D,20151026,000000,23.721,23.721,23.701,23.701,1258,0
KLDW.US,D,20151027,000000,23.577,23.577,23.557,23.557,1258,0
KLDW.US,D,20151028,000000,23.806,23.806,23.806,23.806,106,0
KLDW.US,D,20151030,000000,23.776,23.776,23.757,23.757,628,0
KLDW.US,D,20151102,000000,23.854,23.966,23.854,23.966,41556,0
KLDW.US,D,20151103,000000,23.928,23.996,23.928,23.996,628,0
KLDW.US,D,20151104,000000,23.976,23.986,23.883,23.91,838,0
KLDW.US,D,20151109,000000,23.91,23.91,23.91,23.91,24,0
KLDW.US,D,20151110,000000,23.701,23.701,23.701,23.701,2202,0
KLDW.US,D,20151112,000000,23.604,23.672,23.586,23.586,9747,0
KLDW.US,D,20151113,000000,23.415,23.415,23.337,23.337,2933,0
KLDW.US,D,20151116,000000,23.482,23.482,23.472,23.472,1047,0
KLDW.US,D,20151117,000000,23.721,23.721,23.721,23.721,735,0
KLDW.US,D,20151118,000000,23.739,23.776,23.739,23.739,2096,0
KLDW.US,D,20151119,000000,24.034,24.034,24.006,24.006,3039,0
KLDW.US,D,20151123,000000,24.101,24.121,24.044,24.054,4507,0
KLDW.US,D,20151124,000000,24.121,24.121,24.111,24.111,1258,0
KLDW.US,D,20151125,000000,24.139,24.178,24.139,24.178,1992,0
KLDW.US,D,20151127,000000,24.178,24.178,24.178,24.178,106,0
KLDW.US,D,20151130,000000,24.178,24.178,24.178,24.178,106,0
KLDW.US,D,20151201,000000,24.226,24.303,24.226,24.303,5785,0
KLDW.US,D,20151202,000000,24.293,24.293,24.101,24.111,3076,0
KLDW.US,D,20151203,000000,24.139,24.139,23.864,23.873,932,0
KLDW.US,D,20151204,000000,23.976,24.139,23.976,24.13,8595,0
KLDW.US,D,20151207,000000,24.063,24.063,24.016,24.054,1153,0
KLDW.US,D,20151208,000000,23.806,23.834,23.806,23.834,540,0
KLDW.US,D,20151209,000000,23.834,23.834,23.834,23.834,106,0
