<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNGS.US,D,20231103,000000,25.85,26.0699,25.85,25.8944,5499,0
KNGS.US,D,20231106,000000,25.98,25.98,25.7,25.7347,21103,0
KNGS.US,D,20231107,000000,25.73,25.73,25.5899,25.6094,5884,0
KNGS.US,D,20231108,000000,25.6,25.6,25.37,25.4865,14588,0
KNGS.US,D,20231109,000000,25.48,25.48,25.1691,25.1691,7820,0
KNGS.US,D,20231110,000000,25.175,25.3461,25.1301,25.3461,1551,0
KNGS.US,D,20231113,000000,25.4,25.4,25.21,25.2765,8542,0
KNGS.US,D,20231114,000000,25.7617,26.05,25.7617,25.9961,2806,0
KNGS.US,D,20231115,000000,26.32,26.3288,26.2101,26.2864,4023,0
KNGS.US,D,20231116,000000,26.26,26.28,26.215,26.2205,2009,0
KNGS.US,D,20231117,000000,26.2999,26.31,26.22,26.2612,4062,0
KNGS.US,D,20231120,000000,26.34,26.34,26.1699,26.2028,4843,0
KNGS.US,D,20231121,000000,26.21,26.21,26.1767,26.1967,2094,0
KNGS.US,D,20231122,000000,26.36,26.36,26.2201,26.3098,8310,0
KNGS.US,D,20231124,000000,26.78,26.78,26.4129,26.4129,1340,0
KNGS.US,D,20231127,000000,26.46,26.46,26.285,26.3545,3538,0
KNGS.US,D,20231128,000000,26.36,26.43,26.27,26.3205,5233,0
KNGS.US,D,20231129,000000,26.3,26.42,26.3,26.3043,1268,0
KNGS.US,D,20231130,000000,26.27,26.5406,26.1809,26.5406,3371,0
KNGS.US,D,20231201,000000,26.6,26.974,26.5914,26.974,2131,0
KNGS.US,D,20231204,000000,26.95,27.2253,26.95,27.2253,1993,0
KNGS.US,D,20231205,000000,26.9005,26.9302,26.9005,26.9302,621,0
KNGS.US,D,20231206,000000,27.1401,27.19,27.0592,27.0592,1379,0
KNGS.US,D,20231207,000000,27.2,27.248,27.1113,27.248,1844,0
