<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOIN.US,D,20180130,000000,23.815,23.815,23.604,23.675,48461,0
KOIN.US,D,20180131,000000,23.843,23.851,23.68,23.815,41616,0
KOIN.US,D,20180201,000000,23.748,23.833,23.536,23.566,26126,0
KOIN.US,D,20180202,000000,23.557,23.557,23.012,23.041,17955,0
KOIN.US,D,20180205,000000,22.936,23.107,22.248,22.248,24459,0
KOIN.US,D,20180206,000000,21.933,22.735,21.518,22.735,7219,0
KOIN.US,D,20180207,000000,22.859,22.903,22.486,22.583,20455,0
KOIN.US,D,20180208,000000,22.515,22.515,21.675,21.675,10149,0
KOIN.US,D,20180209,000000,21.77,21.775,21.198,21.77,5935,0
KOIN.US,D,20180212,000000,22.506,22.506,22.012,22.297,34389,0
KOIN.US,D,20180213,000000,22.181,22.449,22.181,22.297,11596,0
KOIN.US,D,20180214,000000,22.305,22.822,22.305,22.764,9300,0
KOIN.US,D,20180215,000000,23.356,23.356,22.916,23.252,19500,0
KOIN.US,D,20180216,000000,23.193,23.403,23.193,23.27,5761,0
KOIN.US,D,20180220,000000,23.097,23.261,23.097,23.097,14119,0
KOIN.US,D,20180221,000000,23.252,23.47,23.106,23.141,8242,0
KOIN.US,D,20180222,000000,23.078,23.127,22.916,22.916,8720,0
KOIN.US,D,20180223,000000,23.155,23.299,23.155,23.299,7449,0
KOIN.US,D,20180226,000000,23.47,23.68,23.47,23.652,15226,0
KOIN.US,D,20180227,000000,23.748,23.795,23.597,23.605,8533,0
KOIN.US,D,20180228,000000,23.557,23.632,23.403,23.403,4969,0
KOIN.US,D,20180301,000000,23.393,23.393,22.81,23.031,4225,0
KOIN.US,D,20180302,000000,22.725,23.009,22.576,23.009,4201,0
KOIN.US,D,20180305,000000,22.954,23.423,22.907,23.392,7767,0
KOIN.US,D,20180306,000000,23.574,23.574,23.381,23.456,9892,0
KOIN.US,D,20180307,000000,23.299,23.652,23.299,23.652,9017,0
KOIN.US,D,20180308,000000,23.67,23.68,23.538,23.538,4784,0
KOIN.US,D,20180309,000000,23.795,24.024,23.748,23.976,12015,0
KOIN.US,D,20180312,000000,24.09,24.215,24.071,24.215,10819,0
KOIN.US,D,20180313,000000,24.32,24.348,23.9,23.9,6656,0
KOIN.US,D,20180314,000000,24.053,24.053,23.881,23.924,2761,0
KOIN.US,D,20180315,000000,24.034,24.12,23.949,23.949,5530,0
KOIN.US,D,20180316,000000,23.986,24.09,23.986,24.025,4958,0
KOIN.US,D,20180319,000000,24.235,24.235,23.505,23.615,10722,0
KOIN.US,D,20180320,000000,23.805,23.815,23.595,23.728,10378,0
KOIN.US,D,20180321,000000,23.699,23.786,23.666,23.699,3374,0
KOIN.US,D,20180322,000000,23.289,23.326,22.916,22.916,14650,0
KOIN.US,D,20180323,000000,22.906,22.906,22.363,22.363,7823,0
KOIN.US,D,20180326,000000,22.878,23.18,22.831,23.18,3003,0
