<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPRO.US,D,20240209,000000,24.855,24.855,24.855,24.855,8,0
KPRO.US,D,20240212,000000,25.0003,25.0003,25.0003,25.0003,8,0
KPRO.US,D,20240213,000000,24.93,24.93,24.848,24.86,1137,0
KPRO.US,D,20240214,000000,24.9553,24.9553,24.9553,24.9553,8,0
KPRO.US,D,20240215,000000,25.08,25.08,24.9953,24.9953,107,0
KPRO.US,D,20240216,000000,25.17,25.17,25.0248,25.0248,409,0
KPRO.US,D,20240220,000000,24.99,24.99,24.9453,24.9453,202,0
KPRO.US,D,20240221,000000,24.9953,24.9953,24.9953,24.9953,1,0
KPRO.US,D,20240222,000000,25.0553,25.0553,25.0553,25.0553,131,0
KPRO.US,D,20240223,000000,25.0753,25.0753,25.0753,25.0753,11,0
KPRO.US,D,20240226,000000,25.15,25.15,25.0603,25.0603,166,0
KPRO.US,D,20240227,000000,25.1203,25.1203,25.1203,25.1203,2,0
KPRO.US,D,20240228,000000,25.11,25.11,24.9998,24.9998,1100,0
KPRO.US,D,20240229,000000,25.0303,25.0303,25.0303,25.0303,2,0
KPRO.US,D,20240301,000000,25.1503,25.1503,25.1503,25.1503,1,0
KPRO.US,D,20240304,000000,25.0549,25.0549,25.0549,25.0549,1,0
KPRO.US,D,20240305,000000,24.9349,24.9349,24.9349,24.9349,114,0
KPRO.US,D,20240306,000000,25.0003,25.0003,25.0003,25.0003,59,0
KPRO.US,D,20240307,000000,24.9603,24.9603,24.9603,24.9603,99,0
KPRO.US,D,20240308,000000,25.17,25.17,25.0149,25.0149,100,0
KPRO.US,D,20240311,000000,25.24,25.24,25.1503,25.1503,274,0
KPRO.US,D,20240312,000000,25.2953,25.2953,25.2953,25.2953,20,0
KPRO.US,D,20240313,000000,25.3965,25.3965,25.3965,25.3965,99,0
KPRO.US,D,20240314,000000,25.29,25.29,25.2353,25.2353,292,0
KPRO.US,D,20240315,000000,25.203,25.203,25.203,25.203,99,0
KPRO.US,D,20240318,000000,25.2403,25.2403,25.2403,25.2403,174,0
KPRO.US,D,20240319,000000,25.2253,25.2253,25.2253,25.2253,1,0
KPRO.US,D,20240320,000000,25.3803,25.3803,25.3803,25.3803,1,0
KPRO.US,D,20240321,000000,25.3353,25.3353,25.3353,25.3353,1,0
KPRO.US,D,20240322,000000,25.2753,25.2753,25.2753,25.2753,80,0
KPRO.US,D,20240325,000000,25.2976,25.2976,25.2976,25.2976,50,0
KPRO.US,D,20240326,000000,25.2804,25.2804,25.2804,25.2804,80,0
KPRO.US,D,20240327,000000,25.2954,25.2954,25.2954,25.2954,2,0
KPRO.US,D,20240328,000000,25.3052,25.3052,25.3052,25.3052,80,0
KPRO.US,D,20240401,000000,25.4003,25.4003,25.4003,25.4003,73,0
KPRO.US,D,20240402,000000,25.4053,25.4053,25.4053,25.4053,55,0
KPRO.US,D,20240403,000000,25.3884,25.3884,25.3884,25.3884,5,0
KPRO.US,D,20240404,000000,25.3802,25.3802,25.3802,25.3802,5,0
KPRO.US,D,20240405,000000,25.3635,25.3635,25.3635,25.3635,21,0
KPRO.US,D,20240408,000000,25.3627,25.3627,25.3627,25.3627,2,0
KPRO.US,D,20240409,000000,25.4504,25.4504,25.4504,25.4504,5,0
KPRO.US,D,20240410,000000,25.3754,25.3754,25.3754,25.3754,5,0
KPRO.US,D,20240411,000000,25.4354,25.4354,25.4354,25.4354,5,0
KPRO.US,D,20240412,000000,25.2599,25.2599,25.2599,25.2599,1,0
KPRO.US,D,20240415,000000,25.2504,25.2504,25.2504,25.2504,9,0
KPRO.US,D,20240416,000000,25.1903,25.1903,25.1903,25.1903,5,0
KPRO.US,D,20240417,000000,25.1903,25.1903,25.1903,25.1903,3,0
KPRO.US,D,20240418,000000,25.2153,25.2153,25.2153,25.2153,4,0
KPRO.US,D,20240419,000000,25.1855,25.1855,25.1855,25.1855,1,0
KPRO.US,D,20240422,000000,25.3853,25.3853,25.3853,25.3853,2,0
KPRO.US,D,20240423,000000,25.5353,25.5353,25.5353,25.5353,2,0
KPRO.US,D,20240424,000000,25.6204,25.6204,25.6204,25.6204,1,0
KPRO.US,D,20240425,000000,25.6204,25.6204,25.6204,25.6204,1,0
KPRO.US,D,20240426,000000,25.7404,25.7404,25.7404,25.7404,4,0
KPRO.US,D,20240429,000000,25.74,25.74,25.74,25.74,1,0
KPRO.US,D,20240430,000000,25.5899,25.5899,25.5899,25.5899,1,0
KPRO.US,D,20240501,000000,25.6337,25.6337,25.6337,25.6337,1,0
KPRO.US,D,20240502,000000,26.0152,26.0152,26.0152,26.0152,30,0
KPRO.US,D,20240503,000000,26.1007,26.1007,26.1007,26.1007,32,0
KPRO.US,D,20240506,000000,26.1553,26.1553,26.1553,26.1553,1,0
KPRO.US,D,20240507,000000,26.0144,26.0144,26.0144,26.0144,1,0
KPRO.US,D,20240508,000000,25.9692,25.9692,25.9692,25.9692,1,0
