<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBO.US,D,20231201,000000,25.37,25.4294,25.37,25.4294,10357,0
LBO.US,D,20231204,000000,25.3086,25.3515,25.3086,25.3327,6547,0
LBO.US,D,20231205,000000,25.3087,25.3087,25.3087,25.3087,8,0
LBO.US,D,20231206,000000,25.3,25.3,25.2186,25.2186,1936,0
LBO.US,D,20231207,000000,25.4804,25.52,25.4658,25.4658,16207,0
LBO.US,D,20231208,000000,25.6657,25.6657,25.6657,25.6657,9,0
LBO.US,D,20231211,000000,25.73,25.73,25.6534,25.6534,286,0
LBO.US,D,20231212,000000,25.79,25.8047,25.79,25.8047,3091,0
LBO.US,D,20231213,000000,26.22,26.22,26.2057,26.2057,298,0
LBO.US,D,20231214,000000,26.77,26.82,26.7666,26.7666,1606,0
LBO.US,D,20231215,000000,26.82,26.82,26.8089,26.8089,1002,0
LBO.US,D,20231218,000000,26.9,26.9,26.86,26.8693,1208,0
LBO.US,D,20231219,000000,27.0676,27.0676,27.0676,27.0676,1,0
LBO.US,D,20231220,000000,27.17,27.17,26.7453,26.7453,976,0
LBO.US,D,20231221,000000,26.9143,26.9143,26.9143,26.9143,10,0
LBO.US,D,20231222,000000,27.0701,27.0701,27.035,27.035,213,0
LBO.US,D,20231226,000000,27.2363,27.2363,27.2363,27.2363,14,0
LBO.US,D,20231227,000000,27.32,27.3544,27.32,27.3544,132,0
LBO.US,D,20231228,000000,27.0875,27.0875,27.0875,27.0875,50,0
LBO.US,D,20231229,000000,26.807,26.807,26.807,26.807,132,0
LBO.US,D,20240102,000000,26.591,26.591,26.591,26.591,5,0
LBO.US,D,20240103,000000,26.33,26.4101,26.33,26.4101,202,0
LBO.US,D,20240104,000000,26.76,26.8369,26.76,26.8369,288,0
LBO.US,D,20240105,000000,26.8584,26.8584,26.8584,26.8584,167,0
LBO.US,D,20240108,000000,27.0287,27.0287,27.0287,27.0287,11,0
LBO.US,D,20240109,000000,26.8366,26.8366,26.8366,26.8366,5,0
LBO.US,D,20240110,000000,26.957,26.957,26.957,26.957,5,0
LBO.US,D,20240111,000000,26.8148,26.8148,26.8148,26.8148,32,0
LBO.US,D,20240112,000000,26.8366,26.8366,26.8366,26.8366,65,0
LBO.US,D,20240116,000000,26.5376,26.5376,26.5376,26.5376,42,0
LBO.US,D,20240117,000000,26.5744,26.5744,26.5744,26.5744,5,0
LBO.US,D,20240118,000000,26.6668,26.6668,26.6668,26.6668,5,0
LBO.US,D,20240119,000000,26.9427,26.9427,26.9427,26.9427,2,0
LBO.US,D,20240122,000000,27.1233,27.1233,27.1233,27.1233,7,0
LBO.US,D,20240123,000000,27.011,27.0448,27.011,27.0448,1052,0
LBO.US,D,20240124,000000,27.008,27.008,27.008,27.008,122,0
LBO.US,D,20240125,000000,27.1105,27.3303,27.1105,27.3303,1054,0
LBO.US,D,20240126,000000,27.4645,27.4645,27.4645,27.4645,5,0
LBO.US,D,20240129,000000,27.5608,27.5608,27.5608,27.5608,27,0
LBO.US,D,20240130,000000,27.5852,27.5852,27.5852,27.5852,6,0
LBO.US,D,20240131,000000,27.19,27.19,27.19,27.19,733,0
LBO.US,D,20240201,000000,27.04,27.0981,27.0399,27.0981,2115,0
LBO.US,D,20240202,000000,27.3345,27.3345,27.3345,27.3345,225,0
LBO.US,D,20240205,000000,27.0848,27.0848,27.0848,27.0848,7,0
LBO.US,D,20240206,000000,27.09,27.128,27.09,27.128,323,0
LBO.US,D,20240207,000000,27.4894,27.4894,27.4894,27.4894,100,0
LBO.US,D,20240208,000000,27.6728,27.6728,27.6728,27.6728,19,0
LBO.US,D,20240209,000000,27.8027,27.8027,27.8027,27.8027,83,0
LBO.US,D,20240212,000000,28.08,28.08,28.08,28.08,71,0
LBO.US,D,20240213,000000,27.64,27.64,27.5985,27.5985,432,0
LBO.US,D,20240214,000000,27.9053,27.9053,27.9053,27.9053,2,0
LBO.US,D,20240215,000000,28.2002,28.2002,28.2002,28.2002,1,0
LBO.US,D,20240216,000000,28.2243,28.2243,28.2243,28.2243,1,0
LBO.US,D,20240220,000000,28.0043,28.0043,28.0043,28.0043,88,0
LBO.US,D,20240221,000000,28.037,28.037,28.037,28.037,72,0
LBO.US,D,20240222,000000,28.2981,28.2981,28.2981,28.2981,54,0
LBO.US,D,20240223,000000,28.2832,28.2832,28.2832,28.2832,17,0
LBO.US,D,20240226,000000,28.2272,28.2272,28.2272,28.2272,6,0
LBO.US,D,20240227,000000,28.195,28.2748,28.195,28.2748,126,0
LBO.US,D,20240228,000000,28.0688,28.0688,28.0688,28.0688,2,0
LBO.US,D,20240229,000000,28.2704,28.2704,28.2704,28.2704,36,0
LBO.US,D,20240301,000000,28.2965,28.2965,28.2965,28.2965,31,0
LBO.US,D,20240304,000000,28.3955,28.3955,28.3955,28.3955,5,0
LBO.US,D,20240305,000000,28.1716,28.1716,28.1716,28.1716,56,0
LBO.US,D,20240306,000000,28.3066,28.3066,28.3066,28.3066,29,0
LBO.US,D,20240307,000000,28.4332,28.4332,28.4332,28.4332,29,0
LBO.US,D,20240308,000000,28.437,28.437,28.437,28.437,12,0
LBO.US,D,20240311,000000,28.38,28.38,28.3391,28.3391,217,0
LBO.US,D,20240312,000000,28.5161,28.5161,28.5161,28.5161,1,0
LBO.US,D,20240313,000000,28.5141,28.5141,28.5141,28.5141,18,0
LBO.US,D,20240314,000000,28.0851,28.0851,28.0851,28.0851,6,0
LBO.US,D,20240315,000000,28.1775,28.1775,28.1775,28.1775,77,0
LBO.US,D,20240318,000000,28.043,28.043,28.043,28.043,102,0
LBO.US,D,20240319,000000,28.1698,28.1698,28.1698,28.1698,5,0
LBO.US,D,20240320,000000,28.4682,28.4682,28.4682,28.4682,89,0
LBO.US,D,20240321,000000,28.9301,28.9301,28.9301,28.9301,21,0
LBO.US,D,20240322,000000,28.68,28.68,28.5966,28.5966,17489,0
LBO.US,D,20240325,000000,28.77,28.77,28.7279,28.7279,420,0
LBO.US,D,20240326,000000,28.4595,28.4595,28.4595,28.4595,70,0
LBO.US,D,20240327,000000,28.658,28.658,28.658,28.658,1,0
LBO.US,D,20240328,000000,28.79,28.8159,28.79,28.8159,252,0
LBO.US,D,20240401,000000,28.53,28.5634,28.53,28.5634,865,0
LBO.US,D,20240402,000000,28.392,28.392,28.392,28.392,11,0
LBO.US,D,20240403,000000,28.6268,28.6268,28.6268,28.6268,53,0
LBO.US,D,20240404,000000,28.3993,28.3993,28.3993,28.3993,2,0
LBO.US,D,20240405,000000,28.7202,28.7202,28.7202,28.7202,2,0
LBO.US,D,20240408,000000,28.8793,28.8793,28.8793,28.8793,4,0
LBO.US,D,20240409,000000,28.8181,28.8181,28.8181,28.8181,10,0
LBO.US,D,20240410,000000,28.6137,28.6137,28.6137,28.6137,53,0
LBO.US,D,20240411,000000,28.7283,28.7283,28.7283,28.7283,5,0
LBO.US,D,20240412,000000,28.1747,28.1747,28.1747,28.1747,4,0
LBO.US,D,20240415,000000,27.9129,27.9129,27.9129,27.9129,5,0
LBO.US,D,20240416,000000,27.994,27.994,27.994,27.994,3,0
LBO.US,D,20240417,000000,28.0712,28.0712,28.0712,28.0712,20,0
LBO.US,D,20240418,000000,27.92,28.0433,27.92,28.0433,120,0
LBO.US,D,20240419,000000,28.1051,28.1051,28.1051,28.1051,2,0
LBO.US,D,20240422,000000,28.4957,28.4957,28.4957,28.4957,34,0
LBO.US,D,20240423,000000,28.8503,28.8503,28.8503,28.8503,6,0
LBO.US,D,20240424,000000,28.8143,28.8143,28.8143,28.8143,8,0
LBO.US,D,20240425,000000,28.5836,28.5836,28.5836,28.5836,98,0
LBO.US,D,20240426,000000,28.7866,28.7866,28.7866,28.7866,32,0
LBO.US,D,20240429,000000,28.8012,28.8012,28.8012,28.8012,12,0
LBO.US,D,20240430,000000,28.4348,28.4348,28.4348,28.4348,1,0
LBO.US,D,20240501,000000,28.45,28.4807,28.45,28.4807,1823,0
LBO.US,D,20240502,000000,28.4205,28.4205,28.4205,28.4205,32,0
LBO.US,D,20240503,000000,28.4357,28.4357,28.4357,28.4357,32,0
LBO.US,D,20240506,000000,28.8832,28.8832,28.8832,28.8832,8,0
LBO.US,D,20240507,000000,28.92,28.97,28.902,28.902,200,0
LBO.US,D,20240508,000000,28.7631,28.7631,28.7631,28.7631,18,0
LBO.US,D,20240509,000000,29.15,29.15,29.0599,29.0608,1259,0
LBO.US,D,20240510,000000,29.215,29.28,29.1357,29.1357,750,0
LBO.US,D,20240513,000000,28.9461,28.9461,28.9461,28.9461,3,0
LBO.US,D,20240514,000000,29.2339,29.2339,29.2339,29.2339,1,0
LBO.US,D,20240515,000000,29.5211,29.5211,29.5211,29.5211,1,0
LBO.US,D,20240516,000000,29.2717,29.2717,29.2717,29.2717,71,0
LBO.US,D,20240517,000000,29.2819,29.2819,29.2819,29.2819,344,0
LBO.US,D,20240520,000000,29.3228,29.3228,29.3228,29.3228,2,0
LBO.US,D,20240521,000000,29.5166,29.5166,29.5166,29.5166,78,0
LBO.US,D,20240522,000000,29.3197,29.3197,29.3197,29.3197,43,0
LBO.US,D,20240523,000000,29.121,29.121,29.121,29.121,99,0
LBO.US,D,20240524,000000,29.545,29.545,29.545,29.545,78,0
LBO.US,D,20240528,000000,29.6299,29.63,29.4332,29.4332,1913,0
LBO.US,D,20240529,000000,29.0843,29.0843,29.0843,29.0843,38,0
LBO.US,D,20240530,000000,29.3499,29.3499,29.3499,29.3499,86,0
LBO.US,D,20240531,000000,29.25,29.3666,29.25,29.3666,138,0
LBO.US,D,20240603,000000,29.3707,29.3707,29.3707,29.3707,9,0
LBO.US,D,20240604,000000,29.0959,29.0959,29.0959,29.0959,61,0
LBO.US,D,20240605,000000,29.292,29.292,29.292,29.292,26,0
LBO.US,D,20240606,000000,28.8802,28.8802,28.8802,28.8802,67,0
LBO.US,D,20240607,000000,28.8052,28.8052,28.8052,28.8052,20,0
LBO.US,D,20240610,000000,29.2257,29.2257,29.2257,29.2257,3,0
LBO.US,D,20240611,000000,29.0963,29.0963,29.0963,29.0963,16,0
LBO.US,D,20240612,000000,29.53,29.53,29.3632,29.3632,249,0
LBO.US,D,20240613,000000,29.0343,29.0343,29.0343,29.0343,3,0
LBO.US,D,20240614,000000,28.88,28.8957,28.88,28.8957,270,0
LBO.US,D,20240617,000000,28.85,29.0376,28.85,29.0376,157,0
LBO.US,D,20240618,000000,29.0854,29.0854,29.0854,29.0854,8,0
LBO.US,D,20240620,000000,29.2132,29.2132,29.2132,29.2132,21,0
LBO.US,D,20240621,000000,29.0533,29.0533,29.0533,29.0533,5,0
