<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCLG.US,D,20220809,000000,32.92,32.92,32.8571,32.8571,373,0
LCLG.US,D,20220810,000000,33.9599,33.9599,33.925,33.9469,1025,0
LCLG.US,D,20220811,000000,33.846,33.846,33.846,33.846,2,0
LCLG.US,D,20220812,000000,34.28,34.4678,34.28,34.4678,1287,0
LCLG.US,D,20220815,000000,34.6513,34.6513,34.6513,34.6513,49,0
LCLG.US,D,20220816,000000,34.85,34.85,34.71,34.767,686,0
LCLG.US,D,20220817,000000,34.3887,34.3887,34.3887,34.3887,1,0
LCLG.US,D,20220818,000000,34.4728,34.4728,34.4728,34.4728,74,0
LCLG.US,D,20220819,000000,33.8064,33.8064,33.8064,33.8064,4,0
LCLG.US,D,20220822,000000,32.9461,32.9461,32.9461,32.9461,17,0
LCLG.US,D,20220823,000000,32.8922,32.8922,32.8922,32.8922,3,0
LCLG.US,D,20220824,000000,33.1,33.1,32.9652,32.9652,444,0
LCLG.US,D,20220825,000000,33.5789,33.5789,33.5789,33.5789,1,0
LCLG.US,D,20220826,000000,32.1914,32.1914,32.1914,32.1914,41,0
LCLG.US,D,20220829,000000,31.8949,31.8949,31.8949,31.8949,24,0
LCLG.US,D,20220830,000000,31.5776,31.5776,31.5776,31.5776,5,0
LCLG.US,D,20220831,000000,31.3916,31.3916,31.3916,31.3916,3,0
LCLG.US,D,20220901,000000,31.3019,31.3019,31.3019,31.3019,1,0
LCLG.US,D,20220902,000000,31.0363,31.0363,31.0363,31.0363,1,0
LCLG.US,D,20220906,000000,30.876,30.876,30.876,30.876,1,0
LCLG.US,D,20220907,000000,31.6096,31.6096,31.6096,31.6096,1,0
LCLG.US,D,20220908,000000,31.5699,31.8812,31.5699,31.8812,467,0
LCLG.US,D,20220909,000000,32.5187,32.5187,32.5187,32.5187,2,0
LCLG.US,D,20220912,000000,32.8378,32.8378,32.8378,32.8378,1,0
LCLG.US,D,20220913,000000,31.5699,31.5699,31.2283,31.2283,2,0
LCLG.US,D,20220914,000000,31.21,31.36,31.19,31.2591,1384,0
LCLG.US,D,20220915,000000,30.8326,30.8326,30.8326,30.8326,1,0
LCLG.US,D,20220916,000000,30.13,30.5053,30.13,30.5053,163,0
LCLG.US,D,20220919,000000,30.7762,30.7762,30.7762,30.7762,21,0
LCLG.US,D,20220920,000000,30.33,30.3555,30.2751,30.2751,210,0
LCLG.US,D,20220921,000000,30.47,30.47,29.8522,29.8522,602,0
LCLG.US,D,20220922,000000,29.24,29.2632,29.24,29.2632,600,0
LCLG.US,D,20220923,000000,28.62,28.835,28.61,28.835,516,0
LCLG.US,D,20220926,000000,28.85,28.8865,28.6702,28.6702,707,0
LCLG.US,D,20220927,000000,28.7173,28.7173,28.7173,28.7173,3,0
LCLG.US,D,20220928,000000,29.4864,29.4864,29.4864,29.4864,260,0
LCLG.US,D,20220929,000000,28.65,28.7138,28.65,28.7138,340,0
LCLG.US,D,20220930,000000,28.2128,28.2128,28.2128,28.2128,10,0
LCLG.US,D,20221003,000000,28.9,29.12,28.84,29.0407,1396,0
LCLG.US,D,20221004,000000,30.0309,30.0309,30.0309,30.0309,10,0
LCLG.US,D,20221005,000000,30.0358,30.0358,30.0358,30.0358,10,0
LCLG.US,D,20221006,000000,29.9182,29.9182,29.9182,29.9182,10,0
LCLG.US,D,20221007,000000,28.8275,28.8275,28.8275,28.8275,153,0
LCLG.US,D,20221010,000000,28.5564,28.5564,28.5564,28.5564,1,0
LCLG.US,D,20221011,000000,28.2024,28.2024,28.2024,28.2024,10,0
LCLG.US,D,20221012,000000,28.18,28.1801,28.177,28.177,458,0
LCLG.US,D,20221013,000000,27.29,28.75,27.29,28.6077,10101,0
LCLG.US,D,20221014,000000,27.88,27.88,27.8021,27.8021,700,0
LCLG.US,D,20221017,000000,28.7,28.7,28.6443,28.6443,101,0
LCLG.US,D,20221018,000000,28.96,28.96,28.94,28.9499,1700,0
LCLG.US,D,20221019,000000,28.6292,28.6292,28.6292,28.6292,1,0
LCLG.US,D,20221020,000000,28.3719,28.3719,28.3719,28.3719,1,0
LCLG.US,D,20221021,000000,29.0122,29.0122,29.0122,29.0122,1,0
LCLG.US,D,20221024,000000,29.2616,29.2616,29.2616,29.2616,3,0
LCLG.US,D,20221025,000000,30.0324,30.04,30.005,30.0324,3180,0
LCLG.US,D,20221026,000000,29.8866,29.8866,29.8866,29.8866,2,0
LCLG.US,D,20221027,000000,29.5707,29.5707,29.5707,29.5707,2,0
LCLG.US,D,20221028,000000,30.2626,30.2626,30.2626,30.2626,1,0
LCLG.US,D,20221031,000000,30.13,30.13,30.01,30.0207,7990,0
LCLG.US,D,20221101,000000,30.02,30.04,30,30.0343,4002,0
LCLG.US,D,20221102,000000,29.595,30.04,28.9354,28.9354,1666,0
LCLG.US,D,20221103,000000,28.62,28.62,28.5621,28.5621,100,0
LCLG.US,D,20221104,000000,29.0639,29.0639,29.0639,29.0639,92,0
LCLG.US,D,20221107,000000,29.3558,29.3558,29.3558,29.3558,1,0
LCLG.US,D,20221108,000000,29.4893,29.4893,29.4893,29.4893,1,0
LCLG.US,D,20221109,000000,28.8799,28.8799,28.8799,28.8799,1,0
LCLG.US,D,20221110,000000,31.0809,31.0809,31.0809,31.0809,1,0
LCLG.US,D,20221111,000000,31.4599,31.73,31.4599,31.73,1257,0
LCLG.US,D,20221114,000000,31.9,31.9,31.386,31.386,321,0
LCLG.US,D,20221115,000000,31.8169,31.8169,31.8169,31.8169,1,0
