<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LJAN.US,D,20240103,000000,24.48,24.51,24.4406,24.465,81399,0
LJAN.US,D,20240104,000000,24.5095,24.5095,24.465,24.465,7327,0
LJAN.US,D,20240105,000000,24.55,24.55,24.46,24.4816,18199,0
LJAN.US,D,20240108,000000,24.4974,24.59,24.4901,24.58,94680,0
LJAN.US,D,20240109,000000,24.6,24.6,24.52,24.57,17321,0
LJAN.US,D,20240110,000000,24.5684,24.61,24.53,24.55,6718,0
LJAN.US,D,20240111,000000,24.585,24.61,24.575,24.595,4934,0
LJAN.US,D,20240112,000000,24.6449,24.66,24.62,24.625,4715,0
LJAN.US,D,20240116,000000,24.62,24.63,24.595,24.595,5367,0
LJAN.US,D,20240117,000000,24.555,24.58,24.552,24.5647,8173,0
LJAN.US,D,20240118,000000,24.595,24.595,24.595,24.595,76,0
LJAN.US,D,20240119,000000,24.65,24.6692,24.63,24.635,1059,0
LJAN.US,D,20240122,000000,24.65,24.6541,24.6475,24.6541,3159,0
LJAN.US,D,20240123,000000,24.662,24.675,24.662,24.675,846,0
LJAN.US,D,20240124,000000,24.686,24.69,24.686,24.69,717,0
LJAN.US,D,20240125,000000,24.685,24.6946,24.65,24.6892,7110,0
LJAN.US,D,20240126,000000,24.72,24.73,24.69,24.6948,1026,0
LJAN.US,D,20240129,000000,24.72,24.74,24.72,24.74,580,0
LJAN.US,D,20240130,000000,24.62,24.62,24.5509,24.5893,801,0
LJAN.US,D,20240131,000000,24.6399,24.6399,24.559,24.559,1800,0
LJAN.US,D,20240201,000000,24.6199,24.6383,24.5965,24.5965,8271,0
LJAN.US,D,20240202,000000,24.613,24.613,24.613,24.613,105,0
LJAN.US,D,20240205,000000,24.63,24.63,24.605,24.6091,2423,0
LJAN.US,D,20240206,000000,24.6159,24.65,24.6159,24.625,6425,0
LJAN.US,D,20240207,000000,24.62,24.67,24.62,24.645,4602,0
LJAN.US,D,20240208,000000,24.6899,24.6899,24.6598,24.67,1968,0
LJAN.US,D,20240209,000000,24.68,24.6988,24.655,24.655,3869,0
LJAN.US,D,20240212,000000,24.6528,24.6528,24.645,24.645,1075,0
LJAN.US,D,20240213,000000,24.62,24.62,24.5854,24.5854,2748,0
LJAN.US,D,20240214,000000,24.64,24.65,24.57,24.6253,2019,0
LJAN.US,D,20240215,000000,24.66,24.68,24.6275,24.6418,4445,0
LJAN.US,D,20240216,000000,24.7,24.7,24.6416,24.6416,1480,0
LJAN.US,D,20240220,000000,24.6111,24.66,24.6111,24.627,585,0
LJAN.US,D,20240221,000000,24.66,24.67,24.625,24.67,5296,0
LJAN.US,D,20240222,000000,24.7,24.7,24.65,24.675,2113,0
LJAN.US,D,20240223,000000,24.6515,24.71,24.6515,24.71,2249,0
LJAN.US,D,20240226,000000,24.68,24.72,24.68,24.72,3692,0
LJAN.US,D,20240227,000000,24.73,24.73,24.7,24.7025,1164,0
LJAN.US,D,20240228,000000,24.6,24.61,24.585,24.585,4361,0
LJAN.US,D,20240229,000000,24.63,24.63,24.5999,24.5999,730,0
LJAN.US,D,20240301,000000,24.6599,24.6599,24.603,24.625,983,0
LJAN.US,D,20240304,000000,24.605,24.605,24.605,24.605,79,0
LJAN.US,D,20240305,000000,24.5724,24.5889,24.5724,24.5889,1222,0
LJAN.US,D,20240306,000000,24.63,24.63,24.605,24.605,3165,0
LJAN.US,D,20240307,000000,24.6141,24.6141,24.6141,24.6141,1,0
LJAN.US,D,20240308,000000,24.58,24.64,24.5604,24.64,908,0
LJAN.US,D,20240311,000000,24.6,24.61,24.6,24.61,512,0
LJAN.US,D,20240312,000000,24.6388,24.6699,24.63,24.63,4218,0
LJAN.US,D,20240313,000000,24.66,24.66,24.57,24.625,2828,0
LJAN.US,D,20240314,000000,24.6251,24.6251,24.62,24.62,450,0
LJAN.US,D,20240315,000000,24.59,24.62,24.59,24.62,427,0
LJAN.US,D,20240318,000000,24.6146,24.6303,24.6146,24.6303,967,0
LJAN.US,D,20240319,000000,24.65,24.65,24.65,24.65,52,0
LJAN.US,D,20240320,000000,24.6751,24.6751,24.6751,24.6751,218,0
LJAN.US,D,20240321,000000,24.6899,24.6899,24.6899,24.6899,45,0
LJAN.US,D,20240322,000000,24.7039,24.7039,24.7,24.7,231,0
LJAN.US,D,20240325,000000,24.6873,24.73,24.6873,24.695,592,0
LJAN.US,D,20240326,000000,24.7,24.7,24.7,24.7,100,0
LJAN.US,D,20240327,000000,24.6,24.6,24.6,24.6,6071,0
LJAN.US,D,20240328,000000,24.6,24.6196,24.6,24.6196,740,0
LJAN.US,D,20240401,000000,24.62,24.62,24.6,24.6,24044,0
LJAN.US,D,20240402,000000,24.595,24.595,24.595,24.595,84,0
LJAN.US,D,20240403,000000,24.5998,24.63,24.5998,24.6,2453,0
LJAN.US,D,20240404,000000,24.582,24.582,24.582,24.582,2,0
LJAN.US,D,20240405,000000,24.63,24.63,24.595,24.595,647,0
LJAN.US,D,20240408,000000,24.6007,24.6007,24.6007,24.6007,82,0
LJAN.US,D,20240409,000000,24.6153,24.6153,24.6153,24.6153,38,0
LJAN.US,D,20240410,000000,24.582,24.582,24.582,24.582,1,0
LJAN.US,D,20240411,000000,24.61,24.61,24.61,24.61,38,0
LJAN.US,D,20240412,000000,24.55,24.5848,24.5311,24.5848,6438,0
LJAN.US,D,20240415,000000,24.55,24.55,24.53,24.54,334,0
LJAN.US,D,20240416,000000,24.53,24.56,24.53,24.5516,1815,0
LJAN.US,D,20240417,000000,24.5606,24.5606,24.546,24.5579,943,0
LJAN.US,D,20240418,000000,24.56,24.56,24.55,24.55,526,0
LJAN.US,D,20240419,000000,24.5,24.5,24.5,24.5,215,0
LJAN.US,D,20240422,000000,24.644,24.644,24.644,24.644,202,0
LJAN.US,D,20240423,000000,24.64,24.64,24.64,24.64,18,0
LJAN.US,D,20240424,000000,24.6498,24.6498,24.6498,24.6498,23,0
LJAN.US,D,20240425,000000,24.59,24.64,24.59,24.64,744,0
LJAN.US,D,20240426,000000,24.6851,24.7,24.621,24.6657,10478,0
LJAN.US,D,20240429,000000,24.55,24.57,24.53,24.57,547,0
LJAN.US,D,20240430,000000,24.5477,24.5477,24.5477,24.5477,76,0
LJAN.US,D,20240501,000000,24.545,24.545,24.545,24.545,141,0
LJAN.US,D,20240502,000000,24.5679,24.5679,24.5679,24.5679,46,0
LJAN.US,D,20240503,000000,24.588,24.6002,24.55,24.6002,947,0
LJAN.US,D,20240506,000000,24.6,24.615,24.58,24.615,9950,0
LJAN.US,D,20240507,000000,24.65,24.65,24.625,24.625,2608,0
LJAN.US,D,20240508,000000,24.63,24.63,24.63,24.63,31,0
LJAN.US,D,20240509,000000,24.6352,24.6352,24.6352,24.6352,1,0
LJAN.US,D,20240510,000000,24.71,24.71,24.6443,24.6443,3402,0
LJAN.US,D,20240513,000000,24.65,24.6555,24.65,24.6505,649,0
LJAN.US,D,20240514,000000,24.6588,24.6588,24.6588,24.6588,30,0
LJAN.US,D,20240515,000000,24.6821,24.685,24.6821,24.685,500,0
LJAN.US,D,20240516,000000,24.69,24.7,24.676,24.676,3540,0
LJAN.US,D,20240517,000000,24.67,24.685,24.66,24.685,1392,0
LJAN.US,D,20240520,000000,24.6871,24.6878,24.65,24.675,1694,0
LJAN.US,D,20240521,000000,24.69,24.7,24.685,24.685,8071,0
LJAN.US,D,20240522,000000,24.6952,24.71,24.67,24.6751,8092,0
LJAN.US,D,20240523,000000,24.68,24.7,24.67,24.67,6624,0
LJAN.US,D,20240524,000000,24.7,24.7,24.69,24.69,664,0
LJAN.US,D,20240528,000000,24.6995,24.73,24.69,24.69,1508,0
LJAN.US,D,20240529,000000,24.7,24.73,24.67,24.69,3153,0
LJAN.US,D,20240530,000000,24.6965,24.73,24.69,24.69,351,0
LJAN.US,D,20240531,000000,24.6003,24.6003,24.6003,24.6003,46,0
LJAN.US,D,20240603,000000,24.608,24.64,24.57,24.61,363841,0
LJAN.US,D,20240604,000000,24.62,24.62,24.62,24.62,2,0
LJAN.US,D,20240605,000000,24.63,24.63,24.63,24.63,171,0
LJAN.US,D,20240606,000000,24.62,24.68,24.62,24.64,2101,0
LJAN.US,D,20240607,000000,24.64,24.64,24.64,24.64,131,0
LJAN.US,D,20240610,000000,24.65,24.65,24.65,24.65,1,0
LJAN.US,D,20240611,000000,24.67,24.69,24.6101,24.65,13253,0
LJAN.US,D,20240612,000000,24.6828,24.6828,24.6828,24.6828,41,0
