<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LNGZ.US,D,20240125,000000,25.183,25.183,25.183,25.183,2,0
LNGZ.US,D,20240126,000000,25.2721,25.2721,25.2721,25.2721,202,0
LNGZ.US,D,20240129,000000,25.39,25.4897,25.39,25.4897,121,0
LNGZ.US,D,20240130,000000,25.53,25.53,25.53,25.53,100,0
LNGZ.US,D,20240131,000000,25.35,25.35,25.1014,25.1014,2005,0
LNGZ.US,D,20240201,000000,25.2189,25.2189,25.2189,25.2189,67,0
LNGZ.US,D,20240202,000000,24.896,24.896,24.896,24.896,2,0
LNGZ.US,D,20240205,000000,24.4943,24.4943,24.4474,24.4474,2003,0
LNGZ.US,D,20240206,000000,24.671,24.671,24.671,24.671,7,0
LNGZ.US,D,20240207,000000,24.4458,24.4458,24.4458,24.4458,7,0
LNGZ.US,D,20240208,000000,24.4237,24.4237,24.4237,24.4237,22,0
LNGZ.US,D,20240209,000000,24.4325,24.4325,24.4325,24.4325,3,0
LNGZ.US,D,20240212,000000,24.635,24.635,24.635,24.635,5,0
LNGZ.US,D,20240213,000000,24.2838,24.2838,24.2838,24.2838,5,0
LNGZ.US,D,20240214,000000,24.4921,24.4921,24.4921,24.4921,4,0
LNGZ.US,D,20240215,000000,24.9318,24.9318,24.9318,24.9318,1,0
LNGZ.US,D,20240216,000000,25.0855,25.0855,25.0855,25.0855,4,0
LNGZ.US,D,20240220,000000,24.9546,24.9546,24.9546,24.9546,5,0
LNGZ.US,D,20240221,000000,25.1672,25.1672,25.1672,25.1672,5,0
LNGZ.US,D,20240222,000000,24.9159,24.9159,24.9159,24.9159,5,0
LNGZ.US,D,20240223,000000,25,25,25,25,100,0
LNGZ.US,D,20240226,000000,24.9,24.9,24.9,24.9,136,0
LNGZ.US,D,20240227,000000,25.1655,25.1655,24.99,25.14,462,0
LNGZ.US,D,20240228,000000,25.0809,25.0809,25.0809,25.0809,3,0
LNGZ.US,D,20240229,000000,25.5032,25.5032,25.5032,25.5032,1,0
LNGZ.US,D,20240301,000000,25.6097,25.6097,25.6097,25.6097,18,0
LNGZ.US,D,20240304,000000,25.5,25.5,25.3134,25.3134,143,0
LNGZ.US,D,20240305,000000,25.5152,25.5152,25.5152,25.5152,1,0
LNGZ.US,D,20240306,000000,25.9292,25.9292,25.9292,25.9292,24,0
LNGZ.US,D,20240307,000000,25.9699,25.9699,25.9699,25.9699,23,0
LNGZ.US,D,20240308,000000,25.8448,25.8448,25.8448,25.8448,19,0
LNGZ.US,D,20240311,000000,25.9376,25.9376,25.9376,25.9376,2,0
LNGZ.US,D,20240312,000000,26.0369,26.0369,26.0369,26.0369,19,0
LNGZ.US,D,20240313,000000,26.2147,26.2147,26.2147,26.2147,19,0
LNGZ.US,D,20240314,000000,25.868,25.868,25.868,25.868,2,0
LNGZ.US,D,20240315,000000,26.0193,26.0193,26.0193,26.0193,19,0
LNGZ.US,D,20240318,000000,25.96,25.96,25.8532,25.8532,196,0
LNGZ.US,D,20240319,000000,25.9975,25.9975,25.9975,25.9975,2,0
LNGZ.US,D,20240320,000000,26.1707,26.1707,26.1707,26.1707,2,0
LNGZ.US,D,20240321,000000,26.0893,26.0893,26.0893,26.0893,2,0
LNGZ.US,D,20240322,000000,25.9822,25.9822,25.9822,25.9822,33,0
LNGZ.US,D,20240325,000000,25.9802,25.9802,25.9802,25.9802,5,0
LNGZ.US,D,20240326,000000,25.927,25.927,25.927,25.927,24,0
LNGZ.US,D,20240327,000000,26.0147,26.0147,26.0147,26.0147,3,0
LNGZ.US,D,20240328,000000,26.31,26.31,26.31,26.31,262,0
LNGZ.US,D,20240401,000000,26.2,26.2,26.2,26.2,300,0
LNGZ.US,D,20240402,000000,26.2051,26.2051,26.2051,26.2051,5,0
LNGZ.US,D,20240403,000000,26.407,26.407,26.407,26.407,52,0
LNGZ.US,D,20240404,000000,26.1401,26.1401,26.1401,26.1401,7,0
LNGZ.US,D,20240405,000000,26.3435,26.3435,26.3435,26.3435,51,0
LNGZ.US,D,20240408,000000,26.3239,26.3239,26.3239,26.3239,5,0
LNGZ.US,D,20240409,000000,26.5,26.5,26.5,26.5,100,0
LNGZ.US,D,20240410,000000,26.2852,26.2852,26.2852,26.2852,52,0
LNGZ.US,D,20240411,000000,26.2831,26.2831,26.2831,26.2831,45,0
LNGZ.US,D,20240412,000000,25.9639,25.9639,25.9639,25.9639,45,0
LNGZ.US,D,20240415,000000,25.76,25.76,25.76,25.76,170,0
LNGZ.US,D,20240416,000000,25.51,25.51,25.51,25.51,102,0
