<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSGR.US,D,20230630,000000,25.3383,25.3383,25.3383,25.3383,32,0
LSGR.US,D,20230703,000000,25.39,25.3981,25.33,25.3981,1500,0
LSGR.US,D,20230705,000000,25.5115,25.5115,25.5115,25.5115,17,0
LSGR.US,D,20230706,000000,25.251,25.251,25.251,25.251,15,0
LSGR.US,D,20230707,000000,25.41,25.41,25.161,25.161,1093,0
LSGR.US,D,20230710,000000,25.1528,25.1528,25.1528,25.1528,1,0
LSGR.US,D,20230711,000000,25.165,25.3575,25.0995,25.3575,603,0
LSGR.US,D,20230712,000000,25.64,25.8127,25.64,25.7419,1255,0
LSGR.US,D,20230713,000000,26.2104,26.2104,26.2104,26.2104,325,0
LSGR.US,D,20230714,000000,26.1871,26.1871,26.1871,26.1871,117,0
LSGR.US,D,20230717,000000,26.33,26.33,26.3207,26.3207,165,0
LSGR.US,D,20230718,000000,26.24,26.5327,26.2257,26.5327,3473,0
LSGR.US,D,20230719,000000,26.5622,26.5622,26.5622,26.5622,159,0
LSGR.US,D,20230720,000000,26,26,25.7869,25.7869,538,0
LSGR.US,D,20230721,000000,25.6725,25.6725,25.6725,25.6725,87,0
LSGR.US,D,20230724,000000,25.72,25.72,25.703,25.703,240,0
LSGR.US,D,20230725,000000,25.8167,25.8167,25.8167,25.8167,32,0
LSGR.US,D,20230726,000000,25.8711,25.8711,25.8711,25.8711,120,0
LSGR.US,D,20230727,000000,25.8115,25.8115,25.8115,25.8115,65,0
LSGR.US,D,20230728,000000,26.3358,26.3358,26.3358,26.3358,2,0
LSGR.US,D,20230731,000000,26.3491,26.3491,26.3491,26.3491,27,0
LSGR.US,D,20230801,000000,26.2929,26.2929,26.2929,26.2929,25,0
LSGR.US,D,20230802,000000,25.7491,25.7491,25.7491,25.7491,126,0
LSGR.US,D,20230803,000000,25.7505,25.7505,25.7505,25.7505,55,0
LSGR.US,D,20230804,000000,25.7182,25.7182,25.7182,25.7182,2,0
LSGR.US,D,20230807,000000,26.1016,26.1016,26.1016,26.1016,39,0
LSGR.US,D,20230808,000000,25.8888,25.8888,25.8888,25.8888,99,0
LSGR.US,D,20230809,000000,25.635,25.635,25.5192,25.5192,212,0
LSGR.US,D,20230810,000000,25.668,25.668,25.668,25.668,96,0
LSGR.US,D,20230811,000000,25.4436,25.4436,25.4436,25.4436,3,0
LSGR.US,D,20230814,000000,25.758,25.758,25.758,25.758,3,0
LSGR.US,D,20230815,000000,25.7099,25.7099,25.5672,25.5672,1617,0
LSGR.US,D,20230816,000000,25.25,25.25,25.2083,25.2083,120,0
LSGR.US,D,20230817,000000,24.9094,24.9094,24.9094,24.9094,63,0
LSGR.US,D,20230818,000000,24.8348,24.8348,24.8348,24.8348,102,0
LSGR.US,D,20230821,000000,25.3921,25.3921,25.3921,25.3921,85,0
LSGR.US,D,20230822,000000,25.3135,25.3135,25.3135,25.3135,24,0
LSGR.US,D,20230823,000000,25.6467,25.6467,25.6467,25.6467,24,0
LSGR.US,D,20230824,000000,25.192,25.192,25.192,25.192,60,0
LSGR.US,D,20230825,000000,25.4401,25.4401,25.4401,25.4401,24,0
LSGR.US,D,20230828,000000,25.5881,25.5881,25.5881,25.5881,2,0
LSGR.US,D,20230829,000000,26.1603,26.1603,26.1603,26.1603,24,0
LSGR.US,D,20230830,000000,26.261,26.261,26.261,26.261,13,0
LSGR.US,D,20230831,000000,26.46,26.46,26.3062,26.3062,200,0
LSGR.US,D,20230901,000000,26.1645,26.1645,26.1645,26.1645,13,0
LSGR.US,D,20230905,000000,26.2505,26.2505,26.2505,26.2505,9,0
LSGR.US,D,20230906,000000,26.038,26.038,26.038,26.038,9,0
LSGR.US,D,20230907,000000,26.0048,26.0048,26.0048,26.0048,2,0
LSGR.US,D,20230908,000000,25.9661,25.9661,25.9661,25.9661,14,0
LSGR.US,D,20230911,000000,26.1862,26.3715,26.1862,26.3715,100,0
LSGR.US,D,20230912,000000,26.14,26.14,25.8961,25.8961,479,0
LSGR.US,D,20230913,000000,26.0377,26.0377,26.0377,26.0377,1,0
LSGR.US,D,20230914,000000,26.1826,26.1826,26.1826,26.1826,2,0
LSGR.US,D,20230915,000000,25.781,25.781,25.76,25.76,200,0
LSGR.US,D,20230918,000000,25.6881,25.6881,25.6881,25.6881,20,0
LSGR.US,D,20230919,000000,25.646,25.646,25.646,25.646,65,0
LSGR.US,D,20230920,000000,25.2405,25.2405,25.2405,25.2405,19,0
LSGR.US,D,20230921,000000,24.7354,24.7354,24.7354,24.7354,157,0
LSGR.US,D,20230922,000000,24.6246,24.6246,24.6246,24.6246,19,0
LSGR.US,D,20230925,000000,24.7378,24.7378,24.7378,24.7378,19,0
LSGR.US,D,20230926,000000,24.5112,24.5112,24.388,24.388,175,0
LSGR.US,D,20230927,000000,24.38,24.3934,24.38,24.3934,240,0
LSGR.US,D,20230928,000000,24.5667,24.5667,24.5667,24.5667,19,0
LSGR.US,D,20230929,000000,24.5727,24.5727,24.5727,24.5727,1,0
LSGR.US,D,20231002,000000,24.8001,24.8001,24.8001,24.8001,65,0
LSGR.US,D,20231003,000000,24.3186,24.3186,24.3186,24.3186,46,0
LSGR.US,D,20231004,000000,24.7978,24.7978,24.7978,24.7978,30,0
LSGR.US,D,20231005,000000,24.7567,24.7567,24.7567,24.7567,3,0
LSGR.US,D,20231006,000000,25.2,25.2,25.2,25.2,40,0
LSGR.US,D,20231009,000000,24.9999,25.2208,24.9999,25.2208,106,0
LSGR.US,D,20231010,000000,25.3792,25.3792,25.3792,25.3792,6,0
LSGR.US,D,20231011,000000,25.35,25.55,25.341,25.55,331,0
LSGR.US,D,20231012,000000,25.281,25.281,25.281,25.281,20,0
LSGR.US,D,20231013,000000,24.9481,24.9481,24.9481,24.9481,61,0
LSGR.US,D,20231016,000000,25.27,25.2997,25.24,25.2997,603,0
LSGR.US,D,20231017,000000,25.2328,25.2328,25.2328,25.2328,60,0
LSGR.US,D,20231018,000000,24.7301,24.7301,24.7301,24.7301,60,0
LSGR.US,D,20231019,000000,24.6049,24.6049,24.6049,24.6049,30,0
LSGR.US,D,20231020,000000,24.1978,24.1978,24.1978,24.1978,60,0
LSGR.US,D,20231023,000000,24.3936,24.3936,24.3936,24.3936,42,0
LSGR.US,D,20231024,000000,24.6227,24.6227,24.6227,24.6227,20,0
LSGR.US,D,20231025,000000,23.9533,23.9533,23.9533,23.9533,51,0
LSGR.US,D,20231026,000000,23.4862,23.4862,23.4862,23.4862,43,0
LSGR.US,D,20231027,000000,23.583,23.583,23.583,23.583,60,0
LSGR.US,D,20231030,000000,23.8982,23.8982,23.8982,23.8982,60,0
LSGR.US,D,20231031,000000,24.0461,24.0461,24.0461,24.0461,50,0
LSGR.US,D,20231101,000000,24.54,24.54,24.516,24.516,231,0
LSGR.US,D,20231102,000000,24.9821,24.9821,24.9821,24.9821,40,0
LSGR.US,D,20231103,000000,25.3118,25.3118,25.3118,25.3118,40,0
LSGR.US,D,20231106,000000,25.4215,25.4215,25.4215,25.4215,7,0
LSGR.US,D,20231107,000000,25.6022,25.6022,25.6022,25.6022,3,0
LSGR.US,D,20231108,000000,25.681,25.681,25.681,25.681,9,0
LSGR.US,D,20231109,000000,25.7122,25.7122,25.4691,25.4691,470,0
LSGR.US,D,20231110,000000,25.9217,25.9217,25.9217,25.9217,1,0
LSGR.US,D,20231113,000000,26.0408,26.0408,26.0408,26.0408,16,0
LSGR.US,D,20231114,000000,26.504,26.504,26.504,26.504,2,0
LSGR.US,D,20231115,000000,26.4313,26.4313,26.4313,26.4313,2,0
LSGR.US,D,20231116,000000,26.4525,26.4525,26.4525,26.4525,4,0
LSGR.US,D,20231117,000000,26.4885,26.4885,26.4885,26.4885,109,0
LSGR.US,D,20231120,000000,26.811,26.811,26.811,26.811,20,0
LSGR.US,D,20231121,000000,26.7477,26.7477,26.7477,26.7477,29,0
LSGR.US,D,20231122,000000,26.7194,26.7194,26.7194,26.7194,29,0
LSGR.US,D,20231124,000000,26.6698,26.6698,26.6698,26.6698,4,0
LSGR.US,D,20231127,000000,26.6244,26.6244,26.6244,26.6244,1,0
LSGR.US,D,20231128,000000,26.756,26.756,26.756,26.756,20,0
LSGR.US,D,20231129,000000,26.7851,26.7851,26.7851,26.7851,9,0
LSGR.US,D,20231130,000000,26.7386,26.8136,26.7386,26.8136,153,0
LSGR.US,D,20231201,000000,26.77,26.8518,26.77,26.8518,127,0
LSGR.US,D,20231204,000000,26.5134,26.5134,26.5134,26.5134,37,0
LSGR.US,D,20231205,000000,26.553,26.553,26.553,26.553,16,0
LSGR.US,D,20231206,000000,26.4196,26.4196,26.4196,26.4196,89,0
LSGR.US,D,20231207,000000,26.8203,26.8203,26.8203,26.8203,18,0
LSGR.US,D,20231208,000000,26.9375,26.9375,26.9375,26.9375,17,0
LSGR.US,D,20231211,000000,26.9083,26.9083,26.9083,26.9083,17,0
LSGR.US,D,20231212,000000,26.9735,26.9735,26.9735,26.9735,3,0
LSGR.US,D,20231213,000000,27.3975,27.3975,27.3975,27.3975,128,0
LSGR.US,D,20231214,000000,27.3815,27.3815,27.3815,27.3815,1,0
LSGR.US,D,20231215,000000,27.6101,27.6101,27.6101,27.6101,5,0
LSGR.US,D,20231218,000000,27.8705,27.8705,27.8705,27.8705,190,0
LSGR.US,D,20231219,000000,28.021,28.021,28.021,28.021,1,0
LSGR.US,D,20231220,000000,27.6855,27.6855,27.6855,27.6855,76,0
LSGR.US,D,20231221,000000,28.0633,28.0633,28.0633,28.0633,64,0
LSGR.US,D,20231222,000000,28.0315,28.0315,28.0315,28.0315,51,0
LSGR.US,D,20231226,000000,28.1101,28.1728,28.1101,28.1728,100,0
LSGR.US,D,20231227,000000,28.2284,28.2284,28.2284,28.2284,167,0
LSGR.US,D,20231228,000000,28.3178,28.3178,28.2014,28.2014,152,0
LSGR.US,D,20231229,000000,28.0607,28.0607,28.0607,28.0607,15,0
LSGR.US,D,20240102,000000,27.67,27.67,27.6475,27.6475,176,0
LSGR.US,D,20240103,000000,27.3557,27.3557,27.3557,27.3557,8,0
LSGR.US,D,20240104,000000,27.3335,27.3335,27.3335,27.3335,72,0
LSGR.US,D,20240105,000000,27.41,27.49,27.41,27.4192,335,0
LSGR.US,D,20240108,000000,27.8403,27.8853,27.8403,27.8853,914,0
LSGR.US,D,20240109,000000,27.9421,27.9421,27.9421,27.9421,4,0
LSGR.US,D,20240110,000000,28.3,28.3235,28.2999,28.3235,220,0
LSGR.US,D,20240111,000000,28.41,28.4216,28.41,28.4216,162,0
LSGR.US,D,20240112,000000,28.4484,28.4484,28.4484,28.4484,138,0
LSGR.US,D,20240116,000000,28.3319,28.3319,28.3319,28.3319,91,0
LSGR.US,D,20240117,000000,28.26,28.26,27.95,28.2063,2249,0
LSGR.US,D,20240118,000000,28.5344,28.5344,28.5344,28.5344,1,0
LSGR.US,D,20240119,000000,28.9422,28.9422,28.9422,28.9422,57,0
LSGR.US,D,20240122,000000,28.9628,28.9628,28.9628,28.9628,2,0
LSGR.US,D,20240123,000000,29.0389,29.0389,29.0389,29.0389,1,0
LSGR.US,D,20240124,000000,29.3276,29.3276,29.3276,29.3276,31,0
LSGR.US,D,20240125,000000,29.33,29.33,29.1834,29.1834,2322,0
LSGR.US,D,20240126,000000,29.29,29.3,29.2861,29.2861,652,0
LSGR.US,D,20240129,000000,29.73,29.7455,29.73,29.7455,700,0
LSGR.US,D,20240130,000000,29.71,29.71,29.6733,29.6733,251,0
LSGR.US,D,20240131,000000,29.37,29.37,29.1288,29.1288,371,0
LSGR.US,D,20240201,000000,29.33,29.4447,29.33,29.4447,199,0
LSGR.US,D,20240202,000000,30.2887,30.3553,30.2887,30.3553,645,0
LSGR.US,D,20240205,000000,30.2818,30.2818,30.2818,30.2818,34,0
LSGR.US,D,20240206,000000,30.2501,30.2501,30.2501,30.2501,114,0
LSGR.US,D,20240207,000000,30.6784,30.68,30.6781,30.6781,419,0
LSGR.US,D,20240208,000000,30.83,30.83,30.7645,30.7645,837,0
LSGR.US,D,20240209,000000,31.0911,31.0911,31.0911,31.0911,6,0
LSGR.US,D,20240212,000000,30.8543,30.8543,30.8543,30.8543,70,0
LSGR.US,D,20240213,000000,30.4,30.4858,30.4,30.436,231,0
LSGR.US,D,20240214,000000,30.5,30.9261,30.5,30.9261,1162,0
LSGR.US,D,20240215,000000,30.88,31.1022,30.88,31.1022,30041,0
LSGR.US,D,20240216,000000,30.97,30.98,30.7849,30.7849,31934,0
LSGR.US,D,20240220,000000,30.37,30.3825,30.22,30.3825,201884,0
LSGR.US,D,20240221,000000,30.25,30.2892,30.17,30.2892,200999,0
LSGR.US,D,20240222,000000,31.13,31.3343,31.11,31.3343,200203,0
LSGR.US,D,20240223,000000,31.505,31.52,31.3226,31.3226,400262,0
LSGR.US,D,20240226,000000,31.36,31.46,31.3184,31.3184,248193,0
LSGR.US,D,20240227,000000,31.39,31.39,31.26,31.38,839394,0
LSGR.US,D,20240228,000000,31.26,31.3501,31.2,31.294,1079924,0
LSGR.US,D,20240229,000000,31.58,31.64,31.39,31.6084,1079826,0
LSGR.US,D,20240301,000000,31.75,31.9751,31.7334,31.9576,5017,0
LSGR.US,D,20240304,000000,31.78,31.89,31.6934,31.6934,7229,0
LSGR.US,D,20240305,000000,31.2599,31.2599,31.116,31.116,638,0
LSGR.US,D,20240306,000000,31.18,31.24,31.17,31.2394,737,0
LSGR.US,D,20240307,000000,31.7332,31.7332,31.7332,31.7332,5,0
LSGR.US,D,20240308,000000,32.0499,32.095,31.4021,31.4021,1046,0
LSGR.US,D,20240311,000000,31.19,31.35,31.125,31.21,12744,0
LSGR.US,D,20240312,000000,31.7515,31.884,31.7515,31.884,226,0
LSGR.US,D,20240313,000000,31.81,31.81,31.7039,31.7039,1221,0
LSGR.US,D,20240314,000000,31.65,31.65,31.5738,31.5738,161,0
LSGR.US,D,20240315,000000,31.46,31.46,31.2599,31.3266,742,0
LSGR.US,D,20240318,000000,31.83,31.88,31.7758,31.7758,1259,0
LSGR.US,D,20240319,000000,31.61,31.8982,31.61,31.8982,211,0
LSGR.US,D,20240320,000000,31.94,32.2541,31.9003,32.2541,3386,0
LSGR.US,D,20240321,000000,32.2939,32.2939,32.2939,32.2939,247,0
LSGR.US,D,20240322,000000,32.235,32.3841,32.235,32.3841,1650,0
LSGR.US,D,20240325,000000,32.3037,32.3037,32.3037,32.3037,174,0
LSGR.US,D,20240326,000000,32.438,32.438,32.21,32.21,561,0
LSGR.US,D,20240327,000000,32.11,32.11,32.11,32.11,113,0
LSGR.US,D,20240328,000000,32.0595,32.0595,32.0595,32.0595,40,0
LSGR.US,D,20240401,000000,32.04,32.0856,32.04,32.0856,194,0
LSGR.US,D,20240402,000000,31.72,31.82,31.72,31.82,215,0
LSGR.US,D,20240403,000000,31.7903,31.7903,31.7903,31.7903,77,0
