<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBSF.US,D,20240229,000000,25.05,25.0986,25.05,25.05,339345,0
MBSF.US,D,20240301,000000,25.16,25.19,25.1,25.15,23773,0
MBSF.US,D,20240304,000000,25.1,25.16,25.0509,25.1,269764,0
MBSF.US,D,20240305,000000,25.12,25.1699,25.085,25.13,138846,0
MBSF.US,D,20240306,000000,25.12,25.1681,25.115,25.115,55799,0
MBSF.US,D,20240307,000000,25.098,25.17,25.0927,25.12,96235,0
MBSF.US,D,20240308,000000,25.12,25.1695,25.11,25.13,65915,0
MBSF.US,D,20240311,000000,25.125,25.16,25.11,25.15,16850,0
MBSF.US,D,20240312,000000,25.165,25.21,25.1253,25.2,13962,0
MBSF.US,D,20240313,000000,25.1492,25.2,25.1492,25.2,13228,0
MBSF.US,D,20240314,000000,25.18,25.18,25.16,25.16,9160,0
MBSF.US,D,20240315,000000,25.16,25.175,25.14,25.14,20806,0
MBSF.US,D,20240318,000000,25.14,26.38,25.14,25.15,35076,0
MBSF.US,D,20240319,000000,25.205,25.2499,25.1839,25.205,8838,0
MBSF.US,D,20240320,000000,25.3184,25.3184,25.23,25.2533,30941,0
MBSF.US,D,20240321,000000,25.269,25.35,25.22,25.24,155235,0
MBSF.US,D,20240322,000000,25.22,25.29,25.21,25.21,13851,0
MBSF.US,D,20240325,000000,25.2222,25.27,25.2222,25.235,4391,0
MBSF.US,D,20240326,000000,25.2038,25.48,25.2038,25.244,19469,0
MBSF.US,D,20240327,000000,25.25,25.25,25.21,25.223,1470,0
MBSF.US,D,20240328,000000,25.25,25.2764,25.2034,25.2764,7339,0
MBSF.US,D,20240401,000000,25.26,26.87,25.14,25.2161,28710,0
MBSF.US,D,20240402,000000,25.44,27.72,25.2,25.25,30699,0
MBSF.US,D,20240403,000000,25.234,25.2683,25.1801,25.2348,7820,0
MBSF.US,D,20240404,000000,25.2713,25.31,25.2209,25.265,7827,0
MBSF.US,D,20240405,000000,25.24,25.28,25.24,25.245,8956,0
MBSF.US,D,20240408,000000,25.235,25.2912,25.206,25.2912,19103,0
MBSF.US,D,20240409,000000,25.28,25.32,25.2101,25.2585,11984,0
MBSF.US,D,20240410,000000,25.26,25.27,25.235,25.235,29589,0
MBSF.US,D,20240411,000000,25.32,26.95,25.2,25.32,30493,0
MBSF.US,D,20240412,000000,25.27,25.34,25.2376,25.27,27298,0
MBSF.US,D,20240415,000000,25.29,27.3286,25.22,25.22,7649,0
MBSF.US,D,20240416,000000,25.2799,26.085,25.22,25.26,11657,0
MBSF.US,D,20240417,000000,25.3,25.32,25.23,25.2902,14753,0
MBSF.US,D,20240418,000000,25.26,25.3746,25.23,25.3746,18527,0
MBSF.US,D,20240419,000000,25.36,25.36,24.76,25.305,26974,0
MBSF.US,D,20240422,000000,25.26,25.37,25.26,25.32,26348,0
MBSF.US,D,20240423,000000,25.38,25.3899,25.2701,25.38,3788,0
MBSF.US,D,20240424,000000,25.3019,25.36,25.28,25.3148,9090,0
MBSF.US,D,20240425,000000,25.3121,25.37,25.3121,25.33,5418,0
MBSF.US,D,20240426,000000,25.2783,25.3291,25.23,25.25,2410,0
MBSF.US,D,20240429,000000,25.28,25.31,25.25,25.25,5032,0
MBSF.US,D,20240430,000000,25.25,25.29,25.2,25.26,9614,0
MBSF.US,D,20240501,000000,25.23,25.41,25.23,25.25,16314,0
MBSF.US,D,20240502,000000,25.29,25.32,25.25,25.2997,166601,0
MBSF.US,D,20240503,000000,25.32,25.85,25.29,25.29,19983,0
MBSF.US,D,20240506,000000,25.3301,25.39,25.2901,25.36,19721,0
MBSF.US,D,20240507,000000,25.28,25.36,25.27,25.27,26920,0
MBSF.US,D,20240508,000000,25.28,25.35,25.27,25.346,6506,0
MBSF.US,D,20240509,000000,25.2706,25.4,25.27,25.31,8097,0
MBSF.US,D,20240510,000000,25.315,25.35,25.27,25.31,26288,0
MBSF.US,D,20240513,000000,25.31,25.37,25.27,25.32,86331,0
MBSF.US,D,20240514,000000,25.3341,25.38,25.321,25.355,2069,0
MBSF.US,D,20240515,000000,25.34,25.42,25.28,25.32,31224,0
MBSF.US,D,20240516,000000,25.33,25.43,25.31,25.36,8485,0
MBSF.US,D,20240517,000000,25.4,25.41,25.24,25.31,276387,0
MBSF.US,D,20240520,000000,25.42,25.42,25.3,25.34,55095,0
MBSF.US,D,20240521,000000,25.395,25.45,25.395,25.45,1820,0
MBSF.US,D,20240522,000000,25.41,25.4184,25.3501,25.385,5508,0
MBSF.US,D,20240523,000000,25.35,25.42,25.35,25.39,11091,0
MBSF.US,D,20240524,000000,25.3901,25.43,25.38,25.38,13070,0
MBSF.US,D,20240528,000000,25.36,27.3599,25.31,25.345,33699,0
MBSF.US,D,20240529,000000,25.33,25.42,25.14,25.41,17303,0
MBSF.US,D,20240530,000000,25.31,25.39,25.2801,25.29,41367,0
MBSF.US,D,20240531,000000,25.3,25.31,25.21,25.2148,134437,0
MBSF.US,D,20240603,000000,25.23,25.3799,25.23,25.315,21196,0
MBSF.US,D,20240604,000000,25.37,25.38,25.3,25.3,9377,0
MBSF.US,D,20240605,000000,25.3,25.44,25.3,25.34,21410,0
MBSF.US,D,20240606,000000,25.3,25.38,25.3,25.355,16378,0
MBSF.US,D,20240607,000000,25.33,25.34,25.3,25.3,10050,0
MBSF.US,D,20240610,000000,25.3,26.5798,25.265,25.3,5655,0
MBSF.US,D,20240611,000000,25.46,25.47,25.45,25.45,8856,0
MBSF.US,D,20240612,000000,25.57,25.59,24.9601,25.44,14160,0
MBSF.US,D,20240613,000000,25.68,25.68,25.43,25.44,19411,0
MBSF.US,D,20240614,000000,25.505,25.5699,25.4651,25.52,37273,0
MBSF.US,D,20240617,000000,25.54,25.54,25.42,25.47,57109,0
MBSF.US,D,20240618,000000,25.46,25.57,25.46,25.52,11096,0
MBSF.US,D,20240620,000000,25.525,25.55,25.47,25.475,46272,0
MBSF.US,D,20240621,000000,25.505,25.52,25.41,25.46,33501,0
