<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDPL.US,D,20240308,000000,25.51,25.51,25.4946,25.4946,12733,0
MDPL.US,D,20240311,000000,25.51,25.7,25.51,25.7,2854,0
MDPL.US,D,20240312,000000,25.68,25.7573,25.66,25.7573,19481,0
MDPL.US,D,20240313,000000,25.87,25.9,25.77,25.77,46389,0
MDPL.US,D,20240314,000000,25.65,25.65,25.48,25.6,71302,0
MDPL.US,D,20240315,000000,25.58,25.58,25.5299,25.53,26422,0
MDPL.US,D,20240318,000000,26.22,26.22,25.44,25.5311,24705,0
MDPL.US,D,20240319,000000,25.52,25.6002,25.52,25.6002,141,0
MDPL.US,D,20240320,000000,25.58,25.8386,25.58,25.8386,19836,0
MDPL.US,D,20240321,000000,26.03,26.09,26.02,26.0266,11491,0
MDPL.US,D,20240322,000000,25.86,25.86,25.8401,25.8437,4488,0
MDPL.US,D,20240325,000000,25.88,25.91,25.88,25.91,2326,0
MDPL.US,D,20240326,000000,25.8859,25.9099,25.7984,25.7984,23107,0
MDPL.US,D,20240327,000000,26.0699,26.18,26.055,26.18,10282,0
MDPL.US,D,20240328,000000,26.35,26.41,26.345,26.4,5615,0
MDPL.US,D,20240401,000000,26.2,26.25,26.2,26.2282,3776,0
MDPL.US,D,20240402,000000,25.88,25.9798,25.87,25.9798,8103,0
MDPL.US,D,20240403,000000,26,26.06,26,26.0501,1667,0
MDPL.US,D,20240404,000000,26.31,26.31,25.8612,25.8612,65772,0
MDPL.US,D,20240405,000000,25.96,25.96,25.91,25.9341,723,0
MDPL.US,D,20240408,000000,26.09,26.09,25.9916,25.9916,5263,0
MDPL.US,D,20240409,000000,26.06,26.151,26.06,26.151,5191,0
MDPL.US,D,20240410,000000,25.64,25.69,25.57,25.6655,14015,0
MDPL.US,D,20240411,000000,25.58,25.6489,25.58,25.6489,154,0
MDPL.US,D,20240412,000000,25.39,25.39,25.2292,25.2292,350,0
MDPL.US,D,20240415,000000,25.34,25.34,25.02,25.0893,29017,0
MDPL.US,D,20240416,000000,24.888,25,24.865,24.9272,32076,0
MDPL.US,D,20240417,000000,24.93,24.95,24.83,24.8303,23931,0
MDPL.US,D,20240418,000000,25.0175,25.05,24.85,24.85,5591,0
MDPL.US,D,20240419,000000,24.85,25.01,24.85,24.96,9217,0
MDPL.US,D,20240422,000000,25.15,25.15,25.1029,25.1029,1383,0
MDPL.US,D,20240423,000000,25.28,25.28,25.227,25.227,456,0
MDPL.US,D,20240424,000000,25.38,25.38,25.21,25.3387,9358,0
MDPL.US,D,20240425,000000,24.98,25.1111,24.98,25.1111,3837,0
MDPL.US,D,20240426,000000,25.17,25.2382,25.167,25.167,4975,0
MDPL.US,D,20240429,000000,25.439,25.44,25.39,25.4358,6064,0
MDPL.US,D,20240430,000000,25.1606,25.19,24.9983,24.9983,14836,0
MDPL.US,D,20240501,000000,24.67,25.08,24.64,24.7195,11382,0
MDPL.US,D,20240502,000000,24.83,24.99,24.83,24.9331,16902,0
MDPL.US,D,20240503,000000,25.32,25.32,25.19,25.191,12329,0
MDPL.US,D,20240506,000000,25.4,25.42,25.38,25.42,929,0
MDPL.US,D,20240507,000000,25.31,25.4093,25.31,25.4093,224,0
MDPL.US,D,20240508,000000,25.51,25.51,25.3347,25.4061,8093,0
MDPL.US,D,20240509,000000,25.51,25.5757,25.51,25.5757,6760,0
MDPL.US,D,20240510,000000,25.5947,25.5947,25.5947,25.5947,4,0
MDPL.US,D,20240513,000000,25.8,25.81,25.7,25.71,3278,0
MDPL.US,D,20240514,000000,25.86,25.95,25.8168,25.8366,1506,0
MDPL.US,D,20240515,000000,26.02,26.02,25.83,25.8852,5196,0
MDPL.US,D,20240516,000000,25.89,25.89,25.8315,25.8315,2056,0
MDPL.US,D,20240517,000000,25.7534,25.82,25.75,25.82,10552,0
MDPL.US,D,20240520,000000,25.7636,25.7636,25.7636,25.7636,7,0
MDPL.US,D,20240521,000000,25.86,25.86,25.66,25.7024,1915,0
MDPL.US,D,20240522,000000,25.7,25.7,25.61,25.6436,531,0
MDPL.US,D,20240523,000000,25.5,25.5,25.2701,25.2701,1792,0
MDPL.US,D,20240524,000000,25.3193,25.3193,25.3193,25.3193,14,0
MDPL.US,D,20240528,000000,25.36,25.36,25.17,25.1961,1998,0
MDPL.US,D,20240529,000000,24.9299,24.9299,24.9281,24.9281,315,0
MDPL.US,D,20240530,000000,25.18,25.2,25.1734,25.1734,2592,0
MDPL.US,D,20240531,000000,25.3,25.6371,25.28,25.6371,485,0
MDPL.US,D,20240603,000000,25.4796,25.58,25.46,25.4659,5400,0
MDPL.US,D,20240604,000000,25.42,25.42,25.2899,25.3066,14319,0
MDPL.US,D,20240605,000000,25.2748,25.33,25.2299,25.2834,11792,0
MDPL.US,D,20240606,000000,25.27,25.31,25.26,25.2948,8399,0
MDPL.US,D,20240607,000000,25.1799,25.1799,25.0566,25.0566,4700,0
MDPL.US,D,20240610,000000,24.93,25.07,24.93,25.042,13039,0
MDPL.US,D,20240611,000000,24.78,24.9906,24.78,24.9906,102,0
MDPL.US,D,20240612,000000,25.07,25.07,25.0156,25.0156,8249,0
MDPL.US,D,20240613,000000,24.84,24.8921,24.84,24.8921,209,0
MDPL.US,D,20240614,000000,24.61,24.66,24.5803,24.66,9385,0
MDPL.US,D,20240617,000000,24.73,24.8184,24.73,24.8184,1613,0
MDPL.US,D,20240618,000000,24.84,24.85,24.8214,24.8214,1847,0
MDPL.US,D,20240620,000000,24.91,24.98,24.91,24.9368,3594,0
MDPL.US,D,20240621,000000,24.94,25.02,24.94,25.02,4938,0
