<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGRO.US,D,20240402,000000,29.94,29.96,29.785,29.917,1613,0
MGRO.US,D,20240403,000000,30,30,29.8824,29.8824,364,0
MGRO.US,D,20240404,000000,29.84,29.84,29.5793,29.5793,998,0
MGRO.US,D,20240405,000000,29.81,29.83,29.81,29.8234,282,0
MGRO.US,D,20240408,000000,29.82,29.95,29.82,29.8741,462,0
MGRO.US,D,20240409,000000,30.1143,30.1143,30.1143,30.1143,212,0
MGRO.US,D,20240410,000000,29.6207,29.6207,29.6207,29.6207,144,0
MGRO.US,D,20240411,000000,29.85,29.85,29.7908,29.7908,104,0
MGRO.US,D,20240412,000000,29.1985,29.1985,29.1985,29.1985,173,0
MGRO.US,D,20240415,000000,28.8,28.8198,28.72,28.72,418,0
MGRO.US,D,20240416,000000,28.72,28.72,28.6187,28.6187,413,0
MGRO.US,D,20240417,000000,28.52,28.57,28.4417,28.4417,425,0
MGRO.US,D,20240418,000000,28.34,28.34,28.1943,28.1943,207,0
MGRO.US,D,20240419,000000,28.19,28.19,28.08,28.08,399,0
MGRO.US,D,20240422,000000,28.3,28.3053,28.3,28.3053,106,0
MGRO.US,D,20240423,000000,28.68,28.68,28.653,28.653,445,0
MGRO.US,D,20240424,000000,28.6694,28.6694,28.49,28.5811,2055,0
MGRO.US,D,20240425,000000,28.5767,28.5767,28.5767,28.5767,8,0
MGRO.US,D,20240426,000000,28.91,28.91,28.818,28.818,560,0
MGRO.US,D,20240429,000000,28.9,28.9,28.845,28.8884,639,0
MGRO.US,D,20240430,000000,28.3944,28.3944,28.3944,28.3944,124,0
MGRO.US,D,20240501,000000,28.1961,28.1961,28.1961,28.1961,7,0
MGRO.US,D,20240502,000000,28.1,28.3458,28.1,28.3458,210,0
MGRO.US,D,20240503,000000,28.51,28.51,28.4879,28.4879,313,0
MGRO.US,D,20240506,000000,28.71,28.71,28.675,28.6846,452,0
MGRO.US,D,20240507,000000,28.62,28.79,28.62,28.6962,811,0
MGRO.US,D,20240508,000000,28.6719,28.6719,28.6719,28.6719,55,0
MGRO.US,D,20240509,000000,28.83,28.9,28.79,28.8454,2700,0
MGRO.US,D,20240510,000000,28.9397,28.9625,28.9397,28.9625,121,0
MGRO.US,D,20240513,000000,28.9583,28.9583,28.9583,28.9583,79,0
MGRO.US,D,20240514,000000,29.0797,29.0797,29.0797,29.0797,83,0
MGRO.US,D,20240515,000000,29.4,29.4938,29.4,29.4938,387,0
MGRO.US,D,20240516,000000,29.503,29.503,29.503,29.503,55,0
MGRO.US,D,20240517,000000,29.4616,29.4616,29.4616,29.4616,16,0
MGRO.US,D,20240520,000000,29.5096,29.5488,29.5096,29.5488,425,0
MGRO.US,D,20240521,000000,29.29,29.4195,29.29,29.4195,100,0
MGRO.US,D,20240522,000000,29.39,29.4098,29.39,29.4098,102,0
MGRO.US,D,20240523,000000,28.9102,28.9102,28.9102,28.9102,44,0
MGRO.US,D,20240524,000000,28.8815,28.8815,28.8815,28.8815,78,0
MGRO.US,D,20240528,000000,28.5197,28.5197,28.5197,28.5197,53,0
MGRO.US,D,20240529,000000,28.223,28.223,28.223,28.223,46,0
MGRO.US,D,20240530,000000,27.58,27.59,27.5548,27.5548,2500,0
MGRO.US,D,20240531,000000,27.7374,27.7374,27.7374,27.7374,61,0
MGRO.US,D,20240603,000000,27.7707,27.7707,27.7707,27.7707,69,0
MGRO.US,D,20240604,000000,27.8907,27.8907,27.8907,27.8907,5,0
MGRO.US,D,20240605,000000,28.05,28.1375,28.05,28.1375,232,0
MGRO.US,D,20240606,000000,28.2494,28.2494,28.2494,28.2494,5,0
MGRO.US,D,20240607,000000,28.207,28.21,28.11,28.11,3005,0
MGRO.US,D,20240610,000000,28.06,28.12,28.06,28.12,406,0
MGRO.US,D,20240611,000000,27.95,28.0181,27.925,28.0181,2302,0
MGRO.US,D,20240612,000000,28.4,28.4,28.2817,28.2817,411,0
MGRO.US,D,20240613,000000,28.03,28.04,27.975,28.04,1912,0
MGRO.US,D,20240614,000000,27.9199,28.01,27.9199,27.9857,339,0
MGRO.US,D,20240617,000000,28.22,28.22,28.2,28.2,241,0
MGRO.US,D,20240618,000000,28.11,28.14,28.11,28.14,211,0
MGRO.US,D,20240620,000000,28.22,28.26,28.22,28.2599,207,0
MGRO.US,D,20240621,000000,28.4533,28.4533,28.4533,28.4533,28,0
