<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOON.US,D,20201113,000000,26.014,26.389,24.498,24.922,128070,0
MOON.US,D,20201116,000000,25.642,25.642,24.863,25.632,75294,0
MOON.US,D,20201117,000000,26.29,26.29,25.336,25.898,94102,0
MOON.US,D,20201118,000000,26.074,26.449,25.632,25.855,70452,0
MOON.US,D,20201119,000000,25.789,26.596,25.789,26.504,55462,0
MOON.US,D,20201120,000000,26.567,27.13,26.567,27.059,77702,0
MOON.US,D,20201123,000000,28.092,29.028,27.69,29.018,173249,0
MOON.US,D,20201124,000000,30.18,30.18,28.408,29.018,186599,0
MOON.US,D,20201125,000000,28.634,29.54,28.251,29.501,81156,0
MOON.US,D,20201127,000000,29.924,30.151,29.538,29.737,83328,0
MOON.US,D,20201130,000000,30.269,30.269,28.33,29.342,134041,0
MOON.US,D,20201201,000000,29.757,29.826,28.685,28.812,86548,0
MOON.US,D,20201202,000000,27.424,28.078,26.832,28.073,71713,0
MOON.US,D,20201203,000000,28.438,28.663,28.241,28.257,48432,0
MOON.US,D,20201204,000000,28.556,28.91,28.355,28.876,37428,0
MOON.US,D,20201207,000000,29.433,29.698,29.246,29.393,103532,0
MOON.US,D,20201208,000000,29.549,30.594,29.294,30.475,128735,0
MOON.US,D,20201209,000000,30.525,30.633,28.732,29.171,115511,0
MOON.US,D,20201210,000000,29.038,29.708,28.871,29.708,49865,0
MOON.US,D,20201211,000000,29.54,29.777,28.857,29.294,54344,0
MOON.US,D,20201214,000000,29.393,29.648,29.137,29.15,54738,0
MOON.US,D,20201215,000000,29.845,30.013,29.481,29.827,40980,0
MOON.US,D,20201216,000000,30.063,30.112,29.559,29.984,35578,0
MOON.US,D,20201217,000000,30.132,30.594,30.122,30.465,58595,0
MOON.US,D,20201218,000000,30.81,31.46,30.5,31.027,80475,0
MOON.US,D,20201221,000000,31.018,31.775,30.525,31.763,79038,0
MOON.US,D,20201222,000000,32.287,33.834,32.166,33.735,108723,0
MOON.US,D,20201223,000000,33.962,34.059,33.124,33.132,105328,0
MOON.US,D,20201224,000000,33.617,33.617,32.435,32.533,54547,0
MOON.US,D,20201228,000000,33.173,33.301,32.081,32.141,58187,0
MOON.US,D,20201229,000000,32.15,32.327,30.949,31.295,76737,0
MOON.US,D,20201230,000000,31.283,32.076,31.283,31.958,22289,0
MOON.US,D,20201231,000000,32.13,32.13,31.186,31.273,26893,0
MOON.US,D,20210104,000000,31.627,31.627,30.544,31.067,50195,0
MOON.US,D,20210105,000000,31.313,31.627,31.018,31.586,25708,0
MOON.US,D,20210106,000000,31.875,32.731,31.707,32.071,69150,0
MOON.US,D,20210107,000000,33.548,34.569,33.139,34.553,84680,0
MOON.US,D,20210108,000000,35.587,35.587,33.977,34.596,75745,0
MOON.US,D,20210111,000000,34.464,34.651,33.794,34.454,59467,0
MOON.US,D,20210112,000000,34.985,35.291,34.679,35.291,53112,0
MOON.US,D,20210113,000000,35.685,35.99,35.114,35.744,45029,0
MOON.US,D,20210114,000000,36.236,36.683,35.96,36.463,84892,0
MOON.US,D,20210115,000000,36.866,36.866,35.222,35.596,66389,0
MOON.US,D,20210119,000000,36.316,37.142,36.236,37.123,111244,0
MOON.US,D,20210120,000000,37.792,37.792,36.63,37.575,104194,0
MOON.US,D,20210121,000000,37.575,37.723,36.88,37.526,40858,0
MOON.US,D,20210122,000000,37.634,38.451,36.952,38.412,121561,0
MOON.US,D,20210125,000000,39.289,40.737,37.949,39.692,155834,0
MOON.US,D,20210126,000000,40.116,41.573,40.056,41.416,172580,0
MOON.US,D,20210127,000000,40.096,43.621,39.781,40.854,289824,0
MOON.US,D,20210128,000000,40.864,41.819,38.688,39.279,209124,0
MOON.US,D,20210129,000000,39.535,40.322,38.609,38.893,156522,0
MOON.US,D,20210201,000000,39.692,40.835,39.191,40.687,163628,0
MOON.US,D,20210202,000000,41.544,41.544,39.936,40.923,131349,0
MOON.US,D,20210203,000000,41.208,42.339,41.208,42.144,169824,0
MOON.US,D,20210204,000000,43.08,43.08,42.278,42.754,182587,0
MOON.US,D,20210205,000000,43.532,44.153,42.588,44.103,236093,0
MOON.US,D,20210208,000000,45.59,47.491,44.981,47.491,629426,0
MOON.US,D,20210209,000000,49.017,49.313,47.757,49.067,658687,0
MOON.US,D,20210210,000000,49.668,49.857,45.906,47.077,761422,0
MOON.US,D,20210211,000000,49.027,49.697,47.068,48.387,609949,0
MOON.US,D,20210212,000000,47.944,49.382,47.136,49.204,426992,0
MOON.US,D,20210216,000000,50.495,50.495,48.002,49.51,696522,0
MOON.US,D,20210217,000000,48.938,48.938,46.457,47.934,570976,0
MOON.US,D,20210218,000000,46.299,47.629,45.344,45.778,457413,0
MOON.US,D,20210219,000000,47.166,49.076,46.782,48.437,565347,0
MOON.US,D,20210222,000000,48.249,49.224,46.418,46.644,438254,0
MOON.US,D,20210223,000000,44.321,44.387,40.295,43.542,1006755,0
MOON.US,D,20210224,000000,44.448,45.383,43.257,44.576,348467,0
MOON.US,D,20210225,000000,44.212,45.069,41.858,42.39,464799,0
MOON.US,D,20210226,000000,41.937,43.129,40.667,41.908,415194,0
MOON.US,D,20210301,000000,43.631,45.168,43.286,45.089,411862,0
MOON.US,D,20210302,000000,45.699,45.699,42.774,42.853,332486,0
MOON.US,D,20210303,000000,42.529,43.05,40.11,40.382,504126,0
MOON.US,D,20210304,000000,39.643,40.568,36.083,37.437,598080,0
MOON.US,D,20210305,000000,38.019,38.113,33.725,37.467,870093,0
