<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRAD.US,D,20210104,000000,25.67,25.67,24.895,24.9375,10402,0
MRAD.US,D,20210105,000000,25.11,25.35,25.11,25.2904,36778,0
MRAD.US,D,20210106,000000,25.33,25.37,25.02,25.0546,12097,0
MRAD.US,D,20210107,000000,25.3,25.47,25.24,25.47,11275,0
MRAD.US,D,20210108,000000,25.825,26.124,25.825,26.124,15807,0
MRAD.US,D,20210111,000000,26.02,26.02,25.62,25.82,13272,0
MRAD.US,D,20210112,000000,25.9099,26.14,25.9099,26.1222,2588,0
MRAD.US,D,20210113,000000,26.24,26.24,26,26.1306,5080,0
MRAD.US,D,20210114,000000,26.47,26.775,26.47,26.6992,2888,0
MRAD.US,D,20210115,000000,26.75,26.83,26.4,26.5,2476,0
MRAD.US,D,20210119,000000,26.97,27.356,26.1636,27.26,4927,0
MRAD.US,D,20210120,000000,27.69,27.906,27.69,27.906,12055,0
MRAD.US,D,20210121,000000,27.9,27.9,27.7299,27.765,3864,0
MRAD.US,D,20210122,000000,27.85,28.0121,27.85,28.0121,3378,0
MRAD.US,D,20210125,000000,28.18,28.32,27.82,28.1145,5376,0
MRAD.US,D,20210126,000000,28.12,28.13,28.07,28.0804,1133,0
MRAD.US,D,20210127,000000,27.52,27.82,27.17,27.4074,5293,0
MRAD.US,D,20210128,000000,27.46,27.46,27.1701,27.2947,960,0
MRAD.US,D,20210129,000000,27.15,27.2701,26.77,26.8683,5485,0
MRAD.US,D,20210201,000000,27.37,28.0793,27.32,28.0793,1516,0
MRAD.US,D,20210202,000000,28.33,28.6144,28.2696,28.6144,2556,0
MRAD.US,D,20210203,000000,28.82,29.07,28.82,28.9,1477,0
MRAD.US,D,20210204,000000,29,29.33,29,29.33,962,0
MRAD.US,D,20210205,000000,29.89,30.0045,29.82,30.0045,2026,0
MRAD.US,D,20210208,000000,30.5,30.5,30.1,30.2432,3509,0
MRAD.US,D,20210209,000000,30.7895,30.94,30.66,30.7781,3632,0
MRAD.US,D,20210210,000000,31.11,31.11,30.7,30.754,1464,0
MRAD.US,D,20210211,000000,31.3404,31.3404,31.221,31.337,1335,0
MRAD.US,D,20210212,000000,31.7,31.7459,31.47,31.7459,5937,0
MRAD.US,D,20210216,000000,31.91,31.96,31.46,31.58,4457,0
MRAD.US,D,20210217,000000,31.19,31.4146,31,31.3328,2182,0
MRAD.US,D,20210218,000000,30.5,30.9035,30.468,30.9035,1861,0
MRAD.US,D,20210219,000000,31.379,31.42,31.24,31.4073,1232,0
MRAD.US,D,20210222,000000,31,31,30.3788,30.3788,2909,0
MRAD.US,D,20210223,000000,29.35,29.9,28.91,29.84,10101,0
MRAD.US,D,20210224,000000,29.71,30.3206,29.71,30.3206,942,0
MRAD.US,D,20210225,000000,30.3,30.39,29.241,29.241,5043,0
MRAD.US,D,20210226,000000,29.56,29.79,28.63,29.438,1926,0
MRAD.US,D,20210301,000000,30.36,30.95,30.331,30.8975,4671,0
MRAD.US,D,20210302,000000,30.63,30.92,30.4175,30.4175,966,0
MRAD.US,D,20210303,000000,30.03,30.03,28.49,28.5214,2693,0
MRAD.US,D,20210304,000000,28.04,28.04,26.61,26.8027,2875,0
MRAD.US,D,20210305,000000,26.73,26.73,24.71,26.57,5642,0
MRAD.US,D,20210308,000000,26.48,26.5127,25.1462,25.1462,1396,0
MRAD.US,D,20210309,000000,26.51,26.85,26.51,26.6811,2040,0
MRAD.US,D,20210310,000000,27.38,27.44,26.76,26.8319,2561,0
MRAD.US,D,20210311,000000,27.69,28.1972,27.53,28.1972,2867,0
MRAD.US,D,20210312,000000,27.5,27.93,27.5,27.93,2606,0
MRAD.US,D,20210315,000000,27.78,27.78,27.52,27.6928,999,0
MRAD.US,D,20210316,000000,28,28.139,27.37,27.6111,1647,0
MRAD.US,D,20210317,000000,27.08,27.7901,27.08,27.7901,1602,0
MRAD.US,D,20210318,000000,27.0106,27.0106,26.4995,26.4995,820,0
MRAD.US,D,20210319,000000,26.91,26.97,26.91,26.9489,1043,0
MRAD.US,D,20210322,000000,27.28,27.57,27.28,27.3394,7347,0
MRAD.US,D,20210323,000000,27.3,27.3,26.76,26.76,1144,0
MRAD.US,D,20210324,000000,26.84,26.84,25.55,25.55,1598,0
MRAD.US,D,20210325,000000,25.5099,25.62,25.131,25.5211,1325,0
MRAD.US,D,20210326,000000,25.55,25.7425,25.055,25.7425,2540,0
MRAD.US,D,20210329,000000,25.61,25.61,25.16,25.25,1883,0
MRAD.US,D,20210330,000000,25.06,25.5777,25.04,25.5777,1256,0
MRAD.US,D,20210331,000000,26.1578,26.1578,26.1578,26.1578,185,0
MRAD.US,D,20210401,000000,27.1272,27.1272,27.1272,27.1272,231,0
MRAD.US,D,20210405,000000,26.979,27.0912,26.91,27.0912,2173,0
MRAD.US,D,20210406,000000,27.01,27.35,27.01,27.182,391,0
MRAD.US,D,20210407,000000,26.9317,27,26.7937,26.7937,4482,0
MRAD.US,D,20210408,000000,27.36,27.36,27.2792,27.2792,902,0
MRAD.US,D,20210409,000000,27.24,27.3329,27.24,27.3329,294,0
MRAD.US,D,20210412,000000,27.308,27.308,27.17,27.21,4755,0
MRAD.US,D,20210413,000000,27.6336,27.6336,27.6336,27.6336,202,0
MRAD.US,D,20210414,000000,27.52,27.52,27.238,27.238,420,0
MRAD.US,D,20210415,000000,27.512,27.512,27.36,27.3845,808,0
MRAD.US,D,20210416,000000,27.3237,27.3237,27.3237,27.3237,124,0
MRAD.US,D,20210419,000000,26.91,26.91,26.8836,26.8836,1339,0
MRAD.US,D,20210420,000000,26.8,26.8,26.28,26.4008,1138,0
MRAD.US,D,20210421,000000,26.7357,26.7357,26.7357,26.7357,270,0
MRAD.US,D,20210422,000000,26.9602,26.9602,26.9602,26.9602,38,0
MRAD.US,D,20210423,000000,27.21,27.5298,27.21,27.5298,169,0
MRAD.US,D,20210426,000000,27.78,27.917,27.78,27.917,157,0
MRAD.US,D,20210427,000000,27.74,27.74,27.6733,27.6733,174,0
MRAD.US,D,20210428,000000,27.85,27.9398,27.85,27.8985,549,0
MRAD.US,D,20210429,000000,27.88,27.9215,27.88,27.9215,601,0
MRAD.US,D,20210430,000000,27.8404,27.8404,27.6115,27.6115,355,0
MRAD.US,D,20210503,000000,27.49,27.49,27.3099,27.3099,756,0
MRAD.US,D,20210504,000000,26.62,26.62,26.28,26.4907,1561,0
MRAD.US,D,20210505,000000,26.65,26.71,26.24,26.263,943,0
MRAD.US,D,20210506,000000,25.62,25.62,25.45,25.5052,2021,0
MRAD.US,D,20210507,000000,25.81,26.33,25.81,26.1634,1386,0
MRAD.US,D,20210510,000000,24.6621,24.6621,24.6621,24.6621,420,0
MRAD.US,D,20210511,000000,23.72,24.7176,23.72,24.7176,2369,0
MRAD.US,D,20210512,000000,24.61,24.61,24.171,24.19,1251,0
MRAD.US,D,20210513,000000,23.9,23.911,23.8818,23.8818,363,0
MRAD.US,D,20210514,000000,24.4648,24.4648,24.4648,24.4648,100,0
MRAD.US,D,20210517,000000,24.3,24.3,24.3,24.3,238,0
MRAD.US,D,20210518,000000,24.54,24.54,24.54,24.54,392,0
MRAD.US,D,20210519,000000,24.7266,24.7266,24.7266,24.7266,60,0
MRAD.US,D,20210520,000000,25.36,25.5006,25.36,25.5006,729,0
MRAD.US,D,20210521,000000,25.465,25.465,25.3985,25.3985,110,0
MRAD.US,D,20210524,000000,25.62,25.6445,25.6199,25.6445,388,0
MRAD.US,D,20210525,000000,25.607,25.607,25.607,25.607,9,0
MRAD.US,D,20210526,000000,25.9,25.9453,25.9,25.9453,240,0
MRAD.US,D,20210527,000000,25.94,26.06,25.921,26.06,1842,0
MRAD.US,D,20210528,000000,26,26.09,25.9115,25.9115,1340,0
MRAD.US,D,20210601,000000,26.06,26.12,26.0598,26.0752,1051,0
MRAD.US,D,20210602,000000,25.91,25.9457,25.91,25.9457,417,0
MRAD.US,D,20210603,000000,25.5295,25.5295,25.5295,25.5295,37,0
MRAD.US,D,20210604,000000,25.881,25.9804,25.881,25.9804,140,0
MRAD.US,D,20210607,000000,26.03,26.5075,26.03,26.5075,618,0
MRAD.US,D,20210608,000000,26.551,26.6396,26.551,26.6396,410,0
MRAD.US,D,20210609,000000,26.58,26.58,26.4025,26.4025,433,0
MRAD.US,D,20210610,000000,26.467,26.555,26.4,26.5472,674,0
MRAD.US,D,20210611,000000,26.868,26.868,26.868,26.868,21,0
MRAD.US,D,20210614,000000,26.95,26.9833,26.941,26.9833,414,0
MRAD.US,D,20210615,000000,26.6097,26.6097,26.6097,26.6097,11,0
MRAD.US,D,20210616,000000,26.681,26.72,26.67,26.72,390,0
MRAD.US,D,20210617,000000,27.1,27.14,27.1,27.11,1084,0
MRAD.US,D,20210618,000000,27.02,27.02,27.02,27.02,245,0
MRAD.US,D,20210621,000000,26.89,27.0788,26.89,27.0788,930,0
MRAD.US,D,20210622,000000,27.14,27.6295,27.055,27.606,3690,0
MRAD.US,D,20210623,000000,27.935,27.9905,27.91,27.9905,1900,0
MRAD.US,D,20210624,000000,28.765,28.79,28.685,28.7323,1122,0
MRAD.US,D,20210625,000000,28.86,28.9378,28.8398,28.9378,3029,0
MRAD.US,D,20210628,000000,29.2999,29.3016,29.18,29.3016,401,0
MRAD.US,D,20210629,000000,29.29,29.35,29.26,29.3405,931,0
MRAD.US,D,20210630,000000,28.98,28.98,28.85,28.85,445,0
MRAD.US,D,20210701,000000,28.98,28.98,28.3286,28.7015,1079,0
MRAD.US,D,20210702,000000,28.555,28.57,28.44,28.52,1922,0
MRAD.US,D,20210706,000000,28.59,28.59,28.365,28.5689,365,0
MRAD.US,D,20210707,000000,28.36,28.36,28.0233,28.0233,694,0
MRAD.US,D,20210708,000000,27.32,27.5986,27.32,27.5986,371,0
MRAD.US,D,20210709,000000,27.93,27.93,27.93,27.93,113,0
MRAD.US,D,20210712,000000,27.8004,27.8004,27.8004,27.8004,129,0
MRAD.US,D,20210713,000000,27.75,27.75,27.7168,27.7168,148,0
MRAD.US,D,20210714,000000,27.0957,27.0957,27.0957,27.0957,36,0
MRAD.US,D,20210715,000000,26.62,26.8836,26.62,26.8836,626,0
MRAD.US,D,20210716,000000,26.6267,26.6267,26.6267,26.6267,15,0
MRAD.US,D,20210719,000000,26.4877,26.4877,26.4877,26.4877,124,0
MRAD.US,D,20210720,000000,26.7501,26.9533,26.7501,26.9533,206,0
MRAD.US,D,20210721,000000,27.5158,27.5158,27.5158,27.5158,20,0
MRAD.US,D,20210722,000000,27.552,27.6227,27.552,27.6227,488,0
MRAD.US,D,20210723,000000,27.5501,27.9333,27.5501,27.9333,265,0
MRAD.US,D,20210726,000000,27.819,27.8199,27.49,27.5492,4715,0
MRAD.US,D,20210727,000000,27.32,27.34,27.1001,27.1001,405,0
MRAD.US,D,20210728,000000,27.6,27.6309,27.6,27.6309,161,0
MRAD.US,D,20210729,000000,27.4016,27.4016,27.4016,27.4016,76,0
MRAD.US,D,20210730,000000,27.2299,27.2299,27.2299,27.2299,113,0
MRAD.US,D,20210802,000000,27.38,27.38,27.1886,27.1886,545,0
MRAD.US,D,20210803,000000,27.2304,27.2304,27.2304,27.2304,17,0
MRAD.US,D,20210804,000000,27.5012,27.5012,27.5012,27.5012,101,0
MRAD.US,D,20210805,000000,27.99,28.0883,27.99,28.0883,263,0
MRAD.US,D,20210806,000000,28.07,28.1295,28.06,28.1295,528,0
MRAD.US,D,20210809,000000,28.0532,28.0532,28.0532,28.0532,233,0
MRAD.US,D,20210810,000000,28.16,28.2015,27.9332,27.9332,447,0
MRAD.US,D,20210811,000000,27.95,27.9942,27.95,27.9942,271,0
MRAD.US,D,20210812,000000,27.842,27.87,27.7853,27.7853,1081,0
MRAD.US,D,20210813,000000,27.547,27.547,27.547,27.547,52,0
MRAD.US,D,20210816,000000,27.2999,27.2999,27.2999,27.2999,61,0
MRAD.US,D,20210817,000000,27.02,27.02,26.827,26.9666,882,0
MRAD.US,D,20210818,000000,26.93,27.09,26.8097,26.8097,671,0
MRAD.US,D,20210819,000000,26.515,26.6306,26.47,26.6306,353,0
MRAD.US,D,20210820,000000,26.92,27.0368,26.92,27.0368,184,0
MRAD.US,D,20210823,000000,27.697,27.697,27.697,27.697,107,0
MRAD.US,D,20210824,000000,28.0299,28.07,28.0103,28.0103,945,0
MRAD.US,D,20210825,000000,28.1,28.1,28.08,28.0955,466,0
MRAD.US,D,20210826,000000,28.28,28.28,27.9985,27.9985,221,0
MRAD.US,D,20210827,000000,28.4,28.5733,28.4,28.5733,655,0
MRAD.US,D,20210830,000000,28.68,28.6857,28.68,28.6857,184,0
MRAD.US,D,20210831,000000,28.9643,28.9643,28.9643,28.9643,130,0
MRAD.US,D,20210901,000000,29.46,29.46,29.3794,29.3794,280,0
MRAD.US,D,20210902,000000,29.3397,29.3397,29.3397,29.3397,282,0
MRAD.US,D,20210903,000000,29.59,29.59,29.59,29.59,121,0
MRAD.US,D,20210907,000000,29.3337,29.3337,29.3337,29.3337,52,0
MRAD.US,D,20210908,000000,29.03,29.03,28.9578,28.9578,1151,0
MRAD.US,D,20210909,000000,29.1978,29.1978,29.1978,29.1978,101,0
MRAD.US,D,20210910,000000,28.8508,28.8834,28.8508,28.8834,492,0
MRAD.US,D,20210913,000000,28.6862,28.6862,28.6862,28.6862,115,0
MRAD.US,D,20210914,000000,28.78,28.78,28.6176,28.6176,122,0
MRAD.US,D,20210915,000000,28.7388,28.7388,28.7388,28.7388,4,0
MRAD.US,D,20210916,000000,28.9043,28.9043,28.9043,28.9043,24,0
MRAD.US,D,20210917,000000,28.87,28.87,28.83,28.83,402,0
MRAD.US,D,20210920,000000,27.9266,27.9266,27.9266,27.9266,15,0
MRAD.US,D,20210921,000000,28.3408,28.3703,28.3408,28.3703,128,0
MRAD.US,D,20210922,000000,28.8191,28.8191,28.8191,28.8191,120,0
MRAD.US,D,20210923,000000,29.4212,29.4212,29.4212,29.4212,35,0
MRAD.US,D,20210924,000000,29.05,29.2245,29.05,29.2245,1464,0
MRAD.US,D,20210927,000000,28.9976,28.9976,28.9976,28.9976,183,0
MRAD.US,D,20210928,000000,27.9191,27.9191,27.9191,27.9191,4,0
MRAD.US,D,20210929,000000,27.97,27.97,27.692,27.692,422,0
MRAD.US,D,20210930,000000,28.069,28.069,27.8762,27.8762,101,0
MRAD.US,D,20211001,000000,27.93,28.1552,27.93,28.1552,344,0
MRAD.US,D,20211004,000000,27.289,27.289,27.14,27.14,662,0
MRAD.US,D,20211005,000000,27.64,27.64,27.5245,27.5245,871,0
MRAD.US,D,20211006,000000,27.709,27.709,27.6556,27.6556,104,0
MRAD.US,D,20211007,000000,28.16,28.24,28.16,28.1802,760,0
MRAD.US,D,20211008,000000,28.36,28.36,28.06,28.1425,2204,0
MRAD.US,D,20211011,000000,27.92,27.94,27.9001,27.9001,1146,0
MRAD.US,D,20211012,000000,28.2562,28.2562,28.2562,28.2562,1,0
MRAD.US,D,20211013,000000,28.77,28.8111,28.77,28.8111,200,0
