<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTBA.US,D,20231108,000000,50.24,50.25,50.12,50.19,394283,0
MTBA.US,D,20231109,000000,50.19,50.28,49.92,49.92,313443,0
MTBA.US,D,20231110,000000,50.11,50.11,49.89,49.9497,116252,0
MTBA.US,D,20231113,000000,49.95,50.005,49.78,49.95,126084,0
MTBA.US,D,20231114,000000,50.42,50.49,50.32,50.4197,122714,0
MTBA.US,D,20231115,000000,50.45,50.45,50.19,50.265,294571,0
MTBA.US,D,20231116,000000,50.44,50.59,50.4099,50.4705,117608,0
MTBA.US,D,20231117,000000,50.53,50.625,50.48,50.61,445885,0
MTBA.US,D,20231120,000000,50.6,50.61,50.47,50.6,104750,0
MTBA.US,D,20231121,000000,50.66,50.77,50.5972,50.67,117612,0
MTBA.US,D,20231122,000000,50.73,50.75,50.591,50.62,105173,0
MTBA.US,D,20231124,000000,50.67,50.67,50.4601,50.51,49406,0
MTBA.US,D,20231127,000000,50.71,50.75,50.58,50.75,190616,0
MTBA.US,D,20231128,000000,50.74,50.87,50.65,50.81,108265,0
MTBA.US,D,20231129,000000,50.92,51.07,50.92,51,167228,0
MTBA.US,D,20231130,000000,50.98,50.98,50.865,50.9,78272,0
MTBA.US,D,20231201,000000,50.95,51.21,50.92,51.19,243774,0
MTBA.US,D,20231204,000000,51.15,51.26,50.9716,51.26,208655,0
MTBA.US,D,20231205,000000,51.28,51.28,51.1219,51.22,195534,0
MTBA.US,D,20231206,000000,51.31,51.4,51.18,51.4,80497,0
MTBA.US,D,20231207,000000,51.28,51.31,51.21,51.31,85394,0
MTBA.US,D,20231208,000000,51.22,51.22,51.01,51.13,129071,0
MTBA.US,D,20231211,000000,51.19,51.19,51.005,51.11,217500,0
MTBA.US,D,20231212,000000,51.115,51.21,51.1027,51.17,87668,0
MTBA.US,D,20231213,000000,51.29,51.6481,51.2338,51.58,103766,0
MTBA.US,D,20231214,000000,51.84,51.84,51.7,51.705,288512,0
MTBA.US,D,20231215,000000,51.695,51.7399,51.592,51.61,72312,0
MTBA.US,D,20231218,000000,51.72,51.72,51.52,51.55,105050,0
MTBA.US,D,20231219,000000,51.71,51.84,51.62,51.62,77996,0
MTBA.US,D,20231220,000000,51.81,51.81,51.68,51.7495,38392,0
MTBA.US,D,20231221,000000,51.88,51.88,51.7101,51.77,26825,0
MTBA.US,D,20231222,000000,51.89,51.89,51.72,51.78,40239,0
MTBA.US,D,20231226,000000,51.55,51.58,51.45,51.48,87760,0
MTBA.US,D,20231227,000000,51.79,51.79,51.68,51.77,39986,0
MTBA.US,D,20231228,000000,51.76,51.76,51.5838,51.62,80330,0
MTBA.US,D,20231229,000000,51.56,51.69,51.56,51.69,80432,0
MTBA.US,D,20240102,000000,51.52,51.52,51.4201,51.45,82473,0
MTBA.US,D,20240103,000000,51.4,51.52,51.26,51.505,471146,0
MTBA.US,D,20240104,000000,51.5,51.5,51.32,51.33,72887,0
MTBA.US,D,20240105,000000,51.25,51.4799,51.2,51.29,109076,0
MTBA.US,D,20240108,000000,51.27,51.53,51.27,51.405,49186,0
MTBA.US,D,20240109,000000,51.47,51.47,51.3,51.3,52274,0
MTBA.US,D,20240110,000000,51.45,51.4804,51.25,51.34,288093,0
MTBA.US,D,20240111,000000,51.32,51.63,51.32,51.59,154824,0
MTBA.US,D,20240112,000000,51.74,51.79,51.7196,51.75,394366,0
MTBA.US,D,20240116,000000,51.75,51.75,51.482,51.495,194530,0
MTBA.US,D,20240117,000000,51.45,51.45,51.3,51.36,190075,0
MTBA.US,D,20240118,000000,51.4,51.4,51.3,51.32,83739,0
MTBA.US,D,20240119,000000,51.3,51.35,51.265,51.35,147666,0
MTBA.US,D,20240122,000000,51.43,51.4399,51.355,51.36,358992,0
MTBA.US,D,20240123,000000,51.35,51.35,51.15,51.26,191739,0
MTBA.US,D,20240124,000000,51.31,51.41,51.165,51.2,89839,0
MTBA.US,D,20240125,000000,51.23,51.385,51.23,51.37,110791,0
MTBA.US,D,20240126,000000,51.24,51.24,51.12,51.13,303336,0
MTBA.US,D,20240129,000000,51.23,51.25,51.15,51.23,124513,0
MTBA.US,D,20240130,000000,51.23,51.2794,51.16,51.2545,123940,0
MTBA.US,D,20240131,000000,51.35,51.5274,51.35,51.45,123071,0
MTBA.US,D,20240201,000000,51.59,51.64,51.49,51.64,192296,0
MTBA.US,D,20240202,000000,51.37,51.37,51.18,51.26,124338,0
MTBA.US,D,20240205,000000,51.14,51.14,50.89,50.98,97553,0
MTBA.US,D,20240206,000000,51.05,51.1975,51.0392,51.18,39483,0
MTBA.US,D,20240207,000000,51.17,51.22,51.1318,51.1499,72901,0
MTBA.US,D,20240208,000000,51.13,51.13,50.98,51.08,86658,0
MTBA.US,D,20240209,000000,50.98,51.08,50.965,51.06,86111,0
MTBA.US,D,20240212,000000,51.1,51.12,51,51.04,278361,0
MTBA.US,D,20240213,000000,50.9,50.9,50.59,50.59,172062,0
MTBA.US,D,20240214,000000,50.6259,50.75,50.59,50.74,158422,0
MTBA.US,D,20240215,000000,50.89,50.89,50.7301,50.825,93608,0
MTBA.US,D,20240216,000000,50.73,50.74,50.61,50.74,106293,0
MTBA.US,D,20240220,000000,50.61,50.85,50.61,50.82,95234,0
MTBA.US,D,20240221,000000,50.76,50.855,50.65,50.65,71090,0
MTBA.US,D,20240222,000000,50.64,50.6811,50.59,50.635,46301,0
MTBA.US,D,20240223,000000,50.65,50.895,50.65,50.83,27935,0
MTBA.US,D,20240226,000000,50.64,50.64,50.47,50.54,48548,0
MTBA.US,D,20240227,000000,50.52,50.53,50.29,50.44,87277,0
MTBA.US,D,20240228,000000,50.46,50.63,50.46,50.61,174243,0
MTBA.US,D,20240229,000000,50.61,50.695,50.6,50.65,164632,0
MTBA.US,D,20240301,000000,50.5,50.85,50.5,50.85,87134,0
MTBA.US,D,20240304,000000,50.72,50.7599,50.6813,50.73,104095,0
MTBA.US,D,20240305,000000,50.85,50.92,50.775,50.92,193880,0
MTBA.US,D,20240306,000000,50.96,51.0584,50.96,51,229806,0
MTBA.US,D,20240307,000000,51.09,51.11,50.94,51.1,139758,0
MTBA.US,D,20240308,000000,51.2,51.21,51.165,51.21,106831,0
MTBA.US,D,20240311,000000,51.18,51.1889,51.03,51.175,236766,0
MTBA.US,D,20240312,000000,51.11,51.11,51.01,51.065,53365,0
MTBA.US,D,20240313,000000,51.03,51.075,51.01,51.04,229594,0
MTBA.US,D,20240314,000000,50.92,50.92,50.77,50.77,66208,0
MTBA.US,D,20240315,000000,50.77,50.78,50.685,50.74,63577,0
MTBA.US,D,20240318,000000,50.72,50.72,50.6213,50.67,46134,0
MTBA.US,D,20240319,000000,50.67,50.79,50.67,50.7,116097,0
MTBA.US,D,20240320,000000,50.76,50.955,50.76,50.93,43653,0
MTBA.US,D,20240321,000000,50.99,51.005,50.94,51,137784,0
MTBA.US,D,20240322,000000,51.15,51.185,51.06,51.11,104401,0
MTBA.US,D,20240325,000000,50.86,50.87,50.81,50.87,158238,0
MTBA.US,D,20240326,000000,50.89,50.93,50.82,50.93,29745,0
MTBA.US,D,20240327,000000,50.9,50.97,50.89,50.97,892561,0
MTBA.US,D,20240328,000000,50.87,50.9585,50.87,50.91,387255,0
MTBA.US,D,20240401,000000,50.84,50.84,50.575,50.7,59697,0
MTBA.US,D,20240402,000000,50.55,50.64,50.54,50.64,202868,0
MTBA.US,D,20240403,000000,50.56,50.75,50.52,50.75,86086,0
MTBA.US,D,20240404,000000,50.73,50.81,50.665,50.8,57888,0
MTBA.US,D,20240405,000000,50.69,50.74,50.62,50.62,55073,0
