<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVAL.US,D,20240401,000000,30.4817,30.4817,30.4817,30.4817,236,0
MVAL.US,D,20240402,000000,30.25,30.25,30.16,30.2018,7766,0
MVAL.US,D,20240403,000000,30.17,30.18,30.0707,30.0707,1084,0
MVAL.US,D,20240404,000000,29.95,29.95,29.824,29.824,1351,0
MVAL.US,D,20240405,000000,29.84,29.913,29.84,29.913,483,0
MVAL.US,D,20240408,000000,29.96,30,29.94,29.9914,1151,0
MVAL.US,D,20240409,000000,30.1461,30.1461,30.1461,30.1461,12,0
MVAL.US,D,20240410,000000,29.6734,29.6734,29.6734,29.6734,24,0
MVAL.US,D,20240411,000000,29.78,29.78,29.6675,29.6675,1102,0
MVAL.US,D,20240412,000000,29.17,29.19,29.1554,29.1554,491,0
MVAL.US,D,20240415,000000,29.35,29.35,29.0859,29.0859,474,0
MVAL.US,D,20240416,000000,28.94,29.0299,28.94,28.985,502,0
MVAL.US,D,20240417,000000,29.0058,29.0058,28.8912,28.8912,207,0
MVAL.US,D,20240418,000000,28.9184,28.9184,28.9184,28.9184,14,0
MVAL.US,D,20240419,000000,29.09,29.0901,29.09,29.0901,206,0
MVAL.US,D,20240422,000000,29.21,29.53,29.1815,29.43,583,0
MVAL.US,D,20240423,000000,29.56,29.56,29.56,29.56,101,0
MVAL.US,D,20240424,000000,29.47,29.5856,29.4557,29.5856,1909,0
MVAL.US,D,20240425,000000,29.26,29.32,29.26,29.3028,1120,0
MVAL.US,D,20240426,000000,29.44,29.46,29.44,29.46,220,0
MVAL.US,D,20240429,000000,29.63,29.63,29.54,29.5863,311,0
MVAL.US,D,20240430,000000,29.51,29.51,29.35,29.35,1006,0
MVAL.US,D,20240501,000000,29.24,29.4,29.24,29.3673,524,0
MVAL.US,D,20240502,000000,29.5138,29.5138,29.5138,29.5138,51,0
MVAL.US,D,20240503,000000,29.7128,29.7128,29.7128,29.7128,51,0
MVAL.US,D,20240506,000000,29.8725,29.8725,29.8725,29.8725,43,0
MVAL.US,D,20240507,000000,29.9706,29.9706,29.948,29.948,201,0
MVAL.US,D,20240508,000000,30.0831,30.0831,30.0831,30.0831,3,0
MVAL.US,D,20240509,000000,30.3226,30.3226,30.3226,30.3226,1,0
MVAL.US,D,20240510,000000,30.4666,30.4666,30.4666,30.4666,96,0
MVAL.US,D,20240513,000000,30.4653,30.4653,30.4653,30.4653,5,0
MVAL.US,D,20240514,000000,30.6158,30.6158,30.6158,30.6158,1,0
MVAL.US,D,20240515,000000,30.779,30.779,30.779,30.779,10,0
MVAL.US,D,20240516,000000,30.7448,30.7448,30.7448,30.7448,2,0
MVAL.US,D,20240517,000000,30.7386,30.7386,30.7386,30.7386,2,0
MVAL.US,D,20240520,000000,30.6825,30.6825,30.6825,30.6825,2,0
MVAL.US,D,20240521,000000,30.6701,30.6701,30.6701,30.6701,5,0
MVAL.US,D,20240522,000000,30.6134,30.6134,30.6134,30.6134,7,0
MVAL.US,D,20240523,000000,30.0498,30.0498,30.0498,30.0498,244,0
MVAL.US,D,20240524,000000,30.1935,30.1935,30.1935,30.1935,36,0
MVAL.US,D,20240528,000000,29.91,29.91,29.8839,29.8839,298,0
MVAL.US,D,20240529,000000,29.6,29.6,29.5561,29.5561,683,0
MVAL.US,D,20240530,000000,29.57,29.7449,29.57,29.7449,1424,0
MVAL.US,D,20240531,000000,30.1975,30.1975,30.1975,30.1975,3,0
MVAL.US,D,20240603,000000,30.144,30.144,30.144,30.144,86,0
MVAL.US,D,20240604,000000,30.1481,30.1481,30.1481,30.1481,7,0
MVAL.US,D,20240605,000000,30.2853,30.2853,30.2853,30.2853,9,0
MVAL.US,D,20240606,000000,30.27,30.27,30.1803,30.1803,103,0
MVAL.US,D,20240607,000000,30.1228,30.1228,30.1228,30.1228,55,0
MVAL.US,D,20240610,000000,30.08,30.08,30.0607,30.0607,668,0
MVAL.US,D,20240611,000000,29.8987,29.8987,29.8987,29.8987,11,0
MVAL.US,D,20240612,000000,29.9666,29.9666,29.9666,29.9666,11,0
MVAL.US,D,20240613,000000,29.82,29.8203,29.82,29.8203,469,0
MVAL.US,D,20240614,000000,29.6624,29.6624,29.6624,29.6624,32,0
MVAL.US,D,20240617,000000,29.7412,29.7412,29.7412,29.7412,5,0
MVAL.US,D,20240618,000000,29.7938,29.7938,29.7938,29.7938,1,0
MVAL.US,D,20240620,000000,29.9684,29.9684,29.9684,29.9684,130,0
MVAL.US,D,20240621,000000,30.1409,30.1409,30.1409,30.1409,4,0
