<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVFD.US,D,20240308,000000,25.19,25.19,25.06,25.076,33005,0
MVFD.US,D,20240311,000000,25.12,25.12,25.1153,25.1153,5219,0
MVFD.US,D,20240312,000000,25.1,25.2418,25.1,25.2418,50165,0
MVFD.US,D,20240313,000000,25.368,25.3899,25.25,25.3,71109,0
MVFD.US,D,20240314,000000,25.04,25.1,24.96,25.0772,26385,0
MVFD.US,D,20240315,000000,25.2144,25.24,25.155,25.2339,30067,0
MVFD.US,D,20240318,000000,25.25,25.34,25.19,25.19,22522,0
MVFD.US,D,20240319,000000,25.36,25.37,25.31,25.37,16169,0
MVFD.US,D,20240320,000000,25.3446,25.6777,25.3287,25.65,31372,0
MVFD.US,D,20240321,000000,25.83,25.87,25.7999,25.85,16246,0
MVFD.US,D,20240322,000000,25.6803,25.6803,25.5587,25.5587,10683,0
MVFD.US,D,20240325,000000,25.5651,25.5651,25.5651,25.5651,90,0
MVFD.US,D,20240326,000000,25.61,25.61,25.53,25.53,11175,0
MVFD.US,D,20240327,000000,25.78,25.8715,25.77,25.8715,7672,0
MVFD.US,D,20240328,000000,25.8901,25.93,25.87,25.9113,30905,0
MVFD.US,D,20240401,000000,25.85,25.8699,25.7616,25.7616,3250,0
MVFD.US,D,20240402,000000,25.575,25.61,25.56,25.61,57674,0
MVFD.US,D,20240403,000000,25.63,25.63,25.5574,25.5574,1644,0
MVFD.US,D,20240404,000000,25.7597,25.7597,25.24,25.277,21923,0
MVFD.US,D,20240405,000000,25.36,25.438,25.36,25.438,9016,0
MVFD.US,D,20240408,000000,25.55,25.55,25.4963,25.4963,3746,0
MVFD.US,D,20240409,000000,25.51,25.5399,25.5087,25.5087,410,0
MVFD.US,D,20240410,000000,25.1384,25.1384,25.1384,25.1384,10,0
MVFD.US,D,20240411,000000,25.038,25.09,25.038,25.0785,1738,0
MVFD.US,D,20240412,000000,24.91,24.91,24.6743,24.6743,1149,0
MVFD.US,D,20240415,000000,24.9,24.9,24.44,24.5018,9833,0
MVFD.US,D,20240416,000000,24.44,24.45,24.3066,24.4089,12254,0
MVFD.US,D,20240417,000000,24.409,24.41,24.28,24.3176,30055,0
MVFD.US,D,20240418,000000,24.2758,24.2758,24.2758,24.2758,7,0
MVFD.US,D,20240419,000000,24.41,24.41,24.31,24.36,21020,0
MVFD.US,D,20240422,000000,24.415,24.67,24.415,24.5498,122662,0
MVFD.US,D,20240423,000000,24.79,24.79,24.7702,24.7765,15819,0
MVFD.US,D,20240424,000000,24.82,24.83,24.71,24.81,2510,0
MVFD.US,D,20240425,000000,24.6787,24.6787,24.6787,24.6787,7,0
MVFD.US,D,20240426,000000,24.75,24.75,24.6579,24.6579,412,0
MVFD.US,D,20240429,000000,24.8,24.82,24.7445,24.7701,17758,0
MVFD.US,D,20240430,000000,24.62,24.69,24.4322,24.4322,30188,0
