<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVPL.US,D,20240229,000000,25.17,25.3719,25.17,25.3719,5052,0
MVPL.US,D,20240301,000000,25.49,25.77,25.49,25.7382,7063,0
MVPL.US,D,20240304,000000,25.6495,25.6495,25.6495,25.6495,1010,0
MVPL.US,D,20240305,000000,25.1249,25.1249,25.1249,25.1249,1000,0
MVPL.US,D,20240306,000000,25.48,25.62,25.3,25.39,10125,0
MVPL.US,D,20240307,000000,25.77,25.99,25.71,25.9094,11193,0
MVPL.US,D,20240308,000000,25.6,25.85,25.49,25.6,14400,0
MVPL.US,D,20240311,000000,25.45,25.56,25.33,25.4686,5000,0
MVPL.US,D,20240312,000000,25.96,26.07,25.96,26.07,5020,0
MVPL.US,D,20240313,000000,25.95,25.98,25.93,25.9394,697,0
MVPL.US,D,20240314,000000,25.7621,25.7621,25.7621,25.7621,1,0
MVPL.US,D,20240315,000000,25.434,25.434,25.434,25.434,1,0
MVPL.US,D,20240318,000000,26.02,26.02,25.7521,25.7521,5001,0
MVPL.US,D,20240319,000000,25.68,26.08,25.67,26.08,5326,0
MVPL.US,D,20240320,000000,26.2,26.52,26.05,26.49,6001,0
MVPL.US,D,20240321,000000,26.85,26.89,26.6972,26.6972,7253,0
MVPL.US,D,20240322,000000,26.71,26.75,26.6,26.66,6725,0
MVPL.US,D,20240325,000000,26.53,26.58,26.47,26.47,5364,0
MVPL.US,D,20240326,000000,26.56,26.58,26.3012,26.3012,2056,0
MVPL.US,D,20240327,000000,26.48,26.6928,26.47,26.6928,2414,0
MVPL.US,D,20240328,000000,26.74,26.8482,26.74,26.79,409,0
MVPL.US,D,20240401,000000,26.51,26.6609,26.51,26.6609,3606,0
MVPL.US,D,20240402,000000,26.16,26.31,26.13,26.2654,2133,0
MVPL.US,D,20240403,000000,26.19,26.3115,26.19,26.3115,163,0
MVPL.US,D,20240404,000000,26.74,26.77,25.7021,25.7021,999,0
MVPL.US,D,20240405,000000,26.15,26.2467,26.15,26.2467,250,0
MVPL.US,D,20240408,000000,26.31,26.31,26.1917,26.1917,284,0
MVPL.US,D,20240409,000000,26.1127,26.217,25.99,26.217,302,0
MVPL.US,D,20240410,000000,25.72,25.8132,25.72,25.8132,101,0
MVPL.US,D,20240411,000000,26.22,26.23,26.1747,26.1747,1000,0
MVPL.US,D,20240412,000000,25.3647,25.3647,25.3647,25.3647,65,0
MVPL.US,D,20240415,000000,25.59,25.59,24.79,24.8007,627,0
MVPL.US,D,20240416,000000,24.63,24.79,24.59,24.7006,601,0
MVPL.US,D,20240417,000000,24.4183,24.4183,24.4183,24.4183,11,0
MVPL.US,D,20240418,000000,24.2333,24.2333,24.2333,24.2333,19,0
MVPL.US,D,20240419,000000,23.7301,23.7501,23.72,23.7501,1429,0
MVPL.US,D,20240422,000000,23.87,24.36,23.87,24.1984,4291,0
MVPL.US,D,20240423,000000,24.74,24.7604,24.74,24.7604,770,0
MVPL.US,D,20240424,000000,24.84,24.84,24.8206,24.8206,101,0
MVPL.US,D,20240425,000000,24.5698,24.57,24.5481,24.5481,388,0
MVPL.US,D,20240426,000000,25.18,25.19,25.0562,25.0562,5038,0
MVPL.US,D,20240429,000000,25.19,25.22,25.1,25.1806,5089,0
MVPL.US,D,20240430,000000,24.4741,24.4741,24.4741,24.4741,95,0
MVPL.US,D,20240501,000000,24.2759,24.2759,24.2759,24.2759,124,0
MVPL.US,D,20240502,000000,24.6238,24.6238,24.6238,24.6238,259,0
MVPL.US,D,20240503,000000,25.2787,25.2787,25.2787,25.2787,179,0
MVPL.US,D,20240506,000000,25.7717,25.7717,25.7717,25.7717,126,0
MVPL.US,D,20240507,000000,25.8796,25.8796,25.8796,25.8796,97,0
MVPL.US,D,20240508,000000,25.7657,25.88,25.75,25.88,470,0
MVPL.US,D,20240509,000000,26.1044,26.1044,26.1044,26.1044,166,0
MVPL.US,D,20240510,000000,26.23,26.23,26.23,26.23,83,0
MVPL.US,D,20240513,000000,26.1774,26.1774,26.1774,26.1774,99,0
MVPL.US,D,20240514,000000,26.19,26.4762,26.19,26.4762,270,0
MVPL.US,D,20240515,000000,27.0828,27.0828,27.0828,27.0828,157,0
MVPL.US,D,20240516,000000,26.9984,26.9984,26.9984,26.9984,79,0
MVPL.US,D,20240517,000000,26.9844,26.9844,26.9844,26.9844,102,0
MVPL.US,D,20240520,000000,27.13,27.13,27.0575,27.0575,1484,0
MVPL.US,D,20240521,000000,27.12,27.2041,27.1199,27.2041,3436,0
MVPL.US,D,20240522,000000,26.9896,26.9896,26.9896,26.9896,74,0
MVPL.US,D,20240523,000000,26.73,26.73,26.57,26.5975,914,0
MVPL.US,D,20240524,000000,26.9507,26.9507,26.9507,26.9507,103,0
MVPL.US,D,20240528,000000,26.9447,26.9447,26.9447,26.9447,57,0
MVPL.US,D,20240529,000000,26.7099,26.74,26.5778,26.5778,415,0
MVPL.US,D,20240530,000000,26.43,26.43,26.2737,26.2737,720,0
MVPL.US,D,20240531,000000,26.09,26.6423,25.9999,26.6423,970,0
MVPL.US,D,20240603,000000,26.62,26.71,26.36,26.6894,954,0
MVPL.US,D,20240604,000000,26.8109,26.8109,26.8109,26.8109,121,0
MVPL.US,D,20240605,000000,27.09,27.4337,27.09,27.4337,4844,0
MVPL.US,D,20240606,000000,27.4112,27.4112,27.4112,27.4112,368,0
MVPL.US,D,20240607,000000,27.3822,27.3822,27.3822,27.3822,92,0
MVPL.US,D,20240610,000000,27.41,27.51,27.41,27.49,1662,0
MVPL.US,D,20240611,000000,27.5,27.6153,27.5,27.6153,814,0
MVPL.US,D,20240612,000000,28.3799,28.3799,28.1676,28.1676,353,0
MVPL.US,D,20240613,000000,28.11,28.2636,28.11,28.2636,209,0
MVPL.US,D,20240614,000000,28.1682,28.1682,28.1682,28.1682,256,0
MVPL.US,D,20240617,000000,28.52,28.6902,28.52,28.6524,1372,0
MVPL.US,D,20240618,000000,28.74,28.7786,28.74,28.7786,466,0
MVPL.US,D,20240620,000000,28.6414,28.6414,28.6414,28.6414,250,0
MVPL.US,D,20240621,000000,28.5435,28.5435,28.5435,28.5435,186,0
