<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBCE.US,D,20231027,000000,23.595,23.595,23.595,23.595,33,0
NBCE.US,D,20231030,000000,24.05,24.0665,23.99,24.0461,50655,0
NBCE.US,D,20231031,000000,23.9596,23.9596,23.9596,23.9596,33,0
NBCE.US,D,20231101,000000,23.908,23.908,23.908,23.908,33,0
NBCE.US,D,20231102,000000,23.9064,23.9064,23.9064,23.9064,33,0
NBCE.US,D,20231103,000000,24.2898,24.2898,24.2898,24.2898,104,0
NBCE.US,D,20231106,000000,24.5949,24.5949,24.5949,24.5949,5,0
NBCE.US,D,20231107,000000,24.4377,24.4377,24.4377,24.4377,4,0
NBCE.US,D,20231108,000000,24.34,24.34,24.34,24.34,4,0
NBCE.US,D,20231109,000000,24.131,24.131,24.131,24.131,4,0
NBCE.US,D,20231110,000000,23.981,24.08,23.9807,24.08,820,0
NBCE.US,D,20231113,000000,24.21,24.21,24.11,24.11,75000,0
NBCE.US,D,20231114,000000,24.5344,24.5344,24.5344,24.5344,4,0
NBCE.US,D,20231115,000000,24.67,24.6901,24.67,24.6901,1000,0
NBCE.US,D,20231116,000000,24.1,24.1,24.1,24.1,4,0
NBCE.US,D,20231117,000000,24.4132,24.4132,24.4132,24.4132,95,0
NBCE.US,D,20231120,000000,24.7166,24.7166,24.7166,24.7166,1,0
NBCE.US,D,20231121,000000,24.5289,24.5289,24.5289,24.5289,1,0
NBCE.US,D,20231122,000000,24.2502,24.2502,24.2502,24.2502,52,0
NBCE.US,D,20231124,000000,24.4,24.4301,24.4,24.4301,371,0
NBCE.US,D,20231127,000000,24.1998,24.1998,24.1998,24.1998,1,0
NBCE.US,D,20231128,000000,24.29,24.4052,24.29,24.4052,210,0
NBCE.US,D,20231129,000000,24.18,24.18,24.18,24.18,2,0
NBCE.US,D,20231130,000000,24.2,24.2,24.2,24.2,40,0
NBCE.US,D,20231201,000000,24.0501,24.0501,24.0501,24.0501,1,0
NBCE.US,D,20231204,000000,23.91,23.91,23.77,23.7799,8610,0
NBCE.US,D,20231205,000000,23.38,23.38,23.38,23.38,40,0
NBCE.US,D,20231206,000000,23.2169,23.2169,23.2169,23.2169,1,0
NBCE.US,D,20231207,000000,23.19,23.19,23.19,23.19,1,0
NBCE.US,D,20231208,000000,23.185,23.185,23.185,23.185,1,0
NBCE.US,D,20231211,000000,23.25,23.466,23.25,23.466,559,0
NBCE.US,D,20231212,000000,23.5206,23.5206,23.5206,23.5206,1,0
NBCE.US,D,20231213,000000,23.4372,23.4372,23.4372,23.4372,1,0
NBCE.US,D,20231214,000000,23.5201,23.5201,23.5201,23.5201,1,0
NBCE.US,D,20231215,000000,23.1571,23.1571,23.1571,23.1571,1,0
NBCE.US,D,20231218,000000,23.045,23.045,23.045,23.045,1,0
NBCE.US,D,20231219,000000,23.12,23.3311,23.12,23.3311,602,0
NBCE.US,D,20231220,000000,22.8612,22.8612,22.8612,22.8612,1,0
NBCE.US,D,20231221,000000,23.3156,23.3156,23.3156,23.3156,2,0
NBCE.US,D,20231222,000000,23.097,23.097,23.097,23.097,2,0
NBCE.US,D,20231226,000000,23.08,23.08,23.005,23.0253,703,0
NBCE.US,D,20231227,000000,23.1585,23.1585,23.1585,23.1585,29,0
NBCE.US,D,20231228,000000,23.77,23.835,23.63,23.7429,6712,0
NBCE.US,D,20231229,000000,23.894,23.894,23.894,23.894,84,0
NBCE.US,D,20240102,000000,23.4596,23.4596,23.4183,23.4183,252,0
NBCE.US,D,20240103,000000,23.2597,23.2597,23.2597,23.2597,1,0
NBCE.US,D,20240104,000000,23.0147,23.0147,23.0147,23.0147,1,0
NBCE.US,D,20240105,000000,22.85,22.9,22.83,22.8849,4389,0
NBCE.US,D,20240108,000000,22.67,22.67,22.61,22.61,108,0
NBCE.US,D,20240109,000000,22.4851,22.4851,22.4851,22.4851,10,0
NBCE.US,D,20240110,000000,22.5953,22.5953,22.5953,22.5953,1,0
NBCE.US,D,20240111,000000,22.619,22.619,22.619,22.619,1,0
NBCE.US,D,20240112,000000,22.5932,22.5932,22.5932,22.5932,1,0
NBCE.US,D,20240116,000000,22.4266,22.4266,22.4266,22.4266,8,0
NBCE.US,D,20240117,000000,21.8204,21.8204,21.8204,21.8204,8,0
NBCE.US,D,20240118,000000,22.0428,22.0428,22.0428,22.0428,8,0
NBCE.US,D,20240119,000000,22.06,22.1849,22.06,22.1849,200,0
NBCE.US,D,20240122,000000,21.6235,21.6235,21.6235,21.6235,8,0
NBCE.US,D,20240123,000000,21.8786,21.8786,21.8786,21.8786,8,0
NBCE.US,D,20240124,000000,22.3749,22.3749,22.3749,22.3749,3,0
NBCE.US,D,20240125,000000,22.185,22.185,22.185,22.185,2,0
NBCE.US,D,20240126,000000,22.1347,22.1347,22.1347,22.1347,43,0
NBCE.US,D,20240129,000000,21.835,21.835,21.835,21.835,2,0
NBCE.US,D,20240130,000000,21.3505,21.3505,21.3505,21.3505,2,0
NBCE.US,D,20240131,000000,21.2648,21.2648,21.2648,21.2648,28,0
NBCE.US,D,20240201,000000,21.4553,21.4553,21.4553,21.4553,1,0
NBCE.US,D,20240202,000000,20.9692,20.9692,20.9692,20.9692,2,0
NBCE.US,D,20240205,000000,21.324,21.324,21.324,21.324,10,0
NBCE.US,D,20240206,000000,22.445,22.445,22.445,22.445,62,0
NBCE.US,D,20240207,000000,22.715,22.715,22.715,22.715,9,0
NBCE.US,D,20240208,000000,22.5461,22.5461,22.5461,22.5461,8,0
NBCE.US,D,20240209,000000,22.455,22.6,22.455,22.565,3920,0
NBCE.US,D,20240212,000000,22.72,22.7404,22.7,22.7404,297,0
NBCE.US,D,20240213,000000,22.644,22.644,22.644,22.644,26,0
NBCE.US,D,20240214,000000,22.6902,22.6902,22.6902,22.6902,6,0
NBCE.US,D,20240215,000000,22.7599,22.7599,22.7599,22.7599,101,0
NBCE.US,D,20240216,000000,23.052,23.052,23.052,23.052,95,0
NBCE.US,D,20240220,000000,22.9363,22.9363,22.9363,22.9363,90,0
NBCE.US,D,20240221,000000,23.2144,23.2144,23.2144,23.2144,5,0
NBCE.US,D,20240222,000000,23.3481,23.3481,23.3481,23.3481,6,0
NBCE.US,D,20240223,000000,23.42,23.42,23.42,23.42,4,0
NBCE.US,D,20240226,000000,23.32,23.32,23.17,23.17,308,0
NBCE.US,D,20240227,000000,23.5322,23.5322,23.5322,23.5322,4,0
