<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBGR.US,D,20231026,000000,22.6908,22.6908,22.6646,22.6646,501,0
NBGR.US,D,20231027,000000,22.53,22.5499,22.477,22.477,847,0
NBGR.US,D,20231030,000000,22.57,22.615,22.57,22.615,49000,0
NBGR.US,D,20231031,000000,22.9,23.096,22.9,23.0882,800,0
NBGR.US,D,20231101,000000,23.24,23.24,23.185,23.185,600,0
NBGR.US,D,20231102,000000,24.31,24.31,23.9,23.98,18947,0
NBGR.US,D,20231103,000000,24.3788,24.3788,24.3788,24.3788,1,0
NBGR.US,D,20231106,000000,24.0192,24.0192,24.0192,24.0192,1,0
NBGR.US,D,20231107,000000,23.8337,23.8337,23.8337,23.8337,1,0
NBGR.US,D,20231108,000000,23.92,23.9341,23.92,23.9341,75000,0
NBGR.US,D,20231109,000000,23.6737,23.6737,23.6737,23.6737,29,0
NBGR.US,D,20231110,000000,23.8109,23.8109,23.8109,23.8109,1,0
NBGR.US,D,20231113,000000,23.6797,23.6797,23.6797,23.6797,1,0
NBGR.US,D,20231114,000000,24.27,24.8209,24.27,24.8209,118,0
NBGR.US,D,20231115,000000,24.8951,24.8951,24.8951,24.8951,1,0
NBGR.US,D,20231116,000000,24.7979,24.7979,24.7979,24.7979,10,0
NBGR.US,D,20231117,000000,24.8482,24.8482,24.8482,24.8482,1,0
NBGR.US,D,20231120,000000,24.9997,24.9997,24.9997,24.9997,1,0
NBGR.US,D,20231121,000000,24.7812,24.7812,24.7812,24.7812,1,0
NBGR.US,D,20231122,000000,24.8554,24.8554,24.8554,24.8554,11,0
NBGR.US,D,20231124,000000,24.9572,24.9572,24.9572,24.9572,9,0
NBGR.US,D,20231127,000000,25,25,25,25,9,0
NBGR.US,D,20231128,000000,25.1096,25.1096,25.1096,25.1096,2,0
NBGR.US,D,20231129,000000,25.2851,25.2851,25.2851,25.2851,9,0
NBGR.US,D,20231130,000000,25.4464,25.4464,25.4464,25.4464,9,0
NBGR.US,D,20231201,000000,25.9209,25.9209,25.9209,25.9209,41,0
NBGR.US,D,20231204,000000,26.0127,26.0127,26.0127,26.0127,20,0
NBGR.US,D,20231205,000000,25.9459,25.9459,25.9459,25.9459,21,0
NBGR.US,D,20231206,000000,25.985,25.985,25.985,25.985,34,0
NBGR.US,D,20231207,000000,26.1122,26.1122,26.1122,26.1122,65,0
NBGR.US,D,20231208,000000,26.0565,26.0565,26.0565,26.0565,10,0
NBGR.US,D,20231211,000000,26.1107,26.1107,26.1107,26.1107,31,0
NBGR.US,D,20231212,000000,26.075,26.075,26.075,26.075,4,0
NBGR.US,D,20231213,000000,26.868,26.868,26.868,26.868,1,0
NBGR.US,D,20231214,000000,27.6258,27.7,27.6258,27.6476,724,0
NBGR.US,D,20231215,000000,27.27,27.3815,27.27,27.3815,363,0
NBGR.US,D,20231218,000000,27.2353,27.2353,27.2353,27.2353,3,0
NBGR.US,D,20231219,000000,27.4404,27.4404,27.4404,27.4404,23,0
NBGR.US,D,20231220,000000,27.32,27.32,27.172,27.172,345,0
NBGR.US,D,20231221,000000,27.4204,27.4204,27.4204,27.4204,6,0
NBGR.US,D,20231222,000000,27.491,27.491,27.491,27.491,2,0
NBGR.US,D,20231226,000000,27.6671,27.6671,27.6671,27.6671,6,0
NBGR.US,D,20231227,000000,27.8276,27.8276,27.8276,27.8276,6,0
NBGR.US,D,20231228,000000,27.9711,27.9711,27.9711,27.9711,12,0
NBGR.US,D,20231229,000000,27.798,27.798,27.798,27.798,1,0
NBGR.US,D,20240102,000000,27.7519,27.7519,27.7519,27.7519,140,0
NBGR.US,D,20240103,000000,27.2815,27.2815,27.2815,27.2815,3,0
NBGR.US,D,20240104,000000,27.2478,27.2478,27.2478,27.2478,40,0
NBGR.US,D,20240105,000000,27.2778,27.2778,27.2778,27.2778,3,0
NBGR.US,D,20240108,000000,27.56,27.56,27.56,27.56,1,0
NBGR.US,D,20240109,000000,27.28,27.28,27.28,27.28,3,0
NBGR.US,D,20240110,000000,27.3695,27.3695,27.3695,27.3695,1,0
NBGR.US,D,20240111,000000,27.2063,27.2063,27.2063,27.2063,79,0
NBGR.US,D,20240112,000000,27.3543,27.3543,27.3543,27.3543,2,0
NBGR.US,D,20240116,000000,26.992,26.992,26.992,26.992,2,0
NBGR.US,D,20240117,000000,26.5134,26.5134,26.5134,26.5134,2,0
NBGR.US,D,20240118,000000,26.3664,26.3664,26.3664,26.3664,34,0
NBGR.US,D,20240119,000000,26.6562,26.6562,26.6562,26.6562,5,0
NBGR.US,D,20240122,000000,26.7882,26.7882,26.7882,26.7882,1,0
NBGR.US,D,20240123,000000,26.6513,26.6513,26.6513,26.6513,5,0
NBGR.US,D,20240124,000000,26.4431,26.4431,26.4431,26.4431,7,0
NBGR.US,D,20240125,000000,26.5971,26.5971,26.5971,26.5971,14,0
NBGR.US,D,20240126,000000,26.5446,26.5446,26.5446,26.5446,27,0
NBGR.US,D,20240129,000000,26.7042,26.7042,26.7042,26.7042,5,0
NBGR.US,D,20240130,000000,26.5287,26.5287,26.5287,26.5287,9,0
NBGR.US,D,20240131,000000,26.402,26.402,26.402,26.402,3,0
NBGR.US,D,20240201,000000,26.6425,26.6425,26.6425,26.6425,9,0
NBGR.US,D,20240202,000000,26.361,26.361,26.361,26.361,2,0
NBGR.US,D,20240205,000000,26.19,26.19,25.98,25.98,508,0
NBGR.US,D,20240206,000000,26.2134,26.2134,26.2134,26.2134,2,0
NBGR.US,D,20240207,000000,26.2036,26.2036,26.2036,26.2036,9,0
NBGR.US,D,20240208,000000,26.3099,26.3099,26.3099,26.3099,2,0
NBGR.US,D,20240209,000000,26.356,26.356,26.356,26.356,6,0
NBGR.US,D,20240212,000000,26.3722,26.3722,26.3722,26.3722,39,0
NBGR.US,D,20240213,000000,25.7445,25.7445,25.7445,25.7445,1,0
NBGR.US,D,20240214,000000,25.93,25.93,25.93,25.93,1,0
NBGR.US,D,20240215,000000,26.3686,26.3686,26.3686,26.3686,6,0
NBGR.US,D,20240216,000000,26.29,26.29,26.29,26.29,2,0
NBGR.US,D,20240220,000000,26.2139,26.2139,26.2139,26.2139,31,0
NBGR.US,D,20240221,000000,26.381,26.381,26.381,26.381,1,0
NBGR.US,D,20240222,000000,26.4928,26.4928,26.4928,26.4928,1,0
NBGR.US,D,20240223,000000,26.4586,26.4586,26.4586,26.4586,21,0
NBGR.US,D,20240226,000000,26.1666,26.1666,26.1666,26.1666,100,0
NBGR.US,D,20240227,000000,26.13,26.143,26.13,26.143,276,0
NBGR.US,D,20240228,000000,26.1309,26.1309,26.1309,26.1309,2,0
NBGR.US,D,20240229,000000,26.2592,26.2592,26.2592,26.2592,2,0
NBGR.US,D,20240301,000000,26.4929,26.4929,26.4929,26.4929,1,0
NBGR.US,D,20240304,000000,26.6636,26.6636,26.6636,26.6636,1,0
NBGR.US,D,20240305,000000,26.4383,26.4383,26.4383,26.4383,3,0
NBGR.US,D,20240306,000000,26.6195,26.6195,26.6195,26.6195,49,0
NBGR.US,D,20240307,000000,26.7345,26.7345,26.7345,26.7345,3,0
NBGR.US,D,20240308,000000,26.9767,26.9767,26.9767,26.9767,1,0
NBGR.US,D,20240311,000000,26.8658,26.8658,26.8658,26.8658,1,0
NBGR.US,D,20240312,000000,26.728,26.8098,26.728,26.8098,274,0
NBGR.US,D,20240313,000000,26.6648,26.6648,26.6648,26.6648,39,0
NBGR.US,D,20240314,000000,26.3157,26.3157,26.3157,26.3157,1,0
NBGR.US,D,20240315,000000,26.3677,26.3677,26.3677,26.3677,1,0
NBGR.US,D,20240318,000000,26.3571,26.3571,26.3571,26.3571,1,0
NBGR.US,D,20240319,000000,26.4448,26.5038,26.4448,26.5038,4000,0
NBGR.US,D,20240320,000000,26.6989,26.6989,26.6989,26.6989,1,0
NBGR.US,D,20240321,000000,26.6448,26.6448,26.6448,26.6448,5,0
NBGR.US,D,20240322,000000,26.4157,26.4157,26.4157,26.4157,2,0
NBGR.US,D,20240325,000000,26.3131,26.3131,26.3131,26.3131,20,0
NBGR.US,D,20240326,000000,26.3234,26.3234,26.2581,26.2581,384,0
NBGR.US,D,20240327,000000,26.7161,26.7161,26.7161,26.7161,1,0
NBGR.US,D,20240328,000000,26.8878,26.8878,26.8878,26.8878,13,0
NBGR.US,D,20240401,000000,26.8396,26.8396,26.5713,26.5713,2353,0
NBGR.US,D,20240402,000000,26.19,26.2201,26.09,26.2201,1359,0
NBGR.US,D,20240403,000000,26.1913,26.1913,26.1913,26.1913,2,0
NBGR.US,D,20240404,000000,26.0609,26.0609,26.0609,26.0609,1,0
NBGR.US,D,20240405,000000,26.1748,26.1748,26.1748,26.1748,50,0
NBGR.US,D,20240408,000000,26.3734,26.4472,26.3734,26.4472,379,0
NBGR.US,D,20240409,000000,26.7261,26.7261,26.7261,26.7261,2,0
NBGR.US,D,20240410,000000,26.28,26.28,25.78,25.8431,961,0
NBGR.US,D,20240411,000000,25.91,25.975,25.86,25.9001,754,0
NBGR.US,D,20240412,000000,25.4817,25.595,25.4817,25.551,486,0
NBGR.US,D,20240415,000000,25.3937,25.3937,25.2148,25.2148,557,0
NBGR.US,D,20240416,000000,24.9363,24.9363,24.9363,24.9363,2,0
NBGR.US,D,20240417,000000,24.9053,24.9053,24.9053,24.9053,2,0
NBGR.US,D,20240418,000000,24.91,24.91,24.85,24.853,967,0
NBGR.US,D,20240419,000000,25.02,25.02,25.02,25.02,170,0
NBGR.US,D,20240422,000000,25.2,25.2,25.2,25.2,93,0
NBGR.US,D,20240423,000000,25.21,25.4551,25.19,25.39,11396,0
NBGR.US,D,20240424,000000,25.3234,25.3234,25.3234,25.3234,3,0
NBGR.US,D,20240425,000000,25.1874,25.1874,25.1874,25.1874,4,0
NBGR.US,D,20240426,000000,25.3393,25.3393,25.3393,25.3393,1,0
NBGR.US,D,20240429,000000,25.5561,25.5561,25.5561,25.5561,1,0
NBGR.US,D,20240430,000000,25.1546,25.1546,25.1546,25.1546,1,0
NBGR.US,D,20240501,000000,25.1,25.14,25.06,25.14,928,0
NBGR.US,D,20240502,000000,25.35,25.6745,25.35,25.6745,572,0
NBGR.US,D,20240503,000000,25.8778,25.8778,25.8778,25.8778,10,0
NBGR.US,D,20240506,000000,25.9709,25.9709,25.9709,25.9709,2,0
NBGR.US,D,20240507,000000,26.0808,26.0808,26.0808,26.0808,2,0
NBGR.US,D,20240508,000000,25.9354,25.9354,25.9354,25.9354,28,0
NBGR.US,D,20240509,000000,26.24,26.24,26.24,26.24,122,0
NBGR.US,D,20240510,000000,26.2119,26.2119,26.2119,26.2119,2,0
NBGR.US,D,20240513,000000,26.1957,26.1957,26.1957,26.1957,16,0
NBGR.US,D,20240514,000000,26.17,26.29,26.17,26.29,689,0
NBGR.US,D,20240515,000000,26.49,26.67,26.49,26.67,1911,0
NBGR.US,D,20240516,000000,26.7,26.77,26.67,26.68,2275,0
NBGR.US,D,20240517,000000,26.59,26.63,26.56,26.63,1312,0
NBGR.US,D,20240520,000000,26.59,26.59,26.44,26.44,561,0
NBGR.US,D,20240521,000000,26.4,26.52,26.38,26.52,404,0
NBGR.US,D,20240522,000000,26.31,26.39,26.18,26.19,2348,0
NBGR.US,D,20240523,000000,26.2,26.2,25.7675,25.7675,1206,0
NBGR.US,D,20240524,000000,25.78,25.78,25.73,25.73,573,0
NBGR.US,D,20240528,000000,25.82,25.82,25.59,25.59,648,0
NBGR.US,D,20240529,000000,25.3504,25.3504,25.3504,25.3504,25,0
NBGR.US,D,20240530,000000,25.7605,25.7605,25.7605,25.7605,16,0
NBGR.US,D,20240531,000000,26.1206,26.1206,26.1206,26.1206,3,0
NBGR.US,D,20240603,000000,26.1834,26.1834,26.1834,26.1834,93,0
NBGR.US,D,20240604,000000,26.3854,26.3854,26.3854,26.3854,2,0
NBGR.US,D,20240605,000000,26.37,26.37,26.37,26.37,102,0
NBGR.US,D,20240606,000000,26.33,26.33,26.33,26.33,201,0
NBGR.US,D,20240607,000000,25.93,25.93,25.93,25.93,102,0
NBGR.US,D,20240610,000000,26.02,26.02,26.02,26.02,1,0
NBGR.US,D,20240611,000000,25.7,25.7,25.7,25.7,102,0
NBGR.US,D,20240612,000000,26.07,26.07,26.0311,26.0311,399,0
NBGR.US,D,20240613,000000,26.0268,26.0268,26.0268,26.0268,6,0
NBGR.US,D,20240614,000000,25.94,25.94,25.94,25.94,102,0
NBGR.US,D,20240617,000000,25.8989,25.8989,25.8989,25.8989,66,0
NBGR.US,D,20240618,000000,25.9851,25.9851,25.9851,25.9851,12,0
NBGR.US,D,20240620,000000,25.9505,25.9505,25.9505,25.9505,21,0
NBGR.US,D,20240621,000000,25.5891,25.5891,25.5891,25.5891,22,0
