<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDIA.US,D,20230821,000000,25.275,25.2962,25.275,25.2962,514,0
NDIA.US,D,20230822,000000,25.27,25.27,25.195,25.195,950,0
NDIA.US,D,20230823,000000,25.68,25.68,25.645,25.645,275,0
NDIA.US,D,20230824,000000,25.3912,25.3912,25.3595,25.3595,249,0
NDIA.US,D,20230825,000000,25.39,25.45,25.3818,25.3818,921,0
NDIA.US,D,20230828,000000,25.4901,25.4901,25.4901,25.4901,20,0
NDIA.US,D,20230829,000000,25.5299,25.6352,25.52,25.6352,951,0
NDIA.US,D,20230830,000000,25.5978,25.5978,25.5905,25.5905,133,0
NDIA.US,D,20230831,000000,25.4495,25.4495,25.4495,25.4495,51,0
NDIA.US,D,20230901,000000,25.6079,25.6079,25.6079,25.6079,104,0
NDIA.US,D,20230905,000000,25.7236,25.7236,25.7236,25.7236,165,0
NDIA.US,D,20230906,000000,25.7098,25.71,25.63,25.63,442,0
NDIA.US,D,20230907,000000,25.79,25.79,25.79,25.79,45,0
NDIA.US,D,20230908,000000,26.05,26.05,26.05,26.05,100,0
NDIA.US,D,20230911,000000,26.3284,26.3284,26.24,26.29,1238,0
NDIA.US,D,20230912,000000,26.1,26.1149,26.1,26.1149,294,0
NDIA.US,D,20230913,000000,26.185,26.2,26.185,26.19,564,0
NDIA.US,D,20230914,000000,26.2799,26.33,26.2799,26.31,638,0
NDIA.US,D,20230915,000000,26.1446,26.1446,26.1446,26.1446,1,0
NDIA.US,D,20230918,000000,25.83,26.1402,25.83,26.0851,511,0
NDIA.US,D,20230919,000000,26,26,26,26,338,0
NDIA.US,D,20230920,000000,25.8004,25.8004,25.8004,25.8004,10,0
NDIA.US,D,20230921,000000,25.5847,25.5847,25.5847,25.5847,50,0
NDIA.US,D,20230922,000000,25.615,25.615,25.615,25.615,2,0
NDIA.US,D,20230925,000000,25.675,25.69,25.663,25.663,516,0
NDIA.US,D,20230926,000000,25.465,25.465,25.465,25.465,61,0
NDIA.US,D,20230927,000000,25.66,25.66,25.65,25.65,564,0
NDIA.US,D,20230928,000000,25.439,25.439,25.439,25.439,59,0
NDIA.US,D,20230929,000000,25.58,25.58,25.52,25.52,416,0
NDIA.US,D,20231002,000000,25.4407,25.4883,25.41,25.41,673,0
NDIA.US,D,20231003,000000,25.33,25.33,25.33,25.33,110,0
NDIA.US,D,20231004,000000,25.37,25.37,25.34,25.34,204,0
NDIA.US,D,20231005,000000,25.6,25.6,25.6,25.6,9,0
NDIA.US,D,20231006,000000,25.74,25.74,25.74,25.74,227,0
NDIA.US,D,20231009,000000,25.48,25.48,25.48,25.48,100,0
NDIA.US,D,20231010,000000,25.71,25.73,25.71,25.73,208,0
NDIA.US,D,20231011,000000,25.73,25.73,25.73,25.73,115,0
NDIA.US,D,20231012,000000,25.4498,25.4498,25.4498,25.4498,65,0
NDIA.US,D,20231013,000000,25.63,25.63,25.63,25.63,111,0
NDIA.US,D,20231016,000000,25.8925,25.8925,25.8925,25.8925,65,0
NDIA.US,D,20231017,000000,25.8,25.84,25.77,25.77,816,0
NDIA.US,D,20231018,000000,25.45,25.45,25.45,25.45,134,0
NDIA.US,D,20231019,000000,25.56,25.56,25.56,25.56,141,0
NDIA.US,D,20231020,000000,25.4882,25.4882,25.37,25.37,886,0
NDIA.US,D,20231023,000000,25.31,25.31,25.15,25.15,1012,0
NDIA.US,D,20231024,000000,25.31,25.31,25.31,25.31,3,0
NDIA.US,D,20231025,000000,25,25,25,25,151,0
NDIA.US,D,20231026,000000,24.79,24.79,24.77,24.77,320,0
NDIA.US,D,20231027,000000,25.0665,25.07,24.93,24.93,400,0
NDIA.US,D,20231030,000000,25.18,25.18,25.18,25.18,104,0
NDIA.US,D,20231031,000000,25.1633,25.1633,25.1633,25.1633,22,0
