<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDJI.US,D,20211222,000000,24.2649,24.4122,24.2649,24.4102,32524.553727541,0
NDJI.US,D,20211223,000000,24.5495,24.6088,24.5495,24.5634,4557.019989269,0
NDJI.US,D,20211227,000000,24.6128,24.7165,24.6128,24.7165,752.92535465604,0
NDJI.US,D,20211228,000000,24.8638,24.8638,24.7846,24.7896,1363.1592106474,0
NDJI.US,D,20211229,000000,24.8736,24.8934,24.8736,24.8825,761.02132621148,0
NDJI.US,D,20211230,000000,24.9912,24.9912,24.834,24.834,2825.494072849,0
NDJI.US,D,20211231,000000,24.8044,24.8044,24.762,24.7708,4103.6455821643,0
NDJI.US,D,20220103,000000,24.8834,24.8954,24.756,24.8954,3157.4289066221,0
NDJI.US,D,20220104,000000,25.0802,25.168,25.0554,25.0762,6650.840632795,0
NDJI.US,D,20220105,000000,25.09,25.178,24.8282,24.8282,8599.9457847675,0
NDJI.US,D,20220106,000000,24.7946,24.8044,24.6671,24.6878,4114.777543053,0
NDJI.US,D,20220107,000000,24.7264,24.7846,24.6572,24.6977,5132.8459661498,0
NDJI.US,D,20220110,000000,24.6671,24.6671,24.3282,24.5594,10181.696227411,0
NDJI.US,D,20220111,000000,24.51,24.7066,24.3924,24.677,12120.68141494,0
NDJI.US,D,20220112,000000,24.7264,24.8044,24.6671,24.7224,12483.98813849,0
NDJI.US,D,20220113,000000,24.8044,24.8144,24.5594,24.6048,130934.12397326,0
NDJI.US,D,20220114,000000,24.3924,24.5692,24.255,24.4606,201962.10642204,0
NDJI.US,D,20220118,000000,24.2452,24.2452,24.0386,24.0643,11545.867434504,0
NDJI.US,D,20220119,000000,24.2056,24.2254,23.8884,23.8884,71859.843526097,0
NDJI.US,D,20220120,000000,23.9764,24.1858,23.6453,23.6849,8204.2551749953,0
NDJI.US,D,20220121,000000,23.7541,23.7886,23.7541,23.7827,6178.2382932461,0
NDJI.US,D,20220124,000000,23.8262,23.9111,23.4388,23.675,4523.6241066028,0
NDJI.US,D,20220125,000000,23.6058,23.7145,23.4783,23.6039,10722.102328737,0
NDJI.US,D,20220126,000000,23.5277,23.5871,23.2719,23.4715,27294.556102725,0
NDJI.US,D,20220127,000000,23.6207,23.6453,23.341,23.4339,33197.531363087,0
NDJI.US,D,20220128,000000,23.2135,23.5485,23.2135,23.5485,60222.896411594,0
NDJI.US,D,20220131,000000,23.5377,23.7046,23.5277,23.6453,9122.1359500935,0
NDJI.US,D,20220201,000000,25.3648,25.3648,23.6453,23.7768,9791.0655998618,0
NDJI.US,D,20220202,000000,24.088,24.088,23.7145,23.8716,7104.2150398997,0
NDJI.US,D,20220203,000000,23.9013,24.7846,23.6849,24.0366,61561.767707576,0
NDJI.US,D,20220204,000000,23.6355,23.7926,23.6157,23.6552,3482.2797652842,0
NDJI.US,D,20220207,000000,23.7046,23.7343,23.6355,23.6355,4967.8905457077,0
NDJI.US,D,20220208,000000,23.6997,23.8222,23.6997,23.8183,11478.063672727,0
NDJI.US,D,20220209,000000,23.8617,23.9111,23.8519,23.8519,4462.904319937,0
NDJI.US,D,20220210,000000,23.8519,23.8914,23.7046,23.7659,23052.267007674,0
NDJI.US,D,20220211,000000,23.7847,23.842,23.5475,23.5663,30272.861638684,0
NDJI.US,D,20220214,000000,23.4586,23.6058,23.3805,23.508,17993.296781968,0
NDJI.US,D,20220215,000000,23.7244,23.7541,23.5969,23.7234,6990.8714381236,0
NDJI.US,D,20220216,000000,23.6503,23.8025,23.5969,23.7926,12134.849365162,0
NDJI.US,D,20220217,000000,23.8025,23.8025,23.2857,23.2857,3857.7304461678,0
NDJI.US,D,20220218,000000,23.3213,23.4981,23.1245,23.1572,6485.8852123529,0
NDJI.US,D,20220222,000000,23.1345,23.1453,23.0169,23.1453,6538.5090274633,0
NDJI.US,D,20220223,000000,22.9961,23.0069,22.9191,22.9379,5053.9102434842,0
NDJI.US,D,20220224,000000,22.6433,22.9575,22.5554,22.9033,26496.09090807,0
NDJI.US,D,20220225,000000,23.0069,23.1217,22.8895,23.1217,6434.273393687,0
NDJI.US,D,20220228,000000,22.8103,23.0565,22.8103,23.0565,4666.3156052675,0
NDJI.US,D,20220301,000000,22.7421,22.9971,22.6631,22.8855,19815.902378387,0
NDJI.US,D,20220302,000000,22.9379,23.2037,22.8993,23.0079,14777.172081569,0
NDJI.US,D,20220303,000000,23.1049,23.1591,22.9675,23.0149,16220.279011327,0
NDJI.US,D,20220304,000000,22.8597,22.9379,22.7619,22.9141,6790.4961421264,0
NDJI.US,D,20220307,000000,22.8005,22.8103,22.6236,22.7027,52759.422633922,0
NDJI.US,D,20220308,000000,22.6533,22.8697,22.5199,22.5199,12210.749098494,0
NDJI.US,D,20220309,000000,22.7421,22.84,22.7421,22.8035,30374.061283127,0
NDJI.US,D,20220310,000000,22.5851,22.7253,22.5257,22.7253,3264.7005297317,0
NDJI.US,D,20220311,000000,22.8103,22.8103,22.5347,22.5347,2531.0031075198,0
NDJI.US,D,20220314,000000,22.7323,22.7323,22.4863,22.4971,2567.4349795193,0
NDJI.US,D,20220315,000000,22.6533,22.7827,22.6533,22.7827,2605.8908444077,0
NDJI.US,D,20220316,000000,23.1049,23.1049,22.8697,23.0297,6979.7394772348,0
NDJI.US,D,20220317,000000,23.1641,23.4388,23.1049,23.3509,7077.9031323445,0
NDJI.US,D,20220318,000000,23.4388,23.5199,23.3113,23.5199,4332.3567786055,0
NDJI.US,D,20220321,000000,23.4873,23.508,23.3213,23.3785,8710.2533972104,0
NDJI.US,D,20220322,000000,23.5475,23.5771,23.5179,23.5189,10193.840184745,0
NDJI.US,D,20220323,000000,23.4586,23.4783,23.3005,23.3302,7182.1387661209,0
NDJI.US,D,20220324,000000,23.4191,23.5228,23.3894,23.5228,6319.9177954664,0
NDJI.US,D,20220325,000000,23.6356,23.6356,23.3499,23.6074,5563.956451477,0
NDJI.US,D,20220328,000000,23.7254,23.7254,23.4685,23.623,11414.307896728,0
NDJI.US,D,20220329,000000,23.8143,23.8538,23.6957,23.7378,8644.4736283224,0
NDJI.US,D,20220330,000000,23.8143,23.8736,23.7141,23.7279,13216.673564258,0
NDJI.US,D,20220331,000000,23.755,23.7649,23.5425,23.5425,2262.8240497458,0
NDJI.US,D,20220401,000000,23.5573,23.6859,23.4487,23.6617,5139.9299412608,0
NDJI.US,D,20220404,000000,23.5425,23.7019,23.5425,23.7019,5135.8819554831,0
NDJI.US,D,20220405,000000,23.8242,23.8242,23.5071,23.5071,1866.1214435292,0
NDJI.US,D,20220406,000000,23.3756,23.5871,23.3203,23.4238,8483.566193658,0
NDJI.US,D,20220407,000000,23.3103,23.5967,23.2709,23.4877,3829.3945457237,0
NDJI.US,D,20220408,000000,23.6167,23.7254,23.5771,23.6265,8932.892614985,0
NDJI.US,D,20220411,000000,23.4783,23.5475,23.2859,23.2859,2298.2439253009,0
NDJI.US,D,20220412,000000,23.5179,23.5179,23.2115,23.2438,26880.649556954,0
NDJI.US,D,20220413,000000,23.3301,23.4487,23.2906,23.4458,6763.1722381268,0
NDJI.US,D,20220414,000000,23.4388,23.5475,22.8657,23.3302,10628.998655849,0
NDJI.US,D,20220418,000000,23.4421,23.4685,23.3301,23.3785,11028.7372514,0
NDJI.US,D,20220419,000000,23.6463,23.6463,23.4191,23.4956,3805.1066310574,0
NDJI.US,D,20220420,000000,23.4883,23.498,23.4289,23.4443,11094.517020288,0
NDJI.US,D,20220421,000000,23.508,23.5771,23.2807,23.2807,6668.0445723503,0
NDJI.US,D,20220422,000000,23.3203,23.3203,23.0397,23.0397,8552.3819518793,0
NDJI.US,D,20220425,000000,23.0237,23.0929,22.9834,23.0929,6583.0368710182,0
NDJI.US,D,20220426,000000,23.0633,23.1423,22.9447,22.9506,25381.882822752,0
NDJI.US,D,20220427,000000,22.8064,23.1141,22.8064,22.9862,7013.135359901,0
NDJI.US,D,20220428,000000,22.8972,23.2115,22.8972,23.1102,2630.178759074,0
NDJI.US,D,20220429,000000,22.9053,22.9645,22.7867,22.8019,7344.0581972297,0
NDJI.US,D,20220502,000000,22.7767,22.8558,22.6779,22.7934,3344.6482488417,0
NDJI.US,D,20220503,000000,22.6978,23.0641,22.6977,23.0641,7194.282723454,0
NDJI.US,D,20220504,000000,22.757,23.2115,22.757,23.1519,6192.4062434682,0
NDJI.US,D,20220505,000000,22.9645,22.9645,22.6681,22.8187,30626.04839779,0
NDJI.US,D,20220506,000000,22.7373,22.8261,22.6087,22.7373,53784.575032129,0
NDJI.US,D,20220509,000000,22.6455,22.6455,22.4803,22.5132,23770.78448322,0
NDJI.US,D,20220510,000000,22.5989,22.6039,22.4111,22.4499,16204.087068216,0
NDJI.US,D,20220511,000000,22.4902,22.5495,22.3617,22.3904,16732.349212208,0
NDJI.US,D,20220512,000000,22.3947,22.4994,22.3765,22.4203,3169.5728639553,0
NDJI.US,D,20220513,000000,22.4161,22.5248,22.3914,22.3998,2239.5481315239,0
NDJI.US,D,20220516,000000,22.3716,22.4605,22.3004,22.3004,1468.4068408682,0
NDJI.US,D,20220517,000000,22.3617,22.4447,22.3123,22.3722,16483.398086878,0
