<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRGD.US,D,20190501,000000,220550,230395,220550,230395,0.1,0
NRGD.US,D,20190502,000000,243700,244310,241300,244310,0.1,0
NRGD.US,D,20190503,000000,235240,235240,232900,235240,0.1,0
NRGD.US,D,20190506,000000,235980,235980,235980,235980,0,0
NRGD.US,D,20190507,000000,242025,242025,242025,242025,0.4,0
NRGD.US,D,20190508,000000,243905,243905,243905,243905,0.4,0
NRGD.US,D,20190509,000000,253130,253130,253130,253130,0.4,0
NRGD.US,D,20190510,000000,252250,260650,252250,253290,0.1,0
NRGD.US,D,20190513,000000,261550,264145,261350,264145,0.3,0
NRGD.US,D,20190514,000000,253700,254050,253700,254050,0.1,0
NRGD.US,D,20190515,000000,260950,261350,252385,252385,0.2,0
NRGD.US,D,20190516,000000,246810,246810,246810,246810,0,0
NRGD.US,D,20190517,000000,249600,254720,249600,254720,0,0
NRGD.US,D,20190520,000000,254280,254280,254280,254280,0,0
NRGD.US,D,20190521,000000,244880,244880,244880,244880,0,0
NRGD.US,D,20190522,000000,248750,256715,248000,256715,0.4,0
NRGD.US,D,20190523,000000,281750,284500,281750,283360,0.1,0
NRGD.US,D,20190524,000000,279160,279160,279160,279160,0,0
NRGD.US,D,20190528,000000,286380,286380,286380,286380,0,0
NRGD.US,D,20190529,000000,299600,301775,290270,290270,0.1,0
NRGD.US,D,20190530,000000,305060,305060,305060,305060,0,0
NRGD.US,D,20190531,000000,313950,322315,313865,322315,0.1,0
NRGD.US,D,20190603,000000,313300,318600,310500,313915,0.6,0
NRGD.US,D,20190604,000000,297340,297340,297340,297340,0,0
NRGD.US,D,20190605,000000,312410,312410,312410,312410,0,0
NRGD.US,D,20190606,000000,305450,305450,294970,294970,0.2,0
NRGD.US,D,20190607,000000,292000,295390,292000,295390,0,0
NRGD.US,D,20190610,000000,290345,290345,290345,290345,0,0
NRGD.US,D,20190611,000000,287250,287525,287250,287525,0.1,0
NRGD.US,D,20190612,000000,298210,298210,298210,298210,0,0
NRGD.US,D,20190613,000000,287500,288500,284750,287400,0.2,0
NRGD.US,D,20190614,000000,289050,291050,289050,289580,0.1,0
NRGD.US,D,20190617,000000,283695,283695,283695,283695,0,0
NRGD.US,D,20190618,000000,271235,271235,271235,271235,0,0
NRGD.US,D,20190619,000000,276150,276150,271000,271000,0,0
NRGD.US,D,20190620,000000,249330,249330,249330,249330,0,0
NRGD.US,D,20190621,000000,246660,246660,246660,246660,0,0
NRGD.US,D,20190624,000000,255615,255615,255615,255615,0,0
NRGD.US,D,20190625,000000,257050,259425,257050,259425,0,0
NRGD.US,D,20190626,000000,238760,238760,238760,238760,0,0
NRGD.US,D,20190627,000000,240950,245375,239900,245375,0.1,0
NRGD.US,D,20190628,000000,244000,244000,236270,236270,0.2,0
NRGD.US,D,20190701,000000,238395,238395,238395,238395,0,0
NRGD.US,D,20190702,000000,252700,254120,252700,254120,0.2,0
NRGD.US,D,20190703,000000,249585,249585,249585,249585,0,0
NRGD.US,D,20190705,000000,248745,248745,248745,248745,0,0
NRGD.US,D,20190708,000000,247730,247730,247730,247730,0,0
NRGD.US,D,20190709,000000,247885,247885,247885,247885,0,0
NRGD.US,D,20190710,000000,237925,237925,237925,237925,0,0
NRGD.US,D,20190711,000000,235060,235060,235060,235060,0,0
NRGD.US,D,20190712,000000,231950,231950,230250,230250,0,0
NRGD.US,D,20190715,000000,236665,236665,236665,236665,0,0
NRGD.US,D,20190716,000000,239260,239260,239260,239260,0,0
NRGD.US,D,20190717,000000,245550,246305,245550,246305,0,0
NRGD.US,D,20190718,000000,250300,250300,244425,244425,0,0
NRGD.US,D,20190719,000000,243200,243200,238105,238105,0,0
NRGD.US,D,20190722,000000,237315,237315,237315,237315,0,0
NRGD.US,D,20190723,000000,235740,235740,235740,235740,0,0
NRGD.US,D,20190724,000000,231420,231420,231420,231420,0,0
NRGD.US,D,20190725,000000,243220,243220,243220,243220,0,0
NRGD.US,D,20190726,000000,243090,243090,243090,243090,0,0
NRGD.US,D,20190729,000000,246505,246505,246505,246505,0,0
NRGD.US,D,20190730,000000,236070,236070,236070,236070,0,0
NRGD.US,D,20190731,000000,239775,239775,239775,239775,0,0
NRGD.US,D,20190801,000000,243300,252915,241750,252915,0.2,0
NRGD.US,D,20190802,000000,263150,265050,263150,265050,0.1,0
NRGD.US,D,20190805,000000,292750,294045,292750,294045,0,0
NRGD.US,D,20190806,000000,298245,298245,298245,298245,0,0
NRGD.US,D,20190807,000000,311850,311850,306350,306350,0,0
NRGD.US,D,20190808,000000,280225,280225,280225,280225,0,0
NRGD.US,D,20190809,000000,287805,287805,287805,287805,0,0
NRGD.US,D,20190812,000000,304600,305110,304200,305110,0.5,0
NRGD.US,D,20190813,000000,294520,294520,294520,294520,0,0
NRGD.US,D,20190814,000000,312100,326710,312050,326710,0.4,0
NRGD.US,D,20190815,000000,327700,336100,325000,325785,1.4,0
NRGD.US,D,20190816,000000,316900,318300,311015,311015,0.5,0
NRGD.US,D,20190819,000000,294850,299200,285680,285680,2.7,0
NRGD.US,D,20190820,000000,292600,296775,292600,296775,0.1,0
NRGD.US,D,20190821,000000,289850,289850,287800,288620,0.1,0
NRGD.US,D,20190822,000000,293100,294760,293100,294760,0.1,0
NRGD.US,D,20190823,000000,305950,335475,302750,335475,0.3,0
NRGD.US,D,20190826,000000,329350,331200,326950,329255,0.1,0
NRGD.US,D,20190827,000000,338550,338550,338355,338355,0,0
NRGD.US,D,20190828,000000,323250,323250,320365,320365,0,0
NRGD.US,D,20190829,000000,301385,301385,301385,301385,0,0
NRGD.US,D,20190830,000000,298595,298595,298595,298595,0,0
NRGD.US,D,20190903,000000,301580,301580,301580,301580,0,0
NRGD.US,D,20190904,000000,287795,287795,287600,287600,0,0
NRGD.US,D,20190905,000000,274565,274565,274455,274455,0,0
NRGD.US,D,20190906,000000,271705,271705,271705,271705,0,0
NRGD.US,D,20190909,000000,257055,257055,257055,257055,0,0
NRGD.US,D,20190910,000000,247550,247550,247550,247550,0,0
NRGD.US,D,20190911,000000,243695,243695,243695,243695,0,0
NRGD.US,D,20190912,000000,250250,250250,250150,250250,0,0
NRGD.US,D,20190913,000000,244970,244970,244970,244970,0,0
NRGD.US,D,20190916,000000,215465,215465,215465,215465,0,0
NRGD.US,D,20190917,000000,229540,229540,226990,226990,0,0
NRGD.US,D,20190918,000000,231800,231800,230895,230895,0,0
NRGD.US,D,20190919,000000,232000,232000,232000,232000,0,0
NRGD.US,D,20190920,000000,230025,230025,230025,230025,0,0
NRGD.US,D,20190923,000000,229920,229920,229920,229920,0,0
NRGD.US,D,20190924,000000,238260,238260,238260,238260,0,0
NRGD.US,D,20190925,000000,235770,236700,234815,234815,0,0
NRGD.US,D,20190926,000000,243660,243660,243660,243660,0,0
NRGD.US,D,20190927,000000,243875,243875,243875,243875,0,0
NRGD.US,D,20190930,000000,248975,248975,248975,248975,0,0
NRGD.US,D,20191001,000000,262095,262095,262095,262095,0,0
NRGD.US,D,20191002,000000,281815,281815,281815,281815,0,0
NRGD.US,D,20191003,000000,269630,269630,269630,269630,0,0
NRGD.US,D,20191004,000000,261720,261720,261720,261720,0,0
NRGD.US,D,20191007,000000,265215,265215,265215,265215,0,0
NRGD.US,D,20191008,000000,275920,275920,275920,275920,0,0
NRGD.US,D,20191009,000000,263445,263445,263445,263445,0,0
NRGD.US,D,20191010,000000,255100,255100,250035,250035,0,0
NRGD.US,D,20191011,000000,237550,239500,237550,239500,0,0
NRGD.US,D,20191014,000000,243450,243450,243450,243450,0,0
NRGD.US,D,20191015,000000,239665,239665,239665,239665,0,0
NRGD.US,D,20191016,000000,249590,249590,249590,249590,0,0
NRGD.US,D,20191017,000000,245700,248115,245700,248115,0,0
NRGD.US,D,20191018,000000,250720,250720,250720,250720,0,0
NRGD.US,D,20191021,000000,238010,238010,238010,238010,0,0
NRGD.US,D,20191022,000000,225370,225370,225370,225370,0,0
NRGD.US,D,20191023,000000,222555,222555,222555,222555,0,0
NRGD.US,D,20191024,000000,220290,220290,220290,220290,0,0
NRGD.US,D,20191025,000000,212535,212535,212535,212535,0,0
NRGD.US,D,20191028,000000,216205,216205,216205,216205,0,0
NRGD.US,D,20191029,000000,210385,210385,210385,210385,0,0
NRGD.US,D,20191030,000000,217550,228040,217550,228040,0,0
NRGD.US,D,20191031,000000,237750,237750,231975,231975,0.1,0
NRGD.US,D,20191101,000000,211245,211245,211245,211245,0,0
NRGD.US,D,20191104,000000,192350,192350,192350,192350,0,0
NRGD.US,D,20191105,000000,194805,194805,194805,194805,0,0
NRGD.US,D,20191106,000000,198650,208400,196300,207610,0.6,0
NRGD.US,D,20191107,000000,196650,196900,195015,195015,0.2,0
NRGD.US,D,20191108,000000,194955,194955,194955,194955,0,0
NRGD.US,D,20191111,000000,199330,199330,199330,199330,0,0
NRGD.US,D,20191112,000000,202775,202775,202775,202775,0,0
NRGD.US,D,20191113,000000,207920,207920,207920,207920,0,0
NRGD.US,D,20191114,000000,210395,210395,210395,210395,0,0
NRGD.US,D,20191115,000000,205435,205435,205435,205435,0,0
NRGD.US,D,20191118,000000,210955,210955,210955,210955,0,0
NRGD.US,D,20191119,000000,221445,221445,221445,221445,0,0
NRGD.US,D,20191120,000000,214050,216800,214050,215210,0.1,0
NRGD.US,D,20191121,000000,206035,206035,206035,206035,0,0
NRGD.US,D,20191122,000000,207000,211830,207000,211830,0,0
NRGD.US,D,20191125,000000,209835,209835,209835,209835,0,0
NRGD.US,D,20191126,000000,218265,218265,218265,218265,0,0
NRGD.US,D,20191129,000000,224560,224560,224560,224560,0,0
NRGD.US,D,20191202,000000,225290,225290,225290,225290,0,0
NRGD.US,D,20191203,000000,236910,236910,236910,236910,0,0
NRGD.US,D,20191204,000000,224335,224335,224335,224335,0,0
NRGD.US,D,20191205,000000,230420,231000,230420,230420,0,0
NRGD.US,D,20191206,000000,214650,214650,214650,214650,0,0
NRGD.US,D,20191209,000000,219910,219910,219910,219910,0,0
NRGD.US,D,20191210,000000,213650,217405,213650,217405,0,0
NRGD.US,D,20191211,000000,220740,220740,220740,220740,0,0
NRGD.US,D,20191212,000000,208400,208400,205720,205720,0.1,0
NRGD.US,D,20191213,000000,211205,211205,211205,211205,0,0
NRGD.US,D,20191216,000000,198965,198965,198965,198965,0,0
NRGD.US,D,20191217,000000,197500,197500,197500,197500,0,0
NRGD.US,D,20191218,000000,195575,195575,195575,195575,0,0
NRGD.US,D,20191219,000000,196715,196715,196715,196715,0,0
NRGD.US,D,20191220,000000,190400,190400,190400,190400,0,0
NRGD.US,D,20191223,000000,185950,185950,185950,185950,0,0
NRGD.US,D,20191224,000000,184700,184700,184700,184700,0,0
NRGD.US,D,20191226,000000,185165,185165,185165,185165,0,0
NRGD.US,D,20191227,000000,187330,187330,187330,187330,0,0
NRGD.US,D,20191230,000000,190070,190070,190070,190070,0,0
NRGD.US,D,20191231,000000,185350,185350,185350,185350,0,0
NRGD.US,D,20200102,000000,177540,177540,177540,177540,0,0
NRGD.US,D,20200103,000000,180020,180020,180020,180020,0,0
NRGD.US,D,20200106,000000,173505,173505,173505,173505,0,0
NRGD.US,D,20200107,000000,173340,173340,173340,173340,0,0
NRGD.US,D,20200108,000000,181385,181385,181385,181385,0,0
NRGD.US,D,20200109,000000,182150,182150,176550,176550,0.1,0
NRGD.US,D,20200110,000000,178130,178130,178130,178130,0,0
NRGD.US,D,20200113,000000,178740,178740,178740,178740,0,0
NRGD.US,D,20200114,000000,177010,177010,177010,177010,0,0
NRGD.US,D,20200115,000000,181580,181580,181580,181580,0,0
NRGD.US,D,20200116,000000,182225,182225,182225,182225,0,0
NRGD.US,D,20200117,000000,186030,186030,186030,186030,0,0
NRGD.US,D,20200121,000000,194715,194715,194715,194715,0,0
NRGD.US,D,20200122,000000,201390,201390,201390,201390,0,0
NRGD.US,D,20200123,000000,206515,206515,206515,206515,0,0
NRGD.US,D,20200124,000000,213525,213525,213525,213525,0,0
NRGD.US,D,20200127,000000,233870,233870,233870,233870,0,0
NRGD.US,D,20200128,000000,228535,228535,228535,228535,0,0
NRGD.US,D,20200129,000000,238975,238975,238975,238975,0,0
NRGD.US,D,20200130,000000,245400,245400,233340,233340,0,0
NRGD.US,D,20200131,000000,247350,257250,247350,255445,0.1,0
NRGD.US,D,20200203,000000,266350,269860,266350,269860,0.1,0
NRGD.US,D,20200204,000000,257365,264930,257365,264930,0,0
NRGD.US,D,20200205,000000,233130,233130,233130,233130,0,0
NRGD.US,D,20200206,000000,238325,241125,237800,241125,0.1,0
NRGD.US,D,20200207,000000,248345,248345,248345,248345,0,0
NRGD.US,D,20200210,000000,255150,256000,252995,252995,0.7,0
NRGD.US,D,20200211,000000,242170,242170,242170,242170,0,0
NRGD.US,D,20200212,000000,228230,228230,228230,228230,0,0
NRGD.US,D,20200213,000000,228945,228945,228945,228945,0,0
NRGD.US,D,20200214,000000,233320,233320,233320,233320,0,0
NRGD.US,D,20200218,000000,239345,239345,239345,239345,0,0
NRGD.US,D,20200219,000000,223835,223835,223835,223835,0,0
NRGD.US,D,20200220,000000,221000,221200,218890,218890,0.1,0
NRGD.US,D,20200221,000000,226670,226670,226670,226670,0,0
NRGD.US,D,20200224,000000,253550,259860,253450,259860,0.1,0
NRGD.US,D,20200225,000000,297720,297720,297720,297720,0,0
NRGD.US,D,20200226,000000,328405,328405,328405,328405,0,0
NRGD.US,D,20200227,000000,383450,383815,365050,383815,0.1,0
NRGD.US,D,20200228,000000,426300,426300,377560,377560,0.3,0
NRGD.US,D,20200302,000000,356350,396650,352500,352500,0.2,0
NRGD.US,D,20200303,000000,275255,382300,275255,375865,0.1,0
NRGD.US,D,20200304,000000,370000,379800,357550,357550,0.1,0
NRGD.US,D,20200305,000000,396750,407605,396750,407605,0,0
NRGD.US,D,20200306,000000,479675,479675,479675,479675,0,0
NRGD.US,D,20200309,000000,769200,810580,769100,810580,0.2,0
NRGD.US,D,20200310,000000,875950,875950,634355,634355,0.3,0
NRGD.US,D,20200311,000000,751200,808150,747500,793020,0.3,0
NRGD.US,D,20200312,000000,1033600,1126265,1033600,1126265,0.3,0
NRGD.US,D,20200313,000000,1109950,1109950,1087600,1087600,0.1,0
NRGD.US,D,20200317,000000,1131140,1131140,1131140,1131140,0,0
NRGD.US,D,20200318,000000,1336190,1523600,1336190,1448980,0.2,0
NRGD.US,D,20200319,000000,1338500,1385900,1186650,1242100,0.3,0
NRGD.US,D,20200320,000000,1091695,1091695,1091695,1091695,0.1,0
NRGD.US,D,20200323,000000,1347650,1347650,1331595,1331595,0.5,0
NRGD.US,D,20200324,000000,890900,932500,826675,826675,0.1,0
NRGD.US,D,20200325,000000,664950,739450,531600,608955,0.3,0
NRGD.US,D,20200326,000000,518950,535150,500350,502625,0.1,0
NRGD.US,D,20200327,000000,611300,611300,581250,592275,0.2,0
NRGD.US,D,20200330,000000,587705,587705,580825,580825,0.1,0
NRGD.US,D,20200331,000000,552680,552680,552680,552680,0,0
NRGD.US,D,20200401,000000,648000,656590,648000,656590,0,0
NRGD.US,D,20200402,000000,556650,571150,399800,476750,1.6,0
NRGD.US,D,20200403,000000,425050,502000,425000,497115,0.1,0
NRGD.US,D,20200406,000000,490500,490500,409075,409075,0.2,0
NRGD.US,D,20200407,000000,360000,391400,360000,390050,0.1,0
NRGD.US,D,20200408,000000,296340,296340,296340,296340,0,0
NRGD.US,D,20200409,000000,287450,335700,247150,306280,1.1,0
NRGD.US,D,20200413,000000,306865,316700,288550,304400,0.7,0
NRGD.US,D,20200414,000000,315200,323545,301640,317045,0.6,0
NRGD.US,D,20200415,000000,370550,401950,370300,378390,3.1,0
NRGD.US,D,20200416,000000,435600,440615,435600,440615,0.2,0
NRGD.US,D,20200417,000000,328300,328300,299300,305130,1.1,0
NRGD.US,D,20200420,000000,344050,350350,286400,309945,2.2,0
NRGD.US,D,20200421,000000,350000,350000,318340,320565,0.9,0
NRGD.US,D,20200422,000000,266320,290750,266320,274915,0.5,0
NRGD.US,D,20200423,000000,246450,262060,225050,247310,1.4,0
NRGD.US,D,20200424,000000,250250,261400,248615,248615,0.5,0
NRGD.US,D,20200427,000000,239015,239015,219850,223255,0.5,0
NRGD.US,D,20200428,000000,206250,208400,200725,200725,0.2,0
NRGD.US,D,20200429,000000,200000,200000,145780,145780,2.6,0
NRGD.US,D,20200430,000000,153350,160250,139305,149605,3,0
NRGD.US,D,20200501,000000,169250,182600,164530,182600,2.7,0
NRGD.US,D,20200504,000000,196250,196250,154975,156250,3.4,0
NRGD.US,D,20200505,000000,129000,157465,129000,154800,4.4,0
NRGD.US,D,20200506,000000,151040,171545,149875,171545,3.8,0
NRGD.US,D,20200507,000000,146470,159850,140500,155880,4.4,0
NRGD.US,D,20200508,000000,145000,145540,130600,131100,2.7,0
NRGD.US,D,20200511,000000,137650,139250,133500,137105,1.5,0
NRGD.US,D,20200512,000000,135850,146950,134550,146700,1.6,0
NRGD.US,D,20200513,000000,153250,170950,153250,168295,5.2,0
NRGD.US,D,20200514,000000,175500,191800,156800,165235,6,0
NRGD.US,D,20200515,000000,160200,164300,152500,163480,1.2,0
NRGD.US,D,20200518,000000,132500,132500,115000,115600,6.5,0
NRGD.US,D,20200519,000000,118350,125500,116810,125500,4.4,0
NRGD.US,D,20200520,000000,119800,119800,108500,110000,8.9,0
NRGD.US,D,20200521,000000,111330,117550,108800,115575,5.9,0
NRGD.US,D,20200522,000000,120000,124250,117150,117200,5.5,0
NRGD.US,D,20200526,000000,107200,109500,103050,109495,6.8,0
NRGD.US,D,20200527,000000,102200,113960,102200,105420,3.5,0
NRGD.US,D,20200528,000000,106550,115500,106550,114320,2.8,0
NRGD.US,D,20200529,000000,119350,123550,115425,119025,4,0
NRGD.US,D,20200601,000000,122000,122000,110750,110825,2.2,0
NRGD.US,D,20200602,000000,104400,104400,98550,98750,7.1,0
NRGD.US,D,20200603,000000,92400,94800,89000,89930,4.5,0
NRGD.US,D,20200604,000000,93150,96250,89075,90550,2.6,0
NRGD.US,D,20200605,000000,73800,73800,62750,63850,33,0
NRGD.US,D,20200608,000000,60000,60950,53600,54125,20.7,0
NRGD.US,D,20200609,000000,61450,64550,59400,60465,19.8,0
NRGD.US,D,20200610,000000,62650,70550,62650,70415,32,0
