<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSPI.US,D,20211221,000000,24.4087,24.5065,24.3396,24.5065,5347.7103723836,0
NSPI.US,D,20211222,000000,24.5757,24.5757,24.3642,24.552,38616.055444487,0
NSPI.US,D,20211223,000000,24.6439,24.713,24.6439,24.6834,3190.0043705059,0
NSPI.US,D,20211227,000000,24.7624,24.8603,24.7624,24.8513,13169.900657802,0
NSPI.US,D,20211228,000000,24.88,24.9195,24.8306,24.8553,3690.9726964578,0
NSPI.US,D,20211229,000000,24.8603,24.9294,24.8504,24.9146,2213.3691492057,0
NSPI.US,D,20211230,000000,25.2239,25.2239,24.8523,24.8523,2906.6283477452,0
NSPI.US,D,20211231,000000,24.8603,24.8603,24.8207,24.8296,834.94720991985,0
NSPI.US,D,20220103,000000,24.9492,25.0173,24.8998,25.0173,2573.6615210014,0
NSPI.US,D,20220104,000000,25.047,25.047,24.8998,24.966,10705.541317008,0
NSPI.US,D,20220105,000000,24.9679,24.9679,24.634,24.634,7464.9340852955,0
NSPI.US,D,20220106,000000,24.5559,24.7031,24.5559,24.5856,4359.9425216178,0
NSPI.US,D,20220107,000000,24.5856,24.6784,24.4769,24.5974,14081.764216757,0
NSPI.US,D,20220110,000000,24.379,24.4838,24.1142,24.4838,37073.68023489,0
NSPI.US,D,20220111,000000,24.3988,24.7328,24.3692,24.7002,20053.913896439,0
NSPI.US,D,20220112,000000,24.8207,24.9097,24.7427,24.7822,39691.872273754,0
NSPI.US,D,20220113,000000,24.7723,24.7723,24.4492,24.4492,8296.8451235429,0
NSPI.US,D,20220114,000000,24.462,24.464,24.2614,24.464,14390.441670122,0
NSPI.US,D,20220118,000000,24.3099,24.3099,24.0124,24.0124,13570.675318564,0
NSPI.US,D,20220119,000000,24.1726,24.1924,23.8109,23.8109,12137.602289174,0
NSPI.US,D,20220120,000000,23.9848,24.1528,23.6726,23.6726,4760.7171823793,0
NSPI.US,D,20220121,000000,23.6133,23.6232,23.5303,23.5303,7092.49702681,0
NSPI.US,D,20220124,000000,23.4068,23.5244,23.1607,23.5066,20208.758651732,0
NSPI.US,D,20220125,000000,23.3277,23.4552,23.2695,23.3079,11866.370953104,0
NSPI.US,D,20220126,000000,23.721,23.721,23.1509,23.1933,26834.697298212,0
NSPI.US,D,20220127,000000,23.3574,23.3673,23.1607,23.1707,19741.188214178,0
NSPI.US,D,20220128,000000,23.0827,23.3663,23.0827,23.3663,54332.292078239,0
NSPI.US,D,20220131,000000,23.4265,23.5836,23.4265,23.5688,7970.9626973681,0
NSPI.US,D,20220201,000000,23.9176,23.9176,23.3673,23.6528,6507.5279512541,0
NSPI.US,D,20220202,000000,23.8386,23.8386,23.6232,23.7576,21489.011040277,0
NSPI.US,D,20220203,000000,23.6034,23.6321,23.4749,23.4947,23548.547491412,0
NSPI.US,D,20220204,000000,23.4562,23.6083,23.4216,23.5372,9142.9249629283,0
NSPI.US,D,20220207,000000,23.5342,23.5342,23.4483,23.4483,8721.9091576839,0
NSPI.US,D,20220208,000000,23.4265,23.6133,23.4265,23.6004,30587.405485343,0
NSPI.US,D,20220209,000000,23.7062,23.799,23.7062,23.7408,18410.332964426,0
NSPI.US,D,20220210,000000,23.6518,23.7704,23.4799,23.5589,6951.8210726538,0
NSPI.US,D,20220211,000000,23.5046,23.5738,23.2595,23.2853,25643.505945392,0
NSPI.US,D,20220214,000000,23.2003,23.2497,23.1025,23.1429,19529.668254331,0
NSPI.US,D,20220215,000000,23.3079,23.4068,23.2793,23.3663,11236.871359685,0
NSPI.US,D,20220216,000000,23.2892,23.4413,23.2101,23.4077,3182.9199699369,0
NSPI.US,D,20220217,000000,23.1025,23.1509,22.9255,22.9285,10389.779463076,0
NSPI.US,D,20220218,000000,23.0037,23.1163,22.8861,22.8861,9571.0251687418,0
NSPI.US,D,20220222,000000,22.9157,22.9157,22.7685,22.8001,14421.81544407,0
NSPI.US,D,20220223,000000,22.7389,22.7981,22.6252,22.6252,4226.3509680306,0
NSPI.US,D,20220224,000000,22.2774,22.6795,22.2774,22.6697,18405.272678306,0
NSPI.US,D,20220225,000000,22.6598,22.8465,22.6598,22.8426,12610.23301285,0
NSPI.US,D,20220228,000000,23.0431,23.0431,22.6894,22.8189,14886.349709953,0
NSPI.US,D,20220301,000000,22.3357,22.9749,22.3357,22.7359,130145.49873896,0
NSPI.US,D,20220302,000000,22.7487,22.9255,22.7191,22.8841,140678.99032786,0
NSPI.US,D,20220303,000000,22.8861,22.9355,22.7586,22.8267,71816.592682572,0
NSPI.US,D,20220304,000000,22.8169,22.8515,22.6598,22.7487,5220.1911621413,0
NSPI.US,D,20220307,000000,22.6993,22.7438,22.3752,22.3752,11933.166729897,0
NSPI.US,D,20220308,000000,22.4147,22.562,22.3396,22.3396,31204.760392071,0
NSPI.US,D,20220309,000000,22.4928,22.6301,22.4928,22.562,15947.997738081,0
NSPI.US,D,20220310,000000,22.4147,22.4829,22.3554,22.4829,8044.8428747307,0
NSPI.US,D,20220311,000000,22.5224,22.5373,22.2082,22.2082,15581.633022941,0
NSPI.US,D,20220314,000000,22.1984,22.3653,22.1302,22.1322,7263.5346976906,0
NSPI.US,D,20220315,000000,22.1786,22.4197,22.1687,22.396,48345.973597419,0
NSPI.US,D,20220316,000000,22.6213,22.7537,22.4049,22.7418,11287.474220892,0
NSPI.US,D,20220317,000000,22.6311,23.0234,22.6311,23.0017,7566.13980771,0
NSPI.US,D,20220318,000000,22.9839,23.1361,22.9651,23.0877,3068.5575036085,0
NSPI.US,D,20220321,000000,23.0531,23.1223,23.0531,23.1073,14797.288674228,0
NSPI.US,D,20220322,000000,23.1707,23.2299,23.1321,23.2161,30487.211820152,0
