<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDQ.US,D,20231020,000000,29.9615,30.7819,29.2648,30.7024,5027.955167612,0
NVDQ.US,D,20231023,000000,30.949,31.0374,27.9621,28.2837,22746.91701234,0
NVDQ.US,D,20231024,000000,28.4927,28.4927,27.3456,27.3456,3797.4292976438,0
NVDQ.US,D,20231025,000000,27.6281,29.9206,27.6281,29.7259,2980.1321317344,0
NVDQ.US,D,20231026,000000,29.711,32.0788,29.1117,31.7834,18616.665581132,0
NVDQ.US,D,20231027,000000,30.5658,32.0494,30.5658,31.5931,5826.931849105,0
NVDQ.US,D,20231030,000000,30.4184,31.2634,29.8191,30.4378,5309.8870666866,0
NVDQ.US,D,20231031,000000,31.735,33.2775,30.9784,31.0923,38632.812610739,0
NVDQ.US,D,20231101,000000,30.7033,30.7033,28.7162,28.7162,17153.062437199,0
NVDQ.US,D,20231102,000000,27.4905,28.0506,26.9109,27.1461,19671.111239765,0
NVDQ.US,D,20231103,000000,26.6849,26.6849,25.0441,25.3487,16590.21644374,0
NVDQ.US,D,20231106,000000,24.4055,25.0537,24.4055,24.5193,11165.317447106,0
NVDQ.US,D,20231107,000000,24.6314,24.6707,24.0616,24.2865,11568.368104267,0
NVDQ.US,D,20231108,000000,23.957,23.9633,23.3708,23.6494,6073.2405840366,0
NVDQ.US,D,20231109,000000,22.4522,23.4131,22.1644,23.2544,25325.016291604,0
NVDQ.US,D,20231110,000000,22.7843,22.8433,21.8195,21.8706,18012.089595391,0
NVDQ.US,D,20231113,000000,21.9492,22.018,21.2123,21.6446,19221.241566873,0
NVDQ.US,D,20231114,000000,20.9372,21.2025,20.6916,20.7052,24031.386530868,0
NVDQ.US,D,20231115,000000,20.7674,21.8117,20.6081,21.4256,39037.898877279,0
NVDQ.US,D,20231116,000000,21.4815,21.6201,20.839,20.8783,14467.075860817,0
NVDQ.US,D,20231117,000000,20.9372,21.1141,20.7014,21.008,8077.2980182528,0
NVDQ.US,D,20231120,000000,20.7014,21.1632,19.9547,20.0791,24877.182228092,0
NVDQ.US,D,20231121,000000,20.1414,20.8291,20.1414,20.4263,29698.523043674,0
NVDQ.US,D,20231122,000000,20.5737,22.1889,20.162,21.3803,63882.511355297,0
NVDQ.US,D,20231124,000000,21.3204,22.1359,21.3204,22.1175,14987.174057305,0
NVDQ.US,D,20231127,000000,22.3127,22.3717,21.6947,21.8593,8876.2746997458,0
NVDQ.US,D,20231128,000000,22.0681,22.5191,21.9787,22.3011,27483.780038669,0
NVDQ.US,D,20231129,000000,21.8215,22.0868,21.3695,21.9446,4178.088251629,0
NVDQ.US,D,20231130,000000,22.184,23.4426,22.184,23.1938,13899.140843909,0
NVDQ.US,D,20231201,000000,23.7668,23.7668,22.7843,23.2149,9577.542131018,0
NVDQ.US,D,20231204,000000,23.983,24.9262,23.983,24.4742,33569.234278984,0
NVDQ.US,D,20231205,000000,24.3662,24.376,23.3444,23.3819,28625.756900625,0
NVDQ.US,D,20231206,000000,22.6839,24.4939,22.5191,24.4939,22829.359192214,0
NVDQ.US,D,20231207,000000,24.4349,24.4349,23.236,23.236,25096.010236399,0
NVDQ.US,D,20231208,000000,22.5485,22.5682,22.1555,22.3331,14652.316314361,0
NVDQ.US,D,20231211,000000,22.2636,23.8356,22.2636,23.2101,14685.903869124,0
NVDQ.US,D,20231212,000000,23.3837,23.3837,22.2008,22.2008,10257.435663804,0
NVDQ.US,D,20231213,000000,21.3204,21.8272,21.2934,21.8272,12426.377457768,0
NVDQ.US,D,20231214,000000,21.5365,22.2538,21.5081,21.5768,13474.716288262,0
NVDQ.US,D,20231215,000000,21.3793,21.3793,20.6818,21.006,8462.0281909972,0
NVDQ.US,D,20231218,000000,20.2603,20.3477,19.7386,19.9335,43129.473730275,0
NVDQ.US,D,20231219,000000,20.5344,20.947,20.4165,20.4361,3567.405437749,0
NVDQ.US,D,20231220,000000,20.387,21.5857,20.1414,21.5394,9214.1858567594,0
NVDQ.US,D,20231221,000000,20.8881,21.2605,20.8863,20.8863,8065.0843619752,0
NVDQ.US,D,20231222,000000,20.7122,21.3204,20.6916,21.0018,8990.2688250034,0
NVDQ.US,D,20231226,000000,18.8485,18.897,18.59,18.897,21747,0
NVDQ.US,D,20231227,000000,18.81,19.03,18.77,18.8,9538,0
NVDQ.US,D,20231228,000000,18.789,18.8021,18.45,18.74,25089,0
NVDQ.US,D,20231229,000000,18.48,19.28,18.42,18.7432,14202,0
NVDQ.US,D,20240102,000000,18.89,20.141,18.89,19.849,12187,0
NVDQ.US,D,20240103,000000,20.159,20.36,19.77,20.2419,14257,0
NVDQ.US,D,20240104,000000,19.92,20.0099,19.5167,19.899,6686,0
NVDQ.US,D,20240105,000000,19.5375,19.54,18.6899,19.0252,11455,0
NVDQ.US,D,20240108,000000,18.68,18.68,16.609,16.609,37416,0
NVDQ.US,D,20240109,000000,16.49,16.84,15.301,16.0227,52925,0
NVDQ.US,D,20240110,000000,15.73,15.73,15.19,15.29,36705,0
NVDQ.US,D,20240111,000000,14.95,15.68,14.781,15.05,98114,0
NVDQ.US,D,20240112,000000,15.229,15.29,14.98,15.0814,61277,0
NVDQ.US,D,20240116,000000,14.97,14.97,13.971,14.21,125494,0
NVDQ.US,D,20240117,000000,14.21,14.915,14.21,14.3602,28754,0
NVDQ.US,D,20240118,000000,13.78,14.265,13.5899,13.8363,70300,0
NVDQ.US,D,20240119,000000,13.44,13.68,12.6522,12.6522,127390,0
NVDQ.US,D,20240122,000000,12.45,12.76,12.3397,12.58,74495,0
NVDQ.US,D,20240123,000000,13,13,12.4873,12.4873,16684,0
NVDQ.US,D,20240124,000000,12.45,12.45,11.289,11.85,87990,0
NVDQ.US,D,20240125,000000,11.54,12.0497,11.41,11.7983,45189,0
NVDQ.US,D,20240126,000000,12.06,12.1776,11.78,11.99,121574,0
NVDQ.US,D,20240129,000000,11.94,12.02,11.473,11.473,126903,0
NVDQ.US,D,20240130,000000,11.29,11.5,11.08,11.36,196442,0
NVDQ.US,D,20240131,000000,11.82,12.06,11.57,11.7911,172767,0
NVDQ.US,D,20240201,000000,11.55,11.78,11.2,11.25,149268,0
NVDQ.US,D,20240202,000000,10.9,10.94,9.99,10.1097,131969,0
NVDQ.US,D,20240205,000000,9.5,9.78,9.13,9.17,755419,0
NVDQ.US,D,20240206,000000,9.08,9.9357,9.04,9.431,1300924,0
NVDQ.US,D,20240207,000000,9.45,9.59,8.895,8.92,410649,0
NVDQ.US,D,20240208,000000,8.95,9.07,8.78,9.03,372002,0
NVDQ.US,D,20240209,000000,8.83,8.89,8.38,8.39,424060,0
NVDQ.US,D,20240212,000000,8.3,8.61,7.84,8.38,1131838,0
NVDQ.US,D,20240213,000000,8.82,8.99,8.11,8.38,1681600,0
NVDQ.US,D,20240214,000000,8.14,8.44,7.92,7.99,694911,0
NVDQ.US,D,20240215,000000,8.01,8.32,7.99,8.265,698791,0
NVDQ.US,D,20240216,000000,7.94,8.31,7.871,8.26,1304559,0
NVDQ.US,D,20240220,000000,8.47,9.37,8.46,8.8,3030204,0
NVDQ.US,D,20240221,000000,9.4,9.8399,9.151,9.53,3412522,0
NVDQ.US,D,20240222,000000,7.38,7.61,6.4,6.4,2877346,0
NVDQ.US,D,20240223,000000,6.04,6.56,5.77,6.33,4093888,0
NVDQ.US,D,20240226,000000,6.24,6.41,6.07,6.29,3600868,0
NVDQ.US,D,20240227,000000,6.27,6.61,6.2559,6.36,3983387,0
NVDQ.US,D,20240228,000000,6.56,6.62,6.345,6.54,2132103,0
NVDQ.US,D,20240229,000000,6.3,6.43,6.155,6.31,1843733,0
NVDQ.US,D,20240301,000000,6.16,6.24,5.81,5.82,1292922,0
NVDQ.US,D,20240304,000000,5.56,5.6001,5.08,5.42,1580555,0
NVDQ.US,D,20240305,000000,5.4,5.63,5.3,5.31,1512540,0
NVDQ.US,D,20240306,000000,5.06,5.17,4.845,4.96,1679599,0
NVDQ.US,D,20240307,000000,4.8,4.86,4.52,4.53,2112328,0
NVDQ.US,D,20240308,000000,4.29,5.125,4.07,5.02,8192632,0
NVDQ.US,D,20240311,000000,5.19,5.41,4.89,5.225,6118095,0
NVDQ.US,D,20240312,000000,4.95,5.18,4.48,4.485,4022236,0
NVDQ.US,D,20240313,000000,4.56,4.82,4.53,4.58,2784117,0
NVDQ.US,D,20240314,000000,4.72,5.025,4.615,4.87,3158725,0
