<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDX.US,D,20231020,000000,24.4799,24.5,24.0443,24.0443,1797,0
NVDX.US,D,20231023,000000,23.82,26.149,23.82,25.8769,9145,0
NVDX.US,D,20231024,000000,25.96,26.7143,25.661,26.7143,3842,0
NVDX.US,D,20231025,000000,25.965,25.965,24.379,24.379,14889,0
NVDX.US,D,20231026,000000,24.85,25.02,22.63,22.6929,6100,0
NVDX.US,D,20231027,000000,23.11,23.39,22.481,22.828,6069,0
NVDX.US,D,20231030,000000,23.5,24.2001,23.0004,23.672,9115,0
NVDX.US,D,20231031,000000,22.5,23.189,21.41,23.1273,9743,0
NVDX.US,D,20231101,000000,23.7351,24.929,23.44,24.9284,42401,0
NVDX.US,D,20231102,000000,26.19,26.709,25.671,26.2933,10983,0
NVDX.US,D,20231103,000000,26.59,28.31,26.58,28.0681,31528,0
NVDX.US,D,20231106,000000,28.52,29.08,28.095,28.9475,20237,0
NVDX.US,D,20231107,000000,29.1569,29.55,28.46,29.2143,9424,0
NVDX.US,D,20231108,000000,29.39,30.32,29.37,30.0153,33699,0
NVDX.US,D,20231109,000000,30.929,32.16,30.43,30.5174,35920,0
NVDX.US,D,20231110,000000,31.269,32.499,30.99,32.2565,32432,0
NVDX.US,D,20231113,000000,32.3,33.26,32.011,32.5901,52876,0
NVDX.US,D,20231114,000000,34.21,34.25,33.24,34.0041,121043,0
NVDX.US,D,20231115,000000,34.51,34.51,32.07,32.97,63031,0
NVDX.US,D,20231116,000000,32.5,33.799,32.5,33.799,26894,0
NVDX.US,D,20231117,000000,33.91,33.92,33.22,33.54,35311,0
NVDX.US,D,20231120,000000,34.01,35.1199,33.41,35.05,76267,0
NVDX.US,D,20231121,000000,34.68,35.05,33.43,34.37,182768,0
NVDX.US,D,20231122,000000,34.1,34.61,31.38,32.57,139884,0
NVDX.US,D,20231124,000000,32.4,32.88,31.325,31.363,51942,0
NVDX.US,D,20231127,000000,31.43,32.28,31.2,31.9498,45045,0
NVDX.US,D,20231128,000000,31.79,31.98,30.9797,31.36,87106,0
NVDX.US,D,20231129,000000,31.85,32.51,31.51,31.78,30254,0
NVDX.US,D,20231130,000000,31.68,31.68,29.5,30.02,177560,0
NVDX.US,D,20231201,000000,29.53,30.4596,29.25,29.86,78706,0
NVDX.US,D,20231204,000000,29.06,29.06,27.699,28.25,72397,0
NVDX.US,D,20231205,000000,28.3,29.66,28.0274,29.66,82436,0
NVDX.US,D,20231206,000000,30.47,30.61,28.19,28.27,126569,0
NVDX.US,D,20231207,000000,28.51,29.62,28.435,29.62,84073,0
NVDX.US,D,20231208,000000,29.73,31.05,29.62,30.73,108494,0
NVDX.US,D,20231211,000000,31.16,31.16,28.5221,29.65,163191,0
NVDX.US,D,20231212,000000,28.98,30.9,28.98,30.9,85938,0
NVDX.US,D,20231213,000000,30.88,32.04,30.88,31.3267,152346,0
NVDX.US,D,20231214,000000,31.72,32.08,30.51,31.7,111308,0
NVDX.US,D,20231215,000000,31.75,33.05,31.52,32.49,141584,0
NVDX.US,D,20231218,000000,33.13,34.4,32.81,34.06,121538,0
NVDX.US,D,20231219,000000,33.14,33.4542,32.3984,33.28,169031,0
NVDX.US,D,20231220,000000,33.14,33.8,31.3,31.3,300995,0
NVDX.US,D,20231221,000000,32.3,32.5,31.75,32.5,115149,0
NVDX.US,D,20231222,000000,32.78,32.89,31.75,32.26,91110,0
NVDX.US,D,20231226,000000,32.46,33.175,32.39,32.8,101045,0
NVDX.US,D,20231227,000000,33.16,33.16,32.52,32.96,73055,0
NVDX.US,D,20231228,000000,33.3,33.57,32.96,33.02,77037,0
NVDX.US,D,20231229,000000,33.37,33.64,32.0785,33.04,80970,0
NVDX.US,D,20240102,000000,32.57,32.67,30.42,31.24,141015,0
