<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVQ.US,D,20201204,000000,25.0476,25.3409,25.0337,25.2714,6089.1391746445,0
NVQ.US,D,20201207,000000,27.0321,27.0321,25.1252,25.16,5393.1226056234,0
NVQ.US,D,20201208,000000,25.2912,25.2952,25.2912,25.2952,672.88307033981,0
NVQ.US,D,20201209,000000,25.3409,25.3409,25.0864,25.0943,759.3822393222,0
NVQ.US,D,20201210,000000,25.0774,25.0864,24.9989,25.0864,635.66831159156,0
NVQ.US,D,20201211,000000,25.0476,25.0476,24.8378,24.8378,1446.3465697289,0
NVQ.US,D,20201214,000000,25.1252,25.1252,25.0148,25.0148,872.03231985742,0
NVQ.US,D,20201215,000000,25.2624,25.5099,25.1938,25.5099,432.49584491198,0
NVQ.US,D,20201216,000000,25.507,25.507,25.4483,25.4781,411.37395481163,0
NVQ.US,D,20201217,000000,25.5905,25.7058,25.5905,25.7058,123.71392773064,0
NVQ.US,D,20201218,000000,25.7028,25.7127,25.6064,25.6064,337.95024160564,0
NVQ.US,D,20201221,000000,25.4184,25.4731,25.4184,25.4731,571.29683700001,0
NVQ.US,D,20201222,000000,25.4871,25.5855,25.4871,25.5736,1272.3424274736,0
NVQ.US,D,20201223,000000,25.84,25.84,25.7704,25.7704,606.49998716727,0
NVQ.US,D,20201224,000000,25.7008,25.7008,25.7008,25.7008,41.237975910212,0
NVQ.US,D,20201228,000000,25.845,25.845,25.7426,25.7426,217.25372674648,0
NVQ.US,D,20201229,000000,25.7813,25.84,25.4771,25.501,2444.1044258979,0
NVQ.US,D,20201230,000000,25.8072,25.8072,25.8072,25.8072,186.0737937412,0
NVQ.US,D,20201231,000000,25.6839,25.9763,25.6839,25.9484,1021.8971591409,0
NVQ.US,D,20210104,000000,26.0647,26.0647,25.7247,25.7247,2172.5372674648,0
NVQ.US,D,20210105,000000,26.1204,26.1204,26.1204,26.1204,174.00414225529,0
NVQ.US,D,20210106,000000,26.9645,26.9785,26.9645,26.9785,161.93449076937,0
NVQ.US,D,20210107,000000,27.5809,27.5809,27.5809,27.5809,43.249584491198,0
NVQ.US,D,20210108,000000,27.5581,27.5581,27.5581,27.5581,707.08041621657,0
NVQ.US,D,20210111,000000,27.394,27.7052,27.394,27.7052,674.89467892079,0
NVQ.US,D,20210112,000000,27.923,28.0591,27.923,28.0591,213.23050958451,0
NVQ.US,D,20210113,000000,28.0014,28.0014,27.9031,27.9031,591.41292280987,0
NVQ.US,D,20210114,000000,28.1974,28.1974,28.1974,28.1974,92.533994725354,0
NVQ.US,D,20210115,000000,28.0213,28.0213,27.8593,27.8593,692.99915614966,0
NVQ.US,D,20210119,000000,28.3325,28.3365,28.3325,28.3365,521.00662247536,0
NVQ.US,D,20210120,000000,28.4896,28.4896,28.4896,28.4896,209.20729242254,0
